Date,Open,High,Low,Close,Volume
2012-4-11,5201,5325,5170,5307,2498
2012-4-12,5300,5370,5300,5335,905
2012-4-13,5330,5340,5289,5327,829
2012-4-16,5291,5325,5291,5322,590
2012-4-17,5320,5338,5320,5332,775
2012-4-18,5347,5397,5347,5397,749
2012-4-19,5384,5420,5384,5420,732
2012-4-20,5420,5438,5403,5438,743
2012-4-23,5438,5438,5400,5429,295
2012-4-24,5429,5447,5408,5447,505
2012-4-25,5447,5447,5394,5430,865
2012-4-26,5425,5438,5406,5410,508
2012-4-27,5390,5456,5390,5451,680
2012-4-28,5410,5475,5410,5475,828
2012-5-2,5420,5480,5420,5480,691
2012-5-3,5476,5477,5460,5460,273
2012-5-4,5470,5490,5430,5450,514
2012-5-5,5420,5456,5420,5452,450
2012-5-7,5450,5465,5442,5451,488
2012-5-8,5415,5456,5415,5451,503
2012-5-10,5471,5485,5455,5485,434
2012-5-11,5475,5497,5475,5490,516
2012-5-12,5492,5497,5490,5495,239
2012-5-14,5492,5492,5455,5455,541
2012-5-15,5426,5465,5405,5455,334
2012-5-16,5447,5451,5438,5440,540
2012-5-17,5445,5445,5375,5375,220
2012-5-18,5375,5405,5375,5375,384
2012-5-21,5380,5425,5380,5425,361
2012-5-22,5421,5427,5400,5427,254
2012-5-23,5427,5427,5406,5410,362
2012-5-24,5464,5465,5450,5464,366
2012-5-25,5456,5456,5450,5451,284
2012-5-28,5450,5460,5450,5460,353
2012-5-29,5465,5467,5465,5467,232
2012-5-30,5460,5461,5455,5461,280
2012-5-31,5350,5465,5350,5448,346
2012-6-1,5455,5455,5375,5450,351
2012-6-4,5447,5447,5385,5385,362
2012-6-5,5433,5445,5433,5440,339
2012-6-6,5450,5460,5450,5460,328
2012-6-7,5450,5510,5450,5510,300
2012-6-8,5495,5510,5485,5501,254
2012-6-9,5490,5510,5490,5510,20
2012-6-13,5510,5510,5500,5503,23
2012-6-14,5500,5500,5485,5499,75
2012-6-15,5488,5495,5488,5495,103
2012-6-18,5498,5498,5495,5498,130
2012-6-19,5491,5492,5480,5490,129
2012-6-20,5480,5496,5480,5496,102
2012-6-21,5500,5785,5500,5785,523
2012-6-22,5790,5800,5785,5800,101
2012-6-25,5750,5800,5750,5760,119
2012-6-26,5755,5860,5755,5860,155
2012-6-27,5860,5875,5760,5875,97
2012-6-28,5801,5872,5801,5872,57
2012-6-29,5825,5850,5825,5850,49
2012-7-2,5830,5830,5751,5820,52
2012-7-3,5770,5910,5770,5910,436
2012-7-4,5905,5905,5899,5905,119
2012-7-5,5894,5897,5850,5870,121
2012-7-6,5860,5862,5860,5860,52
2012-7-9,5850,5930,5850,5850,274
2012-7-10,5830,5900,5825,5835,114
2012-7-11,5890,5890,5826,5860,59
2012-7-12,5831,5831,5820,5825,86
2012-7-13,5835,5841,5830,5839,69
2012-7-16,5839,5920,5760,5920,188
2012-7-17,5921,5923,5836,5906,240
2012-7-18,5826,5910,5826,5910,243
2012-7-19,5900,5950,5900,5900,232
2012-7-20,5890,5906,5890,5906,60
2012-7-23,5885,5885,5825,5825,297
2012-7-24,5892,5950,5820,5880,316
2012-7-25,5870,5910,5863,5910,114
2012-7-26,5920,5987,5895,5987,193
2012-7-27,5960,6030,5960,6030,529
2012-7-30,6037,6120,5980,6080,384
