Date,Open,High,Low,Close,Volume
2007-12-12,43,43,41,41.449,4652
2007-12-13,41.2,41.2,40,40.896,5854
2007-12-14,40.985,42.35,40,41.797,12847
2007-12-17,41.89,43,41.101,41.9,12765
2007-12-18,41.001,42.89,41,41.4,8179
2007-12-19,41.79,42.5,41.351,41.6,8949
2007-12-20,42,42,41.42,41.65,8523
2007-12-21,41.665,41.75,41.14,41.35,5864
2007-12-24,42,42,41.205,41.21,7720
2007-12-25,41.18,41.33,40.66,40.7,6034
2007-12-26,40.69,41,40.6,40.62,1817
2007-12-27,40.5,41.65,40.001,41.35,2890
2007-12-28,41.001,41.3,40.505,40.8,15593
2008-1-9,41.26,41.589,40.713,41.55,3120
2008-1-10,41.55,42.5,41.55,42.34,6524
2008-1-11,42.35,46.55,42.03,46.2,16606
2008-1-14,46.2,46.2,43.56,44.75,18625
2008-1-15,44.775,45.99,44.558,44.6,21401
2008-1-16,44.415,44.5,42.05,43,15297
2008-1-17,42.51,43.499,41.8,42.499,9353
2008-1-18,42.309,43.001,41.44,42,8997
2008-1-21,41.85,41.85,39,40,7390
2008-1-22,38.51,40.7,36,39.7,13270
2008-1-23,40.949,41,38,38,5093
2008-1-24,39.66,40.969,38.7,40.2,4781
2008-1-25,40.95,41.49,40.5,41.4,5385
2008-1-28,40.49,40.49,39.012,40.3,2240
2008-1-29,41.2,41.35,39.61,40.2,3769
2008-1-30,40.195,40.6,39.65,39.998,2101
2008-1-31,40,40,38.25,38.699,6822
2008-2-1,39.487,40.19,39,39.699,3120
2008-2-4,40.5,41,40.2,40.593,2714
2008-2-5,40.598,41.5,39,39.687,8109
2008-2-6,38.9,39.699,38.501,39.6,11878
2008-2-7,39.94,40,38.87,39.46,4110
2008-2-8,39.9,39.9,37.2,38.2,11422
2008-2-11,38.03,38.35,37.504,38.01,6308
2008-2-12,38.46,40.4,38.46,40.277,9085
2008-2-13,40.97,40.97,39.811,40.601,4414
2008-2-14,40.995,41.15,39.495,40,3212
2008-2-15,39.01,40,38.894,39.75,8007
2008-2-18,40.65,40.77,39.45,40,3560
2008-2-19,40,40.77,39.52,39.95,1965
2008-2-20,40,40.37,39.5,39.9,915
2008-2-21,40.5,40.575,39.15,39.6,10013
2008-2-22,39.6,39.6,38.601,39.595,1464
2008-2-26,39.595,39.85,39.1,39.5,1293
2008-2-27,39.52,39.52,38.614,39,2938
2008-2-28,38.502,38.942,38.16,38.7,1523
2008-2-29,39.299,39.299,38.2,38.2,1507
2008-3-3,38,38.3,37.151,38,13712
2008-3-4,38,38.301,37.77,38.075,3265
2008-3-5,38.69,39.006,37.91,37.95,1189
2008-3-6,38.02,38.299,37.507,38.225,1134
2008-3-7,37.99,38.295,37.253,37.3,2235
2008-3-11,37.11,38.1,36.55,37,4486
2008-3-12,37.111,37.797,36.551,36.697,4229
2008-3-13,36.7,37.7,36.5,36.75,4500
2008-3-14,36.71,37.595,36.672,37.313,3491
2008-3-17,36.6,36.9,35.501,35.522,3164
2008-3-18,35.987,36.75,35,35.2,2981
2008-3-19,35.878,36.099,34.08,34.745,3270
2008-3-20,34.79,34.9,33.511,34.4,2643
2008-3-21,34.765,35.327,34.2,34.2,3251
2008-3-24,33.55,34.85,33.55,34.85,1042
2008-3-25,34.413,35.03,34.012,34.2,2037
2008-3-26,34.548,34.548,33.561,33.6,2285
2008-3-27,33.85,34.193,33.8,34,509
2008-3-28,34.363,34.363,33.334,33.95,3901
2008-3-31,34,34,33.688,33.75,965
2008-4-1,34.095,34.146,33.602,33.8,3293
2008-4-2,34.27,34.45,33.89,33.909,3058
2008-4-3,33.978,35.323,33.6,33.66,5804
2008-4-4,33.967,34.198,33.604,33.8,4715
2008-4-7,34.5,34.5,33.6,34.2,2861
2008-4-8,34.4,34.99,33.669,33.669,6674
2008-4-9,33.8,33.8,33.35,33.512,4138
2008-4-10,33.41,33.519,33.35,33.41,1031
2008-4-11,33.739,33.75,33.402,33.5,1651
2008-4-14,33.333,33.849,32.801,32.881,2499
2008-4-15,33,33.698,32.9,33,3046
2008-4-16,33.33,33.8,33.33,33.375,4243
2008-4-17,33.081,33.081,31.8,32,8183
2008-4-18,32.118,32.5,31.5,32.385,3797
2008-4-21,32.385,32.58,31.781,32.45,2156
2008-4-22,32.764,32.843,31.472,31.984,3215
2008-4-23,32.118,32.199,31.549,31.656,6574
2008-4-24,31.95,32.19,31.5,31.62,1895
2008-4-25,31.863,31.863,31.01,31.38,4275
2008-4-28,31.031,31.658,30.003,31.36,3430
2008-4-29,31.213,31.94,31.213,31.79,662
2008-4-30,31.79,31.79,30.914,31.5,5818
2008-5-4,32.3,32.3,31.95,32.2,999
2008-5-5,32.01,32.01,31.537,32,2196
2008-5-6,31.601,32.25,31.53,31.65,11538
2008-5-7,31.543,31.99,31.362,31.7,3076
2008-5-8,31.51,31.749,31.377,31.6,5326
2008-5-12,32,32.6,31.61,31.898,7164
2008-5-13,32.245,32.4,31.133,31.94,6255
2008-5-14,32.2,34.3,32.12,33.3,24098
2008-5-15,33.59,34.498,32.9,32.96,23607
2008-5-16,33.35,33.499,33.1,33.3,5881
2008-5-19,33.399,33.79,33.3,33.77,3304
2008-5-20,33.889,34.1,33.33,33.333,4862
2008-5-21,33.29,33.84,33.11,33.5,6715
2008-5-22,33.699,34,33.35,33.98,7365
2008-5-23,34.25,34.25,33.33,33.75,1619
2008-5-26,33.45,33.8,33.4,33.5,1006
2008-5-27,34.094,34.094,32.69,32.8,2833
2008-5-28,32.998,34.95,32.998,34.5,13297
2008-5-29,34.975,34.975,34.1,34.495,6022
2008-5-30,34.3,36.49,34.299,35.807,40275
2008-6-2,35.35,36.5,34.11,34.9,6810
2008-6-3,34.899,35.35,34.521,34.9,6037
2008-6-4,34.66,34.85,33.68,33.8,5113
2008-6-5,33.71,34.7,33.5,34.4,12110
2008-6-6,34.451,35.476,34.451,35.2,3825
2008-6-7,34.9,36,34.461,35.799,9361
2008-6-9,35.675,36.789,35.022,36.5,6111
2008-6-10,36.01,36.7,35.5,36.029,2519
2008-6-11,35.805,36.4,35.805,36.1,1212
2008-6-16,36.3,36.3,35.9,36.188,2035
2008-6-17,36,36.49,35.96,36.4,3093
2008-6-18,36.4,36.5,36,36.023,2371
2008-6-19,36.297,36.297,35.33,35.57,3293
2008-6-20,35.6,35.7,35,35.055,1369
2008-6-23,35.055,35.494,33.801,34.007,4541
2008-6-24,34.324,34.324,33.3,33.607,4066
