Date,Open,High,Low,Close,Volume
2006-6-28,45.95,46.3,45.67,46.03,4585
2006-6-29,46,47.4,45.71,47.1,4515
2006-6-30,47.5,48.55,47.13,47.85,4617
2006-7-3,48,48.55,46.99,48.49,5072
2006-7-4,48.4,48.85,47.99,48.69,3517
2006-7-5,48.7,50,47.01,49,5774
2006-7-6,48.8,49.89,48.1,49.5,4544
2006-7-7,49.87,51.8,49,49.6,4962
2006-7-10,49.67,49.95,49.13,49.71,3259
2006-7-11,49.71,49.71,48.33,48.79,4585
2006-7-12,49.19,49.19,48.05,48.5,3767
2006-7-13,48.01,48.97,46,46.72,5370
2006-7-14,46,47.83,45,46.3,4741
2006-7-17,46.3,47.69,45.65,46.5,4552
2006-7-18,47.08,47.83,46.87,47.21,4627
2006-7-19,46.94,47.5,46.51,47.49,4699
2006-7-20,47.6,49.4,47.48,48.44,5009
2006-7-21,48.89,49.38,48,48.64,4392
2006-7-24,48.96,49.22,48.77,49.1,3724
2006-7-25,49.28,49.3,48.91,49.2,4379
2006-7-26,49.02,49.45,48.65,49.18,4310
2006-7-27,49.45,49.98,49.25,49.94,4513
2006-7-28,50.74,50.74,49.42,49.97,4725
2006-7-31,49.99,51.8,49.9,50.01,5052
2006-8-1,51.53,51.53,49.8,50.26,4718
2006-8-2,50.49,50.49,49.05,50.1,4372
2006-8-3,50.37,52.12,50,50.49,4688
2006-8-4,50.55,50.6,49.5,50.13,4921
2006-8-7,50.36,50.49,49.99,50.14,4494
2006-8-8,50.45,50.46,49.8,49.8,5087
2006-8-9,49.98,50.3,49.77,50.3,4912
2006-8-10,50.49,50.49,49.36,49.9,5419
2006-8-11,50.43,51.67,50.19,51.49,5982
2006-8-14,51.27,56,51.25,54.5,6556
2006-8-15,54.64,57.89,54.5,56.9,8152
2006-8-16,56.41,60.99,56.36,60,9466
2006-8-17,61.45,62.5,58.02,58.58,9831
2006-8-18,58.91,59.04,54.5,54.6,7198
2006-8-21,55.46,59.95,55.01,58.89,7480
2006-8-22,58.79,59.79,58,58.67,5067
2006-8-23,58.01,59,58.01,58.4,3158
2006-8-24,58.3,58.83,56.77,58.55,4945
2006-8-25,58.69,58.72,57.51,57.9,5699
2006-8-28,57.68,58.36,57.67,58,4682
2006-8-29,58.24,59,58,58.03,4783
2006-8-30,58.48,58.77,58.1,58.36,4411
2006-8-31,58.55,61.89,58.55,61,6158
2006-9-1,61.01,61.89,59,60.29,5355
2006-9-4,58.39,61.16,58.39,60,3179
2006-9-5,60.23,60.4,58.53,60,4932
2006-9-6,59.99,60.45,59.8,60.2,4218
2006-9-7,59.63,60.22,58.57,59.8,5607
2006-9-8,59.75,60.54,58.8,60.01,4873
2006-9-11,60.8,60.8,58.51,59.05,3470
2006-9-12,59.28,60.57,59.28,60.01,5044
2006-9-13,60.5,63.5,60.2,62.83,11241
2006-9-14,63,63.59,62.28,63.35,3863
2006-9-15,63.2,64.5,62,63.96,2175
2006-9-18,64.43,64.46,63.01,64.39,3580
2006-9-19,64.2,64.2,63.25,64.02,1549
2006-9-20,63.52,63.55,62.51,62.75,1689
2006-9-21,63,63.18,62.4,62.4,3129
2006-9-22,62.23,62.6,60.71,60.8,3141
2006-9-25,59.11,60.35,57.97,59.3,834
2006-9-26,58.85,62,58.85,60.97,798
2006-9-27,62.18,62.24,60.26,61.48,626
2006-9-28,61.73,62.19,60.2,61.25,969
