Date,Open,High,Low,Close,Volume
2014-12-1,320,320,320,320,400
2014-12-2,305,305,305,305,10000
2014-12-4,330,330,330,330,10000
2014-12-10,350,350,350,350,30
2014-12-11,212.2,212.2,212.2,212.2,1
2014-12-19,330,447,330,350,6324
2014-12-22,300,380,290,290,7764
2014-12-23,290,290,290,290,1046
2014-12-25,285,285,280,280,1351
2014-12-26,280,285,270.55,271,21007
2014-12-29,280,280,280,280,1
2014-12-30,290,310,280,280,4602
2015-1-5,321,350,280,280,12
2015-1-6,320,340,295,310,381
2015-1-8,300,360,285,335,579
2015-1-9,300,345,300,306,30
2015-1-12,290.1,303,290.1,303,9
2015-1-13,290.15,324.9,290.15,319.95,26
2015-1-14,324.95,334.95,295,315,67
2015-1-15,300.05,320,300.05,305,304
2015-1-16,305.1,314.95,305.1,308,571
2015-1-20,315,315,300.05,310,1032
2015-1-21,295,320,295,320,5101
2015-1-22,320,330,317.5,320,4484
2015-1-23,324.95,324.95,324.95,324.95,1
2015-1-26,320,320,312,320,14980
2015-1-27,340,344.95,312,330,48
2015-1-28,340,340,340,340,1
2015-1-30,335,335,335,335,2
2015-2-5,369,369,369,369,1
2015-2-6,369,377,330,377,32219
2015-2-9,379.95,379.95,360.25,379.9,17
2015-2-10,370,380,370,380,129
2015-2-11,380,389.95,380,380,83
2015-2-12,389.9,394.95,389.9,389.95,43
2015-2-13,389.95,395,389.95,395,121
2015-2-16,404.45,410,376,405,622
2015-2-17,405,405,405,405,1
2015-2-18,390,390,376,385,2867
2015-2-19,380.05,385,380,380,574
2015-2-20,384.95,384.95,384.95,384.95,10
2015-2-25,380.15,380.15,370,370,81
2015-2-26,379.95,380,379.95,380,97
2015-3-2,375,375,375,375,103
2015-3-3,381,385.05,379.95,380,5608
2015-3-4,380,380,380,380,19
2015-3-5,370.05,370.05,370,370,10
2015-3-6,379.9,379.95,379.9,379.95,93
2015-3-10,389.9,389.9,365.1,379.5,1051
2015-3-11,360.2,374.9,355.1,374.9,37
2015-3-12,360,369.95,355.05,369.95,28
2015-3-13,355.1,369.95,355.1,369.95,2
2015-3-16,356.05,374.95,355.05,369.95,40
2015-3-17,370,370,370,370,50
2015-3-18,370,370,370,370,31
2015-3-20,370,370,370,370,1
2015-3-25,354.95,354.95,354.95,354.95,100
2015-3-26,349.95,349.95,331.05,349.95,130
2015-3-30,350.05,354.95,349.95,354.95,1100
2015-3-31,350,350,349.95,349.95,122
2015-4-1,359.95,359.95,350,350,577
2015-4-2,340.15,354.9,340.15,354.9,11
2015-4-6,338.05,379.95,338,379.95,101
2015-4-7,365,365,348.9,349.85,2471
2015-4-9,364.95,375,340,375,2671
2015-4-10,370,384.95,360.05,377.15,355
2015-4-13,360.1,384,360.1,380,152
2015-4-14,371,384.95,371,384.95,164
2015-4-15,365.05,405,365.05,405,1486
2015-4-16,390,390,375,389.95,4026
2015-4-17,374.95,380,360.4,380,1675
2015-4-20,409.95,434.95,376,413,1637
2015-4-21,425,444.95,399.4,444.95,3553
2015-4-22,429.5,429.5,410.05,410.05,10
2015-4-23,405,405,390,405,1078
2015-4-24,430,434.9,419.95,419.95,123
2015-4-28,430,444.95,425.05,429.75,204
2015-4-29,441,444.95,400.35,424.95,814
2015-4-30,444.4,454.95,381,454.95,1243
2015-5-5,447,448,434,447,31
2015-5-6,443,443,418,419,22
2015-5-7,424,424,424,424,1
2015-5-8,424,424,403,419,923
2015-5-12,433,434,431,431,14
2015-5-13,440,440,436,439,12
2015-5-14,444,444,443,443,12
2015-5-15,443,444,443,444,135
2015-5-18,434,465,401,429,2218
2015-5-25,401,444,401,434,1307
2015-5-26,460,475,436,436,5260
2015-5-27,443,454,443,444,687
2015-5-28,444,454,444,454,132
2015-5-29,449,449,448,448,35
2015-6-1,459,463,459,463,17
2015-6-2,460,475,460,473,160
2015-6-3,475,475,460,460,166
2015-6-4,479,479,470,470,54
2015-6-5,474,474,474,474,5
2015-6-8,470,474,470,474,24
2015-6-9,468,479,468,471,88
2015-6-11,464,483,463,466,42
2015-6-15,455,474,455,474,883
2015-6-16,425,494,420,480,1922
2015-6-17,492,493,492,493,110
2015-6-18,471,493,470,475,636
2015-6-22,493,493,493,493,29
2015-6-23,490,490,490,490,3
2015-6-25,425,484,425,435,62
2015-6-26,436,477,436,477,5
2015-6-29,480,480,480,480,4
2015-6-30,463,475,463,463,218
2015-7-1,461,475,461,475,2
2015-7-2,479,488,475,488,45
2015-7-3,479,479,479,479,86
2015-7-6,479,479,479,479,101
2015-7-7,464,509,464,509,427
2015-7-8,475,495,471,494,412
2015-7-9,494,495,477,495,11
2015-7-10,494,495,481,495,211
2015-7-13,489,489,489,489,104
2015-7-14,495,495,485,494,76
2015-7-15,494,494,494,494,12
2015-7-16,489,489,489,489,35
2015-7-17,494,494,472,491,13988
2015-7-20,495,495,490,490,2137
2015-7-21,472,491,472,490,1224
2015-7-22,474,491,474,490,4006
2015-7-23,471,509,471,509,600
2015-7-24,500,507,500,500,4064
2015-7-27,509,509,500,500,119
2015-7-28,518,524,515,515,1136
2015-7-29,515,515,500,515,184
2015-7-30,515,515,515,515,20
2015-7-31,515,529,515,529,100
2015-8-3,529,539,525,539,56
2015-8-4,550,550,550,550,1
2015-8-5,589,589,560,589,428
2015-8-6,589,639,589,609,331
2015-8-7,636,636,600,625,365
2015-8-10,630,630,521,560,950
2015-8-11,579,595,520,539,4156
2015-8-12,548,548,515,515,1597
2015-8-13,518,600,518,520,15300
2015-8-14,522,565,520,524,7198
2015-8-17,530,565,525,560,3466
2015-8-18,531,565,531,565,3593
2015-8-19,565,565,537,539,1068
2015-8-20,544,564,515,531,1550
2015-8-21,544,544,522,540,552
2015-8-24,544,560,506,534,2706
2015-8-25,537,585,537,550,12082
2015-8-26,541,559,540,553,2351
2015-8-27,554,554,531,539,3976
2015-8-28,539,540,532,540,1616
2015-8-31,530,580,530,554,13124
2015-9-1,554,574,548,558,13117
2015-9-2,555,559,546,557,788
2015-9-3,555,563,548,550,1066
2015-9-4,561,569,550,567,7297
2015-9-7,565,585,565,584,5704
2015-9-8,580,585,560,585,9281
2015-9-9,590,598,575,577,22787
2015-9-10,577,610,577,590,4461
2015-9-11,593,599,570,584,963
2015-9-14,595,614,578,589,1319
2015-9-15,585,606,580,582,3492
2015-9-16,593,594,570,570,2131
2015-9-17,575,589,563,575,2159
2015-9-18,590,590,565,570,2933
2015-9-21,577,590,561,566,2650
2015-9-22,577,579,562,569,633
2015-9-23,563,575,553,565,1993
2015-9-24,571,575,551,562,2938
