Date,Open,High,Low,Close,Volume
2006-10-20,652,834.93,652,834.93,18
2006-10-23,834.93,834.93,834.93,834.93,10
2006-10-24,834.93,1160,750,801,1027
2006-10-25,810,950,700,765,2503
2006-10-26,790,790,720,735,1333
2006-10-27,755,776,721,750,2439
2006-10-30,775,784,711.1,711.1,392
2006-10-31,747,762,732,748,176
2006-11-1,750,750,721,730,1204
2006-11-2,732.9,733,723.01,723.01,94
2006-11-3,734.99,739.9,715,734.99,467
2006-11-7,733,744.35,722.02,744,493
2006-11-8,735,735,709.99,719,3431
2006-11-9,710.1,727,710.1,726,1754
2006-11-10,729,731.89,719,720,2162
2006-11-13,729,730.2,720.25,720.25,2567
2006-11-14,726.8,734.99,722.5,725,7046
2006-11-15,730,730,719,725,694
2006-11-16,722,723.89,721,722,762
2006-11-17,717.82,720,713.5,718.99,945
2006-11-20,727,727,713.01,717,339
2006-11-21,716.01,717,714,715.11,492
2006-11-22,714,715.5,712,715.5,700
2006-11-23,715,720,715,720,2268
2006-11-24,720,720,711.5,711.5,5315
2006-11-27,712.1,718,710,711,1875
2006-11-28,717.69,720,711,712,1639
2006-11-29,717,720,712,717,51
2006-11-30,717.69,740,713.1,733,626
2006-12-1,725,732,725,732,1641
2006-12-4,725,741,725,741,2334
2006-12-5,742,760,733,746,2236
2006-12-6,760,765,744,760,2344
2006-12-7,763,781,763,774,7452
2006-12-8,770.3,770.3,760,760,3554
2006-12-11,772,773,742,765,801
2006-12-12,760.01,767,760.01,761.1,618
2006-12-13,760,760,720,757,1430
2006-12-14,731.5,755,731,755,15
2006-12-15,750,767,750,764.99,635
2006-12-18,765.51,765.51,745.5,750,822
2006-12-19,750.01,763,740,759,2619
2006-12-20,760,769,750,759.99,1594
2006-12-21,750,750,735,748.01,3006
2006-12-22,745,745,730,735,851
2006-12-25,736,748,733.5,745,2682
2006-12-26,740,754,740,754,649
2006-12-27,755,766,755,763,990
2006-12-28,765,788,763,763,3230
2006-12-29,770,771.99,766,770,13384
2007-1-9,770,780,747.01,755,514
2007-1-10,764,764,739.9,762.9,606
2007-1-11,760,785,743.02,785,1194
2007-1-12,750,760,748.5,752,1798
2007-1-15,753,779,750,769.61,4247
2007-1-16,769.61,772,757,770,1131
2007-1-17,770,784,739,759,11394
2007-1-18,765,765,739.99,743,7349
2007-1-19,749.99,750,733,748,2056
2007-1-22,747,750,738,740,1496
2007-1-23,755,755,740,740,877
2007-1-24,757,757,739.51,740,2425
2007-1-25,747,760,745,750,2052
2007-1-26,746.5,753,746.5,749.9,277
2007-1-29,747,750,741,741,5937
2007-1-30,741.33,743.9,721.26,721.26,3667
2007-1-31,722.01,740,721,730,7410
2007-2-1,733,738,731,738,2874
2007-2-2,737.98,738,729,732,1770
2007-2-5,738,744.1,727.5,727.5,1260
2007-2-6,730,733.19,726.1,727.5,2556
2007-2-7,727,733.19,724,725,2283
2007-2-8,729.99,733.1,720.15,720.16,1416
2007-2-9,724,730,722,722,895
2007-2-12,723,723,719.01,719.01,2083
2007-2-13,715,727.32,714.01,718,3971
2007-2-14,719,719,714.1,715.98,2724
2007-2-15,719,720,713,716,3192
2007-2-16,713,715,712.51,713.6,2510
2007-2-19,717,717,700,704,9611
2007-2-20,704,706.7,695.99,698.01,4050
2007-2-21,691.02,702,687,699,1167
2007-2-22,703.5,703.5,696.22,701,1189
2007-2-26,701,702,698,701.11,2328
2007-2-27,701.5,701.99,689,690,2585
2007-2-28,690,692,665.01,688,2244
2007-3-1,675,690,655,669.99,1307
2007-3-2,660,674.9,660,674.9,140
2007-3-5,655,672,635,650,2808
2007-3-6,654.97,663.99,640,644,3493
2007-3-7,655,655,645.02,649,124
2007-3-9,654,663,648.05,660,2340
2007-3-12,662,662,649,655,6624
2007-3-13,655,655,630,651.1,1877
2007-3-14,635,645,616,643,1204
2007-3-15,650,650,631.01,650,3211
2007-3-16,641,654,641,650,499
2007-3-19,652,657,646,651,1302
2007-3-20,656,691.4,645,645,1436
2007-3-21,650,651,646,650,589
2007-3-22,654,654,646.99,651.98,1570
2007-3-23,650.05,655.99,647.5,651.8,697
2007-3-26,650,653.96,648.1,651.7,4169
2007-3-27,650.54,652,647,647,1397
2007-3-28,658,660,645,655,6392
2007-3-29,646.5,650,642,650,5348
2007-3-30,650,650,646.02,649.5,556
2007-4-2,650,650,646,646,619
2007-4-3,649.5,649.5,635,635.38,13712
2007-4-4,639.99,640,625.01,630,1388
2007-4-5,629,634,621,632,1187
2007-4-6,632,640,632,637,3616
2007-4-9,636.05,650,636.01,649,4673
2007-4-10,645.75,645.75,636,645,1663
2007-4-11,641.3,643.5,640,643.5,1008
2007-4-12,644.19,647.8,640,644.82,2446
2007-4-13,643,647.35,640.01,643,528
2007-4-16,643,646,640,641,3066
2007-4-17,648.7,648.7,619.99,622,2772
2007-4-18,625,626,620,620,1464
2007-4-19,617,617,600.05,615,2118
2007-4-20,625.5,632.99,617,620.01,2615
2007-4-23,620,621,615.5,617.99,2694
2007-4-24,620,620,610.83,615,3245
2007-4-25,610.01,620,610,616.99,12028
2007-4-26,617,617,607,608,1902
2007-4-27,608.09,610,602.02,602.02,645
2007-4-28,600.08,607.96,600.01,605,514
2007-5-2,607.77,613.98,605,610,1912
2007-5-3,610,615,607.03,610,1862
2007-5-4,610,622.2,607.35,609,1475
2007-5-7,610,644,609,638.5,3243
2007-5-8,638.7,654,625.2,634.9,2854
2007-5-10,640,640.99,613,619,1396
2007-5-11,625,630.01,614,619.89,2386
2007-5-14,612.5,620,604.01,609,2702
2007-5-15,609,611,605.01,608,295
2007-5-16,609,609,603,603.05,1335
2007-5-17,608,609,600,603,3262
2007-5-18,603.01,606,598,603.88,1535
2007-5-21,605,611,604.51,606,9359
2007-5-22,604.02,606,602.5,603.1,1106
2007-5-23,603.1,604.96,600,602.97,1075
2007-5-24,599.89,601.98,595.01,601,957
2007-5-25,598,600,594.5,597,240
2007-5-28,600,601.97,591,596.2,899
2007-5-29,599.99,600,594,594,4666
2007-5-30,599,604.39,580,594.49,1172
2007-5-31,594,600,585,600,586
2007-6-1,599.56,600,588,600,667
2007-6-4,598,598,590,595.5,1121
2007-6-5,598,598,592.5,592.5,196
2007-6-6,597,605,591,600,1381
2007-6-7,604,610,595,595,190
2007-6-8,594,597.5,593,597.5,263
2007-6-9,598,614,595.9,596,475
2007-6-13,596,597,593,596.99,137
2007-6-14,597,606,594.11,597,380
2007-6-15,599,599.99,593,597,593
2007-6-18,597,597,593,595,317
2007-6-19,597,599.95,595,597,4246
2007-6-20,598,598,593,595,6110
2007-6-21,595,598,594,595,2981
2007-6-22,594.99,596,593.5,594,2578
2007-6-25,594,599,590,599,6887
2007-6-26,595.5,611.98,595.5,605.25,1843
2007-6-27,601.9,609.9,601.9,609.9,360
2007-6-28,614,615,605,609.98,622
2007-6-29,609.98,613.99,606,607,6264
2007-7-2,605,610,601,607,255
2007-7-3,605,615,605,613,3521
