Date,Open,High,Low,Close,Volume
2012-5-21,20,20,20,20,60
2012-5-22,20,20,20,20,30
2012-5-24,20.005,20.005,20.002,20.002,100
2012-5-28,20.001,20.001,20.001,20.001,80
2012-6-26,20.001,20.001,20.001,20.001,2561
2012-8-14,20.006,20.006,20.006,20.006,2000
2012-8-17,20.006,20.006,20.006,20.006,831
2012-8-28,20.003,20.003,19.998,19.998,200
2012-9-13,20,20,20,20,200
2012-11-9,20,20,20,20,100
2012-11-15,20.005,20.005,20.005,20.005,100
2012-11-16,20,20,20,20,31
2012-11-22,20,20,20,20,100
2012-11-28,19.997,19.997,19.997,19.997,100
2012-11-29,19.998,19.998,19.998,19.998,70
2012-12-13,20,20,20,20,131
2012-12-25,22,22,22,22,1900
2013-2-12,20,20.8,20,20.8,40
2013-2-13,20.5,20.5,20.5,20.5,60
2013-3-13,20.2,20.2,20.2,20.2,130
2013-3-14,20.2,20.2,20.2,20.2,23
2013-3-20,20.2,20.2,20.2,20.2,100
2013-3-22,20.15,20.15,20.15,20.15,450
2013-5-29,20.17,20.17,20.17,20.17,15
2013-5-31,20.18,20.18,20.18,20.18,300
2013-6-10,20.18,20.18,20.18,20.18,315
2013-6-21,20.2,20.2,20.2,20.2,171
2013-6-25,20.1,20.2,20.1,20.2,60
2013-7-24,20.11,20.11,20.11,20.11,100
2013-9-20,20.14,20.15,20.14,20.15,508
2013-9-27,20.13,20.13,20.13,20.13,21
2013-10-23,20.11,20.12,20.11,20.12,39
2013-11-14,20.604,20.604,20.604,20.604,39
2013-12-3,21.6,21.6,21.5,21.5,221
2013-12-17,20.3,20.3,20.3,20.3,171
2014-1-31,20.45,20.45,20.45,20.45,171
2014-2-11,21.156,21.16,21.156,21.16,142
2014-3-31,21.15,21.15,21.15,21.15,574
2014-5-5,21.15,21.15,21.15,21.15,2115
2014-6-25,21.2,21.21,21.2,21.21,200
2014-7-28,21.09,21.1,21.09,21.1,75
2014-9-23,21.43,21.5,21.43,21.5,75
2014-11-28,20.9,21,20.9,21,125
2015-1-29,21.2,21.2,21,21,30
2015-2-25,20.5,20.5,20.5,20.5,55
2015-2-26,20,20,20,20,40
2015-4-30,20.5,20.5,20.5,20.5,211
2015-6-30,20,20,20,20,210
2015-9-17,20.1,20.4,20.1,20.4,166
2015-9-22,20.5,20.5,20.5,20.5,100
2016-6-14,20.5,20.5,20.5,20.5,100
2016-10-20,20.5,20.5,20.5,20.5,2
2016-10-21,25.1,25.1,25.1,25.1,1
2016-10-25,25.1,27.5,25.1,27.4,9
2016-10-26,32,32,32,32,1
2016-10-27,29.2,44.6,23.5,30,10
2016-10-28,41.8,41.9,25.8,30,15
2016-10-31,41.9,41.9,30,39,13
2016-11-1,41,42.4,40.1,41.3,4
2016-11-2,35.2,43.4,35.2,42.3,4
2016-11-7,36,36.9,36,36.9,2
2016-11-8,36,36,29.6,30.6,3
2016-11-9,31.7,31.7,31.7,31.7,1
2016-11-11,28,28.6,28,28.6,2
2016-11-14,28,28,28,28,1
2016-11-15,24.1,37,20.4,37,18
2016-11-16,31.5,44,31,37.4,20
2016-11-17,36.3,37.4,36.3,37.4,2
