Date,Open,High,Low,Close,Volume
2011-12-29,32500,32550,32500,32550,2
2012-1-12,35000,39000,35000,38500,30
2012-1-13,38500,38500,35000,38500,24
2012-1-16,38500,38500,35750,38500,28
2012-1-17,38500,38500,38500,38500,6
2012-1-19,38500,38500,38500,38500,1
2012-1-20,38499,38499,38499,38499,2
2012-1-23,34000,36999,34000,34300,5
2012-1-24,34401,34401,34401,34401,1
2012-1-31,36000,36500,36000,36500,2
2012-2-2,38500,38500,38500,38500,1
2012-2-3,38500,41000,38500,40750,14
2012-2-6,37001,37001,37000,37000,6
2012-2-7,38499,38499,38499,38499,1
2012-2-13,37777,37777,37777,37777,1
2012-2-14,40500,40500,40500,40500,5
2012-2-15,41500,41500,41500,41500,2
2012-2-16,40400,40400,40400,40400,4
2012-2-17,41499,41500,41499,41500,5
2012-2-24,41500,41500,41500,41500,5
2012-2-27,42000,42000,42000,42000,3
2012-3-5,45000,46000,45000,46000,3
2012-3-6,46000,46000,46000,46000,1
2012-3-11,46000,46000,46000,46000,1
2012-3-15,46000,46000,46000,46000,1
2012-3-16,45501,47000,45500,47000,5
2012-3-20,42000,46000,42000,46000,3
2012-3-27,44000,44000,44000,44000,5
2012-4-3,46200,46200,46150,46150,3
2012-4-4,48001,49000,48001,48001,5
2012-4-6,44000,44000,44000,44000,2
2012-4-11,49000,49000,48926,48926,4
2012-4-12,50000,50000,50000,50000,1
2012-4-17,50000,51000,50000,51000,2
2012-4-18,52000,53000,52000,53000,5
2012-4-19,53000,54000,53000,54000,3
2012-5-2,52500,52500,52500,52500,1
2012-5-3,54000,54000,54000,54000,1
2012-5-4,53000,53000,53000,53000,1
2012-5-5,53500,53500,53500,53500,1
2012-5-11,50001,52000,50000,51000,72
2012-5-14,53000,53000,53000,53000,1
2012-5-30,50000,50000,50000,50000,2
2012-5-31,55000,57000,55000,57000,3
2012-6-13,56000,56000,56000,56000,1
2012-6-29,51501,51501,51501,51501,1
2012-7-3,57000,57000,57000,57000,3
2012-7-5,59000,59000,59000,59000,1
2012-7-9,55000,55000,53000,53000,6
2012-7-10,57999,57999,57999,57999,1
2012-7-12,55000,55000,54000,54000,3
2012-7-23,55008,55008,52000,52045,39
2012-7-24,50001,54504,50001,54504,4
2012-7-26,53000,53000,53000,53000,1
2012-7-30,57000,57000,57000,57000,1
2012-7-31,53000,53850,50004,53850,16
2012-8-2,53000,54000,52000,52000,20
2012-8-3,54000,54000,54000,54000,5
2012-8-6,54150,56000,54000,54000,7
2012-8-7,54999,55898,53900,55898,10
2012-8-9,56900,57000,56900,57000,5
2012-8-10,57000,58500,57000,58500,4
2012-8-13,53250,58000,53250,57999,4
2012-8-15,54000,55000,53100,53101,26
2012-8-20,53000,53000,52000,52000,2
2012-8-21,50226,53000,50200,52000,13
2012-8-22,53999,53999,53999,53999,1
2012-8-23,53999,54000,53999,54000,9
2012-8-27,54000,54000,54000,54000,1
2012-8-28,54000,54000,54000,54000,4
2012-8-30,53000,53000,53000,53000,5
2012-9-3,57000,57000,55001,55001,2
2012-9-13,55000,55000,55000,55000,2
2012-9-14,55990,55990,55990,55990,2
2012-9-18,56000,56000,53251,54200,3
2012-9-26,55000,55000,55000,55000,10
2012-9-27,55000,55000,55000,55000,2
2012-10-5,55500,56500,55500,56500,10
2012-10-15,53200,56000,53200,56000,29
2012-10-18,57000,57000,57000,57000,6
2012-10-23,57000,57000,57000,57000,1
2012-10-25,57000,57000,57000,57000,2
2012-10-26,57000,58000,57000,58000,2
2012-10-29,58000,58000,58000,58000,1
2012-10-31,58000,58000,57000,58000,6
2012-11-1,59000,59000,59000,59000,1
2012-11-6,59000,60000,59000,60000,7
2012-11-7,57000,57800,53800,53800,20
2012-11-8,50000,50000,50000,50000,1
2012-11-9,52000,53112,52000,53112,4
2012-11-12,52000,52000,50622,50622,10
