Date,Open,High,Low,Close,Volume
2011-11-29,35,40.609,35,39,192
2011-11-30,48.32,54.6,42,54.6,768
2011-12-1,64.5,76.44,64.5,76.44,119
2011-12-2,103.558,107.016,45.864,45.864,18987
2011-12-5,38,41.985,36.7,37.1,15522
2011-12-6,37,37.1,34.75,34.8,8311
2011-12-7,34.701,36,34.501,35.3,4677
2011-12-8,35.3,35.55,34.75,35.55,1814
2011-12-9,34.999,35.24,34.2,34.575,6318
2011-12-12,34.304,34.797,33.3,33.49,2258
2011-12-13,33.003,34,30.501,33.9,6655
2011-12-14,33.033,34,32.62,34,1042
2011-12-15,33.3,33.5,32.03,33.208,3586
2011-12-16,33.1,33.1,31.757,32.198,1344
2011-12-19,32.157,32.157,30.71,31.71,1335
2011-12-20,31.02,31.499,30.351,31.347,1505
2011-12-21,31.287,31.998,30.55,31.049,2368
2011-12-22,31,31,30.353,30.657,1077
2011-12-23,30.885,30.9,30.3,30.301,1494
2011-12-26,30.013,30.495,30.012,30.347,1819
2011-12-27,30.051,30.3,30,30.1,184
2011-12-28,30.379,30.4,30,30.111,5954
2011-12-29,30.021,30.548,29.4,30.548,4049
2011-12-30,30.48,31,30.48,31,5720
2012-1-3,31,31,30.354,30.99,1439
2012-1-4,30.711,31.384,30.6,31,416
2012-1-5,30.998,31,29.4,29.95,3143
2012-1-6,30.349,30.349,29.7,30.093,447
2012-1-9,30.048,30.083,29.8,30.07,202
2012-1-10,30.6,30.6,30.1,30.44,1803
2012-1-11,30.649,30.649,30.104,30.112,819
2012-1-12,30.106,30.75,29.702,30.699,2647
2012-1-13,30.501,30.75,30.135,30.4,251
2012-1-16,30.479,30.479,29.561,30.15,1064
2012-1-17,30.15,30.47,29.799,29.9,4081
2012-1-18,29.851,29.95,29.7,29.8,2017
2012-1-19,29.8,29.9,29.74,29.85,4407
2012-1-20,30,30.5,29.701,30.2,16402
2012-1-23,30.25,30.375,30,30.12,4723
2012-1-24,30.02,30.143,29.85,29.9,3090
2012-1-25,29.901,30,29.811,29.94,1005
2012-1-26,29.999,30.179,29.921,29.996,2509
2012-1-27,29.996,30.1,29.811,29.92,1628
2012-1-30,29.83,29.99,29.33,29.5,3472
2012-1-31,29.798,29.85,29.55,29.8,7377
2012-2-1,29.8,30.099,29.8,30.05,6496
2012-2-2,30.06,32.79,29.95,32.425,33671
2012-2-3,32.45,32.5,31.6,31.85,4114
2012-2-6,31.91,31.91,31.35,31.6,4242
2012-2-7,31.65,33.215,31.561,33.215,49427
2012-2-8,33.001,33.879,32.82,33.8,47539
2012-2-9,33.994,33.994,32.201,32.849,5388
2012-2-10,32.799,32.799,32.025,32.2,4917
2012-2-13,32.689,33.45,32.3,33.3,15839
2012-2-14,33.4,33.94,33.35,33.475,9552
2012-2-15,33.85,33.95,33.5,33.57,4752
2012-2-16,33.475,33.57,33.008,33.248,2193
2012-2-17,33.309,33.55,33.25,33.251,2658
2012-2-20,33.305,33.5,33.22,33.45,1561
2012-2-21,33.4,33.5,33.156,33.4,1933
2012-2-22,33.399,33.6,32.301,32.802,2732
2012-2-24,32.667,33.33,32.52,32.8,6259
2012-2-27,32.624,32.9,32.362,32.418,12000
2012-2-28,32.4,32.4,31.11,31.7,3307
2012-2-29,32.454,32.454,31.55,32.109,4795
2012-3-1,31.951,32.929,31.712,32.86,17795
2012-3-2,33.1,33.333,32.43,32.5,5912
2012-3-5,32.35,32.55,31.8,32.399,7030
2012-3-6,32.106,32.5,31.2,31.2,3555
2012-3-7,31.579,31.788,31.223,31.52,2317
2012-3-11,31.8,31.85,31.52,31.715,731
2012-3-12,31.63,31.749,31.397,31.531,5979
2012-3-13,31.551,32.555,31.4,31.815,9386
2012-3-14,31.994,32.09,31.762,32,6255
2012-3-15,32.001,32.32,31.998,32.05,19401
2012-3-16,32.011,32.19,31.951,32,7442
2012-3-19,32.097,32.3,31.992,32.05,18982
2012-3-20,31.865,32.01,31.711,31.93,5510
2012-3-21,31.93,32,31.502,31.6,2483
2012-3-22,31.899,31.945,31.749,31.878,7488
2012-3-23,31.999,32,31.8,31.85,2654
2012-3-26,32.099,32.099,31.79,31.79,1709
2012-3-27,31.801,32,31.499,31.579,3122
2012-3-28,31.501,31.6,31.36,31.439,1005
2012-3-29,31.247,31.474,30.899,31.07,1555
2012-3-30,31.14,31.24,30.51,31.095,4605
2012-4-2,31.248,31.248,30.8,30.876,4070
2012-4-3,30.8,30.999,30.8,30.821,3689
2012-4-4,30.699,30.833,30.197,30.299,2520
2012-4-5,30.251,30.31,29.4,29.8,4323
2012-4-6,29.722,29.999,29.704,29.899,3890
2012-4-9,29.9,29.947,29.501,29.889,3123
2012-4-10,29.9,30,29.7,29.899,4316
2012-4-11,29.752,30.001,29.752,29.95,9799
2012-4-12,29.998,30.05,29.72,29.851,3556
2012-4-13,29.99,30.1,29.851,30.039,2609
2012-4-16,30.039,30.039,29.85,29.928,1785
2012-4-17,29.853,29.939,29.582,29.679,2846
2012-4-18,29.848,29.848,29.7,29.79,6139
2012-4-19,29.799,29.85,29.7,29.798,3777
2012-4-20,29.8,30,29.8,29.9,10622
2012-4-23,29.9,29.9,29.7,29.81,2425
2012-4-24,29.703,29.848,29.66,29.76,3488
2012-4-25,29.8,29.989,29.8,29.898,6266
2012-4-26,29.898,29.944,29.8,29.802,7016
2012-4-27,29.375,30.325,29.375,30.325,2440
2012-4-28,29.9,29.999,29.881,29.997,2185
2012-5-2,29.903,30,29.707,29.87,716
2012-5-3,29.702,29.899,29.55,29.646,6888
2012-5-4,29.502,29.75,27,27.6,6199
2012-5-5,27.602,27.997,27.13,27.697,542
2012-5-7,27.898,28,27.2,27.979,45
2012-5-8,28.148,28.25,27.55,28.225,61
2012-5-10,28.079,28.15,27.317,27.45,1041
2012-5-11,27.449,27.449,27.053,27.3,1996
2012-5-12,27,27.15,26.01,26.7,2184
2012-5-14,26.499,26.499,24.955,25.094,3351
2012-5-15,25.001,25.227,24.022,24.604,1839
2012-5-16,24.201,24.495,23.999,24.387,3288
2012-5-17,24.499,24.895,23.444,23.85,1637
2012-5-18,22.05,23.78,21.999,22.99,7653
2012-5-21,23,23.685,22.655,22.855,1875
2012-5-22,23.149,23.55,23.149,23.357,657
2012-5-23,23.299,23.299,22.5,22.642,3134
2012-5-24,22.75,22.95,22.038,22.5,4520
2012-5-25,22.4,22.798,22.35,22.4,1488
2012-5-28,22.455,22.747,22.4,22.4,2969
2012-5-29,22.689,23.225,22.499,23.2,5236
2012-5-30,22.949,23.449,22.7,22.99,4279
2012-5-31,22.9,23.15,22.615,22.787,4175
2012-6-1,22.775,22.995,22.55,22.995,4593
2012-6-4,22.93,24.4,22.828,23.65,11001
2012-6-5,23.99,24.249,23.8,23.983,3389
2012-6-6,24.139,24.25,23.5,23.951,3430
2012-6-7,24.049,25.747,24.049,24.999,11684
2012-6-8,24.99,24.999,24.5,24.977,757
2012-6-9,25.15,25.17,24.801,25.099,238
2012-6-13,25,25.201,23.5,25.18,9958
2012-6-14,25,25.45,24.95,25.352,832
2012-6-15,25.271,26.148,25.27,25.973,22471
2012-6-18,25.5,26.5,25,25.9,20893
2012-6-19,25.99,26.9,25.505,26.05,24426
2012-6-20,26.138,26.2,25.8,25.822,5128
2012-6-21,25.81,25.9,25.101,25.45,2491
2012-6-22,25.011,25.09,24.55,24.7,3634
2012-6-25,24.894,24.895,24.484,24.486,387
2012-6-26,24.3,24.8,24.25,24.6,1707
2012-6-27,24.501,26,24.498,24.856,3231
2012-6-28,24.898,24.898,24.201,24.495,2260
2012-6-29,24.6,24.8,24.011,24.2,23360
2012-7-2,24.399,24.8,24,24.6,7172
2012-7-3,24.551,25.199,24.551,25.15,14230
2012-7-4,25.14,25.887,24.905,25.048,12372
2012-7-5,24.999,25.05,24.4,24.751,10884
2012-7-6,24.698,24.75,24.5,24.725,1762
2012-7-9,24.712,24.99,24.712,24.901,3435
2012-7-10,24.801,24.9,24.799,24.899,828
2012-7-11,24.7,24.75,24.352,24.548,3188
2012-7-12,24.401,24.55,24.4,24.549,1400
2012-7-13,24.749,24.801,24.561,24.8,987
2012-7-16,24.801,24.949,24.801,24.945,332
2012-7-17,25,25.25,24.9,25,7726
2012-7-18,24.901,25.099,24.611,24.89,6704
2012-7-19,24.998,25.248,24.71,24.898,1432
2012-7-20,24.9,24.949,24.505,24.6,677
2012-7-23,24.85,25.05,24.402,24.63,12166
2012-7-24,24.701,25.201,24.501,25.2,5082
2012-7-25,25.1,25.45,24.8,25.45,6956
2012-7-26,25.45,25.6,25.339,25.401,82
2012-7-27,25.402,25.402,25,25.4,1859
2012-7-30,25.301,25.4,25.111,25.349,11439
2012-7-31,25.349,25.74,25.06,25.5,4540
2012-8-1,25.55,26.17,25.449,25.5,14293
2012-8-2,25.599,25.6,25.099,25.1,810
2012-8-3,25.15,25.35,25,25.25,98
2012-8-6,25.009,25.2,24.806,25.1,550
2012-8-7,25.1,25.3,25.1,25.3,200
2012-8-8,25.3,25.3,25.149,25.15,142
2012-8-9,25.151,25.398,24.699,25.149,693
2012-8-10,24.901,25,24.8,24.9,494
2012-8-13,24.9,25.1,24.75,24.95,1096
2012-8-14,25.094,25.105,24.911,25.089,1095
2012-8-15,24.99,25,24.807,24.947,1160
2012-8-16,24.815,25.18,24.815,25.101,1268
2012-8-17,24.85,25.196,24.85,24.939,873
2012-8-20,24.815,24.88,24.605,24.748,438
2012-8-21,24.711,24.9,24.711,24.8,641
2012-8-22,24.701,24.8,24.701,24.8,592
2012-8-23,24.85,24.9,24.69,24.75,989
2012-8-24,24.795,24.797,24.607,24.607,70
2012-8-27,24.65,24.75,24.64,24.649,1385
2012-8-28,24.648,24.7,24.6,24.679,1442
2012-8-29,24.746,24.825,24.301,24.352,995
2012-8-30,24.352,24.75,24.35,24.35,308
2012-8-31,24.499,24.499,24.35,24.48,137
2012-9-3,24.401,24.688,24.401,24.63,106
2012-9-4,24.649,24.7,24.405,24.561,780
2012-9-5,24.695,24.7,24.5,24.599,689
