Date,Open,High,Low,Close,Volume
2008-8-28,13.75,13.75,13.75,13.75,24
2008-8-29,14,14,14,14,1
2008-9-3,14,14,14,14,10
2008-9-4,14.4,14.4,14.4,14.4,10
2008-9-5,13.7,13.99,13.5,13.99,300
2008-9-8,14,14,14,14,100
2008-9-10,15.4,15.4,15.4,15.4,2
2008-9-11,13.5,13.5,13.5,13.5,100
2008-9-30,13.8,13.8,13.8,13.8,17
2008-10-3,15,15,10,10,75
2008-10-6,8.9,8.9,8.9,8.9,16
2008-11-20,8.9,8.9,8.9,8.9,1
2008-12-2,5.34,5.34,5.34,5.34,12
2008-12-3,3.204,5,3.204,5,35
2008-12-22,4.2,4.2,3.4,3.4,132
2008-12-31,3.4,3.4,3.4,3.4,76
2009-1-11,3.8,3.9,3.8,3.9,4
2009-1-12,3.501,3.501,3.5,3.5,101
2009-1-14,3.5,3.5,3.45,3.45,2020
2009-1-19,2.1,2.75,2.1,2.75,34
2009-2-2,3.395,3.395,3.395,3.395,1
2009-2-3,3.5,3.5,3.5,3.5,1
2009-2-5,3.75,3.75,3.5,3.65,22
2009-2-9,4.75,5.11,4.75,5.11,318
2009-2-10,5,5.75,5,5.75,11
2009-2-11,5.749,5.75,5.749,5.75,100
2009-2-12,5.5,5.5,5.25,5.25,29
2009-2-16,5.25,5.25,5.25,5.25,5
2009-2-17,5.1,5.1,5.1,5.1,19
2009-2-26,5,5.75,5,5.75,1001
2009-2-27,4,4,4,4,1
2009-3-2,5,5,5,5,105
2009-3-10,5,5,5,5,200
2009-3-13,5,5,4.5,4.5,1106
2009-3-17,5,5,5,5,4
2009-3-18,5,5,5,5,1
2009-3-19,5,5,5,5,2
2009-3-20,5,5,4.75,4.75,13
2009-3-23,4.75,4.75,4.75,4.75,10
2009-3-25,5,5.4,5,5.25,2559
2009-3-26,5.4,6.15,5.25,6.1,2107
2009-3-27,6.2,6.99,6.15,6.25,973
2009-3-30,6.5,6.7,6.4,6.4,318
2009-3-31,6.4,6.5,6.201,6.5,1040
2009-4-1,6.1,6.1,6,6.1,104
2009-4-2,6.15,6.2,6,6.2,146
2009-4-3,6,6,6,6,77
2009-4-6,6,6,5.95,6,140
2009-4-7,5.801,6.04,5.801,6.04,3
2009-4-8,6.04,6.05,6.04,6.05,105
2009-4-9,6,6.1,6,6.1,117
2009-4-10,6.15,6.5,6.15,6.4,808
2009-4-13,6.4,6.4,6.35,6.4,14
2009-4-14,6.4,6.4,6.4,6.4,1
2009-4-15,6.4,6.4,5.8,5.8,146
2009-4-16,6.399,6.4,6.399,6.4,4
2009-4-20,6.4,6.4,5.8,5.8,11
2009-4-21,5.999,6.2,5.999,6.2,151
2009-4-22,6.2,6.2,6.2,6.2,155
2009-4-23,6.001,6.3,6,6.3,61
2009-4-24,6.4,6.4,6.2,6.35,155
2009-4-29,6,6.1,6,6.1,63
2009-4-30,6.05,6.05,6,6,59
2009-5-4,6.2,6.2,6.2,6.2,1
2009-5-5,6,6.1,6,6,421
2009-5-6,6,8,6,8,2240
2009-5-7,9.92,9.92,8,8,13
2009-5-8,8,8,6.053,6.69,243
2009-5-12,6.5,6.605,6.5,6.6,51
2009-5-13,9.239,9.239,6.7,6.7,76
2009-5-14,6.001,6.7,6.001,6.292,73
2009-5-15,6.998,6.999,6.072,6.5,38
2009-5-18,6.2,6.649,6.08,6.179,32
2009-5-19,6.6,6.8,6.3,6.55,400
2009-5-20,6.401,6.779,6.401,6.779,646
2009-5-22,7.8,7.8,6.64,6.68,111
2009-5-25,6.89,6.89,6.499,6.5,1293
2009-5-26,5,7,3.95,6.5,78
2009-5-27,6.89,6.89,6.5,6.5,13
2009-5-28,6.5,6.5,6.5,6.5,97
2009-5-29,6.498,6.5,6.06,6.5,83
2009-6-1,6.5,6.796,3.92,6.222,135
2009-6-2,6.8,7.2,6.5,6.7,423
2009-6-3,6.41,6.41,6.41,6.41,9
2009-6-4,6.799,6.799,6.3,6.301,713
2009-6-5,6.3,6.577,6.25,6.577,80
2009-6-8,6.25,6.487,6.05,6.487,10
2009-6-9,6.33,6.499,6.31,6.4,149
2009-6-10,6.45,6.5,6.4,6.5,162
2009-6-11,6.59,6.89,6.59,6.7,23
2009-6-15,6.8,7.45,6.8,6.802,469
2009-6-16,6.899,7.144,6.671,7.144,206
2009-6-17,7.1,7.2,6.701,7.05,448
2009-6-18,7.04,7.04,6.5,6.9,341
2009-6-19,6.7,7,6.7,7,141
2009-6-22,6.9,6.95,6.4,6.949,314
2009-6-23,6.899,6.9,6.899,6.9,5
2009-6-24,6.89,7,6.5,6.7,857
2009-6-25,6.8,7.5,6.502,6.51,848
2009-6-26,6.101,6.999,6.101,6.75,163
2009-6-29,6.999,7,6.999,7,2
2009-6-30,6.5,6.5,6.5,6.5,3
2009-7-1,6.79,6.79,6.79,6.79,1
2009-7-3,6.95,7.35,6.95,7.3,1343
2009-7-6,8.01,8.01,8.01,8.01,1
2009-7-7,8.1,9,8.1,8.499,632
2009-7-8,8.49,8.49,8,8.448,134
2009-7-9,7.901,7.901,7.901,7.901,100
2009-7-13,7.3,8.489,7.3,8.489,101
2009-7-14,7.05,7.999,7.05,7.999,3
2009-7-15,7.7,7.7,7.7,7.7,1
2009-7-16,7.499,9,6.999,7,922
2009-7-17,7.399,7.399,6.52,6.999,162
2009-7-20,6.85,6.999,6.6,6.999,342
2009-7-21,6.999,6.999,6.999,6.999,115
2009-7-22,6.601,6.999,6.599,6.999,35
2009-7-23,7,7,7,7,30
2009-7-24,7.397,7.397,6.522,7.196,208
2009-7-27,7.196,7.25,7.196,7.25,10
2009-7-28,7.25,7.25,6.81,7.199,79
2009-7-29,6.8,7.149,6.8,7.149,2
2009-7-30,7.199,7.2,7.199,7.2,321
2009-7-31,7.285,7.285,7.2,7.25,164
2009-8-3,7.2,7.25,7.2,7.2,477
2009-8-4,7.2,8.489,7.2,8.489,511
2009-8-5,7.95,7.95,7.14,7.31,38
2009-8-6,7.013,7.648,7.013,7.648,12
2009-8-7,7.899,7.899,7.78,7.78,25
2009-8-10,7.499,7.499,7.499,7.499,2
2009-8-11,7.499,7.6,7.124,7.6,9
2009-8-12,7.3,7.339,7.103,7.339,4507
2009-8-13,7.34,7.34,7.34,7.34,85
2009-8-14,7.99,7.99,7.299,7.35,148
2009-8-18,7.4,7.4,7.4,7.4,2
2009-8-19,7.4,7.4,7.3,7.3,20
2009-8-20,7.3,7.3,7.3,7.3,1
2009-8-21,7,7.3,7,7.29,1062
2009-8-24,7.5,7.5,7.118,7.118,808
2009-8-25,6.902,7.399,6.902,7.399,4
2009-8-26,7.4,7.4,7.301,7.37,104
2009-8-27,7.021,7.16,6.9,7,1100
2009-8-28,7.15,7.654,7.1,7.44,1920
2009-8-31,7.45,7.53,7.221,7.221,2145
2009-9-1,7.528,7.528,7.528,7.528,1
2009-9-2,7.529,7.53,7.439,7.525,255
2009-9-3,7.52,8,7.52,7.998,1006
2009-9-4,8,9,8,8.672,1345
2009-9-7,8.5,8.7,8.3,8.5,197
2009-9-8,8.3,9.489,8.3,8.89,240
2009-9-9,8.849,8.85,8.6,8.6,297
2009-9-10,8.75,8.75,8.234,8.32,40
2009-9-11,8.399,8.699,8,8.699,610
2009-9-14,8.677,8.749,8.677,8.692,293
2009-9-15,8.45,8.75,8.45,8.705,834
2009-9-16,8.799,8.799,8.101,8.141,379
2009-9-17,8.501,8.775,8.44,8.5,161
2009-9-18,8.848,8.849,7.702,8.7,173
2009-9-21,8.849,8.849,8.366,8.845,16
2009-9-22,9.099,9.3,8.8,9.1,572
2009-9-23,9.07,10.85,8.521,9.65,846
2009-9-24,9.8,10.85,9.7,9.72,1134
2009-9-25,9.8,10.06,9.501,10.056,372
2009-9-28,9.948,10.06,9.097,9.551,542
2009-9-29,9.998,10.06,9.5,9.749,284
2009-9-30,9.01,10.07,9.01,9.75,1903
2009-10-1,10.065,10.2,9.75,9.8,1637
2009-10-2,9.536,9.861,8.003,9.861,1097
2009-10-5,9.86,9.86,9.6,9.6,12
2009-10-6,9.524,9.861,9.403,9.861,220
