Date,Open,High,Low,Close,Volume
2006-5-23,1300,1300,1051,1300,105
2006-5-24,1160,1200,1150,1150,405
2006-5-25,1052,1080,1051,1051,17
2006-5-26,1150,1150,1099.99,1100,302
2006-5-29,1050,1150,1050,1150,320
2006-5-31,1110,1110,1110,1110,1
2006-6-1,1200,1200,1140,1140,363
2006-6-2,1140,1222,1140,1222,202
2006-6-5,1199,1200,1000,1075,311
2006-6-6,1100,1175,1100,1175,81
2006-6-7,1100,1100,1100,1100,19
2006-6-8,1100,1100,1100,1100,3
2006-6-9,1050,1100,1050,1100,6
2006-6-13,1075,1075,875.01,875.01,534
2006-6-14,950,950,850,950,792
2006-6-15,944,975,900,975,758
2006-6-16,975,1000,860,999,299
2006-6-19,1150,1150,1150,1150,1
2006-6-23,1000,1095,1000,1095,18
2006-6-26,1000,1000,1000,1000,10
2006-6-27,1050,1096.86,1050,1096.86,142
2006-6-28,1096.86,1096.86,1096.86,1096.86,19
2006-7-5,1140,1150,1140,1150,51
2006-7-7,1070.01,1070.01,1070.01,1070.01,1
2006-7-10,1150,1199,1150,1199,3
2006-7-11,1070,1077,1070,1077,52
2006-7-12,1120,1120,1120,1120,20
2006-7-14,1105,1105,1105,1105,1
2006-7-19,1149,1220,1149,1220,8
2006-7-25,1100,1100,1051,1070,276
2006-7-26,1000,1074,999,1074,9
2006-7-27,1070,1072,1070,1072,68
2006-7-28,1022,1080,1022,1075,25
2006-7-31,1080,1139,1022,1139,37
2006-8-1,1025,1261,1025,1140,22
2006-8-2,984,1065,984,1065,3
2006-8-3,1011.75,1111,1011.75,1111,2
2006-8-4,1110,1110,1110,1110,45
2006-8-7,1111,1111,1080,1100,89
2006-8-9,1050,1115,1050,1115,41
2006-8-10,1100.1,1100.1,1100.1,1100.1,1
2006-8-11,1119.8,1140,1100,1129.99,38
2006-8-14,1100.2,1100.2,1100.2,1100.2,1
2006-8-15,1107.21,1140,1100.22,1140,31
2006-8-18,1130,1130,1130,1130,1
2006-8-21,1120,1120,1120,1120,133
2006-8-22,1120,1120,1100,1100,181
2006-8-23,1120,1124,1111,1118,58
2006-8-24,1111,1122,1111,1122,114
2006-8-25,1122,1122,1100,1100,33
2006-8-28,1050.1,1100,1050.1,1100,12
2006-8-29,1050,1100,1050,1100,225
2006-8-30,1160,1165,1155,1160,162
2006-8-31,1155,1249.8,1052.03,1249.46,190
2006-9-1,1200,1200.01,1100,1200,108
2006-9-4,1090,1110,1090,1110,27
2006-9-5,1090.01,1194,1090.01,1109.01,8
2006-9-6,1109.01,1125,1105,1105,391
2006-9-7,1050,1109.99,984,1109.99,8
2006-9-12,1100,1100,1100,1100,10
2006-9-13,1100,1160,1085,1155,201
2006-9-14,1150,1212.01,1150,1190,182
2006-9-15,1219.99,1263.9,1200,1263.9,649
2006-9-18,1287,1380,1250.01,1270,498
2006-9-19,1275,1275,1210,1265,216
2006-9-21,1244,1369,1244,1259.99,276
2006-9-22,1255,1330,1208,1208,1597
2006-9-25,1208,1277.6,1208,1277.6,11
2006-9-26,1210,1210,1210,1210,38
2006-9-27,1215,1215,1215,1215,33
2006-9-28,1204.01,1249.99,1204,1249,29
2006-9-29,1249,1249,1205.02,1205.02,103
2006-10-2,1240,1278,1240,1250,274
