Date,Open,High,Low,Close,Volume
2015-6-10,52.6,55,52.6,55,3
2015-6-11,55,55,52.1,52.1,3
2015-6-15,53.1,53.5,53.1,53.5,3
2015-6-16,53.1,57,53.1,56,6
2015-6-19,54.2,54.2,54.1,54.1,2
2015-6-22,58.6,58.9,58.6,58.9,4
2015-6-24,59.6,59.6,53,55,48
2015-6-25,55,55,55,55,16
2015-6-29,53.1,53.1,53,53,8
2015-6-30,52.9,53,52.9,53,59
2015-7-6,50.1,50.7,50,50.1,14
2015-7-8,45.7,49.6,43,47.2,34
2015-7-9,49.6,54.5,49.6,51.9,108
2015-7-10,51.9,51.9,47.9,51.9,3
2015-7-13,51.8,51.8,50,50,3
2015-7-14,48.8,50.2,48.7,50.2,4
2015-7-15,50.2,50.2,50.2,50.2,1
2015-7-16,50.1,50.1,50,50,25
2015-7-17,50.8,50.9,50.2,50.9,4
2015-7-20,47.1,48.1,47,48.1,6
2015-7-21,49.9,50.9,49.9,50.9,14
2015-7-22,50.9,50.9,50.9,50.9,1
2015-7-23,47.5,50.9,47,50.9,27
2015-7-24,50.9,52,50.9,51.9,43
2015-7-27,47.5,50.6,47.2,50.6,5
2015-7-28,50.7,52.9,50.7,50.9,13
2015-7-29,50.9,50.9,49.1,49.1,12
2015-7-30,50.9,50.9,50.9,50.9,2
2015-7-31,51.1,51.1,51,51,2
2015-8-3,50.1,59.8,49.1,52.6,33
2015-8-4,51,52,51,52,2
2015-8-5,56.8,56.8,56.8,56.8,1
2015-8-7,55.5,55.5,55.5,55.5,1
2015-8-10,55.5,56.9,55.5,56.9,11
2015-8-11,56.1,56.1,47.5,54.9,85
2015-8-12,53,53,53,53,1
2015-8-13,56.5,56.8,51.2,51.2,7
2015-8-17,52.6,52.6,52.6,52.6,1
2015-8-18,50.5,52.1,50,52,8
2015-8-19,52,52,51.8,51.9,15
2015-8-20,51.9,51.9,51.9,51.9,6
2015-8-24,51.9,51.9,48.5,48.5,2
2015-8-26,50,50.8,50,50,4
2015-8-27,51.9,51.9,50.9,50.9,12
2015-8-31,49.5,50.8,49.1,50.8,4
2015-9-1,50.5,50.5,50.5,50.5,6
2015-9-2,50.5,50.5,50.5,50.5,5
2015-9-3,50.5,50.5,50.5,50.5,2
2015-9-4,51.9,51.9,49.5,51.1,20
2015-9-7,51.9,52.9,50,50,20
2015-9-8,50,50,49.1,49.1,15
2015-9-9,50,50,49,49,4
2015-9-10,50,50,49,49,5
2015-9-11,49,49.9,46.7,49.7,12
2015-9-14,50.8,50.8,50.8,50.8,10
2015-9-15,49.4,49.4,48.3,48.3,9
2015-9-16,48.1,48.8,45.8,48.8,6
2015-9-17,47.3,47.3,46.5,46.6,72
2015-9-18,45.8,49.3,44.5,46.3,72
2015-9-21,45.1,47.3,43.6,46.1,17
2015-9-22,46.9,47.4,46.9,47.4,7
2015-9-23,45.4,45.4,45.3,45.3,2
2015-9-24,45.7,45.7,45.2,45.3,7
