Date,Open,High,Low,Close,Volume
2005-9-30,0.35,0.35,0.35,0.35,5
2005-10-3,0.37,0.37,0.37,0.37,2
2005-10-4,0.32,0.34,0.3,0.31,48
2005-10-5,0.31,0.31,0.31,0.31,1
2005-10-11,0.31,0.31,0.3,0.3,1
2005-10-14,0.3,0.3,0.3,0.3,0
2005-10-17,0.25,0.25,0.25,0.25,30
2005-10-19,0.3,0.3,0.3,0.3,0
2005-10-20,0.29,0.29,0.29,0.29,1
2005-10-26,0.29,0.29,0.29,0.29,0
2005-10-27,0.29,0.29,0.29,0.29,0
2005-10-28,0.28,0.29,0.28,0.29,2
2005-10-31,0.29,0.29,0.25,0.26,1
2005-11-1,0.25,0.25,0.21,0.22,20
2005-11-8,0.21,0.21,0.21,0.21,0
2005-11-9,0.21,0.23,0.21,0.21,0
2005-11-10,0.21,0.21,0.2,0.2,25
2005-11-11,0.28,0.28,0.28,0.28,0
2005-11-14,0.24,0.24,0.2,0.2,1
2005-11-15,0.25,0.25,0.21,0.24,3
2005-11-16,0.24,0.26,0.24,0.26,1
2005-11-17,0.25,0.25,0.21,0.21,27
2005-11-18,0.25,0.26,0.22,0.23,27
2005-11-21,0.23,0.26,0.23,0.26,18
2005-11-22,0.25,0.26,0.25,0.25,15
2005-11-25,0.25,0.25,0.25,0.25,5
2005-11-29,0.24,0.24,0.24,0.24,0
2005-11-30,0.25,0.25,0.25,0.25,4
2005-12-1,0.25,0.3,0.24,0.26,804
2005-12-2,0.26,0.28,0.24,0.24,30
2005-12-5,0.25,0.28,0.25,0.28,826
2005-12-6,0.27,0.28,0.27,0.28,2
2005-12-7,0.28,0.29,0.28,0.29,301
2005-12-8,0.29,0.33,0.28,0.31,317
2005-12-9,0.32,0.32,0.32,0.32,0
2005-12-12,0.32,0.33,0.32,0.33,32
2005-12-13,0.33,0.34,0.29,0.29,249
2005-12-14,0.309,0.31,0.28,0.3,19
2005-12-15,0.284,0.3,0.28,0.3,137
2005-12-16,0.29,0.299,0.272,0.295,2
2005-12-19,0.275,0.3,0.27,0.3,298
2005-12-20,0.3,0.3,0.3,0.3,35
2005-12-21,0.285,0.331,0.285,0.291,395
2005-12-22,0.28,0.287,0.23,0.287,363
2005-12-23,0.295,0.33,0.295,0.33,1
2005-12-26,0.33,0.33,0.3,0.326,52
