Date,Open,High,Low,Close,Volume
2012-9-10,349,349,248,348,17
2012-9-11,248,348,248,348,8
2012-9-12,275,348,275,348,8
2012-9-18,347,347,265.18,265.18,2
2012-10-5,264.99,264.99,264.99,264.99,1
2012-10-8,343.99,343.99,273,273,3
2012-10-9,249.62,249.62,249.62,249.62,1
2012-10-10,282.07,343.95,253,343.95,3
2012-10-17,343,349,343,349,2
2012-10-30,300,300,300,300,3
2013-2-11,290.01,290.01,290,290,3
2013-2-22,406,406,307.99,307.99,2
2013-3-11,304.02,304.02,304.01,304.01,3
2013-4-10,348.99,348.99,251,251,2
2013-5-7,264,264,264,264,1
2013-5-31,298.31,298.31,298.31,298.31,1
2013-6-11,288,288,288,288,1
2013-8-12,248.42,248.42,248.42,248.42,1
2013-11-7,282.82,300,282.82,300,2
2013-11-20,300,300,300,300,1
2013-12-5,300,300,300,300,20
2013-12-11,300,300,300,300,1
2013-12-23,200.01,200.01,200.01,200.01,1
2014-1-24,200,200,200,200,1
2014-2-7,200,200,200,200,1
2014-3-11,200,200,200,200,1
2014-3-27,200,200,200,200,1
2014-11-20,300,300,300,300,1
2014-11-25,300,300,300,300,1
2014-12-16,250,250,250,250,1
2014-12-18,300,300,300,300,1
2015-3-19,295,295,295,295,1
2015-6-24,201,201,201,201,1
2015-8-14,279,280,279,280,2
2015-8-24,181,250,180,250,3
2015-8-26,200,200,200,200,1
2015-8-27,255,279,255,279,2
2015-9-2,270,270,270,270,1
2015-9-3,205,205,205,205,1
2015-9-4,299,299,209,298,19
2015-9-7,206,300,206,299,27
2015-9-8,206,299,206,299,34
2015-9-9,219,299,219,298,16
2015-9-10,223,300,223,300,21
2015-9-11,183,183,183,183,1
2015-9-18,347,347,260,281,42
2015-9-21,348,348,267,347,9
2015-9-22,309,350,273,344,89
2015-9-23,263,339,254,298,22
2015-9-24,300,300,300,300,1
2015-9-25,299,299,299,299,2
2015-9-28,269,299,268,299,8
2015-9-29,255,339,255,328,32
2015-9-30,272,348,272,299,36
2015-10-14,272,307,272,307,2
2015-10-19,275,275,275,275,1
2015-10-21,304,313,304,313,4
2015-10-29,283,283,283,283,2
2015-11-2,310,310,281,281,4
2015-11-3,308,308,252,252,24
2015-11-6,312,348,260,281,104
2015-11-10,337,337,292,292,27
2015-11-12,294,294,294,294,1
2015-11-19,293,293,272,272,2
2015-11-23,280,280,280,280,4
2015-12-2,281,281,260,260,4
2016-1-5,292,292,290,290,2
2016-2-3,300,300,300,300,1
2016-2-5,303,303,303,303,2
2016-3-10,310,315,305,305,3
2016-3-24,314,323,314,323,2
2016-4-14,343,343,343,343,1
2016-5-20,310,310,310,310,1
2016-5-24,348,348,348,348,1
2016-8-11,267,274,267,274,2
2016-8-16,275,275,275,275,1
2016-9-22,377,402,333,402,10
2016-9-23,562,562,549,562,4
2016-9-26,785,785,337,394,20
2016-9-27,543,543,260,350,34
2016-9-28,481,483,265,400,21
2016-9-29,400,439,400,439,2
2016-10-4,437,437,305,352,6
2016-10-5,400,400,314,330,3
2016-10-7,385,385,291,291,11
