Date,Open,High,Low,Close,Volume
2006-4-5,17.125,17.29,16.95,17.01,3167900
2006-4-6,17.24,17.3,16.8,16.89,5039000
2006-4-7,16.89,17.149,16.3,16.95,5391900
2006-4-10,16.8995,17,16.6001,16.95,3648400
2006-4-11,16.801,17.5,16.6621,16.75,9226600
2006-4-12,16.9405,17,16.75,16.9,2337000
2006-4-13,16.98,16.9999,16.6,16.9,1645200
2006-4-14,16.855,16.9,16.7,16.81,1672700
2006-4-17,16.85,17,16.7,16.9979,2254400
2006-4-18,17,17,16.7,16.79,1758600
2006-4-19,16.76,17.09,16.6502,16.787,3785300
2006-4-20,16.7052,16.8,16.56,16.6786,1468900
2006-4-21,16.6,16.6,15.8003,15.9001,4770700
2006-4-24,16.0753,16.17,15.763,15.871,1406600
2006-4-25,15.8899,15.8899,14.9916,15.39,3085200
2006-4-26,15.369,15.6834,15.0801,15.15,4454900
2006-4-27,15.01,15.3,13.37,13.8999,15438000
2006-4-28,13.5001,13.899,13.02,13.48,5103600
2006-5-2,13.46,14.6,13.04,14.25,5958500
2006-5-3,14.31,14.6,13.86,14.0499,3932800
2006-5-4,13.9001,14.5,13.7101,14.0201,6004900
2006-5-5,14.09,14.27,13.8017,13.9501,1979100
2006-5-6,14.01,14.2,13.8,14.1222,971400
2006-5-10,14.15,14.3499,13.9,13.9994,1912800
2006-5-11,14,14.17,13.65,13.8499,1616200
2006-5-12,13.7301,13.95,13.612,13.7399,895600
2006-5-15,13.6153,13.8,12.6015,12.89,3677700
2006-5-16,12.999,13,12.2551,12.6536,4053100
2006-5-17,12.8,13.1901,11.65,11.805,3232800
2006-5-18,11.7,11.8,10.8505,11.5999,3366400
2006-5-19,11.7,12.17,11.09,11.2789,1532200
2006-5-22,11.37,11.37,9.034,9.3979,7541600
2006-5-23,9.4001,10.6999,9.05,10.5755,4910900
2006-5-24,10.51,10.59,9.8531,10.59,2321300
2006-5-25,10.4999,11.9999,10.3,11.94,5620600
2006-5-26,12.199,12.5999,11.513,11.8,4876300
2006-5-29,12,12.2,11.75,11.76,3324000
2006-5-30,11.8299,11.9799,11.1613,11.6108,3105000
2006-5-31,11.55,12.83,11.42,12.6062,7530000
2006-6-1,12.72,13.5,12.3,13.19,8231500
2006-6-2,13.32,13.99,13.32,13.9555,5237200
2006-6-5,14.049,14.6,13.5122,13.7996,3133300
2006-6-6,13.3,13.5,12.69,12.7,2382300
2006-6-7,12.61,12.99,11.77,12.6799,2273600
2006-6-8,12.1,12.2,11,11.2,1645000
2006-6-9,11.4511,12.56,11.4005,12,2996100
2006-6-13,11.3,12.1,11.0111,11.81,2622800
2006-6-14,12,12.89,11.91,12.7,2426300
2006-6-15,12.89,13.5001,12.8001,13.42,3347300
2006-6-16,13.7,13.75,12.56,12.8,2501500
2006-6-19,12.92,14,12.74,13.67,11576300
2006-6-20,13.6,14.28,13.51,14.2,3515900
2006-6-21,14.11,14.45,13.82,14.4,5318400
2006-6-22,14.5001,14.6,14.02,14.1,3065500
2006-6-23,14.27,14.57,13.6,14.2001,5895800
2006-6-26,14.34,14.4895,14.1,14.3698,4181500
2006-6-27,14.45,14.838,14.2601,14.838,2486600
2006-6-28,14.86,14.86,14.3801,14.55,627900
2006-6-29,14.31,14.73,14.2,14.2,4108400
2006-6-30,14.5,14.6,14.3012,14.5,7746500
2006-7-3,14.73,14.8399,14.57,14.7,4200000
2006-7-4,14.76,15.65,14.65,15.5999,5857600
2006-7-5,15.59,16.4488,15.1,15.5,8888900
2006-7-6,15.55,16.7,15.55,16.6999,6739400
2006-7-7,16.4999,16.7997,16.05,16.27,2225800
2006-7-10,15.86,16.1662,15.7503,16.01,1369400
2006-7-11,16.0299,17.3995,15.9001,16.6,7877500
2006-7-12,16.72,17.1,16,16.65,7122600
2006-7-13,16.65,16.65,15.8,16.0499,2398900
2006-7-14,15.9,16.195,15.6,16.18,8903700
2006-7-17,16.17,16.25,15.8,16,2507800
2006-7-18,15.9102,16.1993,15.7021,16.1,2458200
2006-7-19,16.1999,16.39,15.9,16.35,1103800
2006-7-20,16.36,16.7895,16.03,16.4,4510500
2006-7-21,16.41,16.7493,16.3,16.4432,2077500
2006-7-24,16.48,16.59,16.2107,16.51,694500
2006-7-25,16.59,16.95,16.35,16.8893,2938600
2006-7-26,16.94,17.2777,16.501,17.1895,4258500
2006-7-27,17.15,17.32,17.02,17.05,737700
2006-7-28,17.0006,17.0997,16.8115,16.85,2311500
2006-7-31,16.8901,16.99,16.59,16.65,4099000
2006-8-1,16.6931,16.8,16.49,16.59,2257000
2006-8-2,16.4602,16.97,14.94,16.85,645100
2006-8-3,16.8499,17.0699,16.8,16.9,849200
2006-8-4,16.8796,16.94,16.6,16.8795,215000
2006-8-7,16.8499,16.85,16.4,16.65,705400
2006-8-8,16.7898,16.7898,16.5011,16.65,435800
2006-8-9,16.65,16.65,16.4,16.6,248100
2006-8-10,16.5001,16.5999,16.2999,16.5,1324600
2006-8-11,16.59,16.59,16.45,16.5896,226500
2006-8-14,16.59,16.7,16.51,16.65,438100
2006-8-15,16.6254,16.8499,16.4,16.8,576200
2006-8-16,16.76,17.0001,16.7301,16.97,753400
2006-8-17,17.01,17.01,16.7301,16.88,230800
2006-8-18,16.9,16.97,16.5501,16.7001,1131900
2006-8-21,16.6999,17.7999,16.501,17.6499,3263600
2006-8-22,17.7,17.99,17.68,17.9,1583600
2006-8-23,17.8299,17.9,17.5,17.62,2078300
2006-8-24,17.1001,17.6,17.1001,17.5,783300
2006-8-25,17.57,17.57,17.35,17.4101,901000
2006-8-28,17.4101,17.4999,17.3206,17.37,601700
2006-8-29,16.99,17.4,16.7,17.3497,756400
2006-8-30,17.32,17.42,17.1701,17.2001,662400
2006-8-31,17.2001,17.4,17.14,17.1713,776800
2006-9-1,17.3499,17.3499,17.1101,17.18,358800
2006-9-4,17.2499,17.38,17.2,17.3496,621600
2006-9-5,17.15,17.65,17.15,17.62,1469000
2006-9-6,17.6578,17.74,17.25,17.57,809300
2006-9-7,17.4001,17.5,17.0533,17.39,1814700
2006-9-8,17.39,17.52,17.2003,17.52,1094900
2006-9-11,17.23,17.3999,17.1501,17.25,591900
