Date,Open,High,Low,Close,Volume
2005-12-26,7.0551,7.32,7.0551,7.2687,840400
2005-12-27,7.2878,7.3,7.24,7.255,541900
2005-12-28,7.2499,7.255,7.2,7.23,1168400
2005-12-29,7.2798,7.4496,7.2012,7.3298,2013600
2005-12-30,7.2988,7.45,7.2988,7.3465,406100
2006-1-10,7.5,7.57,7.4409,7.4609,897900
2006-1-11,7.4006,8.3,7.39,8.2,6147700
2006-1-12,8.21,8.7,8.1,8.11,10189600
2006-1-13,8.2,9.19,8.1506,8.86,13370700
2006-1-16,8.9,9.49,8.9,9.4199,10370800
2006-1-17,9.42,9.45,8.8103,9.03,3453000
2006-1-18,8.9,9.14,8.7102,9.019,2456200
2006-1-19,8.85,9.3,8.78,9.21,2253000
2006-1-20,9.3899,9.88,9.1801,9.85,11714800
2006-1-23,9.8,9.8,9.5005,9.57,2431600
2006-1-24,9.6,9.95,9.5701,9.9199,3293300
2006-1-25,9.8101,9.98,9.7501,9.94,3856400
2006-1-26,9.9,10.3777,9.81,10.256,15243400
2006-1-27,10.4,10.84,10.21,10.7399,8696200
2006-1-30,10.69,10.81,9.81,10.055,8671800
2006-1-31,10.1,10.285,9.815,10.17,3660000
2006-2-1,10.1515,10.65,9.95,10.395,5766200
2006-2-2,10.4,10.95,10.4,10.7,10965500
2006-2-3,10.41,11.55,10.32,11.47,16344000
2006-2-6,11.47,12.2799,11.2,11.97,12474000
2006-2-7,11.76,13.9008,11.7501,12.84,26617900
2006-2-8,12.72,13.4888,11.8,12.3001,18402600
2006-2-9,12.37,12.3788,11.5,11.87,12943000
2006-2-10,11.72,12.3945,11.57,11.8101,7942600
2006-2-13,11.8999,11.97,11.51,11.67,4205000
2006-2-14,11.6,11.85,10.97,10.97,8856900
2006-2-15,11.09,11.8,10.28,11.54,7981100
2006-2-16,11.3501,11.8,11.1101,11.6502,6632900
2006-2-17,11.6,12,11.24,11.9999,5374300
2006-2-20,12.4,12.8,12.2085,12.7999,10057200
2006-2-21,12.72,13.05,12.04,12.6998,4460100
2006-2-22,12.58,12.945,12.4,12.8,2944400
2006-2-26,12.88,13.2,12.8,12.88,3317700
2006-2-27,12.9099,13.6898,12.74,13.35,4454500
2006-2-28,13.44,14.1001,12.9001,13.18,8252500
2006-3-1,13.15,13.8,12.85,13.1498,5509500
2006-3-2,13.2,13.4,13,13.1459,2172800
2006-3-3,13.27,13.27,13,13.2,1995400
2006-3-6,13.2499,13.2499,12.7706,12.78,1849800
