Date,Open,High,Low,Close,Volume
2011-11-18,1600,1600,1560,1562.5,4218
2011-11-21,1560,1560,1500.1,1500.1,550
2011-11-22,1540,1540,1500,1505,7323
2011-11-23,1505,1530,1480,1480,2231
2011-11-24,1485,1510,1480.1,1493.5,306
2011-11-25,1460,1510,1460,1460,3004
2011-11-28,1489.4,1495,1475,1480,505
2011-11-29,1465.1,1489.8,1465,1480,1534
2011-11-30,1475,1484.7,1467,1470,12961
2011-12-1,1470,1510,1465,1472,29065
2011-12-2,1468.1,1485,1459,1475,15251
2011-12-5,1475.1,1485,1474.9,1475,26216
2011-12-6,1460.1,1474.8,1440,1450.1,4467
2011-12-7,1464.8,1464.8,1445,1450,16691
2011-12-8,1464.9,1464.9,1440.1,1441,22308
2011-12-9,1449.9,1480,1400,1425,11606
2011-12-12,1430,1460,1420,1420.1,32022
2011-12-13,1424.9,1445,1420.1,1430,12890
2011-12-14,1430.1,1435,1430,1434.9,1865
2011-12-15,1439.9,1499.9,1400,1414,20659
2011-12-16,1428,1430,1410,1410,2400
2011-12-19,1470,1470,1400,1400,5151
2011-12-20,1411,1419.9,1395,1397,28798
2011-12-21,1400,1425,1377,1377,25276
2011-12-22,1409.9,1420,1375.2,1410,2619
2011-12-23,1410,1425,1390.1,1400,3762
2011-12-26,1400,1405,1375,1384.9,2185
2011-12-27,1380.1,1380.1,1365,1365,2314
2011-12-28,1365,1369.9,1350.5,1369,5166
2011-12-29,1370,1370,1335,1357.2,21731
2011-12-30,1370,1370,1335.5,1341.8,6180
2012-1-3,1349.9,1380,1335,1380,6154
2012-1-4,1380,1380,1370,1375.6,2275
2012-1-5,1370.1,1385,1370,1374.9,539
2012-1-6,1370.1,1384,1370.1,1380,1169
2012-1-9,1380,1380,1360,1370,914
2012-1-10,1380,1390,1365.1,1381,10835
2012-1-11,1375,1385,1371.1,1375.6,1053
2012-1-12,1380,1400,1370.3,1375,519
2012-1-13,1373.7,1400,1365,1389,24919
2012-1-16,1401.5,1415,1372,1405,8439
2012-1-17,1408,1434.1,1408,1425,2619
2012-1-18,1307.7,1456.9,1307.7,1454.9,16235
2012-1-19,1454.9,1494.9,1445,1465,21143
2012-1-20,1468.7,1500,1468.7,1489.2,26194
2012-1-23,1480.1,1499,1480,1494,33454
2012-1-24,1495,1528,1494.9,1495,8930
2012-1-25,1495.2,1529.7,1490,1510,11785
2012-1-26,1535.1,1540,1510,1519.9,50219
2012-1-27,1519.9,1525,1490,1505,28765
2012-1-30,1495,1510,1495,1495,1360
2012-1-31,1514,1550,1510,1550,6122
2012-2-1,1510.2,1650,1500.1,1564.9,12703
2012-2-2,1560.1,1575,1510,1512,10968
2012-2-3,1517,1550,1505,1550,16225
2012-2-6,1553.5,1570,1536,1537,17471
2012-2-7,1537,1600,1535,1580,17451
2012-2-8,1595,1645,1595,1635,55634
2012-2-9,1634,1660,1632,1648,54908
2012-2-10,1652,1705,1635.1,1704,74005
2012-2-13,1730,1755,1720,1752,54656
2012-2-14,1750,1760,1745,1749,29777
2012-2-15,1749.9,1759.9,1720,1727.2,26952
2012-2-16,1738.2,1743,1719.9,1720,24743
2012-2-17,1711,1734.7,1709.9,1720.3,46545
2012-2-20,1755,1755,1725.1,1730,17324
2012-2-21,1731,1733,1720,1730.8,4105
2012-2-22,1744.9,1759.9,1720,1728,11120
2012-2-24,1744.9,1745,1720,1726,29872
2012-2-27,1744.9,1755,1725,1755,44922
2012-2-28,1754,1787.1,1750,1780,53901
2012-2-29,1780,1827.7,1780,1822,29481
2012-3-1,1820.1,1829.9,1805,1825,7499
2012-3-2,1829.9,1899.8,1829.9,1877,12554
2012-3-5,1939,1947.9,1880,1899.9,5894
2012-3-6,1890.8,1890.8,1799.9,1835,36768
2012-3-7,1825,1859.9,1825,1839.8,7697
2012-3-11,1885,1885,1811,1854,3040
2012-3-12,1850,1999.9,1834,1870,37241
2012-3-13,1875,1899.2,1832,1861,25120
2012-3-14,1864,1875,1825.2,1825.2,25457
2012-3-15,1870.6,1870.6,1820,1822.1,9374
2012-3-16,1800.1,1800.1,1607.2,1760,52879
2012-3-19,1750.5,1774.9,1720,1759.6,16890
2012-3-20,1759.9,1759.9,1730,1730,4503
2012-3-21,1730,1735,1720,1720,12001
2012-3-22,1715.1,1733.8,1715,1719,3977
2012-3-23,1725,1740,1720,1720,26797
2012-3-26,1719.9,1730,1705,1725,4335
2012-3-27,1725,1740,1705.1,1720,2209
2012-3-28,1705,1720.1,1695,1695,20136
2012-3-29,1690.1,1708,1655,1655,16936
2012-3-30,1689.9,1710,1670,1700,8060
2012-4-2,1700,1709,1700,1700,339
2012-4-3,1708.9,1715,1700,1715,3033
2012-4-4,1715,1790,1700,1728.4,3903
2012-4-5,1729.9,1730,1690.2,1691,3819
2012-4-6,1700,1730,1690,1700,1448
2012-4-9,1700,1700,1680,1695,7379
2012-4-10,1700.1,1700.1,1685,1685,3553
2012-4-11,1668.2,1699.8,1665,1676,42666
2012-4-12,1676,1676,1650,1652.8,6663
2012-4-13,1668,1694.9,1666.8,1685,3652
2012-4-16,1685,1715,1670.4,1700,14801
2012-4-17,1700,1700,1680,1680.6,3273
2012-4-18,1699.8,1699.9,1679.8,1685,40423
2012-4-19,1684.8,1698.9,1682.5,1682.5,27594
2012-4-20,1679,1700.1,1656,1700.1,14778
2012-4-23,1683,1700,1683,1690,1628
2012-4-24,1670.1,1679.9,1605,1618.9,13120
2012-4-25,1618.9,1645.9,1618.9,1630,11695
2012-4-26,1630,1630,1552,1580,11420
2012-4-27,1580,1635,1575,1635,7911
2012-4-28,1635,1635,1630,1630.5,689
2012-5-2,1639.9,1645,1599,1599,7105
2012-5-3,1595,1610,1590.1,1610,4330
2012-5-4,1609.9,1623,1575,1590,5331
2012-5-5,1575.9,1598.7,1575,1580.1,1381
2012-5-7,1555.1,1599,1555,1598.9,198
2012-5-8,1598,1619.8,1584,1586.7,632
2012-5-10,1589.9,1590,1575,1575,6513
2012-5-11,1581.5,1583.5,1570,1570,2847
2012-5-12,1583.5,1597.8,1579,1585,1183
2012-5-14,1586,1589.9,1570.9,1571,7555
2012-5-15,1573,1630,1570,1590,7815
2012-5-16,1502.5,1535,1495,1495,8965
2012-5-17,1497.5,1500,1475,1475,1652
2012-5-18,1450,1499,1450,1490,3998
2012-5-21,1534.3,1567.2,1534.3,1567.2,1654
2012-5-22,1590,1650,1590,1595,1467
2012-5-23,1595,1595.5,1550,1550,1104
2012-5-24,1599.7,1599.7,1550,1578.1,10331
2012-5-25,1589.9,1647,1589.9,1629.9,3110
2012-5-28,1650,1655,1625,1625,1546
2012-5-29,1620,1650.1,1607.4,1610.1,24264
2012-5-30,1610,1610,1575,1580,12738
2012-5-31,1609.9,1609.9,1575.1,1580,12672
2012-6-1,1575,1575,1518.4,1565,12528
2012-6-4,1570,1624.9,1570,1620,10280
2012-6-5,1625,1659.8,1600,1645,25875
