Date,Open,High,Low,Close,Volume
2011-11-18,1375,1375,1315,1325,7397
2011-11-21,1325,1345,1275,1290,3787
2011-11-22,1290,1305,1275,1280,5999
2011-11-23,1270,1277.5,1259,1260,4335
2011-11-24,1260,1265,1250,1256,691
2011-11-25,1250.1,1255,1231,1241.3,902
2011-11-28,1250.5,1260,1230,1241,7922
2011-11-29,1235,1235,1175.5,1175.5,10074
2011-11-30,1209.8,1219,1190.1,1210,4134
2011-12-1,1218.5,1234.9,1203.1,1205,13475
2011-12-2,1205,1229,1205,1229,3761
2011-12-5,1215,1225,1210.5,1215,2891
2011-12-6,1205.1,1245,1191,1199.3,3946
2011-12-7,1209.9,1210,1185,1190,6568
2011-12-8,1204.9,1210,1188.8,1190,4546
2011-12-9,1186.5,1207,1147.1,1161,11926
2011-12-12,1179.9,1189.9,1150.1,1152,2486
2011-12-13,1164.9,1165,1148.3,1150,4265
2011-12-14,1157.9,1170.5,1111,1111,11788
2011-12-15,1121.1,1130,1060,1095,24139
2011-12-16,1097.5,1109,1094.1,1097.5,8716
2011-12-19,1090,1100,1064,1082.8,9672
2011-12-20,1062.1,1071.9,1044.7,1052.5,13494
2011-12-21,1052.5,1065,1040,1043.5,9490
2011-12-22,1049.8,1070,1045.3,1057.5,14407
2011-12-23,1064.9,1080,1052,1059.5,12739
2011-12-26,1060,1085,1056.3,1070,9527
2011-12-27,1074.9,1092,1060,1070,27855
2011-12-28,1070,1085,1061,1065,9490
2011-12-29,1064.8,1075,1050.7,1070,6950
2011-12-30,1072.5,1080,1060.5,1071,5308
2012-1-3,1079.6,1099.5,1075,1095,2529
2012-1-4,1099.7,1139.7,1096.1,1117,1294
2012-1-5,1120,1120,1116,1119.9,3420
2012-1-6,1116,1139.7,1116,1132.6,3620
2012-1-9,1138,1154,1130,1141,4946
2012-1-10,1148,1158.9,1140,1150,9015
2012-1-11,1146,1154,1141,1146,11178
2012-1-12,1147,1156.9,1143.2,1145,14012
2012-1-13,1147.4,1168.7,1147.4,1154.9,27974
2012-1-16,1150,1195,1150,1190,6638
2012-1-17,1189.9,1219.5,1189.9,1215.1,13470
2012-1-18,1215,1227.2,1210.5,1223,16449
2012-1-19,1223,1250,1223,1236.9,10533
2012-1-20,1322.5,1322.5,1223,1227.5,13137
2012-1-23,1225,1227,1210.2,1214,4944
2012-1-24,1213.9,1217,1207.5,1212,11087
2012-1-25,1211,1220.5,1209.2,1214.9,30570
2012-1-26,1224.9,1239,1203,1213,24467
2012-1-27,1205.1,1214.3,1175,1180,30523
2012-1-30,1154.9,1200,1154.9,1193.9,8796
2012-1-31,1190,1214.9,1180,1210,6524
2012-2-1,1209.5,1217,1205.6,1214,9960
2012-2-2,1219.5,1219.5,1205.2,1209.8,20490
2012-2-3,1215.7,1226,1210,1225,14188
2012-2-6,1229.5,1234,1220,1228.5,5796
2012-2-7,1228,1245,1227,1243.8,19706
