Date,Open,High,Low,Close,Volume
2017-8-1,640,842,630,679,276
2017-8-2,670,670,618,652,73
2017-8-3,680,680,628,650,51
2017-8-4,648,648,646,646,2
2017-8-7,620,633,615,633,5
2017-8-8,614,628,606,628,116
2017-8-9,616,621,600,617,5523
2017-8-10,617,617,600,600,174
2017-8-11,651,651,621,625,1090
2017-8-14,631,631,611,615,14
2017-8-15,637,637,637,637,1
2017-8-16,610,630,600,614,20081
2017-8-17,602,618,600,612,11101
2017-8-18,606,606,604,604,26
2017-8-21,603,603,600,602,5002
2017-8-22,601,608,600,608,32
2017-8-23,608,608,601,608,16
2017-8-24,601,603,600,600,5026
2017-8-25,601,608,600,605,5034
2017-8-28,602,609,602,602,6
2017-8-29,609,644,602,602,28
2017-8-30,602,611,600,610,18060
2017-8-31,603,618,602,610,59
2017-9-1,604,619,602,602,48
2017-9-4,609,614,603,610,49
2017-9-5,613,616,605,605,97
2017-9-6,603,618,602,618,20
2017-9-8,604,604,602,603,83
2017-9-11,603,603,603,603,53
2017-9-12,614,614,602,602,11
2017-9-13,611,611,605,605,2
2017-9-14,603,603,603,603,1000
2017-9-15,603,649,603,648,282
2017-9-18,610,647,603,629,5085
2017-9-19,618,625,616,625,9
2017-9-20,616,624,606,606,11
2017-9-21,612,638,606,620,113
2017-9-22,620,630,600,607,21186
2017-9-25,605,628,605,624,101
2017-9-26,626,629,600,620,11727
2017-9-27,628,628,615,618,53
2017-9-28,615,639,605,605,27718
2017-9-29,611,619,610,615,20
2017-10-2,622,625,606,618,277
2017-10-3,610,617,610,611,1039
2017-10-4,613,619,613,619,2
2017-10-5,618,619,618,619,27
2017-10-6,623,626,623,626,594
2017-10-9,620,635,620,628,683
2017-10-10,632,632,629,629,3
2017-10-11,634,662,634,650,740
2017-10-12,644,646,605,620,10132
2017-10-13,629,630,629,630,29
2017-10-16,632,632,632,632,2
2017-10-17,640,640,625,625,1013
2017-10-18,631,649,630,649,22
2017-10-19,640,640,635,635,52
2017-10-20,666,666,641,641,16
2017-10-23,641,643,640,643,77
2017-10-24,643,643,636,636,21
2017-10-25,651,651,639,639,5
2017-10-26,637,640,630,639,72
2017-10-27,682,682,630,637,64
2017-10-30,629,635,625,631,182
2017-10-31,639,639,639,639,5
2017-11-1,626,626,625,625,6
2017-11-2,625,625,625,625,1
2017-11-7,625,625,625,625,152
2017-11-8,625,650,625,650,140
2017-11-9,645,645,628,628,2
2017-11-10,648,648,625,640,270
2017-11-13,636,638,636,638,10
2017-11-14,645,650,645,650,561
2017-11-15,650,650,640,640,59
2017-11-16,640,640,630,630,73
2017-11-17,649,650,640,640,44
2017-11-20,648,658,648,658,148
2017-11-21,650,650,650,650,1
2017-11-22,650,650,650,650,65
2017-11-23,650,656,650,656,41
2017-11-24,650,650,631,641,631
2017-11-27,648,648,648,648,1
2017-11-28,649,649,640,648,67
2017-11-30,640,641,630,630,1254
2017-12-1,636,636,633,635,96
2017-12-4,630,636,630,636,3480
2017-12-13,641,641,638,638,7
2017-12-14,640,641,640,641,35
2017-12-15,640,640,630,630,639
2017-12-18,630,640,630,630,1161
2017-12-19,630,631,629,630,6258
2017-12-20,631,631,630,630,1600
2017-12-21,630,631,630,631,1072
2017-12-22,630,630,630,630,50
2017-12-25,641,642,640,642,3
2017-12-27,653,653,653,653,1
2017-12-28,644,644,640,642,6
2017-12-29,645,645,645,645,1
2018-1-3,651,676,640,651,89
2018-1-4,650,650,649,649,3
2018-1-9,639,639,601,635,19
2018-1-10,635,636,620,636,749
2018-1-11,630,636,620,632,1837
2018-1-12,625,630,600,620,12562
2018-1-15,625,625,620,620,831
2018-1-16,620,630,620,630,772
2018-1-17,631,638,631,632,9
2018-1-18,622,645,622,630,21
2018-1-22,630,630,630,630,9
2018-1-23,630,630,630,630,50
2018-1-24,630,630,630,630,68
2018-1-25,630,645,630,637,449
2018-1-26,637,637,630,630,83
2018-1-29,630,639,630,638,52
2018-1-30,632,632,630,631,70
2018-1-31,630,636,617,635,820
2018-2-1,638,638,633,635,82
2018-2-2,636,636,635,635,357
2018-2-6,631,638,631,631,136
2018-2-8,636,637,632,632,3
2018-2-13,635,635,635,635,1
