Date,Open,High,Low,Close,Volume
2010-4-23,4.25,5,4.05,4.3,610
2010-4-26,4.051,4.205,4,4.189,162
2010-4-27,4.2,4.284,4.002,4.284,230
2010-4-28,4.002,4.265,4,4.265,85
2010-4-29,4.005,4.299,4.005,4.299,123
2010-5-4,4.299,4.299,4.299,4.299,25
2010-5-5,4.018,4.191,4.003,4.191,249
2010-5-6,4.269,4.297,4.018,4.297,86
2010-5-7,4.019,4.242,4.012,4.242,3
2010-5-11,3.577,4.195,3.501,4.195,5
2010-5-12,3.401,4.188,3.4,4.188,75
2010-5-13,4.017,4.248,3.953,4.209,13
2010-5-14,3.99,4.201,3.988,4.101,5
2010-5-17,3.96,4.1,3.822,4.098,130
2010-5-19,4.075,4.123,4.001,4.123,453
2010-5-20,4.001,4.118,4,4.118,806
2010-5-21,3.93,4.115,3.93,4.115,2
2010-5-24,3.872,4.069,3.872,4.069,602
2010-5-25,4.118,4.238,4.03,4.093,334
2010-5-26,4.05,4.099,4.05,4.099,302
2010-5-28,4.231,4.239,3.878,3.878,61
2010-5-31,4.239,4.24,3.833,4.24,2058
2010-6-1,4.234,4.24,4.23,4.24,201
2010-6-2,3.871,4.2,3.814,4.189,232
2010-6-3,4.05,4.178,4.05,4.178,264
2010-6-4,4.002,4.002,4.002,4.002,1
2010-6-7,4.194,4.195,4.18,4.195,30
2010-6-8,4.24,4.24,4.218,4.218,2
2010-6-9,4.289,4.289,3.95,4.183,408
2010-6-10,4.002,4.137,4.001,4.137,10
2010-6-11,4.229,4.229,4.229,4.229,1
2010-6-15,4.228,4.239,4.001,4.197,364
2010-6-16,4.237,4.237,4.237,4.237,2
2010-6-17,4.236,4.236,4.1,4.232,290
2010-6-18,4.228,4.228,4.224,4.224,7
2010-6-21,4.222,4.222,4.029,4.029,11
2010-6-22,4.028,4.134,4.028,4.134,2
2010-6-23,4.1,4.18,4.1,4.174,41
2010-6-24,4.249,4.249,4,4.1,451
2010-6-25,4,4.046,4,4.046,1793
2010-6-28,4.001,4.001,4,4,11
2010-6-29,4.019,4.02,4.019,4.02,15
2010-6-30,4.18,4.18,4,4,351
2010-7-1,4,4,4,4,1
2010-7-2,4,4.4,4,4.24,346
2010-7-5,4.24,4.24,4.218,4.24,7
2010-7-6,4.238,4.24,4.238,4.24,89
2010-7-7,3.955,4.1,3.016,4.1,149
2010-7-8,4.23,4.234,4.01,4.234,26
2010-7-9,3.701,4.149,3.424,4.124,16
2010-7-12,4.148,4.211,4.148,4.211,7
2010-7-13,4.2,4.24,4,4.24,477
2010-7-14,4.238,4.239,4.238,4.239,2
2010-7-15,4.239,4.239,4.239,4.239,1
2010-7-19,4.009,4.009,4.007,4.007,2
2010-7-21,4.2,4.2,4.2,4.2,1
2010-7-26,4.032,4.036,3.999,3.999,173
2010-7-27,4,4.05,3.932,3.932,142
2010-7-28,3.814,3.814,3.813,3.813,20
2010-7-30,3.942,3.943,3.942,3.943,4
2010-8-2,4.049,4.049,4.047,4.047,3
2010-8-4,4.046,4.046,4.006,4.006,116
2010-8-5,4,4.034,4,4.028,7
2010-8-6,3.966,4.035,3.966,4.035,4
2010-8-9,4.035,4.086,4.035,4.086,425
2010-8-10,4.046,4.046,4.04,4.04,7
2010-8-11,4.087,4.147,4.087,4.127,995
2010-8-13,4.147,4.148,4.147,4.148,2
2010-8-16,4.147,4.147,4.147,4.147,1
2010-8-17,4.19,4.19,3.859,4.08,21
2010-8-18,4.087,4.169,4.087,4.169,3
2010-8-19,4.237,4.237,4.198,4.198,2
2010-8-20,4.198,4.198,4.09,4.198,19
2010-8-23,3.848,4.199,3.512,4.199,1232
2010-8-24,3.91,4.1,3.569,4.1,59
2010-8-25,4.189,4.189,4.189,4.189,1
2010-8-26,4.189,4.189,4.188,4.188,8
2010-8-30,4.198,4.2,4.198,4.199,61
2010-8-31,4.199,4.199,4.199,4.199,1
2010-9-1,4.199,4.281,4.024,4.241,2208
2010-9-2,4.2,4.2,4.2,4.2,3
2010-9-3,4.199,4.2,4.185,4.2,7
2010-9-6,4.241,4.241,4.241,4.241,1
2010-9-7,4.199,4.199,4.18,4.18,33
2010-9-8,4.241,4.241,4.199,4.199,3
2010-9-10,4.2,4.4,4.2,4.3,1708
2010-9-13,4.3,4.414,4.3,4.4,25
2010-9-14,4.43,4.43,4.4,4.4,105
2010-9-15,4.35,4.41,4.349,4.35,469
2010-9-16,4.5,4.5,4.3,4.35,159
2010-9-17,4.35,4.35,4.15,4.348,656
2010-9-20,4.44,4.44,4.3,4.36,316
2010-9-22,4.3,4.36,4.3,4.36,31
2010-9-23,4.32,4.32,4.3,4.3,100
2010-9-24,4.3,4.34,4.3,4.34,8
2010-9-27,4.368,4.385,4.301,4.368,11
2010-9-28,4.411,4.411,4.365,4.375,4
2010-9-29,4.411,4.411,4.282,4.4,121
2010-9-30,4.411,4.412,4.305,4.305,15
2010-10-1,4.35,4.35,4.228,4.3,111
2010-10-4,4.195,4.338,4.152,4.338,15
2010-10-5,4.3,4.343,4.299,4.343,111
2010-10-6,4.412,4.59,4.412,4.501,5306
2010-10-7,4.465,4.465,4.325,4.41,15
2010-10-8,4.412,4.456,4.282,4.282,26
2010-10-11,4.325,4.351,4.282,4.351,60
2010-10-12,4.3,4.37,4.203,4.369,51
2010-10-13,4.402,4.501,4.402,4.5,104
2010-10-14,4.46,4.545,4.46,4.545,11
2010-10-15,4.546,6.13,4.546,5.85,6793
2010-10-18,5.6,5.751,5.015,5.467,933
2010-10-19,5.4,5.65,5.205,5.4,313
2010-10-20,5.201,5.444,5,5.38,1141
2010-10-21,5.28,5.367,5.27,5.367,855
2010-10-22,5.37,5.501,5.275,5.5,372
2010-10-25,5.999,5.999,5.4,5.658,156
2010-10-26,5.502,5.657,5.449,5.657,4
2010-10-27,5.655,5.655,5.311,5.4,157
2010-10-28,5.5,5.5,5.401,5.5,182
2010-10-29,5.45,5.497,5.3,5.483,215
2010-11-1,5.499,5.499,5.4,5.436,4
2010-11-2,5.4,5.401,5.221,5.4,136
2010-11-3,5.493,5.495,5.4,5.492,31
2010-11-8,5.479,5.5,5.479,5.5,49
2010-11-9,5.4,5.496,5.36,5.36,33
2010-11-10,5.478,5.478,5.449,5.454,24
2010-11-11,5.361,5.47,5.2,5.4,206
2010-11-12,5.375,5.467,5.375,5.467,2
2010-11-13,5.31,5.48,5.31,5.407,6
2010-11-15,5.447,5.447,5.447,5.447,1
2010-11-16,5.301,5.347,5.21,5.25,194
2010-11-17,5.339,5.339,5.13,5.252,8
2010-11-18,5.3,5.338,5.3,5.31,3
2010-11-19,5.25,5.348,5.2,5.261,25
2010-11-22,5.339,5.339,5,5.158,351
2010-11-23,5.15,5.15,4.9,4.903,804
2010-11-24,4.909,5,4.85,5,1567
2010-11-25,4.911,5.248,4.911,5.14,16682
2010-11-26,5.238,5.244,5.1,5.243,38
2010-11-29,5.243,5.243,5.004,5.114,70
2010-11-30,5.139,5.139,5.019,5.019,9
2010-12-1,5.1,5.14,5.1,5.1,45
2010-12-2,5.1,5.249,5,5.2,256
2010-12-3,5.187,5.188,4.9,5.04,701
2010-12-6,4.951,5.021,4.909,4.91,324
2010-12-7,4.98,5.032,4.902,5.032,74
2010-12-8,5.029,5.045,5.029,5.03,214
2010-12-9,4.942,4.942,4.8,4.83,153
2010-12-10,4.942,5.001,4.87,5,95
2010-12-13,4.932,4.942,4.845,4.942,7
2010-12-14,5.009,5.104,5,5.1,610
2010-12-15,5.141,5.597,5.141,5.25,2684
2010-12-16,5.167,5.4,5.167,5.4,675
2010-12-17,5.457,5.585,5.4,5.4,662
2010-12-20,5.404,5.612,5.404,5.5,340
2010-12-21,5.678,5.844,5.501,5.844,374
2010-12-22,5.752,5.866,5.741,5.866,5
2010-12-23,5.848,5.869,5.7,5.8,501
2010-12-24,5.799,5.8,5.7,5.8,241
2010-12-27,5.8,5.874,5.799,5.8,264
2010-12-28,5.828,5.889,5.8,5.81,92
2010-12-29,5.893,6.75,5.81,6,3227
2010-12-30,7.325,7.325,5.8,5.9,1237
2011-1-11,5.835,6.677,5.802,6.027,455
2011-1-12,6.147,8.438,6.131,7.149,11825
2011-1-13,7.01,7.1,6.6,6.786,2476
2011-1-14,6.586,6.799,6.5,6.736,320
2011-1-17,6.66,6.892,6.525,6.597,71
2011-1-18,6.759,8.438,6.358,7.032,14385
2011-1-19,7.001,8.8,7,7.7,3427
2011-1-20,7.7,8.49,5.511,8,5394
2011-1-21,8.098,8.419,7.94,8.1,2778
2011-1-24,8.1,8.49,7.161,8.2,5134
2011-1-25,8.21,8.435,8.21,8.428,1483
2011-1-26,7.976,8.744,7.975,8.585,4297
2011-1-27,8.7,10.46,8.6,9,2784
2011-1-28,8.55,9.497,8.55,9.493,821
2011-1-31,9.469,9.469,9.036,9.383,188
2011-2-1,9.209,9.237,9.093,9.18,158
2011-2-2,9.104,9.2,8.701,9.097,870
2011-2-3,8.796,9.097,8.705,9.084,38
2011-2-4,9.31,9.984,9.31,9.701,6027
2011-2-7,9.6,10,9.451,9.75,1164
2011-2-8,9.745,9.899,9.199,9.201,3043
2011-2-9,9.2,9.307,9,9.148,3228
2011-2-10,9,9.49,9,9.001,3344
2011-2-11,9.35,10.2,9.35,10,15185
2011-2-14,9.96,10,9.582,10,1457
2011-2-15,10.02,10.3,9.95,10.15,1667
2011-2-16,10.21,10.37,10.2,10.37,1326
2011-2-17,12.488,12.488,6.512,11.51,4248
2011-2-18,11.619,13.499,11.619,12.511,2468
2011-2-21,13.399,15.637,12.703,14.999,3293
2011-2-22,14.75,14.75,12.128,12.999,3944
2011-2-24,12.999,13,11.251,11.45,954
2011-2-25,11.85,11.85,10.503,11.7,1247
2011-2-28,11.499,11.499,10.499,10.733,922
2011-3-1,10.889,10.889,10.5,10.818,648
2011-3-2,10.954,11.6,10.6,11.4,1642
2011-3-3,11.5,12.797,11.49,12.783,3898
2011-3-4,12.25,13.1,12.25,12.79,1675
2011-3-5,12.9,13.7,12.9,13.28,3642
2011-3-9,13.824,14.4,13.207,14.07,19310
2011-3-10,14.25,15,14.2,14.674,1924
2011-3-11,14.22,14.449,13.499,14.1,3328
2011-3-14,14.779,14.779,14,14,1335
2011-3-15,14,14.199,14,14.199,4575
2011-3-16,14.025,14.025,14,14,2139
2011-3-17,14.499,14.799,14.25,14.799,1897
2011-3-18,14.5,15,14,14.49,1289
2011-3-21,14.45,14.9,14.45,14.615,1344
2011-3-22,14.511,14.59,14.5,14.59,1220
2011-3-23,14.55,14.6,14.45,14.501,1848
2011-3-24,14.451,14.515,14.45,14.47,4398
2011-3-25,14.599,14.599,14.001,14.015,535
2011-3-28,14.001,14.25,12.864,14.108,3927
2011-3-29,13.989,14.29,13.8,14.25,2950
2011-3-30,14.25,14.5,14.25,14.5,1567
2011-3-31,14.254,14.5,14.25,14.25,1202
2011-4-1,14.251,14.251,14,14.002,1022
2011-4-4,14,14.5,14,14.45,2645
2011-4-5,14.65,14.8,14.65,14.768,6628
2011-4-6,14.75,14.796,14.587,14.7,1910
2011-4-7,14.71,14.785,14.7,14.7,206
2011-4-8,14.7,14.7,14.581,14.7,1285
2011-4-11,14.685,14.69,14.499,14.5,2015
2011-4-12,14.649,19.56,14.5,15,5231
2011-4-13,15.039,15.1,14.68,14.817,163
2011-4-14,14.7,14.7,12.078,14.5,1860
2011-4-15,13.586,14.8,13.586,14.8,106
2011-4-18,14.5,14.5,14.247,14.25,1082
2011-4-19,14.201,14.201,14.2,14.2,834
2011-4-20,14.2,14.398,14.2,14.33,649
2011-4-21,14.055,14.055,14.05,14.05,135
2011-4-22,14,14.199,13.8,13.8,862
2011-4-25,13.905,14.054,13.8,13.802,1283
2011-4-26,13.998,13.998,13.5,13.709,3331
2011-4-27,13.7,13.7,13.55,13.6,1181
2011-4-28,13.8,14.144,10.2,13.501,6535
2011-4-29,13.5,13.852,13.5,13.8,987
2011-5-3,13.602,13.704,13.46,13.46,1304
2011-5-4,13.201,13.201,12.801,12.801,2095
2011-5-5,12.801,12.801,12.5,12.5,2016
2011-5-6,12.5,12.769,12.499,12.5,759
2011-5-10,12.55,12.605,12.5,12.55,700
2011-5-11,12.63,12.714,12.575,12.714,121
2011-5-12,12.811,12.83,12.699,12.83,57
2011-5-13,12.849,12.849,12.5,12.8,388
2011-5-16,12.602,12.86,12.6,12.8,267
2011-5-17,12.85,14,12.814,14,482
2011-5-18,14.01,14.01,13.862,13.9,558
2011-5-19,14,14.104,13.927,13.927,325
2011-5-20,14,14.55,13.99,13.99,550
2011-5-23,13.9,13.99,13.896,13.961,63
2011-5-24,13.9,13.9,13.801,13.802,78
2011-5-25,13.85,13.85,13.001,13.05,674
2011-5-26,13.498,13.501,13,13.333,782
2011-5-27,13.101,13.101,13,13,196
2011-5-30,13.1,13.3,13,13,442
2011-5-31,12.94,12.94,12.505,12.55,595
2011-6-1,12.95,12.95,12.5,12.575,1117
2011-6-2,12.575,12.575,12.55,12.55,199
2011-6-3,12.551,12.551,12.55,12.55,169
2011-6-6,12.525,12.57,12.5,12.5,173
2011-6-7,12.501,12.6,12.5,12.5,245
2011-6-8,12.57,12.65,12.511,12.535,162
2011-6-9,12.552,13.037,12.502,12.9,291
2011-6-10,12.593,13.01,12.593,12.999,47
2011-6-14,12.755,13.4,12.75,13.003,318
2011-6-15,12.985,13,12.934,12.95,52
2011-6-16,12.875,12.875,12.7,12.7,20
2011-6-17,12.5,15.286,12.5,13,513
2011-6-20,13.2,14.055,13.2,13.953,17
2011-6-21,13.9,13.9,13.001,13.271,257
2011-6-22,13.321,13.321,13.197,13.2,218
2011-6-23,13.197,13.197,13.05,13.05,160
2011-6-27,13.001,13.069,13.001,13.001,11
2011-6-28,13.199,13.199,12.999,12.999,32
2011-6-29,12.999,13.298,12.999,13,289
2011-6-30,13,15.075,13,13.198,648
2011-7-1,13.025,14,13,13.979,357
2011-7-4,13.8,13.999,13.7,13.7,217
2011-7-5,13.942,13.999,13.699,13.7,147
2011-7-6,13.701,13.999,13.7,13.8,345
2011-7-7,13.899,13.899,13.716,13.799,18
2011-7-8,13.8,13.8,13.7,13.7,98
2011-7-11,13.575,13.575,13.35,13.499,18
2011-7-12,13.4,13.4,12.6,13.099,48
2011-7-13,13,13,12.999,12.999,24
2011-7-14,12.999,13.3,12.999,13,322
2011-7-15,13.03,13.118,12.901,13,228
2011-7-18,12.998,13.45,12.998,13.1,284
2011-7-19,13.15,13.15,12.5,12.59,465
2011-7-20,12.7,13.998,12.498,13.998,1093
2011-7-21,13.232,13.996,12.99,13.25,161
2011-7-22,13.149,13.15,13.056,13.056,1828
2011-7-25,13.199,13.199,13.001,13.057,1803
2011-7-26,13.1,13.1,13,13.1,13
2011-7-27,12.985,12.985,12.95,12.95,10
2011-7-28,12.9,13,12.516,12.845,210
2011-7-29,12.797,13,12.797,13,65
2011-8-1,13.725,13.725,12.4,12.754,452
2011-8-2,12.939,12.94,12.921,12.94,67
2011-8-3,13,13,12.708,12.795,10
2011-8-4,12.6,12.702,12.4,12.4,58
2011-8-5,12.299,12.892,11.55,11.551,188
2011-8-8,10.522,12.175,7,10.999,401
2011-8-9,9.551,11.485,9.551,10.499,89
2011-8-10,10.85,10.99,10.61,10.61,99
2011-8-11,10.412,10.419,8.2,9.45,417
2011-8-12,9.375,11.21,9.131,11.21,83
2011-8-15,10.103,11.209,10.103,11.209,4
2011-8-16,11.18,11.18,11.18,11.18,2
2011-8-17,10.79,11,10.51,11,22
2011-8-18,10.9,10.925,10.9,10.9,5
2011-8-22,11.1,11.1,11.1,11.1,7
2011-8-23,10.985,11.44,10.5,11.44,109
2011-8-25,11,11,10.8,11,31
2011-8-26,10.8,10.8,10.02,10.8,90
2011-8-29,10.003,10.88,10,10.8,200
2011-8-30,10.6,10.6,10.6,10.6,4
2011-9-5,11,11,10.85,10.95,6
2011-9-6,10.88,11.2,10.865,11.2,64
2011-9-7,10.985,10.985,10.892,10.892,32
2011-9-9,10.999,10.999,10.103,10.17,1046
2011-9-12,10.527,11.44,9.202,10.95,431
2011-9-13,10.98,11.098,10.124,10.2,332
2011-9-14,10.055,11,9.557,10.689,594
2011-9-15,10.999,11,10.7,11,21
2011-9-16,10.715,10.994,10.476,10.994,53
2011-9-19,10.601,10.65,10.014,10.516,37
2011-9-20,10.123,10.8,10.123,10.5,1589
2011-9-21,10.787,10.787,10.57,10.57,2
2011-9-22,10.35,10.39,10.25,10.25,104
2011-9-23,10.215,10.215,9.2,9.6,264
2011-9-26,9.65,9.989,9.65,9.989,100
2011-9-27,10,10.55,10,10.55,172
2011-9-28,10.25,10.25,10.25,10.25,1
2011-9-29,10.011,10.798,10.011,10.798,268
2011-9-30,10.197,10.492,9.999,10.376,83
2011-10-3,9.711,9.711,9.711,9.711,1
2011-10-4,9.976,10.939,9.976,10.388,3
2011-10-5,9.578,10.385,9.578,10.385,2
2011-10-6,10.448,10.75,10.007,10.007,72
2011-10-7,9.963,10.729,9.963,10.729,4
2011-10-10,10.748,12.995,10.061,12.5,1675
2011-10-11,15.099,15.1,12.001,12.956,1344
2011-10-12,12.002,14.766,11.672,13.005,1002
2011-10-13,13.01,13.998,12.543,12.771,176
2011-10-14,12.425,13.75,11.002,13.182,374
2011-10-17,12.905,13.875,12.578,13.875,123
2011-10-18,13.597,13.889,13.597,13.889,71
2011-10-19,13.028,13.499,12.054,13.498,45
2011-10-20,13,13.495,12.252,13.196,274
2011-10-21,13.1,13.498,13.1,13.35,96
2011-10-24,12.57,13,12.57,13,20
2011-10-25,12.4,13.199,12.4,13.182,31
2011-10-26,13.182,13.498,13.182,13.498,61
2011-10-28,13.199,13.399,12.538,12.538,95
2011-10-31,12.999,13.498,12.8,13,201
2011-11-1,13.493,13.498,13,13,38
2011-11-2,14.388,14.682,12.818,12.9,126
2011-11-3,12.999,12.999,12.626,12.995,53
2011-11-7,12.895,12.9,12.112,12.112,54
2011-11-8,12.9,12.9,12.7,12.7,9
2011-11-9,13.4,14,12.95,12.95,382
2011-11-10,13,13.199,12.8,13,79
2011-11-11,13,13,13,13,3
2011-11-14,12.989,12.999,12.775,12.775,46
2011-11-16,12.979,12.98,12.803,12.89,10
2011-11-18,12.8,13.197,12.686,13.197,124
2011-11-22,12.85,12.85,12.168,12.168,5
2011-11-23,12.2,12.998,12.2,12.266,73
2011-11-25,12.25,12.25,12.25,12.25,1
2011-11-28,12.2,12.2,12.1,12.2,11
2011-11-29,12.2,13,12.2,12.3,45
2011-11-30,12.974,13.433,12.251,12.251,203
2011-12-1,12.9,12.9,12.7,12.7,36
2011-12-2,12.8,13.5,11.453,12.5,273
2011-12-6,12.7,12.7,12.479,12.479,4
2011-12-8,12.65,12.998,12.5,12.5,152
2011-12-9,12.49,12.49,12.3,12.3,4
2011-12-12,12.4,12.4,12,12,12
2011-12-13,12.996,12.996,12.4,12.4,2
2011-12-14,12.1,12.292,11.457,12,247
2011-12-15,12,12,12,12,1
2011-12-16,12.001,12.498,11.94,12.498,198
2011-12-19,12.498,12.499,12,12.499,62
2011-12-20,12.3,12.4,12.3,12.324,216
2011-12-21,12.994,13.2,11.7,11.7,239
2011-12-22,12.299,12.498,11.003,12,328
2011-12-23,11.985,12.498,11.7,12.498,10
2011-12-28,12.48,12.5,10.012,11.715,863
2011-12-29,11.855,11.855,11.605,11.825,7
2011-12-30,12.238,13.2,12.238,12.48,923
2012-1-3,13.15,13.728,13.15,13.728,39
2012-1-4,12.5,12.5,12.49,12.49,4
2012-1-5,12.201,12.486,12.201,12.486,27
2012-1-12,13.1,13.125,12.45,12.45,165
2012-1-13,12.45,12.499,12.45,12.499,52
2012-1-16,12.498,12.498,12.1,12.498,46
2012-1-17,12.4,12.4,12.35,12.35,4
2012-1-18,12.35,12.35,12.35,12.35,2
2012-1-19,13.12,13.459,10.01,12.1,567
2012-1-20,12.495,12.495,12.495,12.495,78
2012-1-23,11.85,11.85,11.801,11.801,8
2012-1-25,12.398,12.398,12.13,12.13,3002
2012-1-26,12.398,13.95,12.001,12.249,1765
2012-1-27,12.499,12.499,12.05,12.099,107
2012-1-30,12.001,12.001,12.001,12.001,3
2012-1-31,12.1,12.119,11.81,12.119,39
2012-2-1,12.084,12.35,12.071,12.35,3
2012-2-2,12.1,12.298,12.014,12.1,216
2012-2-3,12.1,12.1,12.051,12.051,7
2012-2-6,12.299,13.657,12.2,12.219,308
2012-2-7,12.877,12.898,11.9,12.099,187
2012-2-8,12.152,12.152,12.151,12.151,2
2012-2-9,12.199,12.199,12,12,6
2012-2-10,11.951,11.951,11.951,11.951,5
2012-2-13,12.199,12.2,11.608,11.995,57
2012-2-14,11.85,12.398,11.85,12.35,529
2012-2-15,12.349,12.349,12.121,12.299,15
2012-2-16,12.346,12.898,12.15,12.3,276
2012-2-17,12.3,12.317,12.17,12.317,16
2012-2-20,12.3,12.3,12.3,12.3,10
2012-2-21,12.3,12.3,12.299,12.299,3
2012-2-22,12.204,12.898,12.18,12.69,216
2012-2-24,12.5,12.5,12.385,12.385,39
2012-2-27,12.499,12.499,12.085,12.4,336
2012-2-28,12.784,12.8,12.784,12.8,599
2012-2-29,12.8,13.26,12.8,13.1,481
2012-3-1,13,13.175,13,13.175,104
2012-3-2,13.1,13.4,13.1,13.4,1570
2012-3-6,13.42,13.42,13.42,13.42,1
2012-3-7,13.101,13.101,13.101,13.101,1
2012-3-11,13.374,13.375,13.374,13.375,3
2012-3-12,13.175,14,13.1,13.1,713
2012-3-13,13.2,13.769,13.2,13.529,193
2012-3-14,13.695,13.695,13.301,13.396,66
2012-3-15,13.35,13.687,13.35,13.553,57
2012-3-16,13.61,13.61,13.406,13.578,44
2012-3-19,13.653,13.653,13.1,13.4,84
2012-3-20,13.4,13.4,13.1,13.394,38
2012-3-21,13.454,13.454,13.454,13.454,5
2012-3-22,13.141,13.141,13.139,13.139,14
2012-3-23,13.051,13.051,13,13,9
2012-3-26,12.982,12.982,12.8,12.894,19
2012-3-27,12.791,12.791,12.79,12.79,5
2012-3-30,12.71,12.8,12.2,12.8,61
2012-4-2,12.007,12.749,11.169,12.7,125
2012-4-3,12.499,12.698,12.25,12.698,29
2012-4-4,12.253,12.28,12,12,16
2012-4-5,11.9,12.772,11.899,12.772,7
2012-4-6,11.901,11.975,11.9,11.975,16
2012-4-9,12.246,12.246,11.815,12.179,3
2012-4-10,12.179,12.179,12.179,12.179,8
2012-4-12,12.102,12.102,11.9,12.067,9
2012-4-13,11.875,11.886,11.158,11.8,65
2012-4-16,11.8,11.997,11.8,11.997,49
2012-4-17,11.999,11.999,11.8,11.8,40
2012-4-18,12.249,12.249,12.249,12.249,1
2012-4-19,12.3,12.317,11.9,11.9,347
2012-4-20,11.92,11.92,11.7,11.905,367
2012-4-23,11.7,11.715,11.299,11.3,572
2012-4-24,11.354,11.354,11.35,11.35,30
2012-4-25,11.35,11.351,11.35,11.35,102
2012-4-26,11.35,11.35,11.25,11.251,44
2012-5-2,11.201,11.201,11.2,11.2,37
2012-5-3,11.2,11.201,11.2,11.201,7
2012-5-4,10.401,10.401,10.071,10.17,68
2012-5-5,9.156,10.001,9.006,10,33
2012-5-7,9.999,10,9.999,10,96
2012-5-10,10.271,10.271,10.25,10.25,18
2012-5-11,10.25,10.397,9.067,10.25,347
2012-5-12,10.2,10.399,10.2,10.399,7
2012-5-14,10.25,10.25,10.103,10.103,2
2012-5-15,10.101,10.101,10.1,10.1,70
2012-5-16,10.749,10.994,10.7,10.994,28
2012-5-17,10.5,10.5,10.5,10.5,50
2012-5-18,10.2,10.2,10.2,10.2,16
2012-5-21,10.006,10.006,10,10,154
2012-5-22,10.001,10.001,10.001,10.001,1
2012-5-23,10.001,10.001,10.001,10.001,3
2012-5-24,10,10.001,9.999,9.999,255
2012-5-25,9.9,9.9,9.8,9.8,122
2012-5-28,10.001,10.001,9.9,9.9,135
2012-5-29,9.9,10.295,9.9,9.9,93
2012-5-30,9.9,9.9,9.9,9.9,5
2012-5-31,9.9,9.9,9.8,9.8,210
2012-6-1,9.9,9.9,9.9,9.9,80
2012-6-4,9.8,9.8,9.7,9.724,201
2012-6-5,9.8,9.8,9.7,9.711,111
2012-6-6,9.71,9.71,9.701,9.71,17
2012-6-9,9.801,10.699,9.8,10,26
2012-6-14,10.749,10.749,10.749,10.749,1
2012-6-19,10.276,10.276,10.276,10.276,1
2012-6-21,10,10.746,10,10.746,45
2012-6-22,10.746,11.176,10.746,11,227
2012-6-25,11,11.001,10.8,10.8,162
2012-6-26,11,11,10.999,11,231
2012-7-2,11,11,11,11,10
2012-7-3,11,11,11,11,60
2012-7-5,11,11.001,11,11.001,12
2012-7-9,11,11,10.999,11,418
2012-7-10,11,11,11,11,625
2012-7-11,11,11,11,11,46
2012-7-12,11,11,11,11,1
2012-7-16,11,11,11,11,70
2012-7-20,11.501,11.501,11.5,11.5,37
2012-7-23,11.7,11.7,11.5,11.5,740
2012-7-24,11.499,11.499,11.499,11.499,1
2012-7-25,11.402,11.6,11.4,11.6,3050
2012-7-30,11.7,11.7,11.7,11.7,3
2012-7-31,11.7,11.985,11.7,11.985,44
2012-8-1,11.725,11.725,11.7,11.7,18
