Date,Open,High,Low,Close,Volume
2010-4-23,4.741,4.741,3.99,3.99,48
2010-4-26,3.9,3.948,3.5,3.5,112
2010-4-27,3.351,3.699,3.201,3.201,80
2010-4-28,3.2,3.374,3.141,3.16,92
2010-4-29,3.117,3.149,2.052,3.08,263
2010-4-30,3.29,3.29,3.015,3.015,21
2010-5-4,3.3,3.3,3.033,3.275,115
2010-5-6,2.832,3.2,2.832,3.2,1
2010-5-7,2.95,3.14,2.95,3.14,22
2010-5-11,3.137,3.137,3.07,3.07,1
2010-5-12,2.999,3.4,2.999,3.299,21
2010-5-13,3.436,3.436,3.3,3.3,0
2010-5-14,3.44,3.44,2.976,3.09,54
2010-5-17,3.417,3.417,2.852,2.936,219
2010-5-18,3.315,3.315,2.929,2.929,11
2010-5-19,3.3,3.3,2.839,2.853,62
2010-5-20,3.05,3.05,2.601,2.601,40
2010-5-21,3.211,3.211,2.8,3,27
2010-5-24,3.375,3.375,2.9,3.049,22
2010-5-25,3.001,3.198,3,3.198,3
2010-5-26,3.246,3.246,3.246,3.246,0
2010-5-27,3.275,3.275,3.244,3.246,2
2010-5-28,3.1,3.298,3.1,3.11,5
2010-6-1,3.202,3.202,3.201,3.201,2
2010-6-2,3.198,3.199,3.198,3.199,0
2010-6-3,3.101,3.233,2.883,3.23,4
2010-6-4,3.234,3.234,3.101,3.101,4
2010-6-7,3.203,3.203,3.203,3.203,0
2010-6-8,3.202,3.203,3.202,3.203,2
2010-6-9,3.258,3.258,2.802,2.988,34
2010-6-10,2.9,2.9,2.9,2.9,7
2010-6-11,3.193,3.193,3,3.172,0
2010-6-15,3.191,3.259,3.191,3.259,90
2010-6-16,3.25,3.28,3.249,3.28,11
2010-6-17,3.28,3.299,3.28,3.299,7
2010-6-18,3.298,3.438,3.204,3.399,5
2010-6-21,3.201,3.397,3.2,3.396,22
2010-6-22,3.398,3.598,3.398,3.598,11
2010-6-23,3.4,3.488,3.239,3.449,2
2010-6-24,3.32,3.445,3.176,3.445,30
2010-6-25,3.445,3.445,3.445,3.445,0
2010-6-28,3.439,3.449,3.439,3.449,1
2010-6-29,3.448,3.47,3.21,3.21,22
2010-6-30,3.4,3.442,3.4,3.41,2
2010-7-1,3.432,3.432,3.299,3.299,1
2010-7-2,3.136,3.2,3.136,3.2,5
2010-7-5,3.2,3.2,3.2,3.2,0
2010-7-6,3.399,3.399,3.399,3.399,0
2010-7-7,3.327,3.327,3.32,3.32,1
2010-7-8,3.275,3.275,3.271,3.271,1
2010-7-9,3.185,3.185,3.101,3.101,3
2010-7-12,3.287,3.288,3.287,3.288,0
2010-7-14,3.425,3.425,3.3,3.422,1
2010-7-15,3.169,3.407,3.102,3.333,2
2010-7-16,3.332,3.333,3.2,3.2,4
2010-7-19,3.24,3.402,3.24,3.402,1
2010-7-20,3.245,3.245,3.199,3.24,2
2010-7-23,3.2,3.2,3.2,3.2,1
2010-7-27,3.101,3.279,2.801,3.279,23
2010-8-2,3.078,3.17,3.078,3.17,1
2010-8-4,3.166,3.166,3.166,3.166,0
2010-8-5,3.19,3.2,3.052,3.2,16
2010-8-6,3.127,3.127,3.127,3.127,0
2010-8-9,3.127,3.279,3.127,3.279,1
2010-8-10,3.061,3.244,3,3.244,7
2010-8-11,3.082,3.21,3,3.2,15
2010-8-12,3.022,3.2,3.011,3.2,7
2010-8-13,3.195,3.195,3.195,3.195,0
2010-8-16,3.19,3.19,3.19,3.19,0
2010-8-17,3.19,3.2,3.19,3.197,2
2010-8-18,3.198,3.272,3.19,3.19,24
2010-8-19,3.299,3.299,3.289,3.289,0
2010-8-20,3.21,3.21,3.21,3.21,5
2010-8-23,3.221,3.221,3.21,3.21,12
2010-8-24,3.201,3.3,3.201,3.3,27
2010-8-25,3.299,3.299,3.299,3.299,0
2010-8-30,3.355,3.355,3.157,3.157,0
2010-8-31,3.4,3.473,3.35,3.35,25
2010-9-1,3.35,3.681,3.35,3.674,51
2010-9-2,3.65,3.679,3.65,3.679,0
2010-9-3,3.67,3.67,3.67,3.67,0
2010-9-6,3.67,3.679,3.67,3.67,13
2010-9-7,3.68,3.68,3.66,3.66,6
2010-9-8,3.671,3.671,3.671,3.671,15
2010-9-9,3.688,3.688,3.688,3.688,0
2010-9-10,3.687,3.687,3.665,3.665,2
2010-9-13,3.687,3.687,3.687,3.687,0
2010-9-14,3.687,3.689,3.684,3.684,46
2010-9-15,3.6,3.6,3.6,3.6,1
2010-9-16,3.612,3.612,3.611,3.611,22
2010-9-17,3.553,3.685,3.551,3.585,17
2010-9-20,3.679,3.679,3.679,3.679,0
2010-9-21,3.683,3.683,3.526,3.602,6
2010-9-22,3.569,3.569,3.3,3.568,112
2010-9-23,3.568,3.568,3.568,3.568,0
2010-9-24,3.371,3.574,3.371,3.574,1
2010-9-27,3.451,3.474,3.312,3.473,30
2010-9-28,3.51,3.51,3.385,3.499,7
2010-9-29,3.499,3.499,3.499,3.499,0
2010-9-30,3.509,3.51,3.509,3.51,2
2010-10-1,3.386,3.598,3.325,3.598,2
2010-10-4,3.593,3.593,3.589,3.589,0
2010-10-5,3.588,3.589,3.34,3.34,33
2010-10-6,3.579,3.579,3.53,3.579,24
2010-10-7,3.594,3.594,3.593,3.593,1
2010-10-8,3.5,3.5,3.5,3.5,1
2010-10-11,3.5,3.5,3.43,3.488,32
2010-10-13,3.478,3.592,3.448,3.549,98
2010-10-14,3.43,3.43,3.401,3.401,31
2010-10-15,3.59,3.965,3.59,3.84,238
2010-10-18,3.803,3.803,3.312,3.734,78
2010-10-19,3.614,3.696,3.61,3.696,19
2010-10-20,3.674,3.781,3.6,3.602,17
2010-10-21,3.602,3.62,3.602,3.62,0
2010-10-22,3.6,3.697,3.506,3.681,19
2010-10-25,3.679,3.679,3.537,3.677,2
2010-10-26,3.557,3.733,3.557,3.733,16
2010-10-27,3.695,3.828,3.695,3.826,1
2010-10-28,3.7,3.848,3.601,3.848,19
2010-10-29,3.601,3.843,3.601,3.843,6
2010-11-1,3.86,3.86,3.86,3.86,0
2010-11-2,3.865,3.865,3.865,3.865,0
2010-11-3,3.839,3.84,3.691,3.825,33
2010-11-8,3.83,3.869,3.651,3.8,21
2010-11-9,3.651,3.747,3.6,3.654,13
2010-11-11,3.784,3.784,3.702,3.784,0
2010-11-12,3.773,3.804,3.773,3.804,6
2010-11-13,3.795,3.799,3.795,3.799,0
2010-11-15,3.796,3.796,3.63,3.788,4
2010-11-16,3.65,3.668,3.597,3.6,345
2010-11-17,3.555,3.783,3.5,3.606,52
2010-11-19,3.756,3.757,3.651,3.651,7
2010-11-22,3.748,3.797,3.748,3.794,15
2010-11-23,3.789,3.79,3.69,3.79,0
2010-11-24,3.795,3.795,3.795,3.795,0
2010-11-25,3.796,3.796,3.79,3.79,0
2010-11-26,3.74,3.789,3.7,3.789,1
2010-11-29,3.695,3.798,3.631,3.798,52
2010-11-30,3.827,3.829,3.827,3.829,0
2010-12-1,3.82,3.82,3.815,3.815,1
2010-12-2,3.82,3.82,3.817,3.82,5
2010-12-3,3.82,3.82,3.8,3.8,4
2010-12-6,3.81,3.81,3.6,3.697,121
2010-12-7,3.744,3.79,3.64,3.679,37
2010-12-8,3.68,3.813,3.68,3.813,8
2010-12-9,3.82,3.87,3.82,3.85,7
2010-12-10,3.849,3.87,3.849,3.869,27
2010-12-13,3.87,3.87,3.868,3.87,25
2010-12-14,3.885,3.938,3.885,3.9,54
2010-12-15,3.813,3.995,3.813,3.9,297
2010-12-16,3.95,3.95,3.8,3.84,17
2010-12-17,3.998,4,3.803,3.87,3
2010-12-21,3.99,4.01,3.99,4.004,1
2010-12-22,4,4.05,3.855,4.048,12
2010-12-23,3.885,4.043,3.861,4.043,1
2010-12-24,4.039,4.199,4,4.199,62
2010-12-27,4.199,4.795,4.033,4.5,179
2010-12-28,4.6,4.6,4.104,4.481,7
2010-12-29,4.64,4.889,4.107,4.889,91
2010-12-30,4.785,4.887,4.785,4.887,0
2011-1-11,4.95,4.987,4.7,4.95,55
2011-1-12,4.986,6.898,4.9,5.648,1933
2011-1-13,5.296,5.64,4.856,5.149,351
2011-1-14,5.02,5.263,4.9,5.15,87
2011-1-17,5.049,5.189,5.029,5.04,56
2011-1-18,5.05,5.9,5.02,5.247,642
2011-1-19,5.441,5.787,5.179,5.328,250
2011-1-20,5.354,5.399,5,5.155,248
2011-1-21,5.14,5.18,5.004,5.137,175
2011-1-24,5.1,5.175,5.004,5.107,32
2011-1-25,5.115,5.147,5.01,5.13,38
2011-1-26,5.147,5.25,5.093,5.093,100
2011-1-27,5.25,5.599,5.1,5.31,206
2011-1-28,5.3,5.4,5.15,5.378,101
2011-1-31,5.299,5.408,5.265,5.355,19
2011-2-1,5.16,5.45,5.16,5.45,23
2011-2-2,5.4,5.497,5.3,5.429,74
2011-2-3,5.308,5.402,5.215,5.339,42
2011-2-4,5.439,5.845,5.321,5.84,630
2011-2-7,5.848,5.848,5.72,5.848,94
2011-2-8,5.905,5.95,5.656,5.8,22
2011-2-9,5.88,5.99,5.531,5.783,182
2011-2-10,5.98,5.98,5.262,5.66,67
2011-2-11,5.776,5.869,5.48,5.849,51
2011-2-14,5.819,5.82,5.533,5.689,23
2011-2-15,5.689,5.931,5.555,5.81,170
2011-2-16,5.857,5.898,5.724,5.799,35
2011-2-17,5.895,6.12,5.819,6.12,585
2011-2-18,6.149,6.478,5.94,6.368,509
2011-2-21,6.6,7.3,6.278,7.1,494
2011-2-22,7.27,7.3,6.403,6.501,153
2011-2-24,6.178,6.41,5.943,6.058,133
2011-2-25,6.279,6.489,6,6.195,24
2011-2-28,6.16,6.395,6.004,6.05,78
2011-3-1,6.188,6.495,6.188,6.4,107
2011-3-2,6.499,6.691,6.473,6.691,5
2011-3-3,6.478,6.749,6.478,6.514,73
2011-3-4,6.514,6.587,6.221,6.472,56
2011-3-5,6.2,7.05,6.199,6.406,127
2011-3-9,6.9,6.998,6.452,6.452,164
2011-3-10,6.6,6.6,5.5,6.267,129
2011-3-11,6.498,6.512,5.8,6.01,57
2011-3-14,6.299,6.3,6,6.289,41
2011-3-15,6.002,6.002,5.8,5.98,133
2011-3-16,5.86,6.2,5.85,6.017,281
2011-3-17,5.999,6.19,5.901,6.19,208
2011-3-18,6.185,6.199,6.017,6.017,26
2011-3-21,6.298,6.298,6.121,6.165,9
2011-3-22,6.2,6.2,5.9,5.9,9
2011-3-23,6.497,6.497,6.497,6.497,1
2011-3-24,5.65,6.198,5.65,5.982,58
2011-3-25,6.389,6.389,5.85,6,67
2011-3-28,6.197,6.197,5.912,6.044,12
2011-3-29,5.904,5.996,5.904,5.99,15
2011-3-30,6,6.227,6,6.012,31
2011-3-31,6.012,6.035,6.012,6.035,12
2011-4-1,5.904,5.995,5.903,5.995,8
2011-4-4,6.297,6.297,6.01,6.01,29
2011-4-5,6.025,6.25,6.01,6.099,97
2011-4-6,6.011,6.099,6.011,6.099,7
2011-4-7,5.941,6.195,5.941,6.006,10
2011-4-8,6.001,6.006,5.99,5.99,26
2011-4-11,5.917,5.986,5.851,5.857,46
