Date,Open,High,Low,Close,Volume
2009-1-16,13.2,14.52,13.2,13.2,378
2009-1-19,9.24,10,9.24,9.24,347
2009-1-21,8.2,8.2,6.47,6.47,113
2009-1-23,6.99,7.97,4.72,5.3,677
2009-1-27,5.75,6.48,5,5.3,2263
2009-1-28,5.6,5.7,5.38,5.64,443
2009-1-29,5.7,5.7,5.13,5.34,823
2009-1-30,5.63,6.7,5.2,5.2,1945
2009-2-2,5.19,5.39,4.95,5.11,1037
2009-2-3,5.18,5.2,4.5,4.81,1728
2009-2-4,4.75,5.2,4.71,5.1,744
2009-2-5,5.49,5.49,4.55,4.91,1413
2009-2-6,5.3,5.44,4.8,5.22,6928
2009-2-9,5.28,6.79,5.28,6.79,3083
2009-2-11,6.65,8.7,6.6,7.15,12012
2009-2-12,7.19,7.36,6.08,6.79,3505
2009-2-13,7.4,7.4,6.58,7.02,2171
2009-2-16,7.15,8.94,6.7,8.03,9352
2009-2-17,8.14,8.77,7.08,7.6,2869
2009-2-18,7.4,7.68,6.85,7.32,1741
2009-2-19,7.48,7.5,7.01,7.2,1268
2009-2-20,7.05,7.17,6.51,6.86,1332
2009-2-24,6.86,7.07,6.61,7,926
2009-2-25,7.2,7.29,6.6,6.6,1075
2009-2-26,6.87,7.18,6.7,6.94,2010
2009-2-27,7,7.2,6.5,6.66,5014
2009-3-2,6.66,6.75,6.15,6.55,105
2009-3-3,6.66,6.79,5.91,6.27,5806
2009-3-4,6.35,6.49,6,6.19,5779
2009-3-5,6.19,6.25,5.8,6.01,2770
2009-3-6,5.97,5.98,5.52,5.9,5768
2009-3-10,5.9,5.96,5.67,5.85,11572
2009-3-11,6,6,5.31,5.43,9101
2009-3-12,5.42,5.51,5.26,5.49,2753
2009-3-13,5.53,5.97,5.3,5.43,13681
2009-3-16,5.49,5.5,5.27,5.34,11973
2009-3-17,5.49,5.64,5.17,5.61,24618
2009-3-18,5.61,5.85,5.34,5.43,15645
2009-3-19,5.4,5.63,5.25,5.31,42707
2009-3-20,5.45,5.45,5.2,5.4,22260
2009-3-23,5.48,6.4,5.4,6.27,53067
2009-3-24,6.33,6.44,5.33,5.53,48721
2009-3-25,5.53,5.66,5.35,5.56,28301
2009-3-26,5.73,5.73,5.39,5.56,17231
2009-3-27,5.53,5.59,5.2,5.35,27368
2009-3-30,5.3,5.41,5.1,5.17,15820
2009-3-31,5.23,5.35,5.13,5.2,13732
2009-4-1,5.3,5.3,5.1,5.24,7057
2009-4-2,5.29,5.42,5.25,5.33,17904
2009-4-3,5.39,5.57,5.25,5.5,40240
2009-4-6,5.53,6.25,5.51,5.71,76745
2009-4-7,5.88,5.93,5.47,5.7,17772
2009-4-8,5.5,5.82,5.49,5.69,11105
2009-4-9,5.72,6.04,5.61,5.91,23829
2009-4-10,5.95,6.29,5.8,6.22,28058
2009-4-13,6.21,6.65,6.11,6.54,33239
2009-4-14,6.62,7.32,6.47,6.84,51381
2009-4-15,6.84,6.95,6.39,6.6,18506
2009-4-16,6.75,6.95,6.6,6.78,15193
2009-4-17,6.81,7.25,6.8,7.18,31393
2009-4-20,7.15,7.5,6.8,7,48052
2009-4-21,6.85,7.07,6.77,7,32189
2009-4-22,7,7.35,6.86,7.22,26642
2009-4-23,7.33,8.95,7,8.77,113324
2009-4-24,8.9,9.38,8.35,8.97,33655
2009-4-27,8.89,9.37,8.5,8.82,19188
2009-4-28,8.65,8.85,8.08,8.5,14849
2009-4-29,8.69,8.7,8.17,8.54,12288
2009-4-30,8.5,9.1,8.5,8.6,19510
2009-5-4,8.6,9.27,8.6,9.15,11982
2009-5-5,9.15,9.48,8.94,9.25,12415
2009-5-6,9.2,11.32,9,10.26,36352
2009-5-7,10.3,10.78,9.72,9.9,18523
2009-5-8,9.81,10.38,9.46,9.91,15621
2009-5-12,9.7,10.38,9.61,10.17,19526
2009-5-13,10.53,10.53,9.5,10.05,36489
2009-5-14,9.7,10.1,9.43,9.93,14982
2009-5-15,10.03,10.2,9.7,10,12037
2009-5-18,9.9,10.32,9.73,10.1,5864
2009-5-19,10.21,11.26,10.2,11.05,16246
2009-5-20,11.18,12.9,10.81,12.04,19182
2009-5-21,12.25,12.8,11.62,11.97,9021
2009-5-22,11.97,12.57,11.9,12.22,6702
2009-5-25,12.39,12.54,11.58,12.13,4089
2009-5-26,12.68,12.68,11.61,12.03,2404
2009-5-27,12.14,13.6,11.94,12.63,18678
2009-5-28,12.85,13.45,12.4,12.99,10891
2009-5-29,13.56,14.28,13.27,14.26,13376
2009-6-1,14.28,17.61,14.13,16.88,15697
2009-6-2,17,19.5,16.18,18.02,28911
2009-6-3,18.44,19.33,15.85,16.8,21024
2009-6-4,16.11,17.94,15.5,17.27,39223
2009-6-5,17.34,18.89,17.29,18.25,16110
2009-6-8,17.2,18.5,16.98,17.2,2892
2009-6-9,17.4,17.8,16.75,16.98,8261
2009-6-10,17.15,17.5,16.63,16.99,5077
2009-6-11,17,17,16.15,16.49,2314
2009-6-15,16.45,16.47,15.11,15.16,6022
2009-6-16,15.11,16.49,15,16.05,10385
2009-6-17,15.99,16.5,15.4,15.8,14745
2009-6-18,16.23,16.39,13,15.44,12241
2009-6-19,15.52,15.64,14.81,15.1,2116
2009-6-22,15,15.3,12.95,13,2749
2009-6-23,12.9,13.89,11.54,13,5424
2009-6-24,13.7,14.47,13.04,14.47,2333
2009-6-25,13.36,14.35,13.36,14.06,1837
2009-6-26,14.24,14.45,13.67,13.67,871
2009-6-29,13.67,14,13.22,13.73,9697
2009-6-30,13.81,14.1,13.25,13.59,2713
2009-7-1,13.49,13.8,13.08,13.58,3138
2009-7-2,13.58,13.79,13.25,13.25,10469
2009-7-3,13.2,13.57,12.59,13.2,4201
2009-7-6,13,13,12.12,12.21,4105
2009-7-7,12.4,12.4,11.58,11.8,11731
2009-7-8,11.54,11.54,10.8,11.34,5555
2009-7-9,11.27,11.49,10.82,10.9,7616
2009-7-10,10.89,10.98,10.51,10.79,1992
2009-7-13,11.34,11.34,10.01,10.51,5141
2009-7-14,10.6,11.4,10.6,10.9,6877
2009-7-15,11,11.7,11,11.5,5163
2009-7-16,11.93,11.98,11.28,11.82,4536
2009-7-17,11.95,12.59,11.72,12.36,8107
2009-7-20,12.5,12.6,12.01,12.53,9406
2009-7-21,12.53,12.89,12.11,12.76,4706
2009-7-22,12.7,12.76,11.92,12.17,6807
2009-7-23,12.38,13.39,12.07,13.29,17088
2009-7-24,13.29,13.87,12.92,13.34,7906
2009-7-27,13.44,14.3,13.2,13.42,12508
2009-7-28,13.5,14.4,13,13.05,12553
2009-7-29,13,13.38,12.43,12.65,6458
2009-7-30,13.25,13.25,12.53,13.14,16161
2009-7-31,13.27,13.3,12.78,13.19,6849
2009-8-3,13.27,14.28,13.2,14.09,20013
2009-8-4,13.62,14.05,13.61,13.98,6865
2009-8-5,13.99,14.2,13.7,13.75,7644
2009-8-6,13.73,14.68,13.72,14.4,16382
2009-8-7,14.02,14.55,13.89,14.3,7113
2009-8-10,14.35,14.57,14.03,14.3,5510
2009-8-11,14.58,15.4,14.3,14.42,17208
2009-8-12,14.35,14.95,13.95,14.89,10043
2009-8-13,15.87,15.87,14.64,15,3718
2009-8-14,15.19,15.19,14.25,14.26,4940
2009-8-17,14,14,13.63,13.71,3636
2009-8-18,13.86,14.17,13.71,13.9,852
2009-8-19,13.75,14.09,13.55,14,4043
2009-8-20,14.3,14.57,13.98,14.49,12091
2009-8-21,14.27,14.9,13.99,14.7,5783
2009-8-24,14.9,15.04,14.31,14.8,6249
2009-8-25,14.36,15.11,14.36,14.89,1761
2009-8-26,14.79,15,14.32,14.45,2832
2009-8-27,14.32,14.85,14.18,14.19,4369
2009-8-28,14.3,14.6,14.17,14.3,3480
2009-8-31,14.28,14.3,13.49,13.95,6352
2009-9-1,14.04,14.14,13.44,13.54,7126
2009-9-2,13.48,13.48,12.6,12.81,9694
2009-9-3,12.98,14.26,12.84,13.59,12984
2009-9-4,13.63,13.94,13.21,13.43,5797
2009-9-7,14.11,14.11,13.34,13.62,2029
2009-9-8,13.21,14.04,13.21,14.04,8320
2009-9-9,13.82,14.9,13.8,14.64,9319
2009-9-10,14.95,16,14.85,15.49,30577
2009-9-11,15.67,16.19,15.32,16.07,7720
2009-9-14,15.82,16.8,15.2,16.44,7618
2009-9-15,16.46,17.3,16.46,16.97,7850
2009-9-16,17.13,17.3,16.35,16.59,8161
2009-9-17,16.69,17.16,16.22,17.15,33923
2009-9-18,17.05,19.6,16.38,18.6,27272
2009-9-21,18.65,19.5,18.44,19.5,16442
2009-9-22,19.55,20.45,19.46,19.98,9417
2009-9-23,20.01,20.5,19.7,19.7,9698
2009-9-24,19.7,20.2,18.6,19.31,5625
2009-9-25,18.89,20,18.74,20,9055
2009-9-28,20,20,19.19,19.81,2652
