Date,Open,High,Low,Close,Volume
2011-12-13,900,999.9,900,999.9,19
2011-12-14,1150,1150,910,910,2
2011-12-16,800.3,874.9,800.3,850,12
2011-12-19,800.1,800.1,800,800,9
2011-12-21,820,820,760,760,15
2011-12-22,800,800,765,765,8
2011-12-23,760,760,710,710,58
2011-12-27,707.7,707.7,700,705,20
2011-12-28,715,715,715,715,2
2011-12-29,670,715,670,715,2
2011-12-30,670,718,650,718,6
2012-1-4,720,720,720,720,5
2012-1-5,720,720,720,720,1
2012-1-9,720,750,700,725,27
2012-1-10,725,745,725,745,69
2012-1-11,740,745,705,745,33
2012-1-12,745,745,744,745,17
2012-1-13,710.1,743.9,710.1,715,9
2012-1-16,744.9,800,744.9,770,140
2012-1-17,773.5,780,730.1,780,34
2012-1-18,780,840,780,829,52
2012-1-19,840,855,824.3,834.9,1082
2012-1-20,847.7,847.7,847.7,847.7,1
2012-1-23,836.8,840,802.9,840,4
2012-1-25,839,850,810.1,840,81
2012-1-26,839,950,830,890,1051
2012-1-27,945,950,920,920,30
2012-1-30,920,920,900,900,35
2012-1-31,915,915,900,900,14
2012-2-1,870,898,870,898,12
2012-2-3,862,889,842,846,36
2012-2-6,867,915,867,900,287
2012-2-7,915,920,885.1,885.1,1102
2012-2-8,914.5,914.5,914.5,914.5,1
2012-2-9,880,880,830.2,837,48
2012-2-10,840,898,811.2,826.1,54
2012-2-13,805.5,822,805.5,822,4
2012-2-14,824.2,824.2,824.1,824.1,4
2012-2-15,820.1,820.1,820.1,820.1,2
2012-2-17,849.3,850,849.3,849.8,39
2012-2-20,835.1,835.1,760,827,34
2012-2-21,848.9,848.9,820,820,6
2012-2-22,820,820,817.7,817.7,2
2012-2-24,818,820,818,820,6
2012-2-27,850,850,850,850,9
2012-2-29,807.1,847.8,807.1,810,7
2012-3-1,800,801,781.1,781.1,57
2012-3-2,814.8,814.8,814.8,814.8,1
2012-3-5,824.9,824.9,815,815,6
2012-3-6,795.1,815,790.1,790.1,26
2012-3-7,797.3,797.4,797.3,797.4,4
2012-3-11,809.4,829.9,770,783.5,47
2012-3-12,779.6,815,755.8,815,29
2012-3-13,800,800,780,799.8,26
2012-3-14,808,808.8,791.1,795.1,11
2012-3-15,787.6,807.7,751,789.2,70
2012-3-16,784.4,786.9,710,727,215
2012-3-19,732,756.9,730,740.1,20
2012-3-20,759.9,759.9,750,750,6
2012-3-21,750,750,742.2,750,33
2012-3-23,740.1,753.2,740.1,753.2,2
2012-3-26,754,764.9,754,764.9,2
2012-3-27,763.9,764,763.9,764,3
2012-3-28,740.3,766.9,740.3,766.9,5
2012-3-29,740.4,740.4,740,740,2
2012-4-2,787.7,787.7,754.7,754.7,4
2012-4-4,750,750,745,745,22
2012-4-5,750,750,750,750,19
2012-4-6,750.1,750.1,750.1,750.1,1
2012-4-9,770,770.1,770,770.1,6
2012-4-10,750.1,750.2,750.1,750.2,15
2012-4-11,730.1,774.7,730,769,6
2012-4-13,750.3,750.3,750,750,11
2012-4-16,775.7,776,750,750,18
2012-4-18,700,700,700,700,4
2012-4-20,749.9,760.9,749.9,760.9,2
2012-4-23,720,720.4,720,720,18
