Date,Open,High,Low,Close,Volume
2008-3-19,122,122,118.9,120.98,37
2008-3-20,121.99,121.99,119,119,65
2008-3-21,119,119,118.85,119,2
2008-3-24,120,120,120,120,600
2008-3-25,120,121,114.8,119,632
2008-3-26,121.48,121.5,115.86,121.5,96
2008-3-27,114.04,118.79,90.03,113.35,1202
2008-3-28,95.02,118,95.02,114,215
2008-3-31,114.01,114.01,111.46,111.46,1
2008-4-1,102.08,115.5,102.08,115.5,1
2008-4-2,114,115,112.1,115,214
2008-4-3,113,114,111.02,112.85,107
2008-4-4,115,115,112.01,112.01,0
2008-4-7,113.26,114.99,113,113.8,165
2008-4-8,114.5,114.5,110.57,114.5,1
2008-4-9,103.02,114,103.02,113.99,1
2008-4-10,113.5,124,105.8,115.5,256
2008-4-11,115,115,114,114,27
2008-4-14,117.36,117.36,112.58,115.99,1
2008-4-15,115,117,115,116,699
2008-4-16,119,119,119,119,1017
2008-4-17,119.9,121,119.5,119.5,143
2008-4-18,110.52,124.24,110.52,122,400
2008-4-21,122.21,123.1,122.21,123,752
2008-4-22,124,128,124,125,809
2008-4-23,126,126,126,126,82
2008-4-24,122.67,122.67,122.5,122.5,1
2008-4-25,134.99,135,125,132,1076
2008-4-28,132,132.3,130.5,132.3,570
2008-4-29,132.75,137,132.75,134,226
2008-4-30,132.5,136,132.5,135,35
2008-5-4,135.4,138,135.4,138,247
2008-5-5,139.59,140,134.77,139.01,274
2008-5-6,141.78,142.5,139.01,142.5,7
2008-5-7,144.49,144.5,142.99,142.99,30
2008-5-8,144,145,139.89,142.5,189
2008-5-12,141.5,142,141.5,142,14
2008-5-13,142.75,143.4,142.75,143.4,21
2008-5-14,144.8,144.8,140,142,107
2008-5-15,141.9,141.9,141.9,141.9,0
2008-5-16,141.5,141.7,141.5,141.7,111
2008-5-19,142.48,149.24,141.5,149.24,741
2008-5-20,148,148,143,145,150
2008-5-21,148,148,142.5,143.09,88
2008-5-22,143,143,143,143,0
2008-5-23,144.85,144.85,142.5,142.5,1
2008-5-26,142.5,142.75,142.5,142.75,93
2008-5-27,143.5,143.5,142.75,143.4,124
2008-5-28,144.6,144.61,144.2,144.2,6
2008-5-29,144.3,147,144.3,147,44
2008-5-30,146.31,148.99,145,148.5,1106
2008-6-2,148.78,150,148.77,149.6,81
2008-6-3,150.46,150.5,145,148,142
2008-6-4,150,151.5,149,151.5,526
2008-6-5,151.7,199.11,151.7,169.98,1380
2008-6-6,200,200,169.05,173.5,974
2008-6-7,175,175,165,174.15,143
2008-6-9,189.15,189.15,146.15,174.45,178
2008-6-10,180,180,168.1,173.94,199
2008-6-11,169.51,172,167.06,172,969
2008-6-16,178,178,171.01,173,214
2008-6-17,177.49,177.49,171.5,173,121
2008-6-18,180,180,170,170,229
