Date,Open,High,Low,Close,Volume
2015-7-1,3.627,3.74,3.624,3.68,220005
2015-7-2,3.8,3.8,3.624,3.6455,277064
2015-7-3,3.725,3.725,3.6315,3.637,382113
2015-7-6,3.6405,3.67,3.64,3.67,84074
2015-7-7,3.8,3.8,3.631,3.631,304838
2015-7-8,3.6205,3.66,3.6205,3.649,404021
2015-7-9,3.625,3.65,3.625,3.65,346804
2015-7-10,3.8,3.8,3.632,3.65,268803
2015-7-13,3.698,3.698,3.642,3.6545,359737
2015-7-14,3.645,3.6585,3.6415,3.6525,532774
2015-7-15,3.626,3.656,3.62,3.656,396788
2015-7-16,3.6395,3.683,3.639,3.676,295697
2015-7-17,3.671,3.6745,3.669,3.669,19654
2015-7-20,3.6625,3.664,3.656,3.6625,213932
2015-7-21,3.671,3.677,3.66,3.677,241153
2015-7-22,3.673,3.6745,3.67,3.67,203465
2015-7-23,3.673,3.677,3.673,3.677,183970
2015-7-24,3.6685,3.6765,3.6685,3.67,73607
2015-7-27,3.621,3.687,3.621,3.6745,46162
2015-7-28,3.6655,3.6655,3.6605,3.6605,186955
2015-7-29,3.6635,3.6645,3.655,3.655,94902
2015-7-30,3.6655,3.672,3.655,3.672,85627
2015-7-31,3.675,3.675,3.67,3.6745,161015
2015-8-3,3.67,3.67,3.6565,3.6595,5745
2015-8-4,3.647,3.6695,3.639,3.639,1783
2015-8-5,3.635,3.6555,3.635,3.635,1380
2015-8-6,3.635,3.6355,3.63,3.63,438
2015-8-7,3.6645,3.69,3.655,3.655,38866
2015-8-10,3.655,3.67,3.655,3.655,202
2015-8-11,3.656,3.6915,3.656,3.66,161177
2015-8-12,3.6795,3.6875,3.665,3.68,131906
2015-8-13,3.6895,3.6905,3.6895,3.6905,50021
2015-8-14,3.68,3.6905,3.675,3.675,63841
2015-8-17,3.689,3.691,3.689,3.691,60011
2015-8-18,3.689,3.691,3.665,3.665,80982
2015-8-19,3.66,3.66,3.66,3.66,2
2015-8-20,3.665,3.665,3.665,3.665,545
2015-8-21,3.6555,3.6555,3.65,3.65,1900
2015-8-24,3.65,3.6545,3.62,3.6205,10152
2015-8-25,3.6385,3.6385,3.62,3.62,5773
2015-8-26,3.6255,3.65,3.625,3.625,113
2015-8-27,3.6265,3.645,3.6265,3.645,90007
2015-8-28,3.661,3.661,3.625,3.65,90018
