Date,Open,High,Low,Close,Volume
2009-1-30,18,18,18,18,3
2009-2-2,20,20,20,20,150
2009-2-5,20,20,20,20,145
2009-2-6,20,20,20,20,164
2009-2-9,20,25,20,25,25
2009-2-11,20,23,19,23,174
2009-2-12,23,23,23,23,6
2009-2-17,23,23,23,23,45
2009-2-20,23,23,23,23,25
2009-2-24,23,23,23,23,76
2009-2-25,23,23,23,23,45
2009-2-27,23,23,23,23,100
2009-3-3,20,20,20,20,1
2009-3-4,20,20,20,20,6
2009-3-5,21,21,21,21,45
2009-3-10,21,21,21,21,1
2009-3-11,21,22,21,22,1
2009-3-12,22,22,22,22,32
2009-3-17,20,20,19.5,19.5,24
2009-3-18,20,20,17,17,3
2009-3-19,20,20,18.5,18.5,20
2009-3-20,18.5,18.5,17,18.5,57
2009-3-23,17.5,17.5,17.5,17.5,67
2009-3-24,18.5,18.5,18,18,10
2009-3-26,17,17,17,17,20
2009-3-27,17.6,17.6,17.6,17.6,66
2009-3-30,16,16,14.5,15,57
2009-3-31,16.98,16.98,15,15,14
2009-4-1,15,15,15,15,274
2009-4-2,16.79,16.99,15.01,16.99,37
2009-4-3,16.59,18,16.55,18,28
2009-4-6,16.99,18,15,15,68
2009-4-7,16.01,16.01,16,16,1
2009-4-8,17.5,20,17.5,19.98,91
2009-4-9,18.11,20.03,18,20.03,46
2009-4-10,20.03,21,19.49,20,122
2009-4-13,20,23,20,20.8,161
2009-4-14,21.99,23.5,21,21,138
2009-4-15,21,22,16.5,17.2,1528
2009-4-16,17.51,19.48,17.51,18,331
2009-4-17,18.99,19,17.74,18.54,361
2009-4-20,18.99,18.99,16.99,18,663
2009-4-21,18.49,18.5,17.3,18.5,90
2009-4-22,18.5,18.65,17.52,18,34
2009-4-23,18.49,18.5,17.3,17.99,910
2009-4-24,17.01,18.5,16.6,18.5,564
2009-4-27,18.61,19.03,18.04,19,270
2009-4-28,18.02,23,17.84,21.69,585
2009-4-29,21.7,21.7,19.16,20.3,121
2009-4-30,20.4,20.5,19.95,20.5,87
2009-5-4,21.98,24,21.51,23.22,1893
2009-5-5,22.78,26.65,21.13,22.85,5587
2009-5-6,23,28.25,22.89,28.2,4050
2009-5-7,28.2,29.6,23.03,24,1490
2009-5-8,25.47,29.59,21,27.78,3268
2009-5-12,27.2,28.5,26.01,26.5,1305
2009-5-13,26.56,28.03,22.81,24.55,657
2009-5-14,23,26,22.33,24.5,91
2009-5-15,25,26,23.9,24.97,26
2009-5-18,25.03,25.5,23.43,25.2,377
2009-5-19,25.6,25.97,23.5,24.72,211
2009-5-20,24.4,25.5,24.01,25.48,398
2009-5-21,25.7,25.8,24.31,25.33,375
2009-5-22,25.27,35.48,25,35.48,4782
2009-5-25,40,49.67,36,49.67,8570
2009-5-26,51.97,63.7,44.83,52.32,13648
2009-5-27,51.98,60.95,38.56,43,14262
2009-5-28,43.1,59.8,40.02,58,12061
2009-5-29,58.15,67,53.11,58.78,10132
2009-6-1,58.9,59.5,51.08,53,5583
2009-6-2,52.7,54.47,46,47.14,5283
2009-6-3,53.15,53.15,40.1,40.76,3295
2009-6-4,36.54,43.4,36.54,41.69,1854
2009-6-5,42.9,49.9,39.49,44.38,5513
2009-6-8,44.5,45.56,42.22,43.78,761
2009-6-9,44.9,44.9,41,42.7,771
2009-6-10,43.21,44.6,41.01,42.9,687
2009-6-11,42.5,43.5,40.32,43.2,891
2009-6-15,41.5,42.86,40.05,40.81,371
2009-6-16,41.9,41.9,38,40,1319
2009-6-17,40,41.48,38.41,39.23,390
2009-6-18,36.3,40,36,37.5,482
2009-6-19,37.95,37.95,36,36.96,438
2009-6-22,36.95,38,33,34.5,538
2009-6-23,33.57,34.5,29.04,33.75,447
2009-6-24,33.75,36.8,33.61,36.66,600
2009-6-25,36.81,37.78,35,35.45,195
2009-6-26,35.99,43.21,35.99,38.51,1253
2009-6-29,36.6,41.9,36.6,39.74,270
2009-6-30,40,40.9,36,36.1,542
2009-7-1,39,39,36.5,37.33,80
2009-7-2,37.24,37.3,31,34.35,1150
2009-7-3,35,35,33.6,34,100
2009-7-6,35.04,35.04,32.5,33.95,292
2009-7-7,35.01,35.44,32.5,34.3,86
2009-7-8,33.5,34.28,30,30.42,791
2009-7-9,30.97,31.81,30,31.4,217
2009-7-10,31.98,31.98,29.5,29.99,776
2009-7-13,30.54,31.39,28,30.97,112
2009-7-14,31.98,33,30.86,32.29,250
2009-7-15,32.02,35,32.02,34.59,177
2009-7-16,34,35.2,32.76,33.85,110
2009-7-17,33.85,37.1,33.85,36.96,460
2009-7-20,37,38.38,36.14,38.19,266
2009-7-21,37.4,38.28,36.8,37,59
2009-7-22,37,37.69,34.69,34.99,263
2009-7-23,35,37.47,34.8,37.47,115
2009-7-24,38,38,35,35.1,142
2009-7-27,36.98,36.98,35.02,35.7,37
2009-7-28,35.69,35.69,33.11,34.2,137
2009-7-29,34.8,34.8,33,33.93,81
2009-7-30,34.3,36,34.1,34.92,37
2009-7-31,35.2,36.1,34.88,35.4,71
2009-8-3,36.98,37.87,35.8,35.8,187
2009-8-4,35.92,37.19,33.26,36.2,267
2009-8-5,36.9,38.62,36,37,610
2009-8-6,37.98,37.98,36,37,86
2009-8-7,37.69,44.27,37.69,41.83,5570
2009-8-10,41.8,43.72,39.76,41.79,1104
2009-8-11,41.85,41.85,38.35,38.56,92
2009-8-12,39.98,39.98,36.39,38.95,2960
2009-8-13,38.8,40.75,38.25,39.95,1426
2009-8-14,39.95,42,37.51,39.75,371
2009-8-17,38.05,39.68,38,39,229
2009-8-18,39.81,41.48,36.51,40.3,743
2009-8-19,41.99,41.99,39,41.74,598
2009-8-20,41.73,42.45,41.06,42,227
2009-8-21,42.98,43.74,41.94,43.52,2356
2009-8-24,42.51,45,41,43.99,638
2009-8-25,42.5,44.5,41.55,42.95,310
2009-8-26,43.95,43.95,40.25,41.87,114
2009-8-27,41.79,42.14,40.27,41.17,58
2009-8-28,42.67,42.67,36.5,41.83,102
2009-8-31,38,41.18,37.51,40.62,40
2009-9-1,42.77,42.77,39,40.5,128
2009-9-2,40.49,40.49,38.13,39.28,153
2009-9-3,38.35,40.38,38,39.48,61
2009-9-4,38.21,39.88,37.51,37.99,124
2009-9-7,38.51,38.77,37.6,38.46,36
2009-9-8,38.49,40.43,38.03,39.47,329
2009-9-9,42.16,42.16,39.1,41.2,233
2009-9-10,41.97,41.97,39,39.98,1773
2009-9-11,40,44,39.99,41.26,649
2009-9-14,41.15,43.5,40.5,43.17,456
2009-9-15,44.25,44.25,42,43.34,469
2009-9-16,43.9,44.36,41.7,42.88,343
2009-9-17,42.8,43,40.7,41.24,335
2009-9-18,41.65,42.59,40.48,41.74,73
2009-9-21,42,47.8,41.51,47.39,5231
2009-9-22,48,54.4,44,50.01,5773
2009-9-23,52.5,52.5,46.05,48.79,1883
2009-9-24,53.25,53.25,45.58,47.27,1124
2009-9-25,48.95,48.95,44.26,46.2,969
2009-9-28,48.22,48.22,44.51,46.09,644
2009-9-29,46.8,49,46.13,46.98,756
2009-9-30,48,48.4,45.91,46.81,916
2009-10-1,47,51.7,46.4,48.48,1533
2009-10-2,47.5,49.49,44.7,46.45,832
2009-10-5,46.73,47.45,45,46.3,177
2009-10-6,47.1,50.33,45.41,49.98,3994
2009-10-7,49.99,65,48.66,62.39,22777
2009-10-8,60.49,72.75,55.2,60.19,45292
2009-10-9,60.82,76.38,57.1,76,30508
2009-10-12,79.24,79.24,62.05,63.73,24346
2009-10-13,65.96,65.96,59.22,60.89,9914
2009-10-14,60.99,62.98,59.4,61.28,2512
2009-10-15,61.08,62.97,59.01,59.31,1551
