Date,Open,High,Low,Close,Volume
2011-12-22,3.28,7.6,3.28,7.6,6
2011-12-23,9,10.6,9,10.6,2
2011-12-26,9,9,9,9,6
2011-12-27,9,12.5,9,10,9
2011-12-28,6.001,6.001,6.001,6.001,1
2011-12-29,6.001,8.401,6.001,8,62
2011-12-30,8,8,7.013,8,37
2012-1-3,8.401,8.401,8.401,8.401,3
2012-1-9,7.001,7.001,7.001,7.001,1
2012-1-10,7,7,7,7,3
2012-1-11,7,9.5,7,9.5,4
2012-1-16,7.001,7.001,7.001,7.001,1
2012-1-17,7.911,7.911,7.911,7.911,1
2012-1-18,8,8,8,8,1
2012-1-24,7.749,7.75,7.749,7.75,2
2012-1-26,7,7,7,7,2
2012-1-30,7.012,7.012,7,7,5
2012-1-31,7,7,7,7,6
2012-2-1,7,7,7,7,10
2012-2-3,7,7,7,7,1
2012-2-21,7,7,7,7,5
2012-2-24,7,7,7,7,1
2012-2-27,7,7,7,7,1
2012-3-13,7,7,7,7,10
2012-3-14,7,7.001,6.508,6.508,17
2012-3-15,6.999,6.999,6.999,6.999,1
2012-3-20,7,7,6.5,6.999,4
2012-3-21,6.5,6.75,6.5,6.51,24
2012-3-23,6.5,6.5,6.5,6.5,2
2012-3-26,6.5,8.25,6.002,6.2,83
2012-3-27,6.2,6.4,6.2,6.35,12
2012-3-28,6.291,6.399,6.291,6.399,6
2012-3-29,6.49,6.495,6.478,6.495,16
2012-4-2,6.03,6.999,6,6.999,29
2012-4-4,6.5,7.2,6.499,7.2,28
2012-4-10,6.008,6.934,5.998,6,35
2012-4-11,6.001,6.001,6,6,5
2012-4-20,6.348,6.348,6.348,6.348,1
2012-4-25,6,6,6,6,6
2012-4-28,5.998,6,5.998,6,5
2012-5-2,7,7,7,7,6
2012-5-4,6.5,6.5,6.5,6.5,1
2012-5-16,6.5,6.5,6.5,6.5,3
2012-5-23,5.001,6.499,5.001,6.499,174
2012-5-29,6.501,6.501,6.5,6.5,2
2012-6-7,6.5,6.5,6.5,6.5,1
2012-7-4,8.499,8.5,8.499,8.5,7
2012-7-10,8.5,9,8.5,9,7
2012-7-11,11.5,12.5,11.5,12,4
2012-7-17,12.005,12.005,12.005,12.005,1
2012-7-20,15,16.8,15,16.8,5
2012-7-23,22.87,22.87,22.867,22.868,3
2012-7-24,26.985,26.985,26.985,26.985,1
2012-7-25,27,27,27,27,1
2012-9-4,37.7,37.7,37.7,37.7,4
2012-9-5,29.701,37.692,24.003,26.01,43
2012-9-7,25.001,36.999,25.001,27,43
2012-9-10,27.002,27.002,27,27,6
2012-9-12,30.92,30.92,27.036,30.739,20
2012-9-13,30.635,30.635,27.001,27.057,63
2012-9-14,29.947,29.947,27.001,27.001,19
2012-9-17,27,27,27,27,1
2012-9-19,26,26,26,26,5
2012-9-20,25,25.995,18.4,25.994,34
2012-9-21,25.997,25.997,18,23,24
2012-9-24,17,25.5,17,18.5,17
2012-9-25,25.895,25.9,25.895,25.9,8
2012-9-26,20.1,26.95,20.1,20.2,18
2012-9-27,25.69,25.69,20.5,20.551,37
2012-10-1,20.7,20.7,20,20,18
2012-10-3,17.005,19.795,17.005,19.795,12
2012-10-4,15.25,19.75,15.25,19.75,12
2012-10-5,17,17,17,17,1
2012-10-8,16.2,18.998,16.15,18.78,30
2012-10-10,17.5,20.09,16.51,20.09,19
2012-10-11,17.02,17.02,17.02,17.02,6
2012-10-12,19.89,19.89,19.89,19.89,6
2012-10-15,16,19.896,16,19.8,19
2012-10-16,20,20.19,17.01,20.19,20
2012-10-17,25.99,25.99,18.01,18.03,24
2012-10-18,15.5,16.001,15.5,16.001,2
2012-10-19,17.5,17.6,17.5,17.6,4
2012-10-22,17,17,17,17,3
2012-10-23,18.495,18.498,14,14,20
2012-10-25,17.998,18.29,12.51,13.01,21
2012-10-26,13.17,17.998,13.17,17.998,8
2012-10-29,13.302,13.302,13.302,13.302,1
2012-10-30,18.598,18.598,18.598,18.598,1
2012-10-31,19.998,19.998,19.998,19.998,1
2012-11-7,14.41,18.497,14.41,18.496,9
2012-11-16,19.999,19.999,17,17,2
2012-11-19,16.98,16.98,16.98,16.98,7
2012-11-20,14.21,14.21,14.21,14.21,7
2012-11-21,19.79,19.79,19.79,19.79,5
2012-11-22,14.73,19.38,14.73,19.38,12
2012-11-23,15.17,18.97,15.17,18.97,14
2012-11-26,14.003,17.99,14.003,17.99,14
2012-12-3,14.85,14.85,14.85,14.85,7
2012-12-4,18.495,18.495,15.56,15.56,14
2012-12-5,16,16,16,16,1
2012-12-12,16.903,16.903,16.903,16.903,1
2012-12-13,19.299,20,19.299,20,14
2012-12-14,18.466,18.466,18.466,18.466,2
2012-12-26,24.29,24.29,13.26,15.68,12
2012-12-27,21.94,21.94,15.2,16.59,16
2012-12-28,22.97,22.97,15.58,19.1,30
