Date,Open,High,Low,Close,Volume
2010-7-28,2800,2800,2800,2800,183
2010-7-29,3860,3860,2201,2549,94
2010-7-30,2251.12,2500.01,2006,2412.72,110
2010-8-2,2100.03,2149.85,1950,1950,84
2010-8-3,1950.01,2040,1800,1945,58
2010-8-4,1757,1889.03,1711.25,1889.03,13
2010-8-5,1725,1725,1602,1602,7
2010-8-6,1603,1799.99,1600,1799.99,8
2010-8-9,1799.99,1850,1799.99,1850,2
2010-8-10,1650,1755,1650,1755,2
2010-8-11,1760,1760,1701,1725,5
2010-8-12,1650.02,1650.02,1600,1600,12
2010-8-16,1784.99,1785,1784.99,1785,6
2010-8-17,1778,1780,1750,1750,3
2010-8-19,1749,1749,1749,1749,1
2010-8-20,1550,1749,1500.1,1749,8
2010-8-23,1620,1620,1600,1600,7
2010-8-24,1526,1526,1500,1500,19
2010-8-30,1501,1501,1501,1501,1
2010-8-31,1500,1500,1500,1500,17
2010-9-1,1500,1500,1499.99,1500,5
2010-9-2,1500,1550,1500,1550,6
2010-9-3,1500,1500,1500,1500,11
2010-9-6,1500,1500,1500,1500,3
2010-9-8,1400.51,1550,1400.51,1550,12
2010-9-9,1500,1500,1500,1500,200
2010-9-10,1500,1500,1500,1500,3
2010-9-14,1500,1500,1500,1500,3
2010-9-15,1401.02,1550,1401.02,1500,20
2010-9-16,1400.01,1500,1400.01,1500,50
2010-9-17,1400.04,1500,1400.04,1500,173
2010-9-20,1500,1500,1500,1500,2
2010-9-21,1500,1500,1500,1500,3
2010-9-23,1480,1500,1480,1500,2
2010-9-24,1500,1500,1500,1500,337
2010-9-28,1401.08,1403.42,1400,1403.42,11
2010-9-30,1400,1654.32,1400,1600,61
2010-10-1,1426.13,1500,1401,1407,19
2010-10-4,1496.97,1499,1496.97,1499,8
2010-10-5,1500,1500,1500,1500,10
2010-10-8,1500,1550,1433.77,1433.77,10
2010-10-13,1350.05,1449.99,1350.05,1449.99,2
2010-10-14,1400,1480,1400,1480,2
2010-10-15,1342.03,1502,1342.03,1502,12
2010-10-18,1380,1479.99,1379.99,1460,33
2010-10-19,1357.91,1357.91,1357.91,1357.91,2
2010-10-22,1450,1450,1336,1401.09,11
2010-10-25,1400,1400,1399.99,1400,92
2010-10-27,1320.04,1398.99,1320.04,1398.99,2
2010-10-28,1334,1397,1334,1397,2
2010-10-29,1350,1412,1301.14,1412,80
2010-11-1,1431.14,1700.01,1400,1499.99,37
2010-11-2,1499.98,1798,1499.98,1605.04,73
2010-11-10,1760,1817.94,1760,1800,138
2010-11-12,1605,1999.97,1605,1900,22
2010-11-13,1800,1800,1637,1637,11
2010-11-25,1600,1600,1600,1600,1
2010-11-26,1778.53,1999,1778.53,1999,13
2010-11-29,2200.01,2300,1750,1750,118
2010-12-1,1888.88,1979.99,1810,1979.99,8
2010-12-6,2147,2198,2050,2198,17
2010-12-7,2200.01,2220,2200,2220,44
2010-12-8,2010,2225,2010,2049.98,4
2010-12-9,2061.05,2199.98,2000,2000,61
2010-12-10,2200,2200,2200,2200,13
2010-12-13,2099,2199,2099,2199,62
2010-12-14,2198.99,2540,2198.99,2290,311
2010-12-15,2290,2290,2200,2200,22
2010-12-16,2200,2200,2200,2200,10
2010-12-17,2070.01,2070.01,2070.01,2070.01,1
2010-12-20,2061,2193,2000,2110,110
2010-12-22,2194.99,2194.99,2160,2160,3
2010-12-23,2189,2190,2005.02,2189.98,37
2010-12-24,2005.02,2200,2005.02,2200,71
2010-12-27,2252.5,2530,2250,2405,464
2010-12-28,2251,2528.98,2250,2400,165
2010-12-29,2201.14,2379.19,2201.13,2290,105
2010-12-30,2100,2197.96,2000.01,2101,59
2011-1-11,2100,2100,2100,2100,11
2011-1-12,2260,2940,2259.99,2940,448
2011-1-13,3564,4116,3400,4116,865
2011-1-14,4444,5000,3320.02,4003.2,635
2011-1-17,4303.79,4990,4000,4141,217
2011-1-18,4150,4150,3601.2,3750,170
2011-1-19,3676.05,3752.97,3415.06,3501,49
2011-1-20,3301,3301,3100,3300,35
2011-1-21,3050,3300.01,3007.12,3300.01,19
2011-1-24,3350,3350,3250.03,3250.03,15
2011-1-25,3200,3500.01,2999.99,3500.01,94
2011-1-26,3700,3950.81,3601,3700.07,55
2011-1-27,3899.77,3899.77,3315,3333.36,41
2011-1-28,3051,3449.87,3007.01,3449.87,91
2011-1-31,3050.04,3468.46,3050.04,3399,7
2011-2-1,3154.01,3154.01,3153,3153,3
2011-2-2,3137,3137,3136.01,3136.01,5
2011-2-3,3322,3322,3322,3322,1
2011-2-4,3136.01,3199.99,3136.01,3199.99,3
2011-2-7,3133.33,3133.33,2881,3050,34
2011-2-8,3200.01,3200.01,3200,3200,5
2011-2-9,2882,3198.99,2880,3198.99,15
2011-2-10,2903.02,3100,2902.01,3100,17
2011-2-11,2880,3049.99,2880,3049.99,2
2011-2-14,2888,3111,2500.01,3100,29
2011-2-15,2777,3094.99,2777,3094.99,44
2011-2-17,3250,3250,2716.21,2726,131
2011-2-18,2715.01,2715.01,2000,2539.99,264
2011-2-21,2539.97,2539.97,2290,2429.99,24
2011-2-22,2291.04,2295.02,2290,2295,18
2011-2-25,2478.95,3156,2478.95,2750,429
2011-2-28,2750,2750.01,2475,2670,714
2011-3-1,2777.8,2777.8,2446.3,2500,143
2011-3-2,2900,3500,2603.2,3500,991
2011-3-3,3950,3950,2941,3001.4,345
2011-3-4,2905.4,3042.9,2761,2989,99
2011-3-5,2802.6,2997.9,2711,2997.9,52
2011-3-9,3100,3100,2740,2740,478
2011-3-10,2685.2,2940,2600,2750,110
2011-3-11,2600.1,2697.9,2600.1,2697.9,34
2011-3-14,2555.8,2900,2509,2716.9,32
2011-3-15,2500.6,2731,2245,2731,1178
2011-3-16,2888.8,2899,2484.2,2495,30
2011-3-17,2370.1,2732,2370,2510.6,47
2011-3-18,2400,2500,2400,2500,12
2011-3-21,2500.1,2667.9,2500.1,2667.9,14
2011-3-22,2650.1,2833.2,2509.2,2600,20
2011-3-23,2615.6,2701.7,2564.3,2564.3,7
2011-3-24,2615.5,2630,2501,2525,39
2011-3-25,2565.7,2565.8,2470,2550,46
2011-3-28,2564.4,2682,2564.4,2615.4,25
2011-3-29,2530.1,2629.9,2300,2465.1,129
2011-3-30,2514.3,2770,2514.3,2700,90
2011-3-31,2858.9,3296,2750,2909.2,151
2011-4-1,2755.5,2939,2712.1,2750,40
2011-4-4,2778,2896.9,2750,2770,35
2011-4-5,2750,3200,2658.5,3080,389
2011-4-6,3177.9,3177.9,2503.1,2845.3,256
2011-4-7,2702.2,2779.7,2700.4,2779.7,24
2011-4-8,2680.1,2789,2602,2602,32
2011-4-11,2842.5,2842.5,2600,2700,28
2011-4-12,2550.5,2698.2,2550.5,2698.2,16
2011-4-13,2600.5,2650,2532.2,2601,115
2011-4-14,2642.5,2700,2402.8,2600,63
2011-4-15,2510,2600,2510,2600,3
2011-4-18,2550,2550,2401.2,2401.2,17
2011-4-19,2400,2577.7,2399.9,2550,35
2011-4-20,2600,2600,2600,2600,3
2011-4-21,2749.9,2749.9,2600,2700,32
2011-4-22,2600.2,2600.2,2580.6,2580.8,13
2011-4-25,2425,2600,2425,2600,22
2011-4-26,2510.1,2597.1,2500,2597.1,20
2011-4-27,2599.1,2599.1,2599.1,2599.1,2
2011-4-28,2501.1,2599.1,2500,2573.4,11
2011-4-29,2547.9,2547.9,2351,2497.7,24
2011-5-3,2522.7,2547.9,2500,2547.9,27
2011-5-4,2522.7,2547.9,2350,2473,30
2011-5-5,2500,2500,2450,2450,2
2011-5-6,2310.3,2499.9,2310.3,2499.9,2
2011-5-10,2448.5,2472.9,2395.2,2472.7,12
2011-5-11,2472.8,2473.1,2300,2352,72
2011-5-12,2353,2353,2299.9,2299.9,7
2011-5-13,2200.3,2328.4,2177.7,2250,7
2011-5-16,2101.9,2303,2050,2303,49
2011-5-17,2201.1,2397.7,2201.1,2397.7,9
2011-5-19,2350,2675,2350,2675,392
2011-5-20,2675.7,2675.7,2333,2335,50
2011-5-23,2451.9,3329.9,2451.8,3329.9,3629
2011-5-24,3495,4100,2504,2660,5481
2011-5-25,2714,2750,2500,2747.9,916
2011-5-26,2700,3189.4,2613.2,2795,1363
2011-5-27,3088,3088,2670,2799.9,409
2011-5-30,2899,3010,2706.1,2798.5,301
2011-5-31,2750.7,2980,2721,2777,535
2011-6-1,2834.8,2895,2757,2822,513
2011-6-2,2850,2850,2702,2827.2,483
2011-6-3,2800,2819.9,2700,2750,87
2011-6-6,2711.1,2834.2,2500,2670,211
2011-6-7,2700,2723,2600,2700,258
2011-6-8,2607.4,2666.6,2605.3,2646.4,31
2011-6-9,2697.7,2740,2630.3,2738.7,57
2011-6-10,2600.5,2755.9,2600,2670.3,54
2011-6-14,2720,2720,2600.2,2621,133
2011-6-15,2634.9,2635,2400.2,2504,259
2011-6-16,2482.3,2485.1,2342,2377.7,257
2011-6-17,2345,2800,2280,2600.5,762
2011-6-20,2500.1,2779,2500,2629.9,536
2011-6-21,2770,2977.3,2553,2614.7,792
2011-6-22,2650.1,2699.3,2530,2570.5,246
2011-6-23,2503.7,2671,2503.7,2545,17
2011-6-24,2501.1,2675,2501,2675,27
2011-6-27,2505.8,2850,2505.8,2680,280
2011-6-28,2564,2799,2564,2760,236
2011-6-29,2740.3,2847.7,2720,2769.8,142
2011-6-30,2720.5,2839.1,2720,2771.6,43
2011-7-1,2720.7,2760,2647.7,2760,89
2011-7-4,2682.1,2828.1,2682.1,2828.1,86
2011-7-5,2801.7,2829.5,2801,2829.5,26
2011-7-6,2800.3,3357,2800.3,3195.7,666
2011-7-7,3265,3550,3022,3301,378
2011-7-8,3450.4,3450.6,3106,3106,89
2011-7-11,3000,3050,2903,3050,82
2011-7-12,2975,2975.1,2900,2900,91
2011-7-13,2929.9,3186.3,2830,2850,143
2011-7-14,2900,3096.2,2899.7,3096.2,64
2011-7-15,2860.7,2997.5,2860,2997.5,47
2011-7-18,2808,2949.2,2802,2900,43
2011-7-19,2895,2900,2800,2900,84
2011-7-20,2860,2900,2860,2900,15
2011-7-21,2900,2950,2900,2950,21
2011-7-22,3010,3049.9,2900,3040,282
2011-7-25,3000,3160,3000,3100,167
2011-7-26,3099.5,3296,3000,3100,430
2011-7-27,3099.5,3099.5,2871.6,2871.6,129
2011-7-28,2929,3000,2885.1,2999.7,67
2011-7-29,2906.5,2950,2900.7,2950,50
2011-8-1,2900,2950,2858,2950,53
2011-8-2,2949.9,2989.9,2856.1,2989.9,6
2011-8-3,3089.5,3089.5,3089.5,3089.5,1
2011-8-4,3095.5,3095.5,2857.7,3000,6
2011-8-5,3000,3000,2600.2,2801,35
2011-8-8,2849,2900,2325.5,2325.5,153
