Date,Open,High,Low,Close,Volume
2006-6-27,272,280,272,274,9709
2006-6-28,274.95,279.43,273.4,275,4551
2006-6-29,279.92,281.59,276.01,279.2,4754
2006-6-30,288.58,307,280.02,296,9950
2006-7-3,305,315,295.95,314,9602
2006-7-4,315.5,317,308,314.69,7903
2006-7-5,315,327.5,312,317,15212
2006-7-6,315.89,320,315,319.5,7930
2006-7-7,322,325,316.5,321,6281
2006-7-10,326.69,326.69,316.01,317.5,3189
2006-7-11,318,321.19,317.99,318,4465
2006-7-12,320,327,315.3,324,20006
2006-7-13,326.98,328.99,317.1,321,8273
2006-7-14,320,320,313,318.5,12076
2006-7-17,317.5,318,310,311.7,4445
2006-7-18,302.51,318.49,301.05,312.99,4400
2006-7-19,315.44,329,313.01,322.6,2987
2006-7-20,325.3,329,321,321,16890
2006-7-21,320.9,321,314.01,318.9,2990
2006-7-24,317,319,316.01,317.5,1407
2006-7-25,318,320.5,317.5,317.95,6980
2006-7-26,318,321.89,318,321.8,4411
2006-7-27,322.08,340,322,340,15398
2006-7-28,339.7,340,332,339.75,7909
2006-7-31,340,340,335.02,338,4594
2006-8-1,339.39,350,337,348,15438
2006-8-2,350.49,358.5,350,356.3,19964
2006-8-3,367.81,367.81,353.05,355.11,5969
2006-8-4,356,356,350.5,352.5,8606
2006-8-7,353.4,355,344,345.5,11226
2006-8-8,347,349,345.01,347,2707
2006-8-9,350,358.84,347,349.75,3926
2006-8-10,350,353,348,352.98,5915
2006-8-11,351.15,357,351,355.8,2713
2006-8-14,355.65,355.65,350,351,2412
2006-8-15,350.7,352.44,349.5,351,2914
2006-8-16,352,353,348.1,350,8556
2006-8-17,350,350.5,345.65,348.5,1702
2006-8-18,348.5,348.97,343.5,344,1218
2006-8-21,344.48,344.49,342,342.01,913
2006-8-22,344.5,355,344.5,352,30503
2006-8-23,353,353,348,350.5,3566
2006-8-24,350.1,350.5,348,348.66,1408
2006-8-25,349,351.7,348.5,350.49,2264
2006-8-28,350.66,350.66,347,347.99,1346
2006-8-29,349,349,345.03,346.01,4512
2006-8-30,347,347.7,342.57,342.75,10290
2006-8-31,343.1,344,337,337.97,12029
2006-9-1,336.11,339.97,328,330.01,8108
2006-9-4,333,333,328.55,331,6409
2006-9-5,330,330.99,324.55,326.61,8697
2006-9-6,341.55,341.55,325,328.5,7385
2006-9-7,326,329.5,314,315.01,17531
2006-9-8,315.01,322.5,311,320.5,2748
2006-9-11,320.74,320.74,310,312,7961
2006-9-12,312.99,317,310.03,315.1,2033
2006-9-13,315.5,317.5,311.1,313.98,9376
2006-9-14,314.99,317.98,312.5,316,5377
2006-9-15,317,317,308.03,310,8990
2006-9-18,313,315.44,310.4,314.01,3289
2006-9-19,317.66,317.9,314.5,316.39,2407
2006-9-20,314.58,316.4,310,316,5436
2006-9-21,314,327.77,314,319.66,11331
2006-9-22,322,322,313.3,315,7467
2006-9-25,319,319,301,307.6,4738
2006-9-26,307.62,318,307.62,314,4927
2006-9-27,315,318.81,310.89,313,6669
2006-9-28,314.45,316.65,313.2,313.5,5415
2006-9-29,314.1,317.5,312.99,313,5859
2006-10-2,314.99,316,313.21,313.21,4653
2006-10-3,314,314.4,310.41,312.13,4640
2006-10-4,312.9,314.5,312.15,314.4,2353
2006-10-5,315.72,322.91,313.61,322,18262
2006-10-6,323.12,334.5,323,326.65,16308
2006-10-9,328,335,326.1,334.59,12230
2006-10-10,334.35,342.99,334.35,339,14573
2006-10-11,339.5,342.75,332.5,334,19090
2006-10-12,333.89,337.99,330,337,9819
2006-10-13,338.39,342,337.5,342,10723
2006-10-16,341.99,341.99,334,334.85,11071
2006-10-17,336.07,336.07,330,334.5,10445
2006-10-18,334,334.5,329,333.01,15848
2006-10-19,333.3,334.99,330.8,333.9,8962
2006-10-20,333.34,335.78,330.9,334.92,11986
2006-10-23,326.09,340,326.09,338.9,18606
2006-10-24,339.3,345,336,344.8,22684
2006-10-25,345,351.42,340.51,351.41,35937
2006-10-26,351.01,354.78,345.21,352,32891
2006-10-27,352.01,354.9,346.1,354.4,26924
2006-10-30,352.51,353.98,336.45,344,36361
2006-10-31,343.85,345.6,337,345.5,11502
2006-11-1,345.5,349.5,341.18,348.7,6416
2006-11-2,349,350.5,345,349.5,13772
2006-11-3,349.49,352.48,348.01,351.55,11413
2006-11-7,345.5,351,345.27,347.08,23467
