Date,Open,High,Low,Close,Volume
2008-12-31,2800,2800,2800,2800,10
2009-3-18,2500,2500,2400,2400,10
2009-3-25,2400,2400,2400,2400,1
2009-3-26,2350,2350,2350,2350,150
2009-3-27,2360,2400,2360,2400,152
2009-4-6,2400,2400,2280,2280,4
2009-4-13,2390,2390,2390,2390,3
2009-4-28,2400,2600,2400,2600,23
2009-4-29,2700,2800,2700,2800,20
2009-5-6,3000,3000,3000,3000,1
2009-5-7,2870,2870,2870,2870,2
2009-5-20,2870,2870,2870,2870,1
2009-5-21,3500,3500,3000,3000,2
2009-5-25,3500,3500,3500,3500,1
2009-5-27,3500,3700,3500,3700,32
2009-5-28,4000,5000,4000,4222,123
2009-5-29,3500,4175,3500,4100,6
2009-6-1,3500,4200,3000,4200,235
2009-6-3,4200,5855,4200,5200,259
2009-6-4,4250,6990,4000,4200,454
2009-6-5,4200,4803.01,4000,4800,3125
2009-6-8,4504,4504,4500,4500,8
2009-6-9,4100.02,4177.94,4000,4150,177
2009-6-10,4100,4200,3831.01,4199.99,93
2009-6-11,3723,4100,3723,4000,66
2009-6-15,4000,4000,3500,3998.99,153
2009-6-16,3849.99,3900,3849.99,3900,91
2009-6-17,3999.99,4372,3900,3900,72
2009-6-18,3525,3950,3525,3950,9
2009-6-22,3533,3535,3524,3524,3
2009-6-25,3676.99,3676.99,3675,3675,2
2009-7-3,3800,3800,3800,3800,1
2009-7-14,3299.99,3299.99,3299.99,3299.99,10
2009-7-15,3100,3149.99,3100,3149.99,2
2009-7-22,3200,3200,3200,3200,1
2009-7-24,3299.99,3699.99,3299.99,3500,90
2009-7-27,3530,3530,3530,3530,240
2009-7-30,3975,3975,3975,3975,1
2009-7-31,3900,4140,3900,4140,5
2009-8-3,4300,4300,4300,4300,1
2009-8-11,3800,3800,3800,3800,1
2009-8-12,4000,4000,4000,4000,117
2009-8-13,3300,4000,2555.55,3999,10
2009-8-19,3691,3693,3691,3693,10
2009-8-20,3774,3776,3774,3776,10
2009-8-21,3775,3775,3775,3775,13
2009-8-24,4199,4800,4199,4300,278
2009-8-26,4499.99,6020,4499.99,5499.89,1757
2009-8-27,5650,7640,4600,5200,1581
2009-8-28,5000,5300,4600,4640,778
2009-8-31,4695,4713,4500,4500,32
2009-9-1,4500.01,4500.01,4500,4500,64
2009-9-2,4499.16,4499.55,4499.16,4499.55,2
2009-9-3,4500,5555,4302,4500,1699
2009-9-4,4500,4500,4300,4300,1870
2009-9-7,4499.43,4499.43,4499.43,4499.43,2
2009-9-8,4450,4986.97,4400,4400,433
2009-9-9,4300,4490,4300,4490,15
2009-9-10,4799.96,4799.96,4320,4380,1149
2009-9-11,4980,4980,4250,4550,369
2009-9-14,4499.99,4800,4490,4759.99,486
2009-9-15,4500.01,5602,4301.01,4497.99,2975
2009-9-16,4500,4599.9,4145,4280,269
2009-9-17,4499.99,4499.99,3923,3974,1159
2009-9-18,3801,3899,3500,3625,932
2009-9-21,3650,3750,3600,3699,148
2009-9-22,3700,3895.75,3700,3853.41,74
2009-9-23,3842.59,3910,3702,3899,127
2009-9-24,3899,3979,3781.64,3800,237
