Date,Open,High,Low,Close,Volume
2005-12-9,10,10,0.5,0.5,23
2005-12-20,0.25,0.34,0.25,0.34,1
2005-12-21,0.3,0.31,0.2,0.3,8
2005-12-22,0.4,0.4,0.21,0.26,10
2005-12-26,0.24,0.24,0.24,0.24,11
2005-12-27,0.22,0.22,0.2,0.22,4
2005-12-28,0.2,0.2,0.01,0.17,12
2005-12-29,0.15,0.2,0.15,0.17,7
2006-1-10,0.2,0.23,0.16,0.21,2
2006-1-11,0.17,0.21,0.17,0.2,4
2006-1-12,0.2,0.2,0.18,0.2,9
2006-1-13,0.18,0.2,0.18,0.19,89
2006-1-16,0.21,0.21,0.21,0.21,34
2006-1-17,0.2,0.2,0.18,0.18,1
2006-1-18,0.16,0.17,0.14,0.14,197
2006-1-19,0.14,0.14,0.13,0.13,8
2006-1-20,0.14,0.14,0.14,0.14,3
2006-1-23,0.14,0.14,0.11,0.11,37
2006-1-24,0.11,0.14,0.11,0.13,1
2006-1-25,0.13,0.13,0.1,0.11,171
2006-1-26,0.12,0.13,0.12,0.13,23
2006-1-27,0.12,0.14,0.11,0.13,41
2006-1-30,0.14,0.14,0.12,0.12,67
2006-1-31,0.12,0.13,0.12,0.13,7
2006-2-1,0.13,0.13,0.13,0.13,5
2006-2-3,0.1,0.13,0.1,0.13,9
2006-2-6,0.13,0.13,0.12,0.12,6
2006-2-7,0.13,0.14,0.13,0.14,31
2006-2-8,0.13,0.13,0.11,0.11,13
2006-2-9,0.14,0.14,0.12,0.12,19
2006-2-10,0.13,0.14,0.13,0.13,3
2006-2-13,0.13,0.17,0.13,0.14,50
2006-2-14,0.15,0.15,0.1,0.1,193
2006-2-15,0.11,0.14,0.11,0.14,121
2006-2-16,0.13,0.14,0.13,0.14,110
2006-2-17,0.13,0.15,0.12,0.14,133
2006-2-20,0.14,0.48,0.14,0.31,994
2006-2-21,0.34,0.42,0.24,0.29,154
2006-2-22,0.29,0.29,0.23,0.28,56
2006-2-26,0.27,0.27,0.19,0.22,81
2006-2-27,0.23,0.26,0.14,0.23,144
2006-2-28,0.22,0.26,0.21,0.23,265
2006-3-1,0.21,0.25,0.2,0.23,82
2006-3-2,0.22,0.24,0.22,0.24,24
2006-3-3,0.24,0.24,0.22,0.24,17
2006-3-6,0.24,0.24,0.22,0.24,57
2006-3-7,0.22,0.23,0.22,0.23,1
2006-3-9,0.22,0.24,0.2,0.23,96
2006-3-10,0.21,0.23,0.2,0.22,12
2006-3-13,0.21,0.23,0.2,0.22,47
2006-3-14,0.23,0.23,0.19,0.2,25
2006-3-15,0.21,0.21,0.18,0.19,33
2006-3-16,0.2,0.21,0.18,0.21,67
2006-3-17,0.21,0.22,0.19,0.21,48
2006-3-20,0.2,0.21,0.2,0.21,16
2006-3-21,0.2,0.2,0.19,0.2,5
2006-3-22,0.2,0.21,0.2,0.2,9
2006-3-23,0.2,0.2,0.19,0.2,23
2006-3-24,0.19,0.19,0.18,0.18,12
2006-3-27,0.19,0.21,0.18,0.2,148
2006-3-28,0.19,0.2,0.19,0.2,37
2006-3-29,0.2,0.21,0.2,0.21,24
2006-3-30,0.21,0.21,0.17,0.19,123
2006-3-31,0.2,0.21,0.2,0.2,52
2006-4-3,0.21,0.22,0.19,0.19,57
2006-4-4,0.21,0.21,0.18,0.2,27
2006-4-5,0.2,0.2,0.18,0.2,31
2006-4-6,0.19,0.19,0.18,0.19,61
2006-4-7,0.17,0.19,0.17,0.19,50
2006-4-10,0.19,0.2,0.18,0.19,12
2006-4-11,0.19,0.2,0.18,0.19,14
2006-4-12,0.19,0.19,0.18,0.19,24
2006-4-13,0.18,0.19,0.18,0.19,10
2006-4-14,0.17,0.19,0.17,0.19,42
2006-4-17,0.19,0.19,0.17,0.19,2
2006-4-18,0.18,0.19,0.17,0.18,25
2006-4-19,0.18,0.19,0.15,0.174,75
2006-4-20,0.168,0.191,0.168,0.19,103
2006-4-21,0.19,0.197,0.18,0.197,16
2006-4-24,0.176,0.193,0.176,0.193,1
2006-4-26,0.185,0.199,0.185,0.198,7
2006-4-27,0.176,0.187,0.15,0.18,12
2006-4-28,0.179,0.18,0.165,0.175,1
2006-5-2,0.161,0.176,0.161,0.176,3
2006-5-3,0.179,0.179,0.15,0.172,9
2006-5-4,0.174,0.18,0.172,0.18,3
2006-5-5,0.165,0.175,0.165,0.175,1
2006-5-6,0.165,0.179,0.165,0.179,1
2006-5-11,0.177,0.177,0.161,0.167,2
2006-5-12,0.16,0.171,0.16,0.171,1
2006-5-15,0.154,0.16,0.151,0.16,3
2006-5-16,0.16,0.163,0.15,0.162,32
2006-5-17,0.15,0.155,0.15,0.155,26
2006-5-18,0.151,0.157,0.145,0.156,11
2006-5-19,0.15,0.157,0.15,0.152,46
2006-5-22,0.155,0.155,0.15,0.15,5
2006-5-23,0.15,0.15,0.15,0.15,12
2006-5-24,0.15,0.155,0.15,0.15,19
2006-5-25,0.155,0.155,0.15,0.155,5
2006-5-26,0.151,0.18,0.15,0.171,7
2006-5-29,0.16,0.166,0.152,0.152,2
2006-5-31,0.16,0.161,0.16,0.161,0
2006-6-1,0.157,0.158,0.153,0.158,4
2006-6-2,0.158,0.158,0.158,0.158,0
2006-6-5,0.151,0.155,0.15,0.15,15
2006-6-6,0.17,0.17,0.159,0.159,4
2006-6-7,0.167,0.167,0.167,0.167,0
2006-6-8,0.15,0.15,0.15,0.15,0
2006-6-9,0.15,0.15,0.15,0.15,1
2006-6-13,0.153,0.154,0.15,0.15,6
2006-6-16,0.15,0.15,0.15,0.15,10
2006-6-19,0.15,0.15,0.15,0.15,0
2006-6-20,0.15,0.15,0.15,0.15,10
2006-6-21,0.15,0.15,0.15,0.15,0
2006-6-23,0.15,0.15,0.15,0.15,32
2006-6-27,0.15,0.15,0.15,0.15,1
2006-6-28,0.15,0.15,0.15,0.15,15
2006-6-29,0.15,0.15,0.15,0.15,2
2006-6-30,0.158,0.158,0.15,0.15,1
