Date,Open,High,Low,Close,Volume
2005-12-16,0.29,0.39,0.28,0.28,2
2005-12-20,0.25,0.3,0.2,0.3,6
2005-12-21,0.26,0.26,0.2,0.24,8
2005-12-22,0.21,0.23,0.2,0.21,5
2005-12-23,0.2,0.22,0.18,0.22,3
2005-12-26,0.21,0.22,0.2,0.22,3
2005-12-27,0.21,0.21,0.19,0.19,2
2005-12-29,0.19,0.19,0.17,0.18,1
2006-1-11,0.15,0.19,0.14,0.19,8
2006-1-12,0.17,0.18,0.15,0.17,1
2006-1-13,0.17,0.17,0.16,0.16,54
2006-1-17,0.17,0.18,0.15,0.15,3
2006-1-18,0.1,0.14,0.1,0.12,3
2006-1-20,0.14,0.19,0.14,0.17,6
2006-1-31,0.14,0.14,0.14,0.14,151
2006-2-6,0.16,0.17,0.16,0.16,7
2006-2-7,0.16,0.16,0.16,0.16,6
2006-2-10,0.16,0.16,0.16,0.16,10
2006-2-13,0.12,0.14,0.12,0.13,2
2006-2-14,0.14,0.14,0.14,0.14,43
2006-2-16,0.13,0.15,0.13,0.14,67
2006-2-17,0.14,0.14,0.14,0.14,23
2006-2-20,0.15,0.26,0.15,0.24,350
2006-2-21,0.22,0.22,0.19,0.21,209
2006-2-22,0.2,0.21,0.18,0.2,64
2006-2-26,0.19,0.2,0.17,0.19,29
2006-2-27,0.19,0.21,0.18,0.21,23
2006-2-28,0.2,0.22,0.19,0.22,166
2006-3-1,0.2,0.21,0.2,0.21,65
2006-3-2,0.21,0.21,0.2,0.2,18
2006-3-3,0.19,0.2,0.16,0.2,26
2006-3-6,0.2,0.2,0.17,0.17,20
2006-3-7,0.19,0.19,0.18,0.19,1
2006-3-9,0.19,0.19,0.19,0.19,34
2006-3-10,0.18,0.19,0.15,0.18,28
2006-3-13,0.15,0.2,0.15,0.2,57
2006-3-14,0.19,0.2,0.19,0.19,10
2006-3-15,0.19,0.19,0.19,0.19,1
2006-3-16,0.18,0.2,0.18,0.18,57
2006-3-17,0.19,0.2,0.19,0.2,1
2006-3-20,0.19,0.2,0.18,0.2,54
2006-3-21,0.19,0.19,0.17,0.19,15
2006-3-22,0.2,0.2,0.17,0.19,8
2006-3-23,0.19,0.2,0.17,0.19,1
2006-3-24,0.18,0.19,0.17,0.19,13
2006-3-27,0.19,0.19,0.18,0.18,17
2006-3-29,0.19,0.19,0.17,0.17,10
2006-3-30,0.18,0.18,0.17,0.17,49
2006-3-31,0.18,0.18,0.18,0.18,9
2006-4-3,0.17,0.18,0.17,0.17,4
2006-4-4,0.18,0.18,0.16,0.17,73
2006-4-5,0.17,0.17,0.16,0.16,10
2006-4-6,0.17,0.17,0.17,0.17,10
2006-4-7,0.17,0.17,0.16,0.16,22
2006-4-10,0.17,0.17,0.16,0.17,1
2006-4-11,0.16,0.17,0.16,0.17,8
2006-4-12,0.16,0.17,0.16,0.17,10
2006-4-13,0.16,0.17,0.15,0.16,14
2006-4-14,0.17,0.17,0.17,0.17,1
2006-4-17,0.17,0.17,0.17,0.17,45
2006-4-18,0.16,0.17,0.15,0.17,1
2006-4-19,0.15,0.16,0.145,0.158,152
2006-4-20,0.144,0.144,0.14,0.144,6
2006-4-21,0.179,0.179,0.145,0.155,7
