Date,Open,High,Low,Close,Volume
2011-10-26,18,21.668,15.501,18.969,162
2011-10-27,18,20,18,18,59
2011-10-28,18.99,20,18.002,18.002,62
2011-10-31,16,18.75,16,18.75,21
2011-11-1,17.5,17.5,16.51,17.5,23
2011-11-2,17.495,18.5,17.495,18,10
2011-11-3,17.5,18,15.51,17.25,67
2011-11-7,17.25,17.5,17.25,17.5,6
2011-11-8,14.51,17.07,14.51,17.07,2
2011-11-9,15,16.949,15,15.501,65
2011-11-10,16.999,17,16.999,17,30
2011-11-11,16.5,19,15.501,19,221
2011-11-14,19,20,19,19.999,5
2011-11-15,19,20,17.8,19,52
2011-11-16,19,21,19,19.501,45
2011-11-17,19,19,18.999,19,40
2011-11-18,17.001,17.302,16.02,16.258,69
2011-11-21,16.001,18,15.7,18,31
2011-11-22,17.999,20.5,17.999,18,165
2011-11-23,18,18,18,18,18
2011-11-24,18,18,18,18,5
2011-11-28,18.5,18.999,18.5,18.7,124
2011-11-30,18.99,18.99,18.7,18.7,27
2011-12-1,19,20,19,19.49,19
2011-12-2,17.5,18,17.108,17.108,153
2011-12-5,17.5,18,17.5,18,59
2011-12-8,16.501,16.501,16.501,16.501,3
2011-12-9,16.505,16.505,14.604,15.177,26
2011-12-12,15.701,15.701,15.4,15.5,9
2011-12-14,13.05,15.005,13.05,15,262
2011-12-15,15.004,15.004,15.004,15.004,1
2011-12-19,14.5,14.5,14,14,20
2011-12-20,19.715,19.715,15.25,16.9,210
2011-12-21,16,16.499,12.021,15.391,119
2011-12-22,14.05,16.99,14.05,16.99,29
2011-12-23,14.504,15.397,13,15.397,132
2011-12-26,14.006,14.028,14.006,14.028,11
2011-12-27,16.79,16.79,14.267,15.295,2074
2011-12-28,17.75,17.75,14.41,15.985,1212
2011-12-29,17.7,17.7,12.5,14.333,1638
2011-12-30,14.426,17.2,14.099,15.156,4800
2012-1-3,14.717,14.717,14.011,14.011,6
2012-1-4,14.02,15.35,14.02,15.34,7
2012-1-5,15.36,15.36,15.3,15.3,20
2012-1-6,14.201,15.123,14.201,15.123,6
2012-1-9,15.331,15.99,14.555,14.555,5
2012-1-10,15.5,17.007,15.006,15.7,185
2012-1-11,15.5,16.493,15.273,16.493,16
2012-1-12,16.479,16.479,15.7,15.7,7
2012-1-13,16.49,16.49,16.49,16.49,1
2012-1-17,16.645,16.645,16.631,16.631,19
2012-1-18,16.64,16.64,15.5,16,214
2012-1-19,14.87,15,14.87,15,201
2012-1-20,16.48,16.48,14.85,15.06,127
2012-1-25,15.001,15.001,14.999,15,30
2012-1-26,14.997,14.997,14.997,14.997,1
2012-1-27,14.065,14.341,14.064,14.329,157
2012-1-30,14.444,14.444,14.444,14.444,2
2012-2-1,14.101,14.101,13.93,13.93,32
2012-2-2,14,14.005,14,14,61
2012-2-3,13.83,13.83,13.83,13.83,1
2012-2-6,13.831,15.224,13.323,15.224,87
2012-2-7,14.971,15,14.971,15,35
2012-2-8,15.2,15.996,14.484,15.704,292
2012-2-9,15.7,15.7,15.7,15.7,3
2012-2-10,15.157,15.157,15.043,15.043,10
2012-2-14,15.599,16,15.599,16,110
2012-2-15,15.201,15.999,15.201,15.994,758
2012-2-16,14.225,15.899,14.225,15.227,20
2012-2-17,15.372,16.598,15.372,16.25,191
2012-2-20,16.694,16.694,15.301,16.298,156
2012-2-21,16.595,16.595,14.1,15.449,139
2012-2-22,15,15,15,15,2
2012-2-24,14.4,15.298,14.4,15.298,252
2012-2-28,15.2,15.364,14.65,14.957,49
2012-2-29,14.96,14.96,14.96,14.96,1
2012-3-1,14.37,14.9,14.37,14.9,110
2012-3-2,15.199,15.4,15.199,15.3,414
