Date,Open,High,Low,Close,Volume
2010-6-24,30.06,38.98,28.52,31.99,14460
2010-6-25,32,32,28.61,29.28,3038
2010-6-28,29.28,29.68,28,29.6,2530
2010-6-29,29.26,30.21,28.27,29.43,1788
2010-6-30,29.26,30.83,28.66,30.83,941
2010-7-1,29.98,30.82,29,30.4,1282
2010-7-2,30.14,30.6,29.1,30.01,986
2010-7-5,29.79,30.2,29.41,30.2,290
2010-7-6,30.03,30.2,29.51,30.03,611
2010-7-7,29.65,29.99,29.31,29.86,145
2010-7-8,29.43,29.7,29.01,29.4,220
2010-7-9,29.66,29.66,29,29.49,314
2010-7-12,29.52,29.52,28.66,28.66,198
2010-7-13,28.65,30.98,28.02,30.7,1331
2010-7-14,29.5,30.78,29.5,30.11,1263
2010-7-15,30.37,31.86,29.55,31.38,1329
2010-7-16,31.5,31.87,30.92,31.7,271
2010-7-19,30.09,32.89,30.09,31.06,145
2010-7-20,31.26,32.9,31.01,32.9,482
2010-7-21,32.1,35.3,32.1,34.75,807
2010-7-22,32.38,34.99,32.38,33.98,332
2010-7-23,34.25,34.25,32.67,33.94,201
2010-7-26,34.64,34.64,33.04,33.7,484
2010-7-27,33.7,33.77,33,33.39,82
2010-7-28,33.7,33.7,31.73,32.68,388
2010-7-29,32.79,32.8,31.84,31.98,235
2010-7-30,32,32.2,31.23,32.08,151
2010-8-2,31.64,32,31.01,31.37,297
2010-8-3,31.38,31.9,30.81,31.51,72
2010-8-4,31.5,31.9,31.4,31.63,40
2010-8-5,31.5,31.68,31.02,31.38,263
2010-8-6,31.32,31.49,31.01,31.49,31
2010-8-9,31.5,31.59,31,31.53,157
2010-8-10,31.23,31.86,31.22,31.63,143
2010-8-11,31.5,31.57,30.55,30.8,113
2010-8-12,30.9,31.43,30.51,31.16,36
2010-8-13,31.21,31.99,31.14,31.79,272
2010-8-16,31.6,31.6,30.71,31.14,13
2010-8-17,31.26,31.49,31,31.26,70
2010-8-18,31.14,31.53,31,31.26,47
2010-8-19,31.14,31.32,30.45,30.89,52
2010-8-20,30.78,31.13,30.45,30.88,45
2010-8-23,30.9,32.89,30.63,31.99,727
2010-8-24,31.89,31.9,30.69,31.02,78
2010-8-25,31.13,31.42,30.45,30.78,98
2010-8-26,30.95,31.99,30.83,31.94,123
2010-8-27,31.75,32.5,31.53,32.23,211
2010-8-30,32.13,32.8,31.5,32,29
2010-8-31,32.3,32.3,31.21,31.51,112
2010-9-1,31.52,31.97,31.31,31.87,50
2010-9-2,31.69,33.7,31.69,33,544
2010-9-3,33.01,33.86,32.41,32.88,551
2010-9-6,32.99,33.29,32.57,33.19,150
2010-9-7,34.06,34.06,32.99,33.14,80
2010-9-8,33.14,33.68,33.04,33.27,170
2010-9-9,33.97,33.99,33,33.39,109
2010-9-10,33.39,33.56,33.14,33.34,162
2010-9-13,33.48,33.48,32.83,33.28,86
2010-9-14,33.01,33.25,32.95,33.2,71
2010-9-15,33.01,33.59,33.01,33.33,16
2010-9-16,32.91,33.49,32.11,32.43,120
2010-9-17,32.5,32.99,32.3,32.44,76
2010-9-20,33.3,33.3,31.91,32.53,202
2010-9-21,32.52,33.85,32.3,33.85,1444
2010-9-22,33.99,34.5,33.08,33.96,253
2010-9-23,33.8,35,33,34,722
2010-9-24,33.4,34.98,33.24,34.41,1241
2010-9-27,34.6,35,33.44,34.13,271
2010-9-28,34.54,34.59,32.44,33.13,630
2010-9-29,33.14,33.22,32.5,32.99,349
2010-9-30,33.01,33.01,32.23,32.5,754
2010-10-1,32.63,32.86,32.46,32.5,253
2010-10-4,32.77,33.52,32.39,32.8,342
2010-10-5,33,33.14,32.52,32.87,63
2010-10-6,32.76,33.1,32.35,32.96,168
2010-10-7,32.77,32.89,32.6,32.77,17
2010-10-8,32.63,32.84,32.58,32.81,113
2010-10-11,32.88,32.88,32.4,32.85,70
2010-10-12,32.63,33.14,32.45,32.8,186
2010-10-13,33.01,33.24,32.38,32.82,225
2010-10-14,33.4,33.4,32.5,32.84,125
2010-10-15,32.63,33,32.5,32.53,62
2010-10-18,32.82,32.99,32.44,32.95,358
2010-10-19,32.89,32.98,32.53,32.85,538
2010-10-20,32.8,32.96,32.54,32.94,153
2010-10-21,33.04,33.07,32.14,32.94,337
2010-10-22,32.94,33,32.52,32.92,223
2010-10-25,32.72,33,32.52,32.95,184
2010-10-26,32.79,33,32.78,32.99,59
2010-10-27,32.78,33.53,32.59,33,676
2010-10-28,33,33.5,32.6,33.45,406
2010-10-29,33.27,33.49,32.71,32.81,161
2010-11-1,33.01,34.4,32.88,33,327
2010-11-2,32.78,33.49,32.76,33,62
2010-11-3,32.89,33.62,32.8,33.23,13
2010-11-8,33.01,33.5,33,33.5,206
2010-11-9,33.27,34,33.25,33.49,194
2010-11-10,33.53,33.53,33.11,33.4,6
2010-11-11,33.4,33.74,33.01,33.01,69
2010-11-12,33.01,33.41,33,33.26,56
2010-11-13,33.29,33.42,33.03,33.25,19
2010-11-15,33.26,33.45,33,33.22,45
2010-11-16,33.26,33.26,33,33,76
2010-11-17,33.14,33.22,32.57,33.01,35
2010-11-18,33.14,33.33,33,33,30
2010-11-19,33.14,33.14,32.7,32.96,74
2010-11-22,32.83,33.19,32.82,33,39
2010-11-23,32.99,33,32.73,32.94,17
2010-11-24,32.91,33.1,32.7,33,67
2010-11-25,33.01,33.27,32.71,33.27,40
2010-11-26,33.01,33.1,32.62,33.08,37
2010-11-29,32.89,33.33,32.3,32.71,196
2010-11-30,32.88,33.17,32.56,32.97,206
2010-12-1,32.99,33.12,32.54,33.08,52
2010-12-2,33.12,33.12,32.49,32.79,83
2010-12-3,32.62,32.94,32.5,32.72,63
2010-12-6,32,32.84,32,32.7,28
2010-12-7,32.89,32.89,32.5,32.52,67
2010-12-8,32.82,32.92,32.13,32.9,118
2010-12-9,32.54,33,32.44,32.84,112
