Date,Open,High,Low,Close,Volume
2017-2-10,90,96,83,85,3513880
2017-2-13,85.6,85.9,84.4,85.2,228283
2017-2-14,85.5,85.5,84.64,85,256155
2017-2-15,85.2,85.2,84.7,85,37918
2017-2-16,85.09,85.09,83.7,84.99,264726
2017-2-17,84,84.9,84,84.9,63021
2017-2-20,84.9,84.9,84,84.85,11742
2017-2-21,84,84.9,84,84.8,21686
2017-2-22,84.79,84.8,84.15,84.75,62643
2017-2-24,84.01,84.7,83.75,84.7,10927
2017-2-27,84.9,85,83.8,84.48,81427
2017-2-28,84,84.99,83.8,84.93,674456
2017-3-1,84.9,84.9,84.03,84.42,4440
2017-3-2,86,88,83.85,83.85,37671
2017-3-3,83.51,84.26,82.82,82.82,26017
2017-3-6,83.95,83.96,80.5,82.98,80558
2017-3-7,83.47,84.75,80.56,84.75,227444
2017-3-9,84.7,84.7,82.28,84.6,154699
2017-3-10,83.11,84.38,82.06,82.07,9240
2017-3-13,81.25,82.46,81.14,81.5,32080
2017-3-14,82.16,82.17,81.11,81.14,1735
2017-3-15,81.99,81.99,80.01,80.01,5119
2017-3-16,81.9,82.1,77.69,77.69,57054
2017-3-17,78.48,79.88,76.2,76.2,129597
2017-3-20,77.69,78.91,75.01,75.01,102597
2017-3-21,75.38,79.95,75.38,79,38394
2017-3-22,79.4,80.95,78,80.41,17558
2017-3-23,80.4,81.87,80.12,81.3,48886
2017-3-24,81.49,84.4,81.36,82.41,32045
2017-3-27,81.92,85.53,80.63,85.53,64682
2017-3-28,85.5,86,84.67,85.1,20115
2017-3-29,85.27,86,84.74,85.2,9106
2017-3-30,86,87.5,85.15,87.5,25180
2017-3-31,88.99,90,86.5,88,17057
2017-4-3,87,89.99,87,88.24,14707
2017-4-4,89,89.77,88.37,89,2746
2017-4-5,89.01,89.99,89.01,89.99,2194
2017-4-6,89.98,100,89.98,92,53163
2017-4-7,92.78,93,88.64,89.61,44140
2017-4-10,89.53,90.87,84.57,84.57,30124
2017-4-11,84.25,88.9,83.91,87.56,5965
2017-4-12,88.3,90,87,87.03,9092
