Date,Open,High,Low,Close,Volume
2007-12-13,3.02,3.02,2.741,2.77,1729
2007-12-14,2.76,2.859,2.76,2.771,887
2007-12-17,2.8,2.827,2.76,2.781,915
2007-12-18,2.78,2.85,2.75,2.845,1780
2007-12-19,2.85,2.87,2.812,2.822,1745
2007-12-20,2.836,2.836,2.77,2.818,877
2007-12-21,2.8,2.8,2.77,2.78,328
2007-12-24,2.772,2.772,2.75,2.77,1082
2007-12-25,2.75,2.755,2.74,2.742,1683
2007-12-26,2.74,2.753,2.6,2.74,1655
2007-12-27,2.753,2.771,2.705,2.73,1160
2007-12-28,2.721,2.75,2.7,2.705,1249
2008-1-9,2.7,2.745,2.68,2.68,623
2008-1-10,2.682,2.773,2.68,2.77,2624
2008-1-11,2.75,2.78,2.733,2.775,1629
2008-1-14,2.741,2.999,2.718,2.88,2316
2008-1-15,2.871,3.088,2.85,3.004,10333
2008-1-16,2.917,3.05,2.825,3,6834
2008-1-17,3.048,3.048,2.905,2.97,3034
2008-1-18,2.97,2.97,2.9,2.916,372
2008-1-21,2.904,2.937,2.8,2.879,2223
2008-1-22,2.78,2.83,2.57,2.7,4304
2008-1-23,2.7,2.799,2.61,2.61,1444
2008-1-24,2.641,2.76,2.64,2.7,127
2008-1-25,2.759,2.899,2.711,2.82,889
2008-1-28,2.75,2.77,2.64,2.66,518
2008-1-29,2.777,2.777,2.642,2.643,2630
2008-1-30,2.64,2.685,2.61,2.62,1171
2008-1-31,2.62,2.666,2.504,2.53,585
2008-2-1,2.789,2.789,2.505,2.57,5533
2008-2-4,2.63,2.74,2.572,2.575,238
2008-2-5,2.551,2.64,2.5,2.6,695
2008-2-6,2.5,2.579,2.5,2.523,382
2008-2-7,2.523,2.6,2.454,2.5,797
2008-2-8,2.563,2.563,2.451,2.489,409
2008-2-11,2.406,2.495,2.406,2.456,660
2008-2-12,2.48,2.5,2.4,2.469,689
2008-2-13,2.495,2.495,2.401,2.47,649
2008-2-14,2.65,2.65,2.462,2.51,1362
2008-2-15,2.724,2.724,2.401,2.439,970
2008-2-18,2.47,2.49,2.44,2.47,436
2008-2-19,2.457,2.54,2.44,2.515,1106
2008-2-20,2.5,2.529,2.41,2.433,1094
2008-2-21,2.468,2.575,2.468,2.546,4410
2008-2-22,2.5,2.535,2.49,2.52,775
2008-2-26,2.71,2.71,2.485,2.492,245
2008-2-27,2.547,2.547,2.47,2.47,706
2008-2-28,2.441,2.49,2.44,2.45,202
2008-2-29,2.445,2.583,2.436,2.583,2209
2008-3-3,2.5,2.549,2.44,2.488,621
2008-3-4,2.511,2.54,2.415,2.49,743
2008-3-5,2.45,2.47,2.393,2.439,1211
2008-3-6,2.438,2.464,2.402,2.427,740
2008-3-7,2.401,2.425,2.384,2.39,790
2008-3-11,2.407,2.407,2.37,2.399,515
2008-3-12,2.572,2.572,2.36,2.372,1320
2008-3-13,2.378,2.395,2.351,2.385,259
2008-3-14,2.373,2.416,2.361,2.398,440
2008-3-17,2.366,2.375,2.25,2.347,913
2008-3-18,2.424,2.424,2.291,2.33,53
2008-3-19,2.365,2.39,2.285,2.298,305
2008-3-20,2.25,2.288,2.216,2.247,394
2008-3-21,2.25,2.289,2.201,2.25,269
2008-3-24,2.425,2.425,2.162,2.23,308
2008-3-25,2.349,2.349,2.171,2.196,953
2008-3-26,2.164,2.199,2.1,2.122,641
2008-3-27,2.101,2.14,2.05,2.1,558
2008-3-28,2.137,2.137,2.052,2.058,2928
2008-3-31,2.03,2.15,2.03,2.134,1522
2008-4-1,2.139,2.16,2.085,2.099,265
2008-4-2,2.099,2.144,2.064,2.105,343
2008-4-3,2.086,2.125,2.085,2.114,448
2008-4-4,2.08,2.139,2.08,2.09,372
2008-4-7,2.09,2.11,2.02,2.081,1428
2008-4-8,2.048,2.069,2.04,2.069,161
2008-4-9,2.069,2.12,2,2.002,732
2008-4-10,1.998,2.024,1.901,1.944,1071
2008-4-11,1.944,1.95,1.908,1.936,1187
2008-4-14,1.904,1.919,1.875,1.89,392
2008-4-15,1.89,1.89,1.699,1.73,8381
2008-4-16,1.755,1.755,1.605,1.605,7300
2008-4-17,1.61,1.647,1.58,1.607,1581
2008-4-18,1.617,1.677,1.581,1.634,1023
2008-4-21,1.675,1.675,1.614,1.621,1119
2008-4-22,1.625,1.669,1.616,1.648,6304
2008-4-23,1.66,1.66,1.62,1.635,415
2008-4-24,1.61,1.644,1.6,1.62,573
2008-4-25,1.645,1.65,1.587,1.608,462
2008-4-28,1.743,1.743,1.581,1.615,541
2008-4-29,1.668,1.668,1.585,1.605,126
2008-4-30,1.59,1.608,1.59,1.607,99
2008-5-4,1.607,1.695,1.607,1.689,1378
2008-5-5,1.694,1.698,1.624,1.649,1203
2008-5-6,1.632,1.669,1.63,1.63,848
2008-5-7,1.65,1.67,1.599,1.6,784
2008-5-8,1.598,1.67,1.588,1.66,3460
2008-5-12,1.669,1.669,1.625,1.664,1864
2008-5-13,1.66,1.681,1.632,1.66,3203
2008-5-14,1.68,1.68,1.645,1.663,956
2008-5-15,1.685,1.719,1.652,1.68,3410
2008-5-16,1.68,1.74,1.601,1.697,8259
2008-5-19,1.7,1.702,1.655,1.682,11012
2008-5-20,1.651,1.689,1.635,1.649,2366
2008-5-21,1.668,1.68,1.63,1.667,4181
2008-5-22,1.634,1.695,1.62,1.668,1555
2008-5-23,1.668,1.67,1.625,1.649,2085
2008-5-26,1.618,1.77,1.616,1.74,14244
2008-5-27,1.713,1.798,1.68,1.697,16033
