Date,Open,High,Low,Close,Volume
2011-1-11,4060,4060,3300,3350,54
2011-1-12,3430,4566,3350.02,4500,123
2011-1-13,4150,4640,3500.05,3789.99,296
2011-1-14,4100,4999.99,3380.01,3598.98,113
2011-1-17,3900,3900,3006.16,3250,136
2011-1-18,3480,3480,3200,3200,19
2011-1-19,3200,3359.96,2800.02,2870,123
2011-1-20,2801.14,2801.14,2260.06,2780,78
2011-1-21,2600,2625,2444.5,2560,114
2011-1-24,2500,2730,2500,2580,91
2011-1-25,2430.02,2499,2350,2499,52
2011-1-26,2021.02,2560,2021,2398.99,13
2011-1-27,2299.99,2300,2240,2270,32
2011-1-28,2826.74,2826.74,2250,2309.99,24
2011-1-31,2143.03,2429,2096.05,2200,151
2011-2-2,2000.03,2246,2000.03,2246,7
2011-2-3,2000.01,2000.01,1825,1981.11,97
2011-2-4,2140,2140,1730.04,1795.02,72
2011-2-7,1650,1650,1311,1349.99,808
2011-2-8,1359.99,1549.99,1190,1205.5,658
2011-2-9,1161.02,1242.01,980,1174,1356
2011-2-10,1170.18,1508.04,1020.07,1274.9,1864
2011-2-11,1397.77,1494,1210,1487,214
2011-2-14,1360.03,1500,1290.08,1500,51
2011-2-15,1548,1600,1547.99,1590,27
2011-2-16,1599.99,1599.99,1330,1366,538
2011-2-17,1398.98,1519.94,1345,1387.99,400
2011-2-18,1394.44,1450,1308.78,1424.94,113
2011-2-21,1350.04,1425,1299.99,1325,337
2011-2-22,1302.57,1324.99,1200,1200,184
2011-2-24,1152.01,1205.01,1152.01,1199.99,58
2011-2-25,1152.04,1233.95,1152,1161.07,51
2011-2-28,1152.01,1354.99,1152,1354.99,241
2011-3-1,1333.3,1378,1222.1,1378,99
2011-3-2,1240.5,1374,1240.5,1311,73
2011-3-3,1253.9,1369.7,1253.9,1336,48
2011-3-4,1287.5,1381.8,1287.5,1303.3,48
2011-3-5,1303.3,1340,1280,1302.2,67
2011-3-9,1266,1358.7,1265,1302.1,136
2011-3-10,1201,1368,1201,1298.1,8
2011-3-11,1201.1,1366,1200,1366,78
2011-3-14,1368,1368,1250.3,1250.6,45
2011-3-15,1300,1319.9,1155.1,1255.6,147
2011-3-16,1161.1,1269.8,1161.1,1186.5,40
2011-3-17,1188.6,1249.6,1188.6,1248,8
2011-3-21,1264,1498,1161.5,1458,894
2011-3-22,1455,1777.5,900,1250.1,578
2011-3-23,1221.1,1295.9,1221.1,1232.2,67
2011-3-24,1231.8,1400,1231.8,1300,100
2011-3-25,1270.2,1393.8,1265.1,1300.1,54
2011-3-28,1300,1300,1212.2,1284.6,107
2011-3-29,1297.1,1297.1,1220.1,1295,22
2011-3-30,1297,1299.1,1223.1,1288.9,35
2011-3-31,1230.1,1320,1230.1,1320,40
2011-4-1,1320,1387,1262.1,1383.8,10
2011-4-4,1399.5,1399.5,1301.1,1394.7,18
2011-4-5,1394.6,1394.6,1235.7,1389.9,21
2011-4-6,1384.9,1384.9,1300,1382.7,8
2011-4-7,1382,1382,1270.3,1327.4,16
2011-4-8,1235.3,1320,1152,1320,88
2011-4-11,1320,1320,1221,1250,54
2011-4-12,1200.1,1274.9,1180,1211.2,319
2011-4-13,1210,1740.3,1210,1740.3,1102
2011-4-14,2009.6,2189,1400.1,1550,1790
2011-4-15,1540,1700,1465,1589.4,328
2011-4-18,1500,1743,1355.1,1493.9,298
2011-4-19,1351.5,1524,1302,1401,93
2011-4-20,1425.3,1500,1333,1400,101
2011-4-21,1450,1948,1450,1800,977
2011-4-22,1899.8,2200,1540,1565,1600
2011-4-25,1674.9,1838,1555,1695,768
2011-4-26,1713,1749.7,1605.6,1611,168
2011-4-27,1694.8,1930.5,1600,1734.9,378
2011-4-28,1943.6,2060,1700.3,1898.9,513
2011-4-29,1890.1,2099.9,1656.3,1711.9,625
2011-5-3,1641.1,1813,1601.2,1697.8,234
2011-5-4,1579,1631.8,1502,1600,170
2011-5-5,1512,1550,1205.5,1293.9,293
2011-5-6,1255.1,1649.9,1255,1302,909
2011-5-10,1397.5,1463.5,1280,1329.7,214
2011-5-11,1306,1348,1200,1290,72
2011-5-12,1230,1430,1210,1311.6,170
2011-5-13,1215.3,1268.8,1130,1247,500
2011-5-16,1201.1,1289.9,1200,1289.9,32
2011-5-17,1299.8,1299.8,1130,1174.6,251
2011-5-18,1218,1382.9,1150,1170,448
2011-5-19,1175.1,1334.5,1175.1,1299.7,208
2011-5-20,1235.1,1375,1200,1300,386
2011-5-23,1300.1,1750,1224.2,1499.4,1269
2011-5-24,1539.7,1593.9,1309.9,1350,503
