Date,Open,High,Low,Close,Volume
2011-1-11,3185,3185,3185,3185,11
2011-1-12,2800,3999.97,2800,3121,224
2011-1-13,3649,3649,2200.07,2589.98,260
2011-1-14,2499.99,2800,2400,2459.99,126
2011-1-17,2300,2300,2100.01,2259.99,12
2011-1-18,2260.01,2262,2220.03,2249.99,5
2011-1-19,2149.97,2149.97,2050.05,2050.05,4
2011-1-20,2050.04,2149.98,2000,2100,59
2011-1-21,2050,2050,1905.01,1905.01,46
2011-1-24,1999.99,2400,1999.99,2170,70
2011-1-25,2020.09,2020.09,2020,2020,14
2011-1-26,2002.99,2070,1950,2070,43
2011-1-27,1975.01,1975.01,1975.01,1975.01,1
2011-1-31,2000.04,2040.01,1945,2040.01,29
2011-2-1,1970.06,1970.06,1950.01,1950.01,10
2011-2-2,1900.03,1900.03,1900,1900.02,25
2011-2-3,1979.97,1989.96,1979.97,1989.96,4
2011-2-9,1500,1768,1333.39,1768,36
2011-2-10,1888,2379,1412,1507.77,48
2011-2-11,1622.22,1622.22,1622.22,1622.22,1
2011-2-15,1390.01,1600,1390.01,1600,2
2011-2-16,1954.72,1954.72,1435.15,1435.15,10
2011-2-17,1998.84,2000,1500.1,1887.04,46
2011-2-21,1800.8,1899.98,1800.8,1888.88,3
2011-2-25,1750.2,1750.21,1750.2,1750.21,7
2011-2-28,1700,1750,1700,1750,6
2011-3-1,1898.8,1898.9,1898.8,1898.9,2
2011-3-2,1899,1899,1810.3,1810.3,2
2011-3-3,1800.2,1900,1800,1899.9,9
2011-3-4,1900,1999.8,1700.7,1999.8,11
2011-3-9,1723.6,1723.6,1723.6,1723.6,1
2011-3-11,1994.3,1994.3,1994.3,1994.3,1
2011-3-18,1888.7,1888.7,1560,1560,5
2011-3-21,1888.7,2184,1625,2184,66
2011-3-22,1725,2468,1725,2000.1,75
2011-3-23,2468.5,2468.5,2299.9,2340,20
2011-3-24,2390,2400,2006,2006,49
2011-3-25,2299.7,2299.7,1710,1814,43
2011-3-28,1800.3,1850,1800.3,1801,38
2011-3-29,1801,2000,1801,1995,131
2011-3-30,2449,2449,1990,2002.7,31
2011-3-31,2050,2099,1420,1858,88
2011-4-1,1900,1991,1900,1991,6
2011-4-4,1800,1994.2,1800,1817,57
2011-4-5,1750.1,1884.9,1600,1700,56
2011-4-6,1840,1840,1506,1560,61
2011-4-7,1690,1727,1300.1,1480,155
2011-4-8,1328.3,1418.9,1200,1289.6,573
2011-4-11,1299.7,1299.8,1190,1294.8,73
2011-4-12,1230,1399,1220,1399,97
2011-4-13,1474.9,1931.3,1470,1931,613
2011-4-14,2119.6,2300,1424.6,1600,431
2011-4-15,1648,1910,1505,1699.9,90
2011-4-18,1780,1900,1415,1600,108
2011-4-19,1700,1787,1350,1630,56
2011-4-20,1380,1686.8,1380,1400.1,62
2011-4-21,1410,1930,1401.2,1884.8,264
2011-4-22,1918.9,2199.8,1600,1720,405
2011-4-25,1915,1915,1607.9,1778.5,96
2011-4-26,1820,1829.9,1600,1680,306
2011-4-27,1780,1800,1550,1743,203
2011-4-28,1744,1850,1481.5,1668.6,958
2011-4-29,1597,1739,1525.2,1609,173
2011-5-3,1550,1608,1475.2,1567.8,72
