Date,Open,High,Low,Close,Volume
2011-12-21,1114,1114,1069.5,1069.5,200
2011-12-27,1274,1486,1274,1284,51
2011-12-28,1300,2015,1300,1300,127
2011-12-29,1300,2600,1300,1300,325
2012-1-19,1500,1500,1500,1500,1
2012-1-20,1052,1052,1052,1052,1
2012-1-27,1150,1472,1150,1472,11
2012-1-30,1450,2019,1450,1700,448
2012-1-31,2380,2380,1501,1501,13
2012-2-1,1250,1250,1250,1250,1
2012-2-2,1230,1230,1230,1230,1
2012-2-3,1078.1,1200,1078.1,1200,4
2012-2-8,1350,1350,1350,1350,1
2012-2-9,1250,1250,1250,1250,1
2012-2-16,1500,1500,1500,1500,2
2012-2-27,1599.7,1599.7,1599.7,1599.7,2
2012-2-29,2003.4,2234.5,1550,2234.5,1303
2012-3-1,1500.1,1525.2,1350,1520,53
2012-3-2,1510,1510,1510,1510,1
2012-3-5,1799.4,2105,1799.4,2105,480
2012-3-6,2105,2388.8,1550,1855.2,55
2012-3-7,1500.1,1500.2,1482.5,1500.2,22
2012-3-11,1510,1510,1510,1510,1
2012-3-12,1600,2001.4,1503.8,2001.4,21
2012-3-13,1600.7,1600.7,1470,1480,163
2012-3-14,1480,1480,1350,1418,198
2012-3-15,1400,1425,1400,1425,117
2012-3-21,1380,1420,1380,1420,11
2012-3-22,1404.9,1404.9,1290,1300,18
2012-3-23,1244,1244,1234.9,1236,15
2012-3-26,1205.1,1205.2,1205,1205,33
2012-3-27,1221,1221.1,1221,1221.1,4
2012-3-28,1279.9,1279.9,1279.9,1279.9,3
2012-3-29,1188.1,1789,1105,1349.8,1647
2012-3-30,2011.7,2011.7,1230,1270.5,1263
2012-4-2,1349.9,1349.9,1349.9,1349.9,1
2012-4-3,1226.1,1300,1217.6,1295.4,86
2012-4-4,1259.5,1275,1259.5,1275,4
2012-4-5,1275,1284.9,1271,1284.9,13
2012-4-9,1222.6,1222.6,1213.5,1213.5,12
2012-4-10,1112.5,1112.5,1112.5,1112.5,2
2012-4-11,1155.5,1155.7,1045,1155.7,25
2012-4-13,1055.2,1153.2,1015,1153.2,86
2012-4-17,1160.7,1160.7,1160.7,1160.7,1
2012-4-18,1155,1155,1155,1155,1
2012-4-19,1150.5,1150.5,1150.5,1150.5,1
2012-4-20,1150.9,1150.9,1150.9,1150.9,2
2012-4-23,1007.2,1007.2,1007.1,1007.1,16
2012-4-24,1149.9,1150,1149.9,1150,30
2012-4-25,1150,1150,1150,1150,1
2012-4-26,1111,1111,1111,1111,11
2012-4-27,1145,1199,1145,1199,436
2012-4-28,1667,1667,1085,1085,4798
2012-5-3,1085,1085,1085,1085,1
2012-5-4,1022,1022,1022,1022,10
2012-5-5,1155,1155,1155,1155,1
2012-5-8,1033,1154.2,1033,1154.2,20
2012-5-11,1155,1155,1155,1155,1
2012-5-12,1155,1190,1155,1190,304
2012-5-15,1055,1098.6,999,1000,29
2012-5-18,960,960,960,960,1
2012-5-21,933.5,949.6,933.5,949.6,2
2012-5-22,955.1,955.1,955.1,955.1,8
2012-5-24,979,1050,956.1,1050,101
2012-5-25,1000,1150,1000,1150,171
2012-5-28,1050,1285,1050,1285,325
2012-5-29,1100,1300,1100,1300,289
2012-5-30,1285,1395,1285,1395,160
2012-5-31,1787.5,1875,1059,1443.9,12386
2012-6-1,1105.1,1189.2,1055.6,1189.2,241
2012-6-4,1077.4,1100,1077.4,1100,20
2012-6-6,1056.1,1056.1,1056,1056,2
2012-6-7,1060,1060,1060,1060,10
2012-6-13,1065.3,1065.3,1065.3,1065.3,1
2012-6-14,1059,1059,1059,1059,1
2012-6-18,1055.1,1055.1,1050,1050,14
2012-6-25,1100,1149.9,1100,1120,28
2012-6-26,1163,1163,1140,1149,92
