Date,Open,High,Low,Close,Volume
2017-11-8,840,840,780.7,794,20585
2017-11-9,794,819.8,772.1,780,13113
2017-11-10,765.4,784.9,765.4,770.3,7495
2017-11-13,785,785,766.2,770,2180
2017-11-14,770.1,780,767.1,780,4369
2017-11-15,767.7,783.9,767.7,772.6,894
2017-11-16,783.8,783.8,760,763.5,686
2017-11-17,763.5,780.2,763.5,777.5,309
2017-11-20,778,779,771,772.7,662
2017-11-21,770.5,770.5,762.5,763.9,2115
2017-11-22,761.2,768,761.2,768,3941
2017-11-23,768,771,760.6,769.6,875
2017-11-24,767.6,771.6,763,768.3,753
2017-11-27,777.4,777.5,741.1,748.8,3436
2017-11-28,751.4,759.3,734.1,748.2,3227
2017-11-29,739,749,731.8,747.9,1121
2017-11-30,741.8,752,741.8,747,17533
2017-12-1,741.6,777,741.6,745.7,123099
2017-12-4,754,772.6,745.1,765.1,134445
2017-12-5,778.1,779.8,750.1,760,32381
2017-12-6,750.1,778.6,750,770.4,125023
2017-12-7,779.9,780,770,770,129381
2017-12-8,770.1,776,770,774,40372
2017-12-11,770.1,779.4,768.5,779.4,120487
2017-12-12,782.1,792.1,775,782,123645
2017-12-13,787.5,790,779.9,790,14630
2017-12-14,809,814.2,792.1,814.2,117086
2017-12-15,800.1,814.2,790,813.9,126440
2017-12-18,825,825,810,823.8,39767
2017-12-19,825,825,821.7,823,118182
2017-12-20,810.1,824,810.1,820.4,116184
2017-12-21,826,826,808.6,812.8,117377
2017-12-22,815.1,823,801.1,809.8,12374
2017-12-25,809.9,815,795,814.9,125159
2017-12-26,815,815,770,795,120102
2017-12-27,800,809.9,796.6,800.1,23834
2017-12-28,800.1,808.7,796.1,800,13481
2017-12-29,795.6,805.4,795.6,805.4,3523
2018-1-3,805,805,798.1,801,1117
2018-1-4,806.4,806.4,787,796.5,1546
2018-1-5,796.5,798,790,790,1793
2018-1-9,787.1,792.1,780,780,118608
2018-1-10,783.9,787,773,783.5,126109
2018-1-11,786.5,799.5,773.1,774.5,114536
2018-1-12,765.7,779.7,763,768.7,139175
2018-1-15,775,775,765.5,765.5,15237
2018-1-16,765.5,773.1,764.5,773,128335
2018-1-17,772.9,774,765.6,769.5,23336
2018-1-18,770,772.9,763,764.1,124876
2018-1-19,766.1,777,761.1,768,122179
2018-1-22,770.1,795.5,770,788.5,126879
2018-1-23,787.1,793.2,781.4,786.8,26885
2018-1-24,793,793,775.1,785.8,53642
2018-1-25,760.2,793,760.2,781.7,119072
2018-1-26,785,785,766.8,774,124338
2018-1-29,772.1,781.2,770,777.8,135823
2018-1-30,775.1,778,766.5,767,124230
2018-1-31,767.1,771.7,757,757.1,25287
2018-2-1,768.5,771.5,755,764.5,114766
2018-2-2,765,774,753,765.5,13036
2018-2-5,770,773,757,763,627
2018-2-6,763,777.5,750.5,777,123328
2018-2-7,777,783,766,772,116290
2018-2-8,766,783,766,780,130390
2018-2-9,770,784.5,770,784,67562
2018-2-12,808,810,765,779.5,136686
2018-2-13,783,788,770,779,122529
2018-2-14,783.5,787.5,762,764,117818
2018-2-15,770,770,751,753.5,37027
2018-2-16,759.5,765,743,745.5,61058
2018-2-19,759.5,759.5,739,744,29972
2018-2-20,754.5,754.5,730,736,130689
2018-2-21,747,749.5,730.5,739.5,122417
2018-2-22,744.5,744.5,734.5,741,37024
2018-2-26,743,743.5,720,726,48034
2018-2-27,721.5,740,716.5,740,144969
2018-2-28,740,741,725,726,30050
2018-3-1,726.5,739.5,725.5,739.5,20810
2018-3-2,739,739.5,726.5,727,36676
2018-3-5,735.5,745,720,727,28644
2018-3-6,733,735,703,712,23445
2018-3-7,712.5,720.5,700,706,31764
2018-3-9,706,713,700.5,704,26057
2018-3-12,705,715,702,707,126034
2018-3-13,709.5,720,708,711,134819
2018-3-14,714,718.5,710,713,125246
2018-3-15,710,724.5,706.5,719,126819
2018-3-16,726,742.5,718,725.5,129779
2018-3-19,732,745,729,741.5,32693
2018-3-20,742,744.5,725.5,726,138071
2018-3-21,726,739,721,724.5,124167
2018-3-22,727.5,727.5,717.5,720,125154
2018-3-23,725,725,705.5,707.5,128368
2018-3-26,712.5,715,708.5,709.5,130194
2018-3-27,719,722.5,706.5,707.5,137300
2018-3-28,706,711,706,709,35072
2018-3-29,707,711.5,703,706,130604
2018-3-30,712,714.5,703,713.5,29898
2018-4-2,713,718.5,711,718.5,125948
2018-4-3,720,720,700,704.5,144549
2018-4-4,705.5,714.5,702.5,708.5,130650
2018-4-5,716.5,716.5,703.5,711,130412
2018-4-6,710.5,716,553,583.5,561445
2018-4-9,525.5,525.5,450,490,280831
2018-4-10,489,500,473.5,481,39167
2018-4-11,494,494,451.5,462,45536
2018-4-12,482,484,450,469,14498
2018-4-13,460,468,435,435,24341
2018-4-16,425,435,403,418.5,25702
2018-4-17,425,448.5,421,438,27137
2018-4-18,444,446.5,424,425,44319
2018-4-19,434,446.5,415,420,48253
2018-4-20,418,418.5,347.5,349,203971
2018-4-23,335.5,345,272,300,799174
2018-4-24,305,333,280,284,484328
2018-4-25,280.5,320,269,297,179669
2018-4-26,297.5,321,292.5,300.5,271456
2018-4-27,299.5,306,279.5,302.5,214453
2018-4-28,330,445,325.5,407,747885
2018-4-30,409,431,385,391,86832
2018-5-2,419,434,393.5,397.5,194679
2018-5-3,410,437,365,366.5,152550
2018-5-4,370,383,320,344.5,168937
2018-5-7,355,355,331,334,50741
2018-5-8,335,339.5,322,322,54057
2018-5-10,328,328,303.5,307,121951
2018-5-11,307,317,303,309,60109
2018-5-14,314,321,307,314,107216
2018-5-15,309.5,313,303,307.5,25774
2018-5-16,308,308,291,295,54019
2018-5-17,297,297,287,291.5,44811
2018-5-18,292,320,289.5,317,156123
2018-5-21,327,328.5,301.5,303,135709
2018-5-22,305,305,297.5,300.5,40712
2018-5-23,300.5,303,293,303,23461
2018-5-24,303,306,296,302,19599
2018-5-25,303,311,296.5,298,82551
2018-5-28,299,300.5,295,300,35572
2018-5-29,301,305,293.5,297,34173
2018-5-30,303,323.5,301.5,315,317982
2018-5-31,314,316,302.5,306.5,38782
2018-6-1,326,335,312,318,126382
2018-6-4,321.5,335,320,329.5,117195
2018-6-5,344.5,375,336.5,369,265731
2018-6-6,370,416,369.5,388,494964
2018-6-7,389,399.5,357,366.5,164073
2018-6-8,365,373,350,355,71176
2018-6-9,353,363.5,353,362,11828
2018-6-11,363,365,341.5,356,26260
2018-6-13,355,355.5,345.5,351,62368
2018-6-14,350,353.5,336,338.5,56690
2018-6-15,338.5,341.5,334,336.5,42638
2018-6-18,336,340.5,330,337,27354
2018-6-19,331.5,347.5,330.5,334.5,22461
2018-6-20,335.5,341.5,333,337,13780
2018-6-21,337.5,342,332.5,337,10540
2018-6-22,337,337,322,329.5,42447
2018-6-25,331,332,326,327.5,10413
2018-6-26,329,331.5,322.5,325.5,20135
2018-6-27,328.5,340,313.5,330,41068
2018-6-28,334.5,339,321,330.5,13497
2018-6-29,328.5,335.5,323.5,329,32551
2018-7-2,332,339,329,336,19753
2018-7-3,336.5,336.5,326,332,20202
2018-7-4,332.5,332.5,327.5,329.5,19349
2018-7-5,327.5,329,325.5,328,8908
2018-7-6,330,332,326,330.5,19425
2018-7-9,331,335,328.5,330,27076
2018-7-10,331,331,327,329,14071
2018-7-11,328.5,328.5,323.5,327,11898
2018-7-12,328,334,326,329,7367
2018-7-13,330,331,327,329,16946
2018-7-16,331,340,329.5,333.5,36199
2018-7-17,333.5,333.5,326.5,328.5,7355
2018-7-18,328,328,324.5,328,7995
2018-7-19,327,327,312,315,36391
2018-7-20,313,317.5,309,311,14820
2018-7-23,341.5,362,332,338.5,85554
2018-7-24,338,341,327,334,23543
2018-7-25,334,347,330,340.5,101479
2018-7-26,341,345.5,324.5,335,63977
2018-7-27,338,342,329,332.5,13096
2018-7-30,335,337,329,329.5,10760
2018-7-31,329,330.5,325.5,330.5,16808
2018-8-1,336.5,338,323,328.5,25858
2018-8-2,327,328,315,315.5,28228
2018-8-3,308,311.5,301,308,27156
2018-8-6,309.5,311,300,305,27326
2018-8-7,303.5,304,297,299.5,32879
2018-8-8,300,301.5,287,290,54063
2018-8-9,287.5,290,275.5,289.5,35182
2018-8-10,286.5,288.5,275.5,280,28035
2018-8-13,282,298.5,279,290.5,56963
2018-8-14,290.5,300,290,297.5,29236
2018-8-15,298,300.5,291.5,293.5,29468
2018-8-16,292.5,300,291.5,296.5,21660
2018-8-17,298,298.5,293,295.5,11164
2018-8-20,293,297.5,283,288,38140
2018-8-21,287,288,280.5,283.5,27342
2018-8-22,282,282,270.5,272,119541
2018-8-23,271,273.5,264.5,265.5,52644
2018-8-24,265,267,250,258,72262
2018-8-27,255,263,253.5,260.5,17561
2018-8-28,260.5,265.5,259,265,11786
2018-8-29,266,287,261,285,70822
2018-8-30,286,289.5,273,278.5,15279
2018-8-31,273,284,273,276.5,8870
2018-9-3,277,279.5,273,276.5,7249
2018-9-4,276.5,276.5,264,267.5,12737
2018-9-5,266,267.5,262.5,264.5,3084
2018-9-6,264,265.5,256,259.5,7865
