Date,Open,High,Low,Close,Volume
2006-6-28,1.927,1.927,1.871,1.904,181
2006-6-29,1.915,1.917,1.876,1.9,177
2006-6-30,1.915,1.92,1.882,1.89,5262
2006-7-3,1.892,1.917,1.892,1.9,381
2006-7-4,1.89,1.97,1.878,1.88,1529
2006-7-5,1.9,1.904,1.859,1.859,1081
2006-7-6,1.867,1.889,1.86,1.889,977
2006-7-7,1.88,1.902,1.87,1.88,3527
2006-7-10,1.88,1.899,1.86,1.898,168
2006-7-11,1.895,1.91,1.88,1.9,1949
2006-7-12,1.958,1.958,1.883,1.899,1845
2006-7-13,1.88,1.89,1.735,1.85,615
2006-7-14,1.85,1.85,1.799,1.82,721
2006-7-17,1.81,1.83,1.8,1.81,380
2006-7-18,1.824,1.87,1.819,1.86,3725
2006-7-19,1.88,1.93,1.88,1.911,4653
2006-7-20,1.92,1.92,1.886,1.886,696
2006-7-21,1.871,1.929,1.867,1.91,30525
2006-7-24,1.93,1.94,1.91,1.94,2894
2006-7-25,1.94,1.941,1.905,1.915,10708
2006-7-26,1.917,1.929,1.911,1.912,259
2006-7-27,1.912,1.978,1.911,1.978,2172
2006-7-28,1.985,2.01,1.95,1.997,4413
2006-7-31,2.03,2.05,1.995,2.022,4105
2006-8-1,2.02,2.046,2,2.046,17824
2006-8-2,2.047,2.069,2.033,2.046,2422
2006-8-3,2.046,2.058,2.037,2.05,2717
2006-8-4,2.05,2.078,2.04,2.052,2532
2006-8-7,2.06,2.066,2.033,2.061,1090
2006-8-8,2.06,2.09,2.045,2.063,500
2006-8-9,2.08,2.2,2.061,2.199,15393
2006-8-10,2.151,2.209,2.15,2.185,3413
2006-8-11,2.31,2.31,2.185,2.191,4971
2006-8-14,2.2,2.26,2.161,2.24,4717
2006-8-15,2.25,2.348,2.124,2.344,12625
2006-8-16,2.35,2.365,2.3,2.32,2668
2006-8-17,2.3,2.33,2.29,2.324,3063
2006-8-18,2.315,2.323,2.231,2.315,6540
2006-8-21,2.275,2.289,2.257,2.285,858
2006-8-22,2.288,2.3,2.272,2.293,3170
2006-8-23,2.272,2.314,2.272,2.292,558
2006-8-24,2.27,2.293,2.252,2.286,198
