Date,Open,High,Low,Close,Volume
2008-7-16,0.43,0.43,0.347,0.354,29059
2008-7-17,0.36,0.375,0.352,0.37,29100
2008-7-18,0.381,0.381,0.353,0.355,9094
2008-7-21,0.356,0.363,0.345,0.348,7473
2008-7-22,0.349,0.349,0.328,0.331,8684
2008-7-23,0.338,0.338,0.31,0.312,9359
2008-7-24,0.31,0.31,0.297,0.3,9637
2008-7-25,0.295,0.295,0.264,0.288,14225
2008-7-28,0.288,0.303,0.277,0.281,10005
2008-7-29,0.28,0.294,0.266,0.28,13920
2008-7-30,0.287,0.308,0.281,0.293,32549
2008-7-31,0.304,0.315,0.294,0.305,23704
2008-8-1,0.304,0.335,0.3,0.329,38894
2008-8-4,0.329,0.35,0.311,0.322,27308
2008-8-5,0.32,0.325,0.3,0.305,14070
2008-8-6,0.307,0.318,0.297,0.309,11175
2008-8-7,0.309,0.334,0.309,0.331,27425
2008-8-8,0.331,0.347,0.322,0.323,29352
2008-8-11,0.323,0.326,0.298,0.307,38374
2008-8-12,0.307,0.347,0.304,0.344,40849
2008-8-13,0.345,0.362,0.33,0.348,48355
2008-8-14,0.352,0.373,0.346,0.356,71459
2008-8-15,0.363,0.378,0.357,0.374,71614
2008-8-18,0.375,0.382,0.369,0.374,12738
2008-8-19,0.369,0.37,0.34,0.351,35949
2008-8-20,0.35,0.357,0.343,0.347,12405
2008-8-21,0.35,0.35,0.333,0.344,13252
2008-8-22,0.344,0.344,0.332,0.335,5534
2008-8-25,0.332,0.34,0.3,0.308,11391
2008-8-26,0.3,0.306,0.281,0.296,25131
2008-8-27,0.3,0.309,0.289,0.301,13714
2008-8-28,0.307,0.324,0.298,0.311,28908
2008-8-29,0.312,0.332,0.303,0.33,24859
2008-9-1,0.326,0.334,0.323,0.329,9665
2008-9-2,0.32,0.331,0.316,0.33,6906
2008-9-3,0.33,0.33,0.319,0.326,11739
2008-9-4,0.325,0.336,0.313,0.32,28842
2008-9-5,0.31,0.316,0.274,0.305,35219
2008-9-8,0.31,0.318,0.297,0.302,13967
2008-9-9,0.297,0.298,0.27,0.27,8889
2008-9-10,0.27,0.274,0.233,0.254,35578
2008-9-11,0.26,0.26,0.232,0.244,19692
2008-9-12,0.232,0.25,0.218,0.229,57599
2008-9-15,0.215,0.226,0.196,0.199,22306
2008-9-16,0.194,0.194,0.125,0.141,79577
2008-9-17,0.156,0.16,0.11,0.118,18243
2008-9-19,0.133,0.179,0.133,0.175,50000
2008-9-22,0.187,0.21,0.167,0.187,75709
2008-9-23,0.184,0.19,0.17,0.184,63449
2008-9-24,0.183,0.19,0.176,0.185,55521
2008-9-25,0.183,0.19,0.176,0.185,18062
2008-9-26,0.181,0.185,0.177,0.177,8485
2008-9-29,0.178,0.18,0.162,0.165,17485
2008-9-30,0.152,0.162,0.14,0.156,95706
2008-10-1,0.156,0.169,0.146,0.148,53339
2008-10-2,0.149,0.151,0.131,0.143,45194
2008-10-3,0.142,0.145,0.134,0.142,18161
2008-10-6,0.132,0.137,0.109,0.114,18803
2008-10-7,0.115,0.119,0.1,0.11,26981
2008-10-8,0.102,0.102,0.079,0.09,23906
2008-10-9,0.089,0.105,0.088,0.091,33389
2008-10-13,0.09,0.094,0.075,0.087,21835
2008-10-14,0.091,0.1,0.086,0.089,36778
2008-10-15,0.089,0.089,0.08,0.083,17174
2008-10-16,0.075,0.085,0.073,0.08,19341
2008-10-17,0.084,0.084,0.072,0.077,12033
2008-10-20,0.079,0.084,0.075,0.08,9230
2008-10-21,0.082,0.083,0.076,0.078,18116
2008-10-22,0.076,0.078,0.067,0.07,30738
2008-10-23,0.065,0.073,0.06,0.064,27145
2008-10-24,0.063,0.063,0.05,0.054,13242
2008-10-28,0.055,0.059,0.05,0.055,46561
2008-10-29,0.058,0.059,0.051,0.056,122833
2008-10-30,0.058,0.065,0.056,0.062,128900
2008-10-31,0.064,0.087,0.059,0.087,129089
2008-11-1,0.08,0.104,0.08,0.096,53304
2008-11-5,0.103,0.133,0.1,0.124,139771
2008-11-6,0.112,0.128,0.108,0.114,135409
2008-11-7,0.112,0.144,0.108,0.13,149464
2008-11-10,0.139,0.158,0.128,0.132,94192
2008-11-11,0.131,0.131,0.112,0.114,71382
2008-11-13,0.106,0.129,0.091,0.124,70936
2008-11-14,0.131,0.147,0.12,0.123,58044
2008-11-17,0.12,0.132,0.108,0.113,41030
2008-11-18,0.11,0.111,0.095,0.103,64961
2008-11-19,0.105,0.105,0.091,0.093,39535
2008-11-20,0.086,0.094,0.071,0.092,74243
2008-11-21,0.092,0.101,0.088,0.093,82909
2008-11-24,0.099,0.116,0.095,0.111,114671
2008-11-25,0.117,0.123,0.106,0.115,114428
2008-11-26,0.116,0.134,0.113,0.127,86681
2008-11-27,0.133,0.178,0.133,0.167,297293
