Date,Open,High,Low,Close,Volume
2009-12-29,10.8,10.8,10.65,10.8,29
2009-12-30,10.99,10.99,10.6,10.65,93
2009-12-31,10.7,10.7,10.7,10.7,7
2010-1-11,10.76,10.99,10.76,10.95,284
2010-1-12,10.9,10.9,10.75,10.86,90
2010-1-13,10.76,10.9,10.67,10.8,127
2010-1-14,10.99,10.99,10.8,10.97,138
2010-1-15,10.97,11.2,10.71,11.2,1691
2010-1-18,11.4,11.4,10.77,11.4,2555
2010-1-19,11,11.4,11,11.4,6305
2010-1-20,11.55,11.99,11.2,11.2,2607
2010-1-21,11.68,11.68,10.9,10.92,3774
2010-1-22,11.15,11.25,10.62,11.25,1890
2010-1-25,11.3,11.3,10.86,11.1,126
2010-1-26,11.44,11.44,10.78,10.91,164
2010-1-27,11.05,11.05,10.83,10.96,242
2010-1-28,11.15,11.48,10.8,10.89,2542
2010-1-29,10.79,10.97,10.77,10.94,50
2010-2-1,10.93,11.06,10.88,11.05,282
2010-2-2,11,11.05,10.65,10.99,2127
2010-2-3,10.76,11.42,10.76,10.9,443
2010-2-4,10.87,10.9,10.67,10.67,825
2010-2-5,10.26,10.73,10.18,10.48,1635
2010-2-8,10.87,10.87,10.3,10.32,2608
2010-2-9,10.73,10.73,9.67,9.91,4077
2010-2-10,10.5,10.5,9.6,9.6,836
2010-2-11,9.89,9.89,9.7,9.8,3451
2010-2-12,9.94,10.2,9.62,9.62,505
2010-2-15,9.56,9.99,9.51,9.7,687
2010-2-16,11.8,11.85,9.5,9.75,56752
2010-2-17,9.72,9.72,9.4,9.5,3130
2010-2-18,9.5,9.5,9.42,9.43,314
2010-2-19,9.55,9.68,9.4,9.5,214
2010-2-24,9.45,10.5,9.37,9.85,1120
2010-2-25,10.04,10.04,9.4,9.55,767
2010-2-26,9.6,9.65,9.4,9.49,428
2010-2-27,9.55,9.7,9.45,9.5,209
2010-3-1,9.65,9.65,9.3,9.4,2577
2010-3-2,9.36,9.5,9.22,9.27,3557
2010-3-3,9.35,9.41,9.35,9.4,558
2010-3-4,9.7,9.7,9.08,9.31,1129
2010-3-5,9.44,9.6,9.22,9.34,3182
2010-3-9,9.35,9.4,9.35,9.4,524
2010-3-10,9.44,9.44,9.15,9.28,1058
2010-3-11,9.29,9.36,9.16,9.22,3797
2010-3-12,9.29,9.29,9.22,9.29,196
2010-3-15,9.3,10.35,9.17,9.26,59100
2010-3-16,9.36,10.8,9.36,9.83,42501
2010-3-17,9.94,10.9,9.91,10.35,43036
2010-3-18,10.25,10.44,10.08,10.38,28268
2010-3-19,10.44,10.44,10.12,10.31,8054
2010-3-22,10.35,10.8,10.32,10.59,3608
2010-3-23,10.6,11.44,10.5,11.2,8849
2010-3-24,11.49,11.49,11.12,11.3,5104
2010-3-25,11.4,11.6,11.17,11.55,12529
2010-3-26,11.6,11.6,11,11.47,624
2010-3-29,11.69,11.69,11.1,11.31,1807
2010-3-30,11.05,11.5,11.05,11.39,2732
2010-3-31,11.4,11.9,11.3,11.79,7042
2010-4-1,11.82,11.98,11.42,11.75,537
2010-4-2,11.82,12.67,11.51,12.3,8083
2010-4-5,12.51,13.5,12.27,12.73,762
2010-4-6,12.73,12.94,12.2,12.43,1048
2010-4-7,12.5,12.64,11.72,11.8,3524
2010-4-8,12,12.74,11.88,12.05,1593
2010-4-9,12.19,12.19,11.51,12,1915
2010-4-12,12,12.26,11.99,12.2,2557
2010-4-13,12.1,12.77,12.1,12.75,4398
2010-4-14,12.7,15.5,12.7,14.77,25421
2010-4-15,15,16.01,13.02,14.2,32815
2010-4-16,13.53,14.8,10.01,13.7,4808
2010-4-19,13.26,14.23,12.25,14,2424
2010-4-20,13.85,14.48,13.85,14,1956
2010-4-21,13.93,14.2,13.52,13.9,14566
2010-4-22,13.8,13.8,13.44,13.7,864
2010-4-23,13.27,14,13.27,14,462
2010-4-26,14,14,13.58,13.58,1270
2010-4-27,13.46,14.49,13.46,14.04,1734
2010-4-28,13.54,13.89,13.24,13.45,613
2010-4-29,13.62,14.3,13.5,14.3,2202
2010-4-30,13.85,14.4,13.85,14.4,132
2010-5-4,14.4,14.4,13.49,13.65,2115
2010-5-5,13.65,13.65,12.5,12.61,1209
2010-5-6,12.83,13.1,12.5,12.5,1139
2010-5-7,12.5,14.48,12,12.01,614
2010-5-11,12.65,13.25,12.51,12.51,167
2010-5-12,12.5,12.56,11.42,12.12,3473
2010-5-13,12.13,12.91,11.6,12.4,3530
2010-5-14,12.4,12.4,11.98,12.39,7229
2010-5-17,12,12.2,11.93,12.02,743
2010-5-18,12.26,12.59,12.25,12.55,2889
2010-5-19,12.48,12.48,12.2,12.2,633
2010-5-20,12.31,12.31,11.52,11.56,2770
2010-5-21,11.56,12,11.21,12,584
2010-5-24,12.6,12.6,11.62,12.13,107
2010-5-25,11.27,12.48,11.27,11.59,104
2010-5-26,11.57,11.89,11.23,11.49,294
2010-5-27,11.61,12.09,11.61,12.02,438
2010-5-28,12,12,11.02,11.24,1958
2010-5-31,11.49,12.49,11.29,12.4,1847
2010-6-1,11.71,12.5,11.51,12.5,282
2010-6-2,11.75,12.5,11.75,12.5,67
2010-6-3,12.49,12.49,12.4,12.4,171
2010-6-4,12.04,12.3,11.65,11.7,534
2010-6-7,11.7,11.9,11.6,11.62,641
2010-6-8,11.71,12.37,11.71,11.73,794
2010-6-9,12.3,12.3,11.3,11.3,7180
2010-6-10,11.7,11.7,11.25,11.3,230
2010-6-11,11.5,11.5,10.99,11.14,636
2010-6-15,11.67,11.71,10.74,10.95,562
2010-6-16,11.4,11.4,11.09,11.38,124
2010-6-17,11.09,11.3,10.87,11.08,471
2010-6-18,11.08,11.11,10.85,11.08,767
2010-6-21,11.2,11.44,11.2,11.32,158
2010-6-22,11.21,11.87,11.2,11.5,1270
2010-6-23,11.33,11.89,11.21,11.34,869
2010-6-24,11.43,11.85,11.32,11.45,1973
2010-6-25,11.33,11.35,11.3,11.35,1131
2010-6-28,11.46,11.95,11.46,11.6,663
2010-6-29,11.58,11.58,10.65,10.89,5958
2010-6-30,10.49,11.15,10.48,11.1,989
2010-7-1,10.62,11.2,10.56,11.2,287
2010-7-2,11.2,11.64,11.2,11.64,430
2010-7-5,11.4,11.77,11.4,11.6,2819
2010-7-6,11.6,11.85,11.47,11.52,12414
2010-7-7,11.16,11.41,11.13,11.41,16
2010-7-8,11.5,11.94,11.5,11.6,145
2010-7-9,11.11,11.57,11.11,11.3,23
2010-7-12,11.1,11.81,11.07,11.81,245
2010-7-13,11.2,12.5,10.91,11.2,1130
