Date,Open,High,Low,Close,Volume
2018-2-1,2200,2225.5,2082.5,2110,179977
2018-2-2,2129,2130,2015,2052,129069
2018-2-5,2070,2090,2013,2089.5,67260
2018-2-6,2060,2088.5,2005,2070,60393
2018-2-7,2020,2117,2020,2090,22826
2018-2-8,2090,2195,2060,2134,32091
2018-2-9,2064,2120,2035,2046,28724
2018-2-12,2065,2125,2052.5,2100.5,11486
2018-2-13,2150,2150,2091,2140,27529
2018-2-14,2149.5,2172,2142.5,2150.5,28268
2018-2-15,2150.5,2155,2112,2144,22475
2018-2-16,2157.5,2260,2080,2130,55935
2018-2-19,2209,2209,2060,2079.5,41100
2018-2-20,2075,2075.5,1941.5,1979.5,83633
2018-2-21,1979.5,2019.5,1905.5,1958,44033
2018-2-22,1958,2030,1930,1996.5,52056
2018-2-26,2020,2035,2003,2017,13766
2018-2-27,2034,2034,2003.5,2017,3936
2018-2-28,2006.5,2029,2002.5,2015,13954
2018-3-1,2023.5,2040,1994.5,2040,56625
2018-3-2,2020,2044.5,1969.5,2000.5,93981
2018-3-5,2006.5,2050,1980,2016,41937
2018-3-6,2001.5,2032.5,1930,1943.5,140872
2018-3-7,1957.5,1960,1920,1946.5,155042
2018-3-9,1935,1968,1935,1955.5,102546
2018-3-12,1965.5,1980,1937,1960.5,84376
2018-3-13,1975,1975,1905,1910,122430
2018-3-14,1922,1922.5,1867,1885.5,112525
2018-3-15,1861,1965,1850,1965,165872
2018-3-16,1948.5,1966.5,1926,1965,126067
2018-3-19,1965,1981.5,1894.5,1915,102842
2018-3-20,1910,1917,1878.5,1891,118732
2018-3-21,1890,1936,1875,1920,165885
2018-3-22,1930,1946,1861,1875,128810
2018-3-23,1865,1900,1800,1858,153519
2018-3-26,1858.5,1862.5,1809.5,1811,113558
2018-3-27,1821,1849,1800,1846.5,86284
2018-3-28,1847,1847,1801.5,1838.5,88536
2018-3-29,1845,2019,1830.5,1932,337733
2018-3-30,1965,1978,1927,1932,50449
2018-4-2,1947,1965,1913.5,1949.5,30725
2018-4-3,1950,1961.5,1919,1948,130619
2018-4-4,1958,1959,1927.5,1959,81702
2018-4-5,1960,2050,1946,2050,152747
2018-4-6,2030,2069.5,2000,2025,98551
2018-4-9,2020,2022,1730,1892.5,341118
2018-4-10,1884.5,1973.5,1865.5,1937,236848
2018-4-11,1923.5,1965,1812,1875,192975
2018-4-12,1880,1948,1850,1913.5,194148
2018-4-13,1907.5,1940,1881.5,1901,109130
2018-4-16,1857,1938,1855,1930,96075
2018-4-17,1942,2056.5,1896.5,1969,174543
2018-4-18,1961.5,2100,1960.5,2055,142706
2018-4-19,2061,2095,1960.5,1974,108519
2018-4-20,1974.5,1995.5,1952,1974.5,79574
2018-4-23,1974.5,1993.5,1908,1940,178232
2018-4-24,1940,1953,1901.5,1906.5,111331
2018-4-25,1909.5,1909.5,1780.5,1800,432634
2018-4-26,1809,1809,1654,1740,770133
2018-4-27,1741,1825,1741,1800,185365
2018-4-28,1823.5,1823.5,1770,1803.5,21756
2018-4-30,1800.5,1825,1781,1795.5,52230
2018-5-2,1798,1840.5,1782.5,1815,74041
2018-5-3,1815,1837,1790,1801,59101
2018-5-4,1808.5,1835,1797.5,1835,59933
2018-5-7,1836,1861,1834.5,1856.5,86924
2018-5-8,1849,1900,1829,1845,196097
2018-5-10,1853,1885,1780,1802,182542
2018-5-11,1804,1822,1785.5,1799.5,239508
2018-5-14,1820,1867.5,1800,1854,252156
2018-5-15,1917,1953.5,1875,1911,1000504
2018-5-16,1911,1934,1897,1917.5,550751
2018-5-17,1924.5,1930,1896,1925,492665
2018-5-18,1917,1925,1874,1880,537811
2018-5-21,1880,1904.5,1860,1864.5,583111
2018-5-22,1874.5,1874.5,1817.5,1844,420684
2018-5-23,1849,1881,1837.5,1871.5,433312
2018-5-24,1805.5,1814.5,1792,1813,539020
2018-5-25,1819,1878.5,1800,1844.5,586334
2018-5-28,1845,1925,1845,1915,659229
2018-5-29,1915,1916.5,1783,1840,1271627
2018-5-30,1848.5,1848.5,1760,1785,1360737
2018-5-31,1797.5,1808,1725,1808,7111058
2018-6-1,1789,1800,1748,1748,534262
2018-6-4,1757,1783,1754.5,1771,304590
2018-6-5,1757.5,1780,1751.5,1770,143111
2018-6-6,1770,1790,1754.5,1758.5,836680
2018-6-7,1764.5,1789,1743.5,1743.5,289422
2018-6-8,1750,1750,1652,1675,393233
2018-6-9,1690.5,1690.5,1671.5,1683.5,10036
2018-6-11,1683,1727,1670.5,1675.5,120447
2018-6-13,1684,1694,1650.5,1650.5,178547
2018-6-14,1650.5,1675,1617,1645.5,128204
2018-6-15,1646,1670,1627.5,1627.5,220646
2018-6-18,1626.5,1664.5,1615,1645,193231
2018-6-19,1634,1694,1633,1682,165698
2018-6-20,1695.5,1746.5,1677,1730,179186
2018-6-21,1746.5,1795,1730.5,1770,184271
2018-6-22,1766,1780,1726.5,1729,155552
2018-6-25,1710.5,1792.5,1710.5,1766.5,156785
2018-6-26,1768,1790,1713.5,1743,101417
2018-6-27,1759.5,1773.5,1687.5,1690,234185
2018-6-28,1690.5,1720.5,1672,1673.5,119871
2018-6-29,1685,1727,1660.5,1727,186346
2018-7-2,1690,1700,1661,1687,101058
2018-7-3,1688,1688,1617,1617.5,201129
2018-7-4,1621,1681,1612.5,1645.5,155889
2018-7-5,1645,1700,1641,1700,171196
2018-7-6,1699,1700,1658,1685,105522
2018-7-9,1693,1765,1654,1751.5,239847
2018-7-10,1780,1780,1742.5,1780,118940
2018-7-11,1769.5,1775.5,1710,1715.5,100963
2018-7-12,1723,1744,1706.5,1721,61260
2018-7-13,1720.5,1758,1711,1758,71336
2018-7-16,1758,1765,1712,1760,84274
2018-7-17,1741,1769,1710,1767,126505
2018-7-18,1767.5,1884.5,1753,1840,398320
2018-7-19,1840,1870,1735,1768,263560
2018-7-20,1768,1768,1680,1691.5,127808
2018-7-23,1680,1738,1680,1738,75772
2018-7-24,1725,1763.5,1712,1734,71611
2018-7-25,1724.5,1747.5,1707,1720,72257
2018-7-26,1703,1761,1701,1758.5,106939
2018-7-27,1748,1765,1706,1727.5,63737
2018-7-30,1727,1728,1684,1728,78163
2018-7-31,1703,1706.5,1670,1680,113468
2018-8-1,1682,1731,1680,1731,89516
2018-8-2,1721,1727,1700,1700,47920
2018-8-3,1695,1710,1660,1682.5,116340
2018-8-6,1683.5,1715.5,1666.5,1707,64677
2018-8-7,1686.5,1725,1685,1710,76686
2018-8-8,1710,1719,1661,1719,116953
2018-8-9,1714,1727,1645.5,1672,182822
2018-8-10,1666,1670.5,1582,1617,194138
2018-8-13,1605,1624,1551,1624,345843
2018-8-14,1623,1682.5,1578,1583,336429
2018-8-15,1578.5,1599,1531,1577,226628
2018-8-16,1574.5,1583,1531,1540.5,166135
2018-8-17,1541,1595,1537.5,1571,151964
2018-8-20,1576,1606,1564,1590.5,59048
2018-8-21,1612.5,1612.5,1581,1607,95193
2018-8-22,1609.5,1611.5,1579,1608,95561
2018-8-23,1600,1624.5,1556,1556,114330
2018-8-24,1556,1584,1542,1575,95410
2018-8-27,1568,1581,1550,1580,25453
2018-8-28,1579.5,1579.5,1523.5,1532,206341
2018-8-29,1536,1554.5,1523,1540.5,107670
2018-8-30,1550,1562,1520,1529.5,103717
2018-8-31,1520.5,1590,1510.5,1590,244976
2018-9-3,1583.5,1588,1555,1572,54745
2018-9-4,1572,1588,1567,1576,67242
2018-9-5,1566,1582.5,1545,1545,54034
2018-9-6,1552,1570,1529,1558.5,54186
2018-9-7,1541,1575,1541,1563,32131
2018-9-10,1576.5,1585,1553.5,1569.5,36194
2018-9-11,1552,1557.5,1489,1512,168376
2018-9-12,1515.5,1516,1446,1474.5,130974
2018-9-13,1488.5,1544,1470.5,1540,171278
2018-9-14,1515.5,1595,1510,1595,155752
2018-9-17,1595.5,1645,1595,1645,92469
