Date,Open,High,Low,Close,Volume
2016-10-28,1228.8,1230,1209.6,1218.7,5867
2016-10-31,1221.7,1229.3,1219,1229.2,4273
2016-11-1,1221.7,1221.7,1204,1216.4,4288
2016-11-2,1203.1,1220.2,1203.1,1211,3222
2016-11-3,1212.6,1218.7,1204,1218.7,6818
2016-11-7,1212.6,1220,1203.5,1218,4613
2016-11-8,1218,1224.1,1218,1224.1,4191
2016-11-9,1209,1219.2,1209,1219.2,4460
2016-11-10,1209,1221.7,1209,1221.7,4436
2016-11-11,1212,1212,1208,1212,4007
2016-11-14,1217.7,1217.7,1209,1212,4324
2016-11-15,1208,1213.2,1208,1213.2,2971
2016-11-16,1208,1213.2,1199,1202,6149
2016-11-17,1201,1201.2,1200.5,1200.5,3397
2016-11-18,1201,1202.3,1200,1200,4609
2016-11-21,1200,1203.8,1199,1199.5,5879
2016-11-22,1200,1202.2,1200,1202.2,4194
2016-11-23,1207,1207,1200,1205.7,5111
2016-11-24,1204,1204,1200,1200,5068
2016-11-25,1201,1211,1200,1202,4205
2016-11-28,1201.3,1204.7,1201.2,1201.5,4725
2016-11-29,1205,1205.1,1202,1205.1,4073
2016-11-30,1202,1205.8,1202,1205.8,3376
2016-12-1,1206,1206,1206,1206,4308
2016-12-2,1202,1206.5,1202,1206.5,4371
2016-12-5,1208,1208,1202,1206,4079
2016-12-6,1204.1,1208.9,1204,1204,4208
2016-12-7,1203.1,1208.9,1203,1208.9,4188
2016-12-8,1209.2,1209.3,1205,1205,5934
2016-12-9,1202.1,1209.8,1202,1202.2,4205
2016-12-12,1209.4,1211.2,1202,1205.6,4078
2016-12-13,1211.6,1212,1210.5,1212,4240
2016-12-14,1212.8,1212.8,1208.1,1208.1,3017
2016-12-15,1208.1,1213.8,1208,1212.6,4503
2016-12-16,1215.4,1239.6,1215.4,1223.4,5232
2016-12-19,1225,1244.4,1224.9,1240,5627
2016-12-20,1229.4,1232.2,1223,1232.2,2512
2016-12-21,1230,1232.2,1228,1228,2730
2016-12-22,1229.1,1231,1225.1,1225.1,2727
2016-12-23,1225,1225,1214.8,1224.1,2944
2016-12-26,1226.7,1226.7,1221.3,1221.3,2130
2016-12-27,1222.4,1222.5,1215.2,1219.9,2138
2016-12-28,1220.9,1220.9,1210,1210,5656
2016-12-29,1207.5,1207.5,1207.5,1207.5,2651
2016-12-30,1212.4,1212.6,1203,1207,2810
2017-1-3,1205.2,1211.9,1205.1,1205.1,2081
2017-1-4,1205.3,1208,1205.3,1208,2131
2017-1-5,1207,1207.5,1205,1207,2154
2017-1-6,1207,1207.5,1207,1207.3,2098
2017-1-9,1207,1211.9,1207,1211.9,2159
2017-1-10,1207,1207.1,1206.6,1207,2158
2017-1-11,1206,1206.6,1205.1,1206.6,2114
2017-1-12,1210,1210,1204,1204,2225
2017-1-13,1205,1209.5,1204.6,1208.5,2157
2017-1-16,1210,1223,1210,1214.5,2104
2017-1-17,1215.7,1225,1215.7,1224.6,2210
2017-1-18,1225,1225.5,1225,1225,2133
2017-1-19,1227,1230.1,1225,1225.6,2662
2017-1-20,1226,1226,1225,1225,2092
2017-1-23,1227.1,1232,1227.1,1231,2106
2017-1-24,1231,1231,1230,1231,2226
2017-1-25,1231,1232.1,1231,1232.1,2094
2017-1-26,1232,1232.2,1232,1232.1,2030
2017-1-27,1225.1,1246.4,1225,1233,2054
2017-1-30,1232,1235.5,1227.1,1235.5,2554
2017-1-31,1237.5,1237.8,1237.5,1237.5,4095
2017-2-1,1237.7,1237.7,1236,1236,2167
2017-2-2,1235.2,1236,1235,1236,2052
2017-2-3,1235,1237,1235,1237,2304
2017-2-6,1235.1,1238,1235,1235,2199
2017-2-7,1236.9,1237.1,1236,1236,2554
2017-2-8,1235.1,1237,1235.1,1237,2217
2017-2-9,1237,1239.1,1237,1238,2047
2017-2-10,1235,1239,1235,1239,2146
2017-2-13,1235.9,1238.4,1235.9,1238.4,2097
2017-2-14,1244.6,1244.6,1235,1241,2202
2017-2-15,1240.8,1242,1235,1242,2030
2017-2-16,1242.3,1242.5,1235,1235,2102
2017-2-17,1243,1243,1235,1243,2157
2017-2-20,1244.1,1244.4,1234.7,1234.7,2317
2017-2-21,1244.4,1244.4,1244.4,1244.4,2250
2017-2-22,1245.1,1245.3,1244.3,1244.3,2388
2017-2-24,1246.2,1246.2,1244.4,1244.4,2801
2017-2-27,1245,1247.7,1245,1247.2,2424
2017-2-28,1250.1,1255.1,1245.2,1248.1,4077
2017-3-1,1248.6,1248.6,1245.4,1245.7,2096
2017-3-2,1246.2,1255.3,1246.2,1255,2419
2017-3-3,1248.3,1255,1244.5,1249.6,2987
2017-3-6,1244.9,1254.3,1244.9,1247.1,2160
2017-3-7,1248.6,1251.5,1244.4,1250,2060
2017-3-9,1244.1,1252.4,1243,1250,2217
2017-3-10,1250.8,1252.9,1250,1252.9,2057
2017-3-13,1252,1257,1249.5,1249.5,2452
2017-3-14,1249.9,1255,1249.9,1253,2802
2017-3-15,1251.5,1257,1250.7,1255.2,6113
2017-3-16,1255.2,1257,1249.5,1252.4,4593
2017-3-17,1249.6,1256.2,1249.5,1250,2358
2017-3-20,1250,1259.3,1249,1249,2027
2017-3-21,1253.8,1253.9,1245.1,1246.5,3767
2017-3-22,1245,1258.6,1239,1245,2742
2017-3-23,1248,1259,1248,1248,2991
2017-3-24,1246,1264,1245.1,1245.1,3988
2017-3-27,1254.8,1254.8,1245.1,1246,2009
2017-3-28,1245.1,1249,1245,1247.2,2012
2017-3-29,1254.8,1254.8,1252,1252.8,2840
2017-3-30,1251.1,1253.8,1251.1,1253.2,2077
2017-3-31,1253,1253.9,1253,1253.9,2370
2017-4-3,1253,1254.4,1245,1253,2482
2017-4-4,1254.3,1255.3,1245.6,1255.3,2364
2017-4-5,1255.4,1258.3,1255,1258,4569
2017-4-6,1257.1,1257.7,1256.9,1256.9,2005
2017-4-7,1257.4,1264.9,1256.7,1256.7,2223
2017-4-10,1256.9,1258,1256.1,1256.1,2304
2017-4-11,1256.1,1258.2,1255.6,1256.1,2018
2017-4-12,1259.8,1259.9,1255.6,1259.9,2181
2017-4-13,1256.8,1260.3,1256.3,1256.3,2275
2017-4-14,1256.8,1265.6,1256.2,1256.2,2658
2017-4-17,1255.6,1258.5,1255.6,1258.5,2206
2017-4-18,1255.9,1258.2,1255.7,1257,2583
2017-4-19,1257.1,1257.2,1255.6,1257,2346
2017-4-20,1256,1265.5,1255.6,1257.5,2137
2017-4-21,1256.7,1259,1255.6,1257.1,2080
2017-4-24,1257.7,1262.5,1255.6,1257.4,2106
2017-4-25,1256.5,1257.3,1255.9,1255.9,2230
2017-4-26,1256.3,1258,1256.3,1257.1,2262
2017-4-27,1265.5,1278.6,1256.9,1265.4,3168
2017-4-28,1258.2,1260.1,1235.1,1244.6,3957
2017-5-2,1245,1325,1245,1267,1298836
2017-5-3,1268,1278,1268,1277,2373
2017-5-4,1273,1277,1272,1277,2876
2017-5-5,1269,1269,1265,1267,2214
2017-5-10,1268,1268,1265,1268,2309
2017-5-11,1275,1276,1266,1276,2132
2017-5-12,1267,1281,1267,1281,4990
2017-5-15,1279,1287,1279,1279,1980
2017-5-16,1279,1286,1278,1278,2188
2017-5-17,1282,1284,1282,1282,2119
2017-5-18,1280,1285,1271,1273,2016
2017-5-19,1276,1279,1272,1273,2826
