Date,Open,High,Low,Close,Volume
2011-12-21,850,850,850,850,2
2011-12-22,820,875,760,760,35
2011-12-23,880,880,880,880,2
2011-12-26,880,880,880,880,110
2011-12-27,840,840,840,840,1
2011-12-28,880,880,880,880,10
2011-12-29,880,885,830,830,502
2011-12-30,859,859,859,859,80
2012-1-6,800,900,800,900,2
2012-1-10,900,900,780,780,11
2012-1-11,900,900,900,900,10
2012-1-12,900,900,900,900,10
2012-1-13,900,900,804,804,18
2012-1-16,767,767,710,715,14
2012-1-17,782,820.2,782,820.2,10
2012-1-18,822,898.9,822,898.9,2
2012-1-19,800,800,800,800,42
2012-1-20,889,900,750.1,800.5,147
2012-1-23,799.9,889,799.9,889,66
2012-1-24,850,895,800,840,201
2012-1-25,800.1,840,787,840,82
2012-1-26,810,835,810,835,19
2012-1-27,849.9,849.9,770,800,2161
2012-1-30,809.9,830,809.9,830,28
2012-1-31,821.8,821.8,795,795,6
2012-2-1,815,815,815,815,10
2012-2-2,785.2,814.7,755.2,800,45
2012-2-3,848.2,848.4,795,815,56
2012-2-6,848.8,848.8,848.8,848.8,2
2012-2-7,820,820,815,815,36
2012-2-8,815.1,815.7,815.1,815.5,4
2012-2-9,816,825,816,825,26
2012-2-10,885.6,899,835.3,835.9,1055
2012-2-13,899.9,950,860,925,137
2012-2-14,924,990,924,950,1909
2012-2-15,994.2,1030,960,990,545
2012-2-16,989,990,901.5,990,57
2012-2-17,998.9,1030,970.5,970.5,1277
2012-2-20,967.9,1025,967.7,1000,270
2012-2-21,989.1,989.1,988,988,9
2012-2-22,1014.9,1025,980.7,980.7,846
2012-2-24,1004.9,1025,1004.9,1025,260
2012-2-27,1000.1,1019.9,985.3,999.8,409
2012-2-28,966.1,1015,965,981,1184
2012-2-29,980.1,990,970,975,355
2012-3-1,994.6,995.1,980,980,1683
2012-3-2,955,980,955,960,33
2012-3-5,991.9,992.5,991.9,992.5,1002
2012-3-6,992.4,995,968.5,968.5,1728
2012-3-7,980,980,980,980,1
2012-3-11,950.1,989.9,950.1,989.9,4
2012-3-12,994,995,964.8,964.8,10
2012-3-14,993.9,1000,990,990,5
2012-3-15,972.7,972.7,972.6,972.6,6
2012-3-16,975,985,975,977,30
2012-3-19,1049.8,1049.8,1049.8,1049.8,1
