Date,Open,High,Low,Close,Volume
2011-12-28,589,637,589,637,51
2011-12-29,637,637,637,637,10
2011-12-30,598,598,598,598,10
2012-1-19,670,670,670,670,1
2012-1-26,680,680,680,680,1
2012-1-31,520,520,520,520,1
2012-2-1,540.1,579,540,579,31
2012-2-3,589,590,589,590,20
2012-2-7,610,610,610,610,1
2012-2-8,570,570,570,570,10
2012-2-10,590,600,580,580,11
2012-2-13,580,680,580,610,29
2012-2-14,650,700,610,655,183
2012-2-15,670,685,660,680,11
2012-2-16,680,700,650,665.1,25
2012-2-17,699.9,699.9,650,650,17
2012-2-20,550,650,550,650,2
2012-2-22,645,660,645,660,11
2012-2-24,640,671.1,640,671.1,7
2012-2-28,645.1,645.1,645,645,7
2012-2-29,640.1,640.1,640,640,6
2012-3-1,640,640,640,640,5
2012-3-2,640,640,640,640,1
2012-3-6,650,650,644.9,645,10
2012-3-13,649.2,649.2,649.1,649.1,6
2012-3-15,645,645,645,645,2
2012-3-16,630,640,630,640,6
2012-3-19,659.9,659.9,659.9,659.9,3
2012-3-20,637,637,630,630,9
2012-3-21,630,630,600.1,605,49
2012-3-22,600,600,600,600,1
2012-3-23,600,600,599,600,8
2012-3-26,600,610,600,610,220
2012-3-27,615,615,615,615,4
2012-3-28,600,600,590,590,9
2012-3-29,610,640,610,640,2
2012-4-2,621,621,620,620,26
2012-4-3,634.9,634.9,605,605,31
2012-4-4,682.3,682.3,575,594.9,103
2012-4-9,620,640.5,620,640,4
2012-4-12,620,630,590,590,13
2012-4-13,637.5,637.5,561,590,87
2012-4-17,589.9,589.9,589.9,589.9,1
2012-4-18,590,590,571,589,53
2012-4-19,580.1,599.9,561,599.9,55
2012-4-20,636.9,636.9,636.9,636.9,1
2012-4-23,639.9,639.9,555.1,560.7,318
2012-4-24,558.1,576.9,555,576.9,58
2012-4-27,550.1,586.9,550,586.9,3
2012-4-28,586.9,586.9,586.9,586.9,1
2012-5-2,551.1,589.9,551.1,589.9,2
2012-5-4,579.9,579.9,579.9,579.9,1
2012-5-7,599.9,599.9,599.9,599.9,1
2012-5-11,636.9,636.9,636.9,636.9,1
2012-5-12,599.6,599.6,599.6,599.6,3
2012-5-14,589.9,589.9,589.9,589.9,1
2012-5-15,585,585.4,550,585.4,7
2012-5-16,629.1,629.1,629.1,629.1,1
2012-5-17,630.6,630.6,579,599.6,77
2012-5-18,619.9,632.1,579.9,579.9,27
2012-5-21,568,568,567.7,567.7,7
2012-5-22,560,560,560,560,1
2012-5-23,560,560,560,560,3
2012-5-24,589.7,600,589.7,590.1,9
2012-5-28,580,580,580,580,5
2012-5-29,583.1,583.1,569,570,80
2012-5-30,570.1,572.8,570,572.8,6
2012-6-1,580.1,580.1,580,580,5
2012-6-4,620,688.4,580,590,27
2012-6-6,580.1,583.4,580,583.4,9
2012-6-8,600,600,600,600,1
