Date,Open,High,Low,Close,Volume
2011-11-9,215.4,215.4,215.4,215.4,700
2011-12-2,215.15,215.15,215.15,215.15,707
2011-12-22,234,234,234,234,90
2011-12-23,256,256,256,256,98
2011-12-27,267,267,267,267,188
2011-12-28,275,275,275,275,51
2011-12-29,275,275,275,275,1
2011-12-30,262.12,262.12,262.12,262.12,140
2012-3-2,265.95,265.95,265.6,265.6,188
2012-6-26,265.61,265.61,265.61,265.61,6780
2012-11-13,265.61,265.61,265.61,265.61,6780
2012-12-28,265.6,265.6,265.6,265.6,1
2013-4-25,265,265,265,265,1
2013-6-27,265,265,265,265,453000
2013-9-30,265,265,265,265,1
2013-12-30,292.8,292.8,292.8,292.8,6150
2014-12-17,293,293,292,292,2
2015-2-16,293,293,293,293,394
2018-10-29,296,296,295,295,2085424
