Date,Open,High,Low,Close,Volume
2006-6-28,262.28,267.49,259.5,266.65,4420336
2006-6-29,268.5,276.75,264.5,275.83,6662452
2006-6-30,286.5,289.48,278.2,280.17,7446457
2006-7-3,283.56,286.67,282,285.22,3374629
2006-7-4,286.9,287.97,281.01,286.81,3121607
2006-7-5,285.5,285.83,271.5,274.04,4219069
2006-7-6,275,285.33,272.14,284.37,5824985
2006-7-7,285,285.45,275.02,278.59,5596928
2006-7-10,274.29,280.3,274.29,279.78,2370118
2006-7-11,279,280.85,273.6,274.52,2586157
2006-7-12,277.16,281.2,275.61,276.49,3323948
2006-7-13,275,277.39,259.22,260.89,6738973
2006-7-14,257.5,271.33,252.54,263.77,7676036
2006-7-17,261.51,264,254.5,260.14,3519041
2006-7-18,257,264.93,254.5,262.82,4316617
2006-7-19,263.5,271.84,257.9,269.39,4490107
2006-7-20,276.77,277.3,267.67,269.5,4724506
2006-7-21,267,269.13,264.5,265.76,3079846
2006-7-24,265.95,272.14,264.61,270.75,2963262
2006-7-25,275,275,269.5,270.85,3606114
2006-7-26,272,273.08,269.8,270.57,1953128
2006-7-27,272,281.49,271.53,280.47,5896546
2006-7-28,279,281.21,276.2,279.78,4212539
2006-7-31,282,282.5,276.75,277.83,2704520
2006-8-1,278.28,282.36,274.6,275.36,3940440
2006-8-2,275.01,280.87,275.01,280.14,2439075
2006-8-3,282,284.89,277.51,283.25,4864097
2006-8-4,285,292.5,282.11,290.5,5137762
2006-8-7,288,295.5,286.5,294.7,5140944
2006-8-8,296,299.69,293.15,294.17,6393965
2006-8-9,295.1,306.8,294.7,305.63,7949597
2006-8-10,303,308.52,298.13,305.83,10064655
2006-8-11,307.1,314.85,307,313.03,7570973
2006-8-14,315,319.4,311.55,312.95,7481978
2006-8-15,312.94,313.49,302.8,312.25,10768775
2006-8-16,314.5,317.1,308.53,312.63,8102659
2006-8-17,314,314.1,304.55,306.01,4932451
2006-8-18,305.2,306.44,289.45,293,9432380
2006-8-21,295.99,303.25,291.21,299.97,7228449
2006-8-22,302,307.99,301.2,306.69,5623489
2006-8-23,306.5,312.39,301.22,309.56,7254507
2006-8-24,306.27,311.3,303.06,308.51,5317452
2006-8-25,311.38,314.8,310,313.52,5089659
2006-8-28,312.5,313.67,310.36,311.18,2413278
2006-8-29,312,317.78,307.54,309.52,7603688
2006-8-30,310,314.77,310,312.38,4523116
2006-8-31,314.99,318.2,311.91,312.97,8212971
2006-9-1,313.5,314.36,308.67,309.23,5479314
2006-9-4,312.01,313.2,307.01,311.3,3609415
2006-9-5,310.5,311.49,308.2,310.65,4460978
2006-9-6,311,311,299.5,301.95,5760145
2006-9-7,298.51,298.7,291.77,294.98,5925634
2006-9-8,293.04,299.25,291,298.24,3700080
2006-9-11,295.6,295.6,283,284.25,5908200
2006-9-12,286.5,290.25,283.65,289.51,5945074
2006-9-13,286.62,294.9,285,293.97,5377126
2006-9-14,296.5,300.49,291.7,292.31,5138198
2006-9-15,287.68,294.7,287.68,290.82,3791810
2006-9-18,294,295.48,290.81,294.62,2635609
2006-9-19,296,296.89,293.5,294.99,2692163
2006-9-20,290,290,284.65,287.97,3314524
2006-9-21,286.13,289.35,278.12,279.9,4551239
2006-9-22,281.51,282.97,270.75,271.9,6378846
2006-9-25,270,270.8,261.51,262.38,6253905
2006-9-26,267,274.15,266.17,273.31,4813699
2006-9-27,276.43,280.99,274.13,276.75,6487068
2006-9-28,284,290.95,283.7,289.54,6926280
2006-9-29,289.5,293.3,285.1,287.16,5048175
2006-10-2,290.11,292.45,287,290.79,3579694
2006-10-3,285.99,286.67,281.33,282.36,4063365
2006-10-4,279,288.52,277.32,285.95,6914277
2006-10-5,292.37,297.26,290.23,296.02,7463172
2006-10-6,294.57,296.9,290.12,292.79,4803195
2006-10-9,293.7,300.77,290.8,299.8,5300757
2006-10-10,299.35,301.9,291.75,294.18,6833089
2006-10-11,292,296.4,288.79,294.98,5231716
2006-10-12,292,293.69,287.56,290.85,5128119
2006-10-13,293.5,299.7,292.39,298.24,7313833
2006-10-16,300,300.9,294.54,297.61,3718673
2006-10-17,301.97,302.75,293.51,294.7,5932847
2006-10-18,293.25,300.2,293.2,299.67,6539196
2006-10-19,298.53,301.3,297.6,300.55,4564730
2006-10-20,302.5,303.4,295.6,296.82,4244478
2006-10-23,296,296.98,291,293.93,3234809
2006-10-24,294.88,294.88,289.98,292.9,2952312
2006-10-25,294.01,296.25,292.35,295.21,3358686
2006-10-26,299.54,299.85,290.07,291.33,5272309
2006-10-27,291,291.3,284.25,285.28,5406974
2006-10-30,284.61,285.17,276.05,276.81,3966854
2006-10-31,276,284.7,275.5,281.91,5536227
2006-11-1,283.55,291.39,281.9,290.33,4739395
2006-11-2,289.5,291.5,286.21,287.29,4451033
2006-11-3,287.6,291.8,287.1,291.29,2471217
2006-11-7,294,295.24,292.2,293.51,3140505
2006-11-8,292,292.33,288.4,290.12,2997875
2006-11-9,291.5,294.7,291.11,292.35,3037555
2006-11-10,292.34,292.88,287.87,292.05,3300794
2006-11-13,290.53,294.23,289.3,290.98,2897058
2006-11-14,291.26,294.8,289.16,293.1,3319536
2006-11-15,294.06,298.11,292.38,293.43,4565126
2006-11-16,294.5,295.33,291.82,293.92,2289306
2006-11-17,289.66,290.65,284.67,288.02,4786389
2006-11-20,287.06,288.41,284.04,285.96,2770522
2006-11-21,287,292.89,286.8,291.48,3961464
2006-11-22,293.5,295,287.9,288.91,5108481
2006-11-23,289,292,288.1,289.99,2087610
2006-11-24,289.51,291.48,288,290.15,2118700
2006-11-27,292.11,292.11,288.15,288.9,2169511
2006-11-28,288.63,295.35,285.9,294.78,5929135
2006-11-29,296.26,305.7,296.26,304.74,11066168
2006-11-30,308,311,302.85,306.18,11991535
2006-12-1,307,310.01,302.25,304.92,8018889
2006-12-4,305.05,307.75,303.75,304.68,4618098
2006-12-5,306,310.22,306,308.33,6516086
2006-12-6,310,311.8,306.49,308.65,5355575
2006-12-7,309.01,310.3,307.3,307.99,3974934
2006-12-8,308.7,308.99,305.5,306.35,3663609
2006-12-11,306,307.45,299.89,301.7,5287212
2006-12-12,302.5,302.5,294.5,295.99,6949748
2006-12-13,297,298,290.94,297.06,6047122
2006-12-14,298.5,303.2,298.12,302.53,5190494
2006-12-15,304.35,306.45,301.82,304.54,5910812
2006-12-18,305,305.33,302.14,302.8,2877765
2006-12-19,301,301,294.73,298.32,4506797
2006-12-20,301,303.3,299.86,302.46,3522688
2006-12-21,303,306.4,299.52,305.11,5130522
2006-12-22,306,307.37,302.9,303.91,4250620
2006-12-25,304,304.66,300.24,300.92,2223193
2006-12-26,301,302,298.34,300.04,3159960
2006-12-27,300,302.66,297.87,301.96,3496185
2006-12-28,302,304.87,300.7,302.82,4145770
2006-12-29,302.2,303.47,301.81,302.56,13983346
2007-1-9,298,298,286.12,287.59,3849964
2007-1-10,288,292.35,281.36,290.23,6426488
2007-1-11,289,294.9,287.5,292.21,4699084
2007-1-12,289.99,291.56,286.3,287.54,3309224
2007-1-15,291,294.99,290.1,294.51,3227882
2007-1-16,293.72,296.6,287,288.19,4975766
2007-1-17,286.47,288.99,278.4,279.6,5517667
2007-1-18,284,286.25,278.51,281.34,4747784
2007-1-19,279,285.5,276.4,284.83,3954650
2007-1-22,289,290.4,285.7,288.83,3948175
2007-1-23,286,287.77,284.45,286.23,2853132
2007-1-24,290,291.35,286.04,287.35,3489630
2007-1-25,289.21,292.85,288.5,290.71,3742169
2007-1-26,288,288.35,286.25,287.24,2521675
2007-1-29,289.5,289.5,282.84,283.44,2464995
2007-1-30,281.48,285.87,280,284.36,2443596
2007-1-31,289,289.23,283.51,284.54,3112220
2007-2-1,288.36,292.2,286.9,288.49,5097089
2007-2-2,289,290.45,287.81,288.74,2108349
2007-2-5,291.99,291.99,288.01,290.15,1896483
2007-2-6,289.26,293.98,289.1,291.03,3610002
2007-2-7,290.5,290.8,285.7,286.84,3506456
2007-2-8,284.3,285.39,279.02,280.42,4342319
2007-2-9,284.11,284.84,277.5,278.37,3015930
2007-2-12,277,277,268.31,269.35,4350418
2007-2-13,267,276.49,265.08,274.87,5858978
2007-2-14,279,281.88,276.81,281.32,5396194
2007-2-15,281.2,282.9,278.07,278.79,2925853
2007-2-16,279.5,283.34,276.55,282.5,3502188
2007-2-19,283.5,286.69,283.21,284.2,3084499
2007-2-20,284,284.48,278.52,279.44,2575705
2007-2-21,279.01,282.1,278.81,280.4,2010990
2007-2-22,282.5,283.41,281.04,282.3,1809426
2007-2-26,284.11,285.8,282.75,285.33,2949060
2007-2-27,283.2,283.45,272.3,275.52,4290271
2007-2-28,270.03,270.99,262.01,266.59,6823621
2007-3-1,266,270.4,249,256.42,7683639
2007-3-2,258.5,261.48,253.71,260.27,6464332
2007-3-5,250,250.5,239.8,249.66,6848945
2007-3-6,253.8,256.49,251.81,254.02,4848062
2007-3-7,256.5,257.88,250.29,253.4,3954929
2007-3-9,260.11,268.51,259.69,263.78,6630552
2007-3-12,264,268.2,259.75,260.58,4781293
2007-3-13,262,264.17,257.52,260.23,5446524
2007-3-14,249,254.85,243,253.36,8520976
2007-3-15,256.5,258.87,251.77,255.54,4424228
2007-3-16,254.5,256.44,253.1,254.41,2750963
2007-3-19,257.11,258.5,254.42,257.55,3590283
2007-3-20,259,259.55,251.53,253.62,4604726
2007-3-21,255,255,251.01,253.28,2786695
2007-3-22,257.6,263.19,254.25,260.73,7992035
2007-3-23,261.93,269.56,259.55,268.84,7062709
2007-3-26,270,275.4,270,274.52,7228015
2007-3-27,272,273.29,267.78,269.25,6179020
2007-3-28,269.9,274.7,268.55,271.46,5809126
2007-3-29,270.01,274.42,270.01,273.97,3980095
2007-3-30,276.5,277.45,269.8,270.87,4514698
2007-4-2,270.51,271.29,267.3,269.04,1952441
2007-4-3,270.78,271,265.15,266.93,2308114
2007-4-4,268.01,272.6,267.01,268.91,3522652
2007-4-5,269.52,270.9,268.4,269.97,1851273
2007-4-6,270.03,270.22,267.54,268.2,1770622
2007-4-9,269.1,271.9,268.3,269.61,2339000
2007-4-10,267,269.56,265.07,268.99,3397566
2007-4-11,270.49,276.48,270.02,273.88,8160897
2007-4-12,272.57,274.9,270.2,271.01,4534692
2007-4-13,274,274.5,271.5,272.01,3695980
2007-4-16,271.9,272.01,265.62,267.33,4693889
2007-4-17,266.02,266.09,260.5,261.56,4066387
2007-4-18,259.54,261.5,257,257.68,2680615
2007-4-19,254.93,255,249.5,252.39,3716616
2007-4-20,255.5,260.4,254.61,259.69,2063416
