Date,Open,High,Low,Close,Volume
2011-11-8,215.4,215.4,215.4,215.4,700
2011-12-2,215.13,215.13,215.13,215.13,707
2011-12-22,236,236,236,236,100
2011-12-23,255,255,255,255,90
2011-12-27,268,268,268,268,190
2011-12-28,270.12,275,270.12,275,416
2012-3-2,265,265,265,265,190
2012-3-30,265,265,265,265,4340
2012-6-26,265,265,265,265,2642
2012-9-26,265,265,265,265,4160
2012-11-13,265.01,265.01,265.01,265.01,2642
2013-3-25,265,265,265,265,4200
2013-6-25,265,265,265,265,16000
2013-6-26,265,265,265,265,98000
2013-6-27,265,265,265,265,28000
2013-6-28,265,265,265,265,214000
2013-9-30,265,265,265,265,1
2013-12-30,292.7,292.7,292.7,292.7,6150
2015-2-16,293,293,293,293,491
