Date,Open,High,Low,Close,Volume
2012-3-30,102.17,102.17,102.17,102.17,4
2012-6-8,102.64,102.64,102.6,102.6,4
2012-7-10,102.62,102.62,102.62,102.62,1500
2012-8-21,102.75,102.75,102.6,102.6,1500
2012-9-3,102.75,102.75,102.6,102.6,1500
2012-12-20,102.62,102.62,102.62,102.62,13156
2013-3-27,102.62,102.62,102.62,102.62,4880
2013-4-25,102.62,102.62,102.62,102.62,12700
2013-9-26,103.15,103.15,103.15,103.15,10
2013-9-27,103.1,103.1,103.1,103.1,485
2013-9-30,103.1,103.1,103.1,103.1,4850
2013-12-30,111.7,111.7,111.7,111.7,16115
