Date,Open,High,Low,Close,Volume
2008-5-19,569,570,568.5,569.5,15000
2008-5-29,654.44,654.44,600,600,8
2008-5-30,600,600,600,600,2
2008-6-2,600,600,600,600,3
2008-6-3,550,565,550,565,20
2008-6-4,550,560,550,560,6
2008-6-10,570,570,570,570,8
2008-6-11,568.5,569.5,568.5,569.5,6000
2008-6-17,560,560,560,560,35
2008-6-18,565,565,565,565,19
2008-6-19,525.01,525.01,525,525,32
2008-6-20,546.02,546.02,510,510,11
2008-6-23,539.99,559.99,539.99,539.99,1074
2008-6-26,560,560,549.5,550,2005
2008-7-7,620,620,620,620,15
2008-7-9,450,450,450,450,15
2008-7-18,561,561,561,561,2700
2008-7-21,625,650,625,650,11
2008-7-22,757.35,757.35,653,757.35,9
2008-7-23,757.35,757.35,480,490,978
2008-7-24,500,611.9,500,540,444
2008-7-28,500,550,500,550,35
2008-7-29,567.97,567.97,557,557,2
2008-7-31,527,527,527,527,63
2008-8-1,500,500,500,500,33
2008-8-4,505,505,500,500,168
2008-8-5,450,450,450,450,57
2008-8-6,450,450,450,450,50
2008-8-7,450,472.83,450,460,62
2008-8-8,452,452,452,452,1
2008-8-11,452,452,450,450,4
2008-8-12,490,490,480.55,480.55,3
2008-8-18,480,480,480,480,10
2008-8-19,490,490,490,490,9
2008-8-21,490,490,451,490,251
2008-8-25,450.01,450.1,450,450,40
2008-8-26,420,420,420,420,300
2008-8-27,420,420,420,420,5
2008-8-28,420,450,420,450,210
2008-8-29,450,450,450,450,1
2008-9-3,450,450,450,450,500
2008-9-9,450,450,450,450,1
2008-9-10,400,400,400,400,500
2008-9-11,400,400,400,400,1100
2008-9-12,400,450,400,405,7377
2008-9-15,400,401,350.01,350.01,812
2008-9-16,365,365,350,350,102
2008-9-17,375,375,375,375,2
2008-9-19,375,375,300,375,137
2008-9-22,375,375,350,350,57
2008-9-24,300,305,300,305,4
2008-9-25,350,374.99,350,374.99,2
2008-9-26,300,315,288,290,5676
2008-9-29,300,308.82,300,301,1315
2008-9-30,305,305,300,300,181
2008-10-1,300,310,300,310,1071
2008-10-3,310,375.2,300,300,210
2008-10-6,290,290,270,275,598
2008-10-7,290,290,275,275,301
2008-10-9,270,270,250,250,562
2008-10-13,250,250,225.12,225.12,595
2008-10-14,225.12,225.12,225.12,225.12,23
2008-10-15,225.12,225.12,180,180,569
2008-10-17,225.12,225.12,225.12,225.12,1154
2008-10-21,195,195,140,140,3580
2008-10-23,140,140,91.5,91.5,4576
2008-10-28,91.5,91.5,75,75,4009
2008-10-29,84.99,84.99,80,80,5
2008-10-30,80,82,72.1,82,1416
2008-10-31,80,105,73.85,105,521
2008-11-1,85,89.99,85,89.99,139
2008-11-5,88,90,85,85,399
2008-11-6,80,80,80,80,50
2008-11-7,80,98,75.01,82,1688
2008-11-10,82.3,84,79.5,84,2472
2008-11-11,84,84,80,80,428
2008-11-13,75,80,70,80,301
2008-11-14,82,82,82,82,21
2008-11-17,83.99,83.99,83.99,83.99,5
2008-11-18,85,85,84.89,84.89,10
2008-11-19,85,85,70,80,2113
2008-11-20,80,80,80,80,2
2008-11-21,80,80,77,79,205
2008-11-24,79,79,79,79,11
2008-11-25,78,78,78,78,2
2008-11-26,84.99,84.99,75.2,75.3,8305
2008-11-27,85,94,85,93,970
2008-11-28,94,94.15,90,90,12414
2008-12-1,85,85,85,85,1000
2008-12-2,90,91,80,80,4021
2008-12-3,84,86,84,84,2804
2008-12-4,85,85,82,82,138
2008-12-5,80,80,75,75,20
2008-12-8,89.99,89.99,89.99,89.99,1
2008-12-9,75.01,75.01,75,75.01,8
