Date,Open,High,Low,Close,Volume
2006-6-28,3076.5,3210,2980,3182.54,1334178
2006-6-29,3219,3327.77,3185.05,3299.38,1238071
2006-6-30,3400,3532.5,3393.44,3470.75,1382238
2006-7-3,3499,3599.12,3471,3513.48,814022
2006-7-4,3522.5,3588.1,3437.1,3578,769434
2006-7-5,3579.39,3580,3333.33,3375.99,1033315
2006-7-6,3407.5,3555,3365.01,3541.05,1062041
2006-7-7,3550.1,3600,3480,3541.41,1018535
2006-7-10,3499.5,3575,3499.5,3554.46,551604
2006-7-11,3545.5,3630,3530.44,3583.86,1046252
2006-7-12,3620,3680,3605,3630.85,970898
2006-7-13,3589,3624.89,3366,3402.59,1225505
2006-7-14,3355.57,3493,3285,3431.94,1325654
2006-7-17,3400.5,3437.4,3292,3322.11,750464
2006-7-18,3290,3364.96,3231,3334.04,739962
2006-7-19,3330,3430,3202.2,3425,994876
2006-7-20,3448.5,3499,3357.01,3378.21,917916
2006-7-21,3350,3380.9,3270,3280.43,582656
2006-7-24,3257.5,3370,3224,3368,574892
2006-7-25,3400,3481,3333.33,3364.87,1086785
2006-7-26,3379.99,3467,3370,3453.36,785183
2006-7-27,3492.5,3674.2,3480,3665,1373415
2006-7-28,3638,3709,3560,3680.09,1253427
2006-7-31,3700,3730,3611,3642.88,889941
2006-8-1,3657.34,3730,3565.01,3592.14,1136210
2006-8-2,3620,3684.66,3601.11,3664.14,1003562
2006-8-3,3688.5,3721,3577,3678.43,1488273
2006-8-4,3700,3753,3650,3737.89,981870
2006-8-7,3700.5,3719.87,3646.13,3688.83,611806
2006-8-8,3700,3719.8,3630,3676.82,684012
2006-8-9,3684.99,3750,3670,3735.6,913021
2006-8-10,3715.5,3723.02,3644,3661.52,838575
2006-8-11,3680.01,3772.99,3679.72,3756.12,1026352
2006-8-14,3767.89,3851,3752.33,3775.26,1116454
2006-8-15,3772.4,3829,3680.2,3824,1075522
2006-8-16,3849.97,3888,3744.01,3848.27,1402931
2006-8-17,3875,3919.8,3815,3830.95,1411450
2006-8-18,3805,3805,3570,3597.95,1571834
2006-8-21,3620.03,3670,3573.03,3616.17,769893
2006-8-22,3650,3720.75,3624.14,3658.35,975692
2006-8-23,3670,3719.44,3640,3691.28,1164508
2006-8-24,3650,3680,3601.01,3613.24,843903
2006-8-25,3645,3659.47,3602.18,3615.74,558335
2006-8-28,3609.82,3658,3591,3645.03,424588
2006-8-29,3670.5,3687,3583.26,3597.6,839293
2006-8-30,3607.49,3666,3607.49,3653.43,482196
2006-8-31,3668,3683,3603,3612.78,528536
2006-9-1,3620,3639.95,3526.1,3543.65,784441
2006-9-4,3585,3602,3530,3593.55,409182
2006-9-5,3595,3649.8,3555.5,3640.66,750135
2006-9-6,3639,3640,3560,3573.62,458091
2006-9-7,3550,3550,3380.01,3394.92,1032690
2006-9-8,3400,3409.99,3334.01,3368.92,858934
2006-9-11,3319.5,3323,3197,3210.39,870298
2006-9-12,3239.01,3280,3200,3261.62,894087
2006-9-13,3260,3358,3246.54,3323.51,1006782
2006-9-14,3369.75,3423.86,3317,3332.77,887536
2006-9-15,3280,3389.99,3241.25,3269.35,1023558
2006-9-18,3275,3324.99,3195,3308.84,785560
2006-9-19,3334.6,3370,3302,3358.9,549886
2006-9-20,3300,3303,3220,3268.9,762765
2006-9-21,3250,3318.8,3200,3223.13,912845
2006-9-22,3250,3265,3081.1,3087,831152
2006-9-25,3080,3098,2952,2969.24,1070126
2006-9-26,3019.5,3122,3019,3096.07,1379492
2006-9-27,3150,3212,3131,3182.85,1100002
2006-9-28,3240,3322.5,3240,3311.4,928627
2006-9-29,3309.5,3414,3261.11,3387.41,1649867
2006-10-2,3430,3489.8,3370.2,3400.9,1401379
2006-10-3,3370,3370,3290,3298.93,799855
2006-10-4,3250,3323.95,3210,3252.87,1578947
2006-10-5,3324.5,3470,3313.01,3446.3,1688064
2006-10-6,3464.5,3515,3381,3417.27,1837906
2006-10-9,3446.02,3499,3405,3490.59,857639
2006-10-10,3483.01,3548.4,3455.7,3533.5,1659020
2006-10-11,3533.7,3620,3513.77,3613.44,1782428
2006-10-12,3595,3697,3587,3683.05,1904185
2006-10-13,3730,3789,3710.1,3771.65,1458621
2006-10-16,3790,3806.98,3711.13,3785.68,1201711
2006-10-17,3845,3870,3737,3767.22,1667504
2006-10-18,3736,3848,3712.42,3828.77,1485371
2006-10-19,3800,3858.52,3792,3838.72,1027854
2006-10-20,3872,3888,3783,3802.49,922312
2006-10-23,3804.5,3818.74,3742,3803.42,848426
2006-10-24,3825.01,3831.01,3750,3814.77,920644
2006-10-25,3829.5,3851.48,3782.4,3844.59,622692
2006-10-26,3880,3880,3760,3783.17,932448
2006-10-27,3770.04,3793,3701,3765.81,910144
2006-10-30,3750,3792.96,3701.5,3706.11,586888
2006-10-31,3709.99,3809,3702,3800.24,768543
2006-11-1,3818.06,3874.7,3805.05,3858.7,982364
2006-11-2,3843.41,3859,3756.44,3773.93,860521
2006-11-3,3778,3834.75,3771.02,3819.89,579592
2006-11-7,3860.5,3934.97,3830.01,3910.39,1013880
2006-11-8,3875,3933,3875,3904.6,634251
2006-11-9,3929.5,3963.11,3913,3932.56,650401
2006-11-10,3934,3939,3876,3914.96,598407
2006-11-13,3895,3912,3776,3798.01,1443412
2006-11-14,3801,3852,3783.3,3815.76,794071
2006-11-15,3820,3825,3741.15,3762.34,688257
2006-11-16,3771,3837,3757.05,3829.8,725414
2006-11-17,3770.06,3805,3687,3740,1266732
2006-11-20,3707.5,3769.4,3707.21,3747.9,696214
2006-11-21,3770,3831.85,3770,3822.07,754032
2006-11-22,3837,3869.49,3800,3829.59,888637
2006-11-23,3824.5,3859.5,3813.51,3851.29,472374
2006-11-24,3861,3866.66,3830.05,3840.33,584482
2006-11-27,3875,3943.33,3862.35,3919.41,1142005
2006-11-28,3910,3933.8,3865,3888.44,853554
2006-11-29,3919.5,3960,3901.11,3928.06,605566
2006-11-30,3950,3981,3927,3954.79,576169
2006-12-1,3971.06,4040.2,3965,3990.41,1210828
2006-12-4,3990,4025,3970.11,4004.03,639519
2006-12-5,4026,4061,4010,4034.09,599282
2006-12-6,4049.67,4088.99,4015.11,4055.81,679724
2006-12-7,4060,4066,4020.02,4037.83,440085
2006-12-8,4047.93,4048.99,4001.11,4021.58,343136
2006-12-11,4019.33,4034.69,3930.7,3987.51,554236
2006-12-12,3989,4088,3970.12,4008.57,1282743
2006-12-13,4005,4023,3915.23,3980.47,753233
2006-12-14,3975,4045,3971,4024.75,579889
2006-12-15,4070,4108.96,4034,4097.49,1336785
2006-12-18,4105,4141.41,4076,4086.97,343401
