Date,Open,High,Low,Close,Volume
2016-2-26,4,4.3,4,4.1,8
2016-2-29,4.1,4.5,4,4.13,11
2016-3-1,4.31,4.44,4.13,4.13,18
2016-3-2,4.2,4.29,3.961,4.176,31
2016-3-3,4.13,4.35,3.999,4.18,64
2016-3-4,3.998,4.2,3.701,4.019,42
2016-3-9,3.95,4.056,3.398,3.911,59
2016-3-10,3.426,4.02,3.325,3.918,52
2016-3-11,3.42,4.056,3.3,3.839,287
2016-3-14,3.779,4.018,3.2,3.416,329
2016-3-15,3.35,3.71,3.1,3.219,596
2016-3-16,3.314,3.349,3.201,3.323,108
2016-3-17,3.299,3.587,2.755,3.388,239
2016-3-18,3.348,3.454,2.881,3.451,39
2016-3-21,3.455,3.829,3.2,3.2,19
2016-3-22,3.394,3.6,3.12,3.32,167
2016-3-23,3.3,3.343,3.3,3.343,2
2016-3-24,3.279,3.63,3.012,3.049,841
2016-3-25,3.001,3.194,2.653,2.948,1613
2016-3-28,2.821,3.017,2.8,2.802,642
2016-3-29,2.854,2.979,2.52,2.52,527
2016-3-30,2.619,2.7,2.186,2.26,991
2016-3-31,2.036,2.281,1.761,1.81,712
2016-4-1,1.701,1.811,1.601,1.64,615
2016-4-4,1.561,1.984,1.522,1.738,1274
2016-4-5,1.755,1.763,1.61,1.721,344
2016-4-6,1.728,1.879,1.57,1.623,911
2016-4-7,1.596,1.675,1.523,1.592,1284
2016-4-8,1.538,1.586,1.495,1.5,690
2016-4-11,1.515,1.6,1.494,1.553,85
2016-4-12,1.5,1.554,1.495,1.541,200
2016-4-13,1.495,1.548,1.494,1.548,83
2016-4-14,1.504,1.518,1.475,1.515,79
2016-4-15,1.484,1.549,1.47,1.534,372
2016-4-18,1.533,1.534,1.478,1.491,57
2016-4-19,1.513,1.639,1.471,1.504,162
2016-4-20,1.509,1.509,1.491,1.497,10
2016-4-21,1.48,1.512,1.46,1.499,23
2016-4-22,1.48,1.491,1.473,1.49,57
2016-4-25,1.517,1.621,1.481,1.504,971
2016-4-26,1.482,1.525,1.466,1.515,75
2016-4-27,1.464,1.497,1.415,1.445,521
2016-4-28,1.422,1.443,1.195,1.28,974
2016-4-29,1.277,1.399,1.211,1.339,60
2016-5-4,1.34,1.38,1.2,1.295,600
2016-5-5,1.245,1.34,1.2,1.34,201
2016-5-6,1.265,1.325,1.2,1.29,284
2016-5-10,1.275,1.315,1.205,1.225,282
2016-5-11,1.235,1.235,1.17,1.22,93
2016-5-12,1.17,1.38,1.16,1.25,386
2016-5-13,1.175,1.22,1.155,1.215,40
2016-5-16,1.215,1.34,1.17,1.235,669
2016-5-17,1.21,1.24,1.135,1.135,1670
2016-5-18,1.15,1.17,1.09,1.12,1819
2016-5-19,1.125,1.155,1.05,1.085,500
2016-5-20,1.055,1.055,1.03,1.045,75
2016-5-23,1.04,1.06,1.015,1.025,77
2016-5-24,1.03,1.03,0.935,0.94,198
2016-5-25,0.925,0.96,0.875,0.94,270
2016-5-26,0.935,0.935,0.925,0.925,4
2016-5-27,0.935,0.94,0.935,0.94,2
2016-5-30,0.905,0.92,0.89,0.89,49
2016-5-31,0.885,0.9,0.88,0.885,10
2016-6-1,0.905,0.905,0.8,0.845,32
2016-6-2,0.82,0.895,0.725,0.735,533
2016-6-3,0.735,0.8,0.715,0.745,165
2016-6-6,0.72,0.76,0.64,0.64,2373
2016-6-7,0.65,0.685,0.6,0.635,1038
2016-6-8,0.645,0.685,0.57,0.585,2322
2016-6-9,0.595,0.595,0.56,0.58,398
2016-6-10,0.55,0.59,0.46,0.475,4918
2016-6-14,0.485,0.66,0.45,0.66,8960
2016-6-15,0.725,0.92,0.715,0.75,13587
2016-6-16,0.75,0.75,0.645,0.655,3954
2016-6-17,0.66,0.74,0.62,0.66,4035
2016-6-20,0.66,0.665,0.6,0.62,2004
2016-6-21,0.625,0.625,0.57,0.575,3752
2016-6-22,0.575,0.63,0.55,0.595,2817
2016-6-23,0.595,0.61,0.575,0.605,642
2016-6-24,0.645,0.645,0.555,0.575,3207
2016-6-27,0.57,0.58,0.55,0.565,646
2016-6-28,0.56,0.57,0.55,0.555,328
2016-6-29,0.56,0.565,0.47,0.49,23343
2016-6-30,0.505,0.505,0.41,0.435,8869
2016-7-1,0.425,0.605,0.42,0.605,10892
2016-7-4,0.665,0.78,0.49,0.515,12591
2016-7-5,0.505,0.54,0.49,0.525,2032
2016-7-6,0.545,0.545,0.5,0.52,371
2016-7-7,0.535,0.58,0.51,0.54,2299
2016-7-8,0.535,0.565,0.53,0.54,957
2016-7-11,0.555,0.755,0.53,0.755,14732
2016-7-12,0.825,0.93,0.735,0.77,13806
2016-7-13,0.835,0.835,0.63,0.66,8304
2016-7-14,0.68,0.76,0.625,0.67,17378
2016-7-15,0.705,0.795,0.65,0.76,9394
2016-7-18,0.765,0.815,0.7,0.76,8881
2016-7-19,0.75,0.93,0.715,0.85,8974
2016-7-20,0.845,1.175,0.815,1.07,30179
2016-7-21,1.06,1.22,1,1.1,19010
2016-7-22,1.085,1.3,1.045,1.095,28065
2016-7-25,1.1,1.105,1,1.03,4367
2016-7-26,1.045,1.145,0.85,1.07,17376
2016-7-27,1.09,1.13,0.99,1,32613
2016-7-28,1,1.01,0.905,0.935,5743
2016-7-29,0.93,1.21,0.905,1.01,23400
2016-8-1,1.025,1.295,0.995,1.175,9790
2016-8-2,1.195,1.365,1.155,1.175,15559
2016-8-3,1.17,1.205,1.1,1.17,3412
2016-8-4,1.175,1.2,1.115,1.2,6533
2016-8-5,1.205,1.26,1.165,1.23,2637
2016-8-8,1.24,1.325,1.12,1.275,4565
2016-8-9,1.295,1.31,1.215,1.285,1563
2016-8-10,1.3,1.32,1.25,1.275,1178
