Date,Open,High,Low,Close,Volume
2017-11-3,135,135,133,133.25,542
2017-11-7,136,136,131.5,132,10309
2017-11-8,132,133,132,133,699
2017-11-9,132.01,132.01,131,132,7705
2017-11-10,132,133,132,132,2529
2017-11-13,132.01,132.99,130,132.99,14780
2017-11-14,131.01,132.47,131,132.47,1010
2017-11-15,134,134,127,130,29446
2017-11-16,130,132.49,130,132.49,276
2017-11-17,132.4,132.5,130,130,2709
2017-11-20,131,132,131,132,112
2017-11-21,133.11,133.11,131.11,131.11,2525
2017-11-22,132.5,132.5,131,132.49,3261
2017-11-23,132,135,132,132,2994
2017-11-24,132,133,132,133,20
2017-11-27,134,134,132,132,2547
2017-11-28,132,132,131,131,9554
2017-11-29,132,134,132,132,6545
2017-11-30,132,135,132,132,6395
2017-12-1,132.02,134,132,132,6001
2017-12-4,132,132,132,132,10
2017-12-5,133,136,133,136,25
2017-12-7,134.93,134.93,134.92,134.92,2
2017-12-8,133.59,133.59,133.59,133.59,40
2017-12-11,133,141,133,141,94
2017-12-12,133,134,133,133,101
2017-12-13,132.01,132.01,132,132,207
2017-12-14,133,135.24,133,133,397
2017-12-15,134.2,134.2,134.2,134.2,300
2017-12-18,132.89,133,132.89,133,36
2017-12-19,133,133,132,132.5,150
2017-12-20,132,133,132,133,62
2017-12-22,132,133.32,132,133.32,114
2017-12-25,134,134,134,134,5
2017-12-26,133,133,133,133,2
2017-12-27,133,133,133,133,345
2017-12-28,133.5,135.18,133,133,871
2017-12-29,133.1,134.2,133,134.2,21
2018-1-3,133,133,133,133,14
2018-1-5,133,133,133,133,10
2018-1-9,133,134.2,133,134.2,247
2018-1-12,132.9,132.9,132.01,132.01,5
2018-1-15,133.5,133.51,133.5,133.51,2
2018-1-17,134.19,134.19,132.81,133.45,257
2018-1-18,134.19,134.19,132,132.95,2304
2018-1-19,133.41,133.85,133,133,151
2018-1-22,133,133.99,133,133.5,6
2018-1-23,133.9,134.2,133,133.75,1623
2018-1-24,133.5,133.5,133.5,133.5,2
2018-1-25,134.19,136,133.75,136,224
2018-1-26,134.67,134.67,134.67,134.67,300
2018-1-30,136,136,136,136,20
2018-1-31,136,136,135,135.98,17
2018-2-1,136,136,135,135,42
2018-2-2,136,136,136,136,101
2018-2-5,136,136,136,136,5
2018-2-6,134.7,136,134,134,383
2018-2-7,135.3,135.3,133,133,177
2018-2-13,134,136,134,136,750
2018-2-14,135.5,136,135.5,136,73
2018-2-16,137,137,137,137,1
2018-2-19,135.7,137,135.7,137,305
2018-2-20,138,138,138,138,495
2018-2-21,139,140,139,140,580
2018-2-22,138.7,139.1,138.7,139,346
2018-2-26,135,138.9,133,138.9,288
2018-2-27,139,139,138,139,87
2018-3-1,137.5,139,137.5,139,3
2018-3-2,139,139,139,139,2
2018-3-5,137.6,138.5,137.6,138.5,155
2018-3-6,139,139,137.1,137.8,511
2018-3-7,138.7,139,138,138,1033
2018-3-13,139,139,139,139,1
2018-3-14,138.9,140,137.5,139,11684
2018-3-15,139.8,140,138.5,140,565
2018-3-16,140.1,140.1,138.5,138.5,117
2018-3-19,139,139.8,137.5,139,632
2018-3-20,138,138,138,138,10
2018-3-21,139,139.8,139,139,819
2018-3-22,137.5,139.8,136.5,139,647
2018-3-23,139,139,137.5,137.5,6
2018-3-26,139,139,137.2,137.2,5
2018-3-27,137.2,137.2,137.2,137.2,3
2018-3-28,137.1,138,137.1,138,71
2018-3-29,139,139,139,139,1
2018-3-30,137.6,138.6,137.6,138.6,253
2018-4-2,140.2,140.2,140.2,140.2,23
2018-4-3,139.5,140.2,139.5,140.2,741
2018-4-4,139.5,140,139.5,140,607
2018-4-5,137.5,139.9,137.5,138,2114
2018-4-9,137.5,137.5,135,135,914
2018-4-10,136,136,131,133.6,901
2018-4-11,133.5,133.6,131.1,132,28
2018-4-12,130,133.5,130,131.1,445
2018-4-13,127.2,131.5,127.2,131.5,1025
2018-4-16,131.1,134,128.6,131.5,768
2018-4-18,131.6,131.6,131.6,131.6,1
