Date,Open,High,Low,Close,Volume
2006-11-13,6511,6511,6511,6511,32
2006-11-14,6576,6589,4836.01,6470,22
2006-11-15,6550,6657,6526.6,6526.6,74
2006-11-16,6713,6713,6713,6713,7
2006-11-20,6710,6720,6710,6720,3
2006-11-22,6690,6690,6690,6690,1
2006-11-23,6690,6690,6557,6557,5
2006-11-24,6519.8,6519.8,6392,6392,5
2006-11-27,6589,6589,6589,6589,1
2006-11-29,6001,7100,6001,7100,7
2006-11-30,6441,6441,6441,6441,40
2006-12-4,6550,6550,6550,6550,30
2006-12-5,6600,6600,6600,6600,5
2006-12-8,6760,6760,6620,6620,4
2006-12-11,6649,6649,6649,6649,1
2006-12-14,6561,6561,6561,6561,10
2006-12-15,6666,6713,6321,6321,304
2006-12-18,6750,6750,6750,6750,1
2006-12-20,7037,7037,7037,7037,13
2006-12-21,6990,6990,6966,6966,2
2006-12-26,7000,7000,6903,6903,10
2007-1-9,6739,6739,6614,6614,4
2007-1-10,6500,6500,6437,6437,2
2007-1-12,6639,6668,6639,6668,11
2007-1-15,6712,6772,6712,6772,8
2007-1-16,6767,6792,6767,6792,25
2007-1-17,6744,6745,6744,6745,3
2007-1-18,6792,7041,6792,7041,21
2007-1-22,7070,7170,7070,7115,7
2007-1-23,7025,7025,7025,7025,3
2007-1-26,7041,7041,7041,7041,7
2007-1-29,7043,7043,6910,6910,151
2007-1-30,6765,6821,6765,6821,23
2007-1-31,6875,6875,6875,6875,2
2007-2-1,6967,6967,6865,6865,12
2007-2-2,6857,6857,6857,6857,1
2007-2-5,6762,6762,6762,6762,1
2007-2-6,6853,6853,6853,6853,1
2007-2-8,6592,6697,6592,6697,203
2007-2-9,6561,6697,6500,6697,115
2007-2-12,6445,6445,6445,6445,15
2007-2-13,6380,6380,6328,6350,36
2007-2-15,6426.5,6427,6426,6427,6
2007-2-20,6544,6544,6544,6544,4
2007-2-22,6485,6586,6485,6586,3
2007-2-27,6675,6675,6613,6613,105
2007-2-28,6451,6451,6450,6450,82
2007-3-1,6482,6526,6482,6500,33
2007-3-2,6405,6459,6405,6459,29
2007-3-5,6350,6350,6350,6350,300
2007-3-6,6369,6369,6369,6369,142
2007-3-9,6399,6399,6039,6252,214
2007-3-14,6012,6012,6012,6012,2
2007-3-15,6029,6029,6015,6015,3
2007-3-16,6005,6055,5976,6055,22
2007-3-19,6055,6108,6055,6107.99,3
2007-3-20,6117,6235,6022,6031,174
2007-3-22,6050,6232,6036,6077,451
2007-3-26,6100,6190,6100,6190,3
2007-3-27,6160,6160,6160,6160,1
2007-3-28,6235,6235,6235,6235,1
2007-3-29,6192,6250,6192,6250,20
2007-3-30,6500,6500,6292,6292,28
2007-4-2,6359,6359,6359,6359,1
2007-4-3,6235,6252,6235,6252,12
2007-4-4,6320,6446,6320,6445,9
2007-4-5,6490,6500,6490,6500,6
2007-4-10,6607,6685,6607,6685,17
