Date,Open,High,Low,Close,Volume
2011-12-14,0.7496,0.7496,0.7496,0.7496,10
2011-12-26,0.9,0.9,0.9,0.9,1
2012-1-18,1.1,1.1,1.1,1.1,1
2012-1-19,1.1,1.1,1.1,1.1,20
2012-1-20,1.0999,1.1,1.0999,1.1,13
2012-1-23,1.1,1.1,1.1,1.1,2
2012-1-24,1.1,1.15,1.1,1.15,53
2012-1-25,1.15,1.15,1.101,1.101,35
2012-1-26,1,1,0.94,0.94,9
2012-1-27,0.94,0.94,0.9,0.9,21
2012-1-30,0.95,0.99,0.95,0.99,12
2012-1-31,0.9005,0.9005,0.8,0.85,64
2012-2-22,0.9,0.9496,0.9,0.9,28
2012-2-24,0.9002,0.9002,0.9002,0.9002,2
2012-2-28,0.9899,0.99,0.9899,0.99,16
2012-2-29,0.9002,0.95,0.9002,0.9003,22
2012-3-2,0.9004,0.9004,0.9002,0.9002,10
2012-3-7,0.9416,1.1,0.9416,1.1,14
2012-3-11,0.9047,1.3808,0.9001,1.3808,34
2012-3-12,1.2,1.25,1.2,1.2,3
2012-3-14,1.0701,1.0701,0.9504,0.9999,39
2012-3-20,0.95,0.9699,0.9001,0.9182,20
2012-3-21,0.9399,0.94,0.9399,0.94,4
2012-3-26,0.8802,0.8802,0.8802,0.8802,1
2012-4-4,0.87,0.87,0.87,0.87,1
2012-4-5,0.8101,0.8699,0.81,0.8699,5
2012-4-10,0.88,0.88,0.88,0.88,1
2012-4-17,0.8102,0.855,0.8102,0.855,2
2012-4-20,0.8101,0.8101,0.8101,0.8101,1
2012-4-26,0.81,0.81,0.81,0.81,1
2012-5-16,0.8,0.8,0.8,0.8,1
2012-6-8,0.6599,0.6599,0.6,0.6,2
2012-6-14,0.81,0.81,0.81,0.81,1
2012-6-26,0.62,0.7,0.61,0.7,12
2012-6-27,0.6875,0.6875,0.6875,0.6875,1
2012-7-5,0.6986,0.6999,0.6986,0.6999,2
2012-7-17,0.69,0.7,0.69,0.7,27
2012-7-26,0.5311,0.5311,0.5311,0.5311,1
2012-7-30,0.7,0.7,0.7,0.7,1
2012-8-24,0.8,0.8,0.8,0.8,12
2012-9-6,0.7998,0.7998,0.7998,0.7998,1
2012-9-20,0.5606,0.5606,0.5606,0.5606,1
2012-9-21,0.69,0.69,0.69,0.69,1
2012-9-24,0.6132,0.7848,0.6132,0.7848,35
2012-9-28,0.88,0.88,0.88,0.88,40
2012-10-8,0.88,0.88,0.6139,0.82,5
2012-10-9,0.7002,0.7002,0.7002,0.7002,1
2012-10-10,0.79,0.8797,0.79,0.8797,3
2012-10-15,0.775,0.775,0.59,0.7,5
2012-10-16,0.75,0.75,0.7212,0.7212,26
2012-10-19,0.8794,0.8794,0.8,0.8,2
2012-10-22,0.7001,0.7001,0.7001,0.7001,1
2012-10-30,0.6101,0.6498,0.5842,0.6,100
2012-10-31,0.61,0.6498,0.61,0.6498,2
2012-11-1,0.5999,0.5999,0.5899,0.599,8
2012-11-2,0.59,0.59,0.59,0.59,1
2012-11-22,0.59,0.59,0.59,0.59,1
2012-11-28,0.59,0.59,0.59,0.59,1
2012-11-29,0.59,0.6099,0.59,0.6099,2
2012-12-6,0.5801,0.5999,0.5515,0.5999,5
2012-12-7,0.7837,0.7837,0.5005,0.5999,9
2012-12-12,0.56,0.5987,0.56,0.5987,4
2012-12-19,0.55,0.57,0.55,0.57,11
2012-12-20,0.5999,0.5999,0.5701,0.5701,2
2013-1-10,0.6,0.6,0.5701,0.5701,10
2013-1-17,0.6499,0.6499,0.6499,0.6499,1
2013-1-24,0.6,0.6699,0.5991,0.5991,5
2013-1-29,0.6298,0.6298,0.6297,0.6297,2
2013-2-5,0.7292,0.73,0.6501,0.6501,18
2013-2-6,0.675,0.675,0.675,0.675,1
2013-2-7,0.675,0.675,0.675,0.675,12
2013-2-8,0.69,0.69,0.67,0.67,9
2013-2-12,0.65,0.65,0.65,0.65,2
2013-2-14,0.6,0.6999,0.52,0.6999,24
2013-2-15,0.64,0.6609,0.6,0.6609,8
2013-2-18,0.6351,0.6351,0.6351,0.6351,1
2013-2-19,0.6849,0.6849,0.6849,0.6849,1
2013-2-20,0.6401,0.6401,0.64,0.64,8
2013-2-21,0.64,0.64,0.62,0.62,3
2013-3-4,0.86,0.86,0.86,0.86,1
2013-3-6,0.6599,0.66,0.6599,0.66,11
2013-3-7,0.65,0.65,0.65,0.65,1
2013-3-11,0.6001,0.6001,0.581,0.5998,11
2013-3-12,0.6599,0.6599,0.6599,0.6599,9
2013-3-14,0.63,0.63,0.63,0.63,1
2013-3-18,0.6255,0.63,0.6255,0.63,7
2013-3-19,0.63,0.63,0.63,0.63,1
2013-3-21,0.63,0.63,0.6201,0.6201,9
2013-3-22,0.63,0.63,0.63,0.63,3
2013-3-25,0.63,0.63,0.63,0.63,1
2013-3-26,0.75,0.75,0.75,0.75,56
2013-3-27,0.75,0.75,0.75,0.75,3
2013-3-28,0.75,0.75,0.75,0.75,10
2013-3-29,0.8499,0.896,0.8499,0.896,19
2013-4-1,0.9,0.9,0.8001,0.8001,15
2013-4-2,0.83,0.838,0.83,0.838,5
2013-4-3,0.838,0.86,0.838,0.86,18
2013-4-4,0.85,0.85,0.85,0.85,10
2013-4-5,0.85,0.855,0.85,0.855,66
2013-4-8,0.85,0.85,0.85,0.85,3
2013-4-19,0.8001,0.8001,0.8001,0.8001,1
2013-6-3,0.8001,0.8001,0.8,0.8,5
2013-6-21,0.8997,0.8997,0.8997,0.8997,1
2013-6-24,0.8,0.8,0.8,0.8,1
2013-7-12,0.88,0.95,0.88,0.95,8
2013-7-15,0.951,0.951,0.95,0.95,5
2013-7-16,0.95,1.01,0.95,1.01,40
2013-7-18,0.95,0.95,0.95,0.95,1
2013-7-25,0.95,0.9501,0.95,0.95,6
2013-8-7,0.9,0.9,0.9,0.9,6
2013-9-3,0.8,0.8,0.7999,0.7999,12
2013-9-10,0.75,0.75,0.74,0.74,7
2013-9-11,0.75,0.75,0.75,0.75,5
2013-9-12,0.725,0.75,0.725,0.75,3
2013-9-18,0.76,0.76,0.76,0.76,1
2013-10-10,0.78,0.78,0.78,0.78,2
2013-10-11,0.78,0.78,0.7675,0.78,14
2013-10-29,0.7997,0.7997,0.7997,0.7997,8
2013-11-7,0.78,0.78,0.78,0.78,1
2013-11-8,0.78,0.78,0.78,0.78,1
2014-2-17,0.9477,0.98,0.9477,0.979,69
2014-2-26,0.99,0.99,0.98,0.98,3
2014-2-27,0.98,0.98,0.98,0.98,1
2014-2-28,0.985,0.985,0.985,0.985,52
2014-3-11,0.9999,0.9999,0.9999,0.9999,1
2014-3-14,0.99,0.99,0.99,0.99,21
