Date,Open,High,Low,Close,Volume
2011-12-20,0.9,0.9,0.7964,0.7964,3
2011-12-22,0.9,0.9,0.5195,0.5195,2
2011-12-26,0.9,0.9,0.8999,0.9,52
2011-12-29,0.8965,0.8965,0.8965,0.8965,1
2011-12-30,0.8997,0.8997,0.8997,0.8997,7
2012-1-4,0.7204,0.81,0.7204,0.81,6
2012-1-6,0.9,0.9,0.9,0.9,5
2012-1-10,0.99,0.995,0.75,0.75,8
2012-1-11,0.6125,0.7,0.6125,0.7,22
2012-1-12,0.65,0.6504,0.65,0.6503,11
2012-1-13,0.7999,0.8,0.7999,0.8,8
2012-1-16,0.7077,0.9,0.7077,0.8999,18
2012-1-17,0.9999,1.2599,0.9999,0.9999,7
2012-1-18,1,1,1,1,1
2012-1-19,0.9999,1,0.9999,1,10
2012-1-23,0.85,1.25,0.85,1,14
2012-1-24,1,1,1,1,51
2012-1-25,1,1,0.95,0.95,10
2012-1-26,1,1,1,1,1
2012-1-30,1,1.25,1,1,12
2012-2-6,0.8615,0.8615,0.8588,0.8588,10
2012-2-7,0.9,0.9,0.9,0.9,4
2012-2-9,0.9731,1,0.9731,1,5
2012-2-10,1,1,1,1,10
2012-2-20,0.95,0.9999,0.7601,0.9999,4
2012-2-22,0.9,1.0499,0.9,1,147
2012-2-28,0.99,1,0.99,1,27
2012-3-2,0.8086,0.8086,0.8086,0.8086,1
2012-3-6,0.9999,1.11,0.9999,1.05,280
2012-3-7,0.8851,1.47,0.801,0.95,924
2012-3-11,1.0397,1.0499,0.96,1,64
2012-3-12,1,1.15,1,1.1,51
2012-3-13,1.1,1.1,1.0078,1.0078,13
2012-3-14,1.0077,1.0999,0.8,1.0078,25
2012-3-15,1.05,1.05,0.9119,0.9966,26
2012-3-16,0.9501,1.0318,0.93,1.0318,18
2012-3-20,0.9501,0.9501,0.9501,0.9501,3
2012-3-21,0.9029,0.9998,0.9029,0.9998,6
2012-3-23,0.9399,0.9995,0.9399,0.9701,12
2012-3-27,0.9303,0.9999,0.9303,0.9999,17
2012-3-28,0.95,1,0.9041,0.9041,13
2012-3-29,0.9499,0.9499,0.9499,0.9499,11
2012-4-3,0.95,1,0.95,1,2
2012-4-6,0.9501,0.96,0.9501,0.96,3
2012-4-10,0.94,0.94,0.94,0.94,1
2012-4-11,0.988,0.988,0.92,0.92,4
2012-4-17,0.9028,0.9028,0.8273,0.8273,2
2012-4-18,0.9397,0.94,0.9397,0.94,4
2012-4-19,0.95,0.95,0.95,0.95,1
2012-4-23,0.8582,0.8582,0.8582,0.8582,2
2012-4-25,0.8579,0.9499,0.8579,0.9499,9
2012-5-2,1.075,1.075,1.075,1.075,7
2012-5-16,0.9,0.9,0.83,0.83,14
2012-5-18,0.7755,0.7755,0.7002,0.7002,4
2012-5-25,0.8809,0.8809,0.6326,0.6326,12
2012-5-28,0.8,0.8,0.8,0.8,1
2012-5-29,0.8099,0.81,0.8099,0.81,2
2012-5-30,0.8101,0.8101,0.8101,0.8101,1
2012-5-31,0.85,0.85,0.82,0.82,20
2012-6-1,0.85,0.85,0.85,0.85,2
2012-6-4,0.7601,0.7601,0.7601,0.7601,10
2012-6-6,0.7601,0.8497,0.76,0.79,9
2012-6-7,0.8499,0.8499,0.8499,0.8499,1
2012-6-9,0.8499,0.8499,0.8499,0.8499,9
2012-6-14,0.85,0.85,0.8,0.8499,17
2012-6-15,0.8499,0.85,0.8499,0.85,15
2012-6-18,0.85,0.85,0.85,0.85,27
2012-6-19,0.85,0.9,0.7578,0.7578,70
2012-6-21,0.825,0.825,0.825,0.825,6
2012-6-25,0.7704,0.7993,0.75,0.7993,103
2012-6-26,0.7999,0.8,0.72,0.72,432
2012-6-27,0.75,0.75,0.75,0.75,1
2012-6-28,0.8168,0.8168,0.79,0.79,39
2012-6-29,0.7999,0.8,0.7999,0.8,188
2012-7-2,0.8,0.8,0.8,0.8,11
2012-7-3,0.825,0.825,0.825,0.825,5
2012-7-4,0.825,0.825,0.825,0.825,3
2012-7-10,0.825,0.825,0.825,0.825,2
2012-7-11,0.825,0.85,0.7901,0.825,163
2012-7-12,0.84,0.84,0.84,0.84,2
2012-7-13,0.84,0.84,0.84,0.84,2
2012-7-16,0.825,0.825,0.825,0.825,1
2012-7-17,0.8201,0.85,0.8201,0.85,7
2012-7-23,0.9,0.9,0.8401,0.8999,5
2012-7-24,0.8999,0.8999,0.8433,0.88,8
2012-7-25,0.9,0.9,0.9,0.9,12
2012-7-26,0.8801,0.8801,0.8209,0.8209,11
2012-7-27,0.86,0.86,0.86,0.86,1
2012-7-30,0.9175,0.95,0.9175,0.94,9
2012-8-6,0.95,0.95,0.9399,0.94,9
2012-8-7,0.94,0.95,0.94,0.95,12
2012-8-8,0.95,0.95,0.95,0.95,3
2012-8-9,0.92,0.9201,0.9101,0.9201,3
2012-8-13,0.9238,0.94,0.88,0.94,28
2012-8-14,0.9499,0.9499,0.84,0.91,36
2012-8-17,0.8801,0.8801,0.88,0.88,51
2012-8-20,0.87,0.87,0.7575,0.7575,157
2012-8-21,0.85,0.9,0.85,0.9,41
2012-8-22,0.93,0.95,0.93,0.95,20
2012-8-23,0.95,0.95,0.95,0.95,21
2012-8-24,0.9302,0.9308,0.9204,0.9204,68
2012-8-29,0.88,0.88,0.8551,0.8551,6
2012-8-30,0.8801,0.8801,0.8801,0.8801,1
2012-9-4,0.8703,0.9495,0.8626,0.8626,43
2012-9-5,0.918,0.9441,0.918,0.9441,5
2012-9-6,0.9441,0.95,0.9441,0.95,58
2012-9-12,0.9288,0.9288,0.9288,0.9288,12
2012-9-13,0.9055,0.9055,0.858,0.9,21
2012-9-14,0.8573,0.95,0.8573,0.95,4
2012-9-18,0.95,0.95,0.95,0.95,6
2012-9-19,0.9101,0.9101,0.9,0.9,30
2012-9-20,0.9,0.9,0.9,0.9,83
