Date,Open,High,Low,Close,Volume
2008-5-22,2.195,2.195,2.092,2.107,15657
2008-5-23,2.121,2.175,2.113,2.139,29532
2008-5-26,2.158,2.169,2.129,2.143,34365
2008-5-27,2.145,2.151,2.095,2.12,29492
2008-5-28,2.115,2.141,2.092,2.107,16439
2008-5-29,2.1,2.124,2.093,2.104,10491
2008-5-30,2.105,2.149,2.1,2.115,12800
2008-6-2,2.116,2.155,2.1,2.131,27488
2008-6-3,2.113,2.185,2.113,2.177,47511
2008-6-4,2.187,2.199,2.141,2.15,52877
2008-6-5,2.152,2.166,2.113,2.115,78193
2008-6-6,2.134,2.139,2.032,2.06,55409
2008-6-7,2.044,2.048,1.971,1.98,17087
2008-6-9,1.98,2.079,1.95,2.061,12747
2008-6-10,2.062,2.106,2.06,2.07,13061
2008-6-11,2.08,2.08,2.05,2.061,4418
2008-6-16,2.07,2.08,2.015,2.027,12553
2008-6-17,2.03,2.061,2.012,2.036,20269
2008-6-18,2.077,2.077,2.015,2.028,21638
2008-6-19,2.03,2.035,2,2.012,21843
2008-6-20,2.013,2.027,1.975,1.993,51743
2008-6-23,1.98,2.021,1.967,2.012,33173
2008-6-24,2.05,2.05,1.973,1.99,25873
2008-6-25,2,2,1.977,1.985,13238
2008-6-26,1.997,1.997,1.86,1.88,33420
2008-6-27,1.86,1.868,1.811,1.851,23260
2008-6-30,1.852,1.87,1.785,1.838,27459
2008-7-1,1.834,1.87,1.781,1.791,34830
2008-7-2,1.81,1.816,1.771,1.779,22190
2008-7-3,1.78,1.78,1.72,1.74,25322
2008-7-4,1.745,1.758,1.638,1.652,61582
2008-7-7,1.65,1.738,1.63,1.708,101929
2008-7-8,1.707,1.707,1.595,1.599,113201
2008-7-9,1.624,1.646,1.59,1.608,99913
2008-7-10,1.6,1.61,1.581,1.592,81516
2008-7-11,1.6,1.625,1.52,1.533,137235
2008-7-14,1.534,1.58,1.517,1.551,81001
2008-7-15,1.551,1.551,1.507,1.514,27195
2008-7-16,1.521,1.531,1.47,1.487,41242
2008-7-17,1.5,1.526,1.45,1.462,198758
2008-7-18,1.462,1.48,1.455,1.459,38255
2008-7-21,1.483,1.483,1.453,1.464,34685
2008-7-22,1.47,1.47,1.45,1.454,25256
2008-7-23,1.462,1.474,1.401,1.413,99466
2008-7-24,1.41,1.439,1.34,1.407,101091
2008-7-25,1.39,1.45,1.311,1.429,118327
2008-7-28,1.39,1.489,1.39,1.418,106385
2008-7-29,1.363,1.41,1.363,1.4,79652
2008-7-30,1.4,1.497,1.4,1.486,113655
2008-7-31,1.499,1.576,1.467,1.52,189194
2008-8-1,1.5,1.58,1.5,1.552,114761
