Date,Open,High,Low,Close,Volume
2015-5-25,1000,1000,1000,1000,1
2015-5-28,1000,1000,1000,1000,1
2015-6-2,1000,1000,1000,1000,9000
2015-6-3,1000,1000,1000,1000,2
2015-6-25,1000,1000,1000,1000,1
2015-7-23,1000,1000,1000,1000,5
2015-8-21,1000,1000,1000,1000,1
2015-9-17,1000,1000,1000,1000,1
2015-11-19,1000,1000,600,620,6
2015-11-20,880,880,666,880,4
2015-11-23,1000,1000,1000,1000,1
2015-11-24,666,990,600,990,6
2015-12-1,766,1255,766,1255,2
2015-12-2,999,999,999,999,1
2015-12-3,1021,1150,1021,1150,3
2015-12-9,1200,1200,1200,1200,1
2015-12-10,1250,1250,1250,1250,1
2015-12-23,1250,1280,1250,1280,2
2015-12-24,1290,1300,1290,1300,2
2015-12-25,1320,1320,1320,1320,1
2015-12-28,1350,1350,1350,1350,1
2015-12-30,1400,1400,1400,1400,1
2016-1-5,1450,1450,1450,1450,1
2016-1-12,1500,1500,1500,1500,1
2016-1-14,1550,2090,1001,2090,12
2016-1-15,2399,2866,2399,2866,13
2016-1-18,3000,4005,3000,4005,18
2016-1-19,4200,5596,4200,5596,17
2016-1-20,7770,7770,7770,7770,3
2016-1-22,4802,7700,4660,7700,4
2016-2-2,6980,7300,5000,7300,6
2016-2-5,5370,5900,5370,5900,2
2016-2-8,7790,7790,7770,7770,2
2016-2-18,3900,4351,3900,4351,2
2016-2-19,4770,4770,4770,4770,1
2016-2-22,3250,3250,3250,3250,1
2016-2-25,3000,3000,3000,3000,1
2016-3-1,2800,2850,2800,2850,2
2016-3-3,2210,2210,2210,2210,1
2016-3-11,2255,2255,2255,2255,1
2016-3-21,3000,3497,3000,3497,6
2016-3-22,4600,4892,4600,4892,7
2016-3-23,5600,6844,5600,6844,7
2016-3-24,7870,9575,7870,9575,9
2016-3-25,11000,13355,11000,13355,4
2016-3-28,13400,13400,13400,13400,1
2016-3-29,12600,12600,12600,12600,1
2016-4-6,7251,7251,7251,7251,1
2016-4-7,5010,10176,5010,7000,5
2016-4-15,7000,7000,7000,7000,1
2016-4-19,6000,6000,6000,6000,1
2016-4-25,8000,8394,5200,8394,5
2016-4-26,9900,11500,9900,11500,2
2016-5-5,9200,9200,9200,9200,1
2016-5-10,10100,11500,7100,11500,3
2016-5-11,7500,7530,7500,7520,5
2016-5-12,8200,10200,8200,10200,2
2016-5-16,9700,9700,8880,8880,2
2016-5-23,6100,11500,6100,7880,4
2016-7-6,6100,10800,6100,10800,2
2016-7-21,9920,9920,6500,9900,5
2016-7-25,8200,8200,8200,8200,1
2016-8-3,8200,10000,8100,10000,4
2016-8-4,11000,11990,11000,11990,8
2016-8-5,11490,13500,11490,13500,2
2016-8-8,13500,14000,13500,14000,6
2016-8-11,13700,13700,13650,13650,2
2016-8-12,13610,13610,13600,13600,3
2016-9-28,8000,8000,8000,8000,1
2016-9-29,11540,11540,11540,11540,1
2016-11-22,14020,14800,7200,14800,3
2016-11-28,8450,14000,8450,14000,2
2016-12-5,7300,12500,7300,10200,8
2016-12-6,8110,9360,8110,9360,3
2016-12-7,9590,9590,9590,9590,1
2016-12-15,9600,9600,9600,9600,1
2016-12-19,6300,12600,6300,12600,2
2017-1-20,14210,14210,14210,14210,1
2017-1-24,8700,8700,8700,8700,1
2017-3-2,6500,12000,6500,12000,2
2017-3-21,6300,6720,6300,6720,3
2017-3-22,6000,6000,6000,6000,1
2017-3-24,6900,6900,6900,6900,1
2017-3-30,6050,9200,6050,8640,27
2017-4-18,6250,11250,6250,11250,2
2017-5-2,6350,10650,6350,10650,2
2017-5-5,6100,8950,6100,8950,6
2017-5-15,5650,7850,5650,7830,7
2017-5-26,6750,7850,6750,7240,3
2017-5-29,6360,8750,6360,7990,4
2017-5-30,6360,7950,6360,7950,2
2017-6-2,6360,8880,6360,8880,2
2017-6-5,5680,7770,5680,7190,4
2017-6-6,6270,8760,6270,7770,10
2017-7-10,5120,7380,5120,7230,5
2017-7-11,5260,6870,5260,6770,4
2017-7-12,5260,7770,5260,7770,2
2017-7-24,7770,8740,5250,7740,5
2017-8-7,5130,7990,5130,7560,4
2017-8-8,5260,7770,5260,7770,2
2017-8-14,5210,7960,5210,7940,4
2017-8-17,7990,8000,7990,8000,3
2017-8-29,6800,6800,6800,6800,1
2018-1-10,9510,9510,9510,9510,1
2018-4-20,4300,4300,4300,4300,1
2018-4-23,4500,4500,4500,4500,1
2018-8-27,4500,4500,4500,4500,1
