Date,Open,High,Low,Close,Volume
2012-1-4,1360,1360,1360,1360,1
2012-1-12,1200,1399,1200,1250,5
2012-1-13,1200,1200,1109,1109,80
2012-1-19,1200,1200,1200,1200,149
2012-1-23,1200,1375,1200,1375,4
2012-1-25,1180,1400,1180,1400,3
2012-2-2,1200,1200,1100,1150,56
2012-2-3,1120,1200,1100,1200,51
2012-2-6,1290,1290,1290,1290,1
2012-2-7,1200,1200,1200,1200,1
2012-2-9,1200,1210,1200,1210,110
2012-2-10,1150,1400,1103,1400,102
2012-2-17,1350,1350,1350,1350,1
2012-2-21,1400,1400,1300.1,1300.1,5
2012-2-22,1222,1499.7,1023.5,1293.5,70
2012-2-24,1200.1,1389,1121.9,1389,18
2012-2-29,1200.1,1300,1199.9,1300,12
2012-3-1,1480,1480,1350,1350,21
2012-3-2,1400,1400,1400,1400,1
2012-3-5,1250.3,1399.9,1165,1222,69
2012-3-11,1279.9,1279.9,1279.9,1279.9,1
2012-3-16,1300,1399.4,1150,1230,54
2012-3-20,1250,1250,1136.1,1136.1,11
2012-3-30,1240.8,1240.8,1240.8,1240.8,1
2012-4-3,1100.1,1100.1,1100,1100,3
2012-4-5,1220.4,1220.4,1026,1150.1,57
2012-4-9,1027.8,1130,1010,1130,101
2012-4-10,1030.8,1049.9,1016,1049.9,132
2012-4-11,1056.1,1056.1,1056,1056,19
2012-4-12,1015.1,1082,1015,1082,31
2012-4-13,1015,1190.9,1015,1026.2,37
2012-4-18,1015,1015,1015,1015,2
2012-4-19,1000,1064.9,1000,1010.5,10
2012-4-24,1020,1020,1020,1020,131
2012-4-26,1035.1,1035.1,1035,1035,2
2012-5-3,1019,1019,1019,1019,1
2012-5-4,950.1,950.1,950,950,90
2012-5-29,899.8,899.8,899.8,899.8,1
2012-5-31,870,870,870,870,1
2012-6-9,899.9,910,899.9,910,2
2012-6-13,958.5,958.5,958.5,958.5,1
2012-6-14,995.2,995.2,978.4,978.5,12
2012-6-15,996,996.8,900.9,989.9,24
2012-6-18,990,1019.1,990,1019.1,7
2012-6-19,1020,1022,1020,1022,2
2012-6-21,990.3,990.3,990.3,990.3,1
2012-6-26,1000,1000,999.9,999.9,51
2012-6-27,1045,1049,1045,1049,10
2012-6-28,1000,1000,905,905,224
2012-6-29,890,924.8,890,924.8,11
2012-7-2,952.5,952.5,947.5,947.5,11
2012-7-3,948.8,948.9,948.8,948.9,10
2012-7-5,920.4,920.4,920.4,920.4,1
2012-7-6,948.9,948.9,948.9,948.9,1
2012-7-19,920.4,981,920.4,981,3
2012-7-27,990,990,990,990,1
2012-8-2,1155,1155,1155,1155,1
2012-8-6,1205,1205,1205,1205,1
2012-8-7,1000,1221.2,972,972,56
2012-8-8,1150.9,1150.9,1150.9,1150.9,1
2012-8-9,1157.7,1157.7,1157.7,1157.7,1
2012-8-10,982.9,1097.7,980,990.7,46
2012-8-14,1000,1000,1000,1000,6
2012-8-17,1020,1020,1020,1020,1
2012-9-7,997.9,997.9,997.9,997.9,1
2012-9-14,1044,1049.9,970,1025,17
2012-9-24,999.9,999.9,999.9,999.9,1
2012-9-26,958.1,958.1,958,958,4
2012-10-10,951,951,951,951,2
2012-10-22,1019.9,1025.1,1019.9,1025.1,3
2012-10-23,979,989.9,907.1,907.1,22
2012-11-13,908.1,908.1,905,905,3
2012-11-22,899.9,900,899.9,900,9
2012-12-4,989.9,989.9,989.9,989.9,15
2012-12-7,859.5,860,858.1,858.2,18
2012-12-10,858,858,858,858,1
2012-12-12,707,707,655,655,29
2012-12-14,777.4,777.4,777.4,777.4,1
2012-12-17,785,790,785,790,2
2012-12-25,622.5,655,622.5,655,101
2012-12-26,680,739.2,650,739.2,6
2013-1-8,592.9,700,592.9,700,22
2013-1-15,612.7,650,612.7,650,52
2013-1-16,679.9,710,679.9,710,95
2013-1-17,710,850,710,730,35
2013-1-21,788.2,788.2,788.2,788.2,1
2013-1-22,689.1,749.9,689.1,749.9,40
2013-1-28,749.9,750,749.9,750,27
2013-1-29,840,840.1,749.9,750,48
2013-2-5,703.6,703.6,700,700,22
2013-2-6,692,692,691.5,691.5,11
2013-2-12,675,675,675,675,1
2013-2-14,699.9,945,699.9,945,393
2013-2-15,946,999,880,882,85
2013-2-18,998.9,998.9,892.3,892.3,2
2013-2-19,880.2,900,880,900,14
2013-2-20,900,900,888,900,25
2013-2-21,881.1,881.1,880,881,32
2013-2-22,881,910,881,881,38
2013-2-26,816,816,815,815,5
2013-2-27,1139.5,1139.5,1139.5,1139.5,1
2013-2-28,939.3,1089.6,928.9,928.9,11
2013-3-11,825,825,800,800,180
2013-3-12,898.2,998.5,802.3,802.3,6
2013-3-14,802,802,802,802,1
2013-3-19,812.1,812.1,760,760,118
2013-4-25,556.2,640,556.2,640,2
2013-5-2,550,550,550,550,1
2013-5-10,570,570,570,570,1
2013-5-23,560,560,560,560,1
2013-5-29,590,590,590,590,1
2013-6-20,560.1,560.1,560.1,560.1,1
2013-6-21,660.7,660.7,660.7,660.7,2
2013-7-4,600,600,600,600,1
2013-7-5,619.7,620,619.7,620,10
2013-7-8,560.4,560.4,519.9,519.9,20
2013-7-16,598,598.1,598,598.1,10
2013-7-17,525,525,522.4,525,638
2013-7-25,520.9,520.9,480,480,117
2013-8-5,355.1,449.9,355.1,449.9,17
2013-8-6,422.9,450,422.9,450,148
2013-8-13,500,500,500,500,10
2013-8-28,400.5,440,400.5,440,2
2013-8-30,425.1,425.1,425.1,425.1,4
2013-9-2,250.1,250.1,250.1,250.1,1
2013-9-3,405,405,400,400,2
2013-9-4,399.9,400,399.9,400,407
2013-9-5,400,400,400,400,37
2013-9-6,450,450,450,450,1
2013-9-10,480,493,480,493,800
2013-9-11,499,549.9,450,461.1,1452
2013-9-12,462,462,462,462,1
2013-9-19,411.9,450,411,450,4
2013-10-9,499.9,499.9,499.9,499.9,1
2013-10-11,500,518.8,499.9,518.8,764
2013-10-16,485,485,485,485,5
2013-10-18,500,500,500,500,115
2013-10-22,452,452,452,452,1
2013-10-23,404.7,508.8,404.7,500.8,300
2013-10-24,424.2,424.2,422,422,200
2013-10-31,422,518.7,422,429,1449
2013-11-5,410,410,410,410,1
2013-11-8,401,401,401,401,1
2013-11-21,405,405,405,405,17
2013-12-9,311.2,350,300.3,310,232
2013-12-10,299.9,409,290,320,180
2013-12-13,300,300.2,300,300,42
2013-12-17,300,300,299.9,300,36
2013-12-18,290.1,290.1,290.1,290.1,1
2013-12-19,305,305,305,305,2
2013-12-20,271.6,290,270,290,83
2013-12-24,270,274.3,270,274.3,2
2014-1-9,300,300,300,300,8
2014-1-10,333,333,329.9,330,18
2014-1-14,328,328,328,328,1
2014-1-22,320,320,320,320,1
2014-1-28,331.7,331.7,331.7,331.7,1
2014-2-3,206.8,206.8,206.8,206.8,1
2014-2-5,330,330,303,303,4
2014-2-6,330,340,330,340,20
2014-2-7,240.9,323.8,240.9,323.8,2
2014-2-10,328.9,328.9,318,318,2
2014-2-11,323.3,323.3,316,316,2
2014-2-12,321.3,321.3,316,316,3
2014-2-13,320.2,320.2,320.2,320.2,6
2014-2-14,321.3,339,321.3,323.8,5
2014-2-17,323.8,323.8,323.8,323.8,1
2014-3-7,337,340,337,340,5
2014-3-11,380,380,380,380,1
2014-3-19,380,380,380,380,1
2014-4-3,399,399,399,399,1
2014-4-24,300,300,300,300,4
2014-5-5,350,350,350,350,1
2014-5-14,250,250,243,243,130
2014-5-27,299.8,339.9,299.8,339.9,31
2014-6-2,251,251,249.7,249.7,2
2014-6-5,340,340,235,235,12
2014-6-11,235.6,285,218.6,218.8,102
2014-6-17,270,270,267.9,267.9,9
2014-6-27,258,258,257.6,257.6,8
2014-6-30,248,248,248,248,1
2014-7-1,248,328,248,286,123
2014-7-11,225.5,225.5,225.5,225.5,5
2014-7-17,292.6,292.6,292.6,292.6,1
2014-7-28,293,349.3,293,349.3,61
2014-7-29,419.1,419.1,300,419.1,55
2014-7-30,418,418,300,300,601
2014-8-4,380,419.1,300,300,28
2014-8-5,385,385,300,300,102
2014-8-6,385,385,385,385,1
2014-8-7,392.3,419.1,300,300,3
2014-8-11,285.7,285.7,231.1,231.1,26
2014-8-14,231.3,300,231.1,233.3,184
2014-8-19,250,250,250,250,4
2014-8-20,250,250,225.6,230.1,15
2014-8-26,222,222,222,222,1
2014-9-2,223,223.3,223,223.3,2
2014-9-3,264.9,264.9,264.9,264.9,6
2014-9-5,236,240,203.5,240,24
2014-9-10,275,275,269.9,269.9,32
2014-9-11,232.3,300,232.3,250,590
2014-9-12,250,300,250,300,474
2014-9-15,299,370,299,340,844
2014-9-16,320,474.1,320,401,259
2014-9-17,305,305,305,305,5
