Date,Open,High,Low,Close,Volume
2011-12-23,485.44,485.44,485.44,485.44,1
2011-12-26,600,600,600,600,1
2011-12-29,500.01,500.01,500.01,500.01,1
2011-12-30,600,600,600,600,1
2012-1-3,598.15,598.15,598.15,598.15,1
2012-1-4,590.01,590.01,590.01,590.01,11
2012-1-6,650,650,650,650,10
2012-1-12,900,900,900,900,1
2012-1-24,1000,1000,1000,1000,1
2012-2-8,900.01,900.01,900,900,3
2012-2-14,850.01,850.01,850.01,850.01,2
2012-2-15,900,900,900,900,1
2012-2-20,900,900,900,900,1
2012-2-21,750,900,730,750,44
2012-2-22,750,750,740,740,21
2012-2-24,750,750,750,750,10
2012-2-28,750,750,750,750,10
2012-2-29,750,750,750,750,10
2012-3-1,700.01,800,577,624,314
2012-3-2,565,605.02,550.01,605.02,9
2012-3-11,603,603,603,603,2
2012-3-16,650,650,650,650,1
2012-4-18,650,650,650,650,15
2012-5-17,640,640,640,640,18
2012-5-29,500,550,500,550,24
2012-8-6,350,350,350,350,1
2012-8-13,450,490,450,490,27
2012-8-14,470,470,470,470,1
2012-8-17,470,658,430,430,43
2012-8-21,550,550,550,550,1
2012-8-22,544.5,545,400,400,3
2012-9-10,559.99,560,411,560,5
2012-9-11,430,700,430,515,5
2012-9-12,410,650,410,515,16
2012-9-14,515,515,515,515,7
2012-9-17,425,710,425,550,5
2012-9-28,481,640,481,640,6
2012-10-1,749.99,749.99,500.05,500.05,2
2012-10-2,500.02,630,500.02,520.02,5
2012-10-4,405,620.02,405,620.02,3
2012-10-5,463,463,463,463,1
2012-10-8,410,410,410,410,1
2012-10-9,580,580,467.18,467.18,5
2012-10-10,433,699.95,433,699.9,6
2012-10-11,600,660,550,590,7
2012-10-12,749.9,749.9,749.9,749.9,1
2012-10-15,729.5,729.5,729.5,729.5,1
2012-10-17,520,730,520,730,6
2012-10-18,600,720,550,720,100
2012-10-19,651,900,651,900,95
2012-10-23,899.99,900,899.99,900,78
2012-10-24,850.01,850.01,850,850,3
2012-10-26,691,691,691,691,1
2012-10-29,700,800,700,800,5
2012-11-1,710,710,710,710,2
2012-11-13,700,700,700,700,6
2012-11-29,600,600,600,600,4
2012-12-3,615,615,615,615,5
2012-12-4,615,616,615,616,6
2012-12-5,616,616,616,616,2
2012-12-6,615.98,616,615.98,616,8
2012-12-10,670,670,670,670,1
2012-12-12,500,690,500,690,6
2012-12-19,605,745,605,745,8
2012-12-20,750,750,750,750,1
2013-1-9,550,840,550,840,4
2013-1-11,560,850,560,839.96,3
2013-1-16,680,700,610.02,610.02,7
2013-1-17,650,650,650,650,1
2013-1-23,590,693,590,693,4
2013-1-28,850,850,680,680,2
2013-1-29,560,845,560,700,8
2013-1-30,700,700,680,700,4
2013-2-4,670.01,670.01,670.01,670.01,2
2013-2-5,650.01,670,650.01,650.01,4
2013-2-6,600.1,600.1,600,600,2
2013-2-7,600.01,600.01,600,600,3
2013-2-8,602,700,600,600,15
2013-2-11,547,650,528,600,11
2013-2-12,620.64,620.64,600,600,3
2013-2-14,749.92,800,749.92,800,12
2013-2-15,799.99,799.99,615,775,9
2013-2-18,620,850,620,700,12
2013-2-19,620,620,620,620,1
2013-2-20,580,720,580,590,14
2013-2-21,601,644.99,601,602.13,7
2013-2-22,580,599.99,575,575,4
2013-2-28,542.5,620,541.5,620,10
2013-3-1,601,850,600,850,5
2013-3-4,600,600,560.1,560.25,5
2013-3-5,580,580,580,580,6
2013-3-11,600,600,600,600,1
2013-3-12,600,600,600,600,2
2013-3-13,600,600,600,600,2
2013-3-19,471,710,470,529.97,14
2013-3-20,598.99,598.99,531,570,5
2013-3-21,554,554,554,554,1
2013-3-25,512.5,684,511.5,684,8
2013-3-26,520.5,548.6,480,530,7
2013-3-27,525,540.01,510.53,540.01,3
2013-4-4,510,510,510,510,1
2013-4-19,520,520,520,520,12
2013-5-13,400,400,400,400,11
2013-6-6,400.01,400.01,400,400,12
2013-6-11,400,400,400,400,1
2013-7-15,306,400,306,400,2
2013-9-27,449.97,449.97,449.97,449.97,1
2013-10-7,280,419,280,418,37
2013-10-21,307,419,307,385.29,41
2013-10-25,310,386.98,310,380,30
2013-10-28,317,317,317,317,1
2013-11-18,384.99,384.99,384.99,384.99,1
2013-12-6,407,407,407,407,2
2013-12-12,300.1,311.28,300.1,311.28,12
2013-12-17,280,300,280,298.84,3
2013-12-18,265.18,265.18,260,260,2
2013-12-20,288.99,298.94,288.99,298.94,2
2013-12-26,289.99,289.99,289.99,289.99,2
2013-12-30,289.99,289.99,289.99,289.99,1
2014-2-12,300,300,300,300,1
2014-3-7,187.2,399.98,187.2,399.98,2
2014-5-6,398,399,398,399,3
2014-7-1,512,512,250,318,143
2014-7-2,320,340,320,340,2
2014-7-3,316,316,308,308,63
2014-7-4,306,308,306,306,4
2014-7-7,304,308,304,308,2
2014-7-11,300,300,300,300,2
2014-7-31,300,300,300,300,10
2014-8-5,300,300,300,300,1
2014-9-12,300,300,300,300,1
2014-9-15,255,255,250,250,2
2014-9-16,299,299,299,299,1
2014-9-18,255,275,217.15,275,11
2014-9-19,277,277,277,277,3
2014-9-30,300,300,300,300,1
2014-10-10,228,228,228,228,1
2014-10-23,271,271,271,271,1
2014-10-29,299,299,299,299,1
2014-11-11,235,235,235,235,44
2014-11-20,214,214,214,214,1
2014-11-21,298,301,255,255,4
2014-11-24,303,303,303,303,1
2014-11-25,303,303,303,303,1
2014-11-26,309,309,309,309,1
2014-12-3,309,370,309,340,10
2014-12-8,270,350,270,350,5
2015-1-9,303,303,303,303,1
2015-1-13,320,329,320,329,2
2015-1-14,303,305,303,305,2
2015-1-28,300,300,300,300,1
2015-1-29,405,405,300,400,3
2015-2-10,240,325,240,325,3
2015-2-27,349,419,300,399,22
2015-3-4,333,337,315,330,16
2015-3-5,379,391,278,391,14
2015-3-18,270,367,270,326,12
2015-3-30,310,320,310,320,2
2015-3-31,330,330,330,330,5
2015-4-1,330,330,330,330,2
2015-4-10,367,368,367,368,2
2015-4-17,299,299,298,298,15
2015-4-20,330,330,330,330,5
2015-4-21,298,335,298,335,11
2015-4-27,461,461,347,347,3
2015-5-21,346,346,346,346,1
2015-5-27,275,325,275,325,92
2015-6-5,329,329,329,329,1
2015-6-9,330,330,330,330,1
2015-6-25,325,325,325,325,1
2015-7-20,264,298,261,298,11
2015-7-22,278,278,278,278,1
2015-7-23,290,330,288,288,5
2015-7-24,329,329,329,329,1
2015-7-31,291,291,290,290,8
2015-8-3,285,285,285,285,1
2015-8-11,325,325,325,325,2
2015-8-12,325,325,325,325,1
2015-8-25,319,319,319,319,1
2015-8-27,310,310,310,310,13
2015-9-3,290,310,280,310,6
2015-9-4,271,292,271,292,3
2015-9-8,290,290,290,290,8
2015-9-10,290,290,290,290,22
2015-9-14,299,300,299,299,144
2015-9-15,300,300,300,300,1
2015-9-16,299,299,299,299,1
2015-9-18,250,298,250,272,5
2015-9-21,280,280,259,259,20
2015-9-22,260,260,245,250,58
2015-9-23,244,245,231,231,26
2015-9-24,270,270,265,265,2
2015-9-25,269,270,269,270,5
2015-9-28,250,250,241,241,2
2015-9-30,250,250,250,250,1
2015-10-2,240,240,240,240,1
2015-10-6,260,260,250,250,2
2015-10-7,263,263,263,263,1
2015-10-12,234,260,234,260,3
2015-10-14,236,266,231,264,10
2015-10-23,261,261,261,261,2
2015-10-26,250,267,250,267,2
2015-10-27,260,260,260,260,1
2015-10-29,242,242,242,242,1
2015-10-30,258,258,258,258,1
2015-11-6,260,260,260,260,3
2015-11-9,260,260,260,260,1
2015-11-10,260,260,260,260,1
2015-11-19,260,260,260,260,6
2015-11-23,260,330,245,245,44
2015-11-24,256,256,256,256,1
2015-11-25,275,280,275,280,3
2015-11-26,289,290,289,289,7
2015-11-27,287,290,287,290,4
2015-11-30,290,290,273,273,16
2015-12-1,256,261,256,261,2
2015-12-2,278,288,278,288,2
2015-12-3,273,350,250,288,20
2015-12-4,289,290,289,290,2
2015-12-7,290,290,281,290,22
2015-12-9,281,281,281,281,1
2015-12-10,285,285,285,285,1
2015-12-11,281,281,281,281,1
2015-12-15,286,286,286,286,1
2015-12-16,290,290,290,290,4
2015-12-17,290,290,290,290,2
2015-12-18,282,282,282,282,1
2015-12-23,289,289,289,289,1
2015-12-24,293,293,291,291,3
2015-12-25,280,280,279,280,32
2016-1-4,290,290,290,290,1
2016-1-11,290,290,275,280,7
2016-1-12,275,275,275,275,1
2016-1-13,290,290,290,290,1
2016-1-18,285,285,285,285,1
2016-1-20,299,299,299,299,1
2016-1-25,277,277,277,277,1
2016-1-27,288,293,283,283,3
2016-1-28,283,283,283,283,1
2016-2-1,288,392,288,392,63
2016-2-2,394,422,310,321,174
2016-2-3,327,350,300,316,47
2016-2-4,323,324,297,304,10
2016-2-5,324,362,317,333,47
2016-2-8,348,465,346,465,888
2016-2-9,468,547,397,422,212
2016-2-10,428,429,360,383,151
2016-2-11,384,460,377,450,475
2016-2-12,418,479,406,448,99
2016-2-15,469,491,401,491,80
2016-2-16,488,540,462,540,44
2016-2-17,535,539,500,539,31
2016-2-18,548,747,541,743,502
2016-2-19,750,1034,610,610,1330
2016-2-20,603,670,594,616,294
2016-2-22,600,613,519,575,79
2016-2-24,580,704,575,608,295
2016-2-25,619,636,552,622,94
2016-2-26,601,625,515,570,120
2016-2-29,579,610,534,540,80
2016-3-1,549,575,538,560,45
2016-3-2,560,560,530,530,10
2016-3-3,530,530,502,510,43
2016-3-4,486,514,486,506,8
2016-3-7,503,524,454,494,9
2016-3-9,493,504,471,477,14
2016-3-10,474,474,401,440,290
2016-3-11,422,439,382,430,133
2016-3-14,420,422,400,413,80
2016-3-15,409,409,388,395,35
2016-3-16,400,546,344,390,77
2016-3-17,381,381,355,374,20
2016-3-18,360,430,360,403,46
2016-3-21,398,398,376,387,10
2016-3-22,383,428,370,391,40
2016-3-23,390,398,361,376,28
2016-3-24,385,394,383,394,12
2016-3-25,398,425,398,425,28
2016-3-28,412,424,406,406,7
2016-3-29,405,405,400,400,4
2016-3-30,384,394,377,381,19
2016-3-31,407,407,407,407,1
2016-4-4,392,392,392,392,1
2016-4-5,400,400,400,400,15
2016-4-8,398,398,398,398,1
2016-4-11,395,395,389,394,4
2016-4-12,389,390,389,390,2
2016-4-14,387,409,330,403,12
2016-4-18,410,453,390,450,44
2016-4-19,440,479,427,453,38
2016-4-20,459,459,436,444,35
2016-4-21,458,525,453,495,61
2016-4-22,514,543,488,493,20
2016-4-25,476,478,450,478,9
2016-4-26,461,461,446,446,3
2016-4-27,446,525,445,525,19
2016-4-28,511,533,510,512,35
2016-4-29,480,480,480,480,1
2016-5-4,460,514,444,485,16
2016-5-5,471,471,470,470,2
2016-5-10,477,494,477,487,5
2016-5-11,451,458,451,458,3
2016-5-12,453,494,452,478,16
2016-5-13,462,538,411,532,21
2016-5-16,497,497,450,450,41
2016-5-17,441,441,439,440,4
2016-5-18,434,434,422,422,15
2016-5-19,426,448,426,427,14
2016-5-20,420,420,397,410,15
2016-5-25,400,408,382,408,26
2016-5-26,410,410,402,402,2
2016-5-27,400,400,382,382,22
2016-5-31,409,550,409,547,296
2016-6-1,570,570,460,475,80
2016-6-2,449,460,432,432,10
2016-6-3,454,476,452,452,8
2016-6-6,440,440,418,430,10
2016-6-7,435,435,425,434,9
2016-6-8,430,447,430,447,3
2016-6-15,412,428,402,402,20
2016-6-16,406,414,405,414,5
2016-6-17,406,410,392,400,48
2016-6-20,400,454,400,435,40
2016-6-21,432,432,400,400,5
2016-6-22,419,424,410,418,17
2016-6-23,439,442,423,423,3
2016-6-24,415,424,398,424,6
2016-6-27,413,444,413,430,9
2016-6-28,437,438,435,435,4
2016-6-29,443,445,427,427,6
2016-6-30,410,412,377,393,89
2016-7-1,381,398,381,395,27
2016-7-4,394,394,394,394,10
2016-7-5,401,401,395,395,7
2016-7-6,385,385,370,370,12
2016-7-7,379,379,379,379,1
2016-7-8,388,389,388,389,2
2016-7-11,374,388,350,365,11
2016-7-12,377,378,367,367,6
2016-7-14,361,361,335,357,40
2016-7-18,348,355,340,344,50
2016-7-19,352,354,349,354,4
2016-7-20,347,347,346,346,6
2016-7-21,340,376,340,376,21
2016-7-22,366,366,355,355,5
2016-7-25,373,374,367,368,8
2016-7-26,365,365,365,365,5
2016-7-27,373,380,371,380,5
2016-7-28,384,384,374,378,13
2016-8-1,384,384,370,370,4
2016-8-2,357,357,357,357,1
2016-8-3,364,364,357,364,3
2016-8-4,360,378,360,378,3
2016-8-5,372,372,360,368,5
2016-8-8,365,368,362,368,3
2016-8-10,371,384,370,382,7
2016-8-11,377,377,357,364,3
2016-8-12,383,440,383,386,118
2016-8-15,380,399,380,399,3
2016-8-16,390,414,390,407,4
2016-8-17,401,412,381,389,9
2016-8-18,389,389,387,388,25
2016-8-19,401,401,401,401,1
2016-8-24,404,404,398,398,2
2016-8-25,398,398,360,376,78
2016-8-26,384,421,384,411,61
2016-8-29,418,455,408,427,184
2016-8-30,427,449,427,448,19
2016-8-31,464,480,435,444,35
2016-9-1,437,455,437,445,63
2016-9-2,463,479,457,479,26
2016-9-5,489,489,464,465,6
2016-9-6,474,500,474,499,55
2016-9-7,500,530,500,510,46
2016-9-8,508,514,506,508,15
2016-9-9,506,506,500,500,6
2016-9-12,477,477,477,477,9
2016-9-13,476,476,454,464,10
2016-9-14,457,457,445,447,21
2016-9-15,463,463,457,462,7
2016-9-16,463,499,463,499,21
2016-9-19,500,500,490,490,11
2016-9-21,476,476,426,470,35
2016-9-22,477,487,477,487,5
2016-9-23,480,480,474,474,3
2016-9-26,465,488,443,480,11
2016-9-27,464,470,464,470,2
2016-9-29,482,482,467,467,2
2016-9-30,474,475,474,475,8
2016-10-3,466,488,466,486,5
2016-10-4,467,467,467,467,1
2016-10-5,472,474,472,474,3
2016-10-6,469,469,452,452,4
2016-10-7,456,456,456,456,2
2016-10-10,455,455,455,455,1
2016-10-12,455,455,446,446,13
2016-10-13,445,445,443,443,2
2016-10-17,454,454,445,454,3
2016-10-18,464,464,453,453,4
2016-10-19,464,465,460,465,21
2016-10-21,452,520,452,500,50
2016-10-24,509,510,482,485,82
2016-10-25,498,498,489,495,3
2016-10-26,490,494,461,494,10
2016-10-27,510,510,510,510,1
2016-10-28,519,547,500,511,68
2016-10-31,519,523,493,505,8
2016-11-1,495,504,495,504,2
2016-11-3,497,497,497,497,1
2016-11-9,483,483,483,483,1
2016-11-10,494,494,494,494,1
2016-11-11,499,499,497,497,2
2016-11-14,499,499,499,499,2
2016-11-16,514,583,514,550,7
2016-11-17,543,543,543,543,4
2016-11-18,516,516,512,512,2
2016-11-23,501,501,500,500,4
2016-11-24,487,490,486,486,16
2016-11-25,480,480,479,479,2
2016-11-28,460,496,460,468,8
2016-12-1,472,472,472,472,1
2016-12-2,461,461,461,461,1
2016-12-5,469,469,469,469,1
2016-12-9,468,494,425,458,170
2016-12-12,450,464,381,457,38
2016-12-13,456,456,419,430,15
2016-12-14,468,469,457,469,3
2016-12-15,465,475,465,475,8
2016-12-20,484,484,484,484,1
2016-12-22,493,494,493,494,13
2016-12-27,493,493,493,493,1
2016-12-30,446,495,444,495,6
2017-1-4,491,491,490,490,2
2017-1-11,445,445,445,445,1
2017-1-25,499,499,474,474,10
2017-1-26,445,489,444,489,4
2017-1-27,444,523,444,523,19
2017-1-30,527,527,510,510,2
2017-1-31,510,530,510,530,49
2017-2-1,535,600,490,593,67
2017-2-2,561,578,561,578,2
2017-2-7,605,605,580,580,8
2017-2-8,555,585,555,565,13
2017-2-9,587,588,587,588,5
2017-2-10,598,618,598,618,8
2017-2-13,629,629,558,558,6
2017-2-14,544,544,541,541,2
2017-2-15,542,542,495,536,11
2017-2-16,555,555,555,555,1
2017-2-22,565,566,565,565,6
2017-2-24,560,560,560,560,3
2017-2-27,545,545,545,545,5
2017-2-28,540,540,515,515,6
2017-3-2,515,515,505,505,3
2017-3-3,511,530,511,530,34
2017-3-6,550,642,550,642,21
2017-3-7,600,613,600,608,4
2017-3-9,551,560,551,558,17
2017-3-10,505,505,501,501,4
2017-3-14,597,597,597,597,4
2017-3-17,550,599,547,599,6
2017-3-20,613,614,613,614,3
