Date,Open,High,Low,Close,Volume
2006-8-14,1479,1498,1471,1474,51655660821
2006-8-15,1475,1477,1435,1476,62467335772
2006-8-16,1476,1495,1463,1487,61911813930
2006-8-17,1487,1491,1464,1466,45420008856
2006-8-18,1466,1468,1395,1404,67461454714
2006-8-21,1405,1436,1403,1430,43758929139
2006-8-22,1431,1457,1430,1456,38106090201
2006-8-23,1456,1468,1438,1456,45155543001
2006-8-24,1456,1456,1437,1440,37697156304
2006-8-25,1440,1461,1440,1456,31564703938
2006-8-28,1456,1456,1445,1450,18578280923
2006-8-29,1450,1475,1441,1450,50242946086
2006-8-30,1450,1466,1450,1459,32354457107
2006-8-31,1459,1474,1443,1448,45873889003
2006-9-1,1448,1453,1431,1434,34073883663
2006-9-4,1434,1453,1431,1451,26417151058
2006-9-5,1451,1482,1442,1481,49838389715
2006-9-6,1481,1481,1443,1446,50171532818
2006-9-7,1446,1446,1395,1402,49509149783
2006-9-8,1402,1413,1395,1405,31967875071
2006-9-11,1405,1405,1343,1349,39280048043
2006-9-12,1349,1371,1348,1371,46169508689
2006-9-13,1371,1396,1356,1384,51856660615
2006-9-14,1384,1412,1379,1381,42465447587
2006-9-15,1379,1396,1364,1369,38641439488
2006-9-18,1369,1390,1367,1384,24480078933
2006-9-19,1384,1399,1384,1396,24761979722
2006-9-20,1396,1396,1355,1369,28516889900
2006-9-21,1368,1376,1338,1347,37454549612
2006-9-22,1347,1357,1299,1300,48729125880
2006-9-25,1300,1300,1253,1255,42913931593
2006-9-26,1255,1305,1255,1305,39968261613
2006-9-27,1305,1343,1305,1333,52800740454
2006-9-28,1333,1372,1333,1368,48863218658
2006-9-29,1368,1379,1351,1367,39967281897
2006-10-2,1367,1384,1358,1369,30736193266
2006-10-3,1368,1369,1330,1334,28930578220
2006-10-4,1334,1345,1304,1338,46468248250
2006-10-5,1338,1396,1338,1385,53100073033
2006-10-6,1385,1390,1363,1374,38378201565
2006-10-9,1374,1412,1367,1412,37834649880
2006-10-10,1412,1421,1394,1409,49682956913
2006-10-11,1409,1418,1387,1417,44468298766
