Date,Open,High,Low,Close,Volume
2006-8-4,14.927,15.087,14.801,14.93,3586
2006-8-7,15.054,15.054,14.41,14.9,869
2006-8-8,15,15.13,14.72,14.959,22536
2006-8-9,14.976,15.2,14.801,15.132,11548
2006-8-10,15.13,15.222,15.002,15.1,3330
2006-8-11,15.3,15.8,15.221,15.799,9246
2006-8-14,15.85,16.237,15.701,15.701,3034
2006-8-15,15.699,15.998,15.304,15.998,3511
2006-8-16,15.798,16.002,15.2,16,8207
2006-8-17,15.415,15.95,15.4,15.81,6286
2006-8-18,15.94,15.94,15.25,15.47,3617
2006-8-21,15.301,15.58,15.1,15.5,844
2006-8-22,15.489,15.8,15.489,15.79,587
2006-8-23,15.61,15.794,15.51,15.77,1703
2006-8-24,15.7,15.7,15.575,15.581,4400
2006-8-25,15.5,15.85,15.5,15.76,6477
2006-8-28,15.895,15.895,15.562,15.601,26103
2006-8-29,15.694,15.777,15.301,15.48,7313
2006-8-30,15.699,15.799,15.663,15.799,4290
2006-8-31,15.8,16,15.589,15.7,12829
2006-9-1,15.847,15.883,15.64,15.797,1354
2006-9-4,15.605,15.849,15.565,15.849,2158
2006-9-5,15.701,16.49,15.701,16.49,7713
2006-9-6,16.49,16.49,16.06,16.064,1635
2006-9-7,16,16,15.752,15.752,1013
2006-9-8,15.572,15.88,15.572,15.88,269
2006-9-11,15.88,15.88,15.303,15.55,4204
2006-9-12,15.65,15.69,15.15,15.5,9816
2006-9-13,15.6,15.727,15.02,15.55,12261
2006-9-14,15.55,15.7,15.455,15.5,939
2006-9-15,15.696,15.696,15.421,15.49,993
2006-9-18,15.5,15.7,15.45,15.55,2510
2006-9-19,15.45,15.649,15.45,15.55,1067
2006-9-20,15.31,15.55,15.2,15.549,724
2006-9-21,15.4,15.4,15.21,15.211,451
2006-9-22,15.101,15.299,14.75,15.147,1173
2006-9-25,15.199,15.199,14.1,14.1,6491
2006-9-26,14.25,15,14.25,14.6,5021
2006-9-27,14.75,14.99,14.41,14.449,33580
2006-9-28,14.58,14.697,14.5,14.596,6132
2006-9-29,14.452,14.844,14.32,14.5,3303
2006-10-2,14.749,14.84,14.407,14.645,1322
2006-10-3,14.65,14.65,14.3,14.5,5209
2006-10-4,14.5,14.5,14.1,14.44,1846
2006-10-5,14.5,14.789,14.4,14.6,5663
2006-10-6,14.112,14.75,14.112,14.63,1970
2006-10-9,14.212,14.85,14.212,14.507,5815
2006-10-10,14.52,14.82,14.52,14.6,755
2006-10-11,14.6,14.737,14.2,14.4,3602
2006-10-12,14.5,14.5,14.161,14.299,2536
2006-10-13,14.55,14.6,14.3,14.54,5338
2006-10-16,14.6,14.7,14.5,14.61,4253
2006-10-17,14.61,14.74,14.6,14.6,2248
2006-10-18,14.6,14.69,14.411,14.501,549
2006-10-19,14.64,14.64,14.44,14.6,1738
2006-10-20,14.7,14.7,14.3,14.35,7491
2006-10-23,14.39,14.45,14.162,14.349,1087
2006-10-24,14.105,15.5,13.7,14.839,38156
2006-10-25,14.9,14.939,14.701,14.9,3765
2006-10-26,14.9,15.08,14.8,15,11101
2006-10-27,15,15.66,15,15.514,21419
2006-10-30,15.64,15.68,15.125,15.125,8068
2006-10-31,15.26,15.4,15.2,15.4,3499
2006-11-1,15.539,15.54,15.155,15.395,9153
2006-11-2,15.224,15.32,15.074,15.24,11474
2006-11-3,15.079,15.498,15.079,15.498,1839
2006-11-7,15.63,16.1,15.392,15.911,17400
2006-11-8,15.67,16.22,15.611,16.16,7335
2006-11-9,16.19,16.4,16.01,16.1,5779
2006-11-10,16.116,16.199,15.992,16.1,5247
2006-11-13,16,16.25,16,16.038,8907
2006-11-14,16.15,16.24,15.95,16.151,10743
2006-11-15,16.2,16.3,16.062,16.062,3444
2006-11-16,16.136,16.25,16.02,16.248,8614
2006-11-17,16.225,16.225,15.965,16.099,3528
2006-11-20,16,16.689,16,16.501,16783
2006-11-21,16.508,16.97,16.508,16.62,11380
2006-11-22,16.5,16.65,16.4,16.5,4372
2006-11-23,16.495,16.87,16.345,16.72,10474
2006-11-24,16.72,17.6,16.6,17.326,15531
2006-11-27,17.31,17.59,17.021,17.45,6396
2006-11-28,17.45,18.397,17.207,18.39,25099
2006-11-29,18.883,18.9,18.34,18.551,12547
2006-11-30,19.1,19.1,18.4,18.502,8471
2006-12-1,18.55,19.285,18.403,19.134,8592
2006-12-4,19.067,19.49,19,19.3,23416
2006-12-5,19.12,19.95,19.1,19.206,19736
2006-12-6,19.4,19.4,16.7,19.1,17488
2006-12-7,19.1,19.5,19.062,19.234,10508
2006-12-8,19.234,19.234,18.683,19.1,9769
2006-12-11,19.14,19.201,18.555,19.099,7027
2006-12-12,19.1,19.48,19.09,19.16,7976
2006-12-13,19.13,19.58,18.925,19.58,10637
2006-12-14,19.595,19.87,19.3,19.844,6211
2006-12-15,19.935,20.75,19.844,20.5,23025
2006-12-18,20.598,20.71,20.116,20.398,5238
2006-12-19,20.398,20.398,19.702,19.9,19205
2006-12-20,19.993,20.2,19.82,20.19,3590
2006-12-21,20.19,20.3,19.8,20.147,9503
2006-12-22,19.976,20.3,19.73,20.15,15878
2006-12-25,20.013,20.18,19.65,20.05,11751
2006-12-26,20.08,21,20,20.1,11272
2006-12-27,20,20.5,19.81,20.36,9930
2006-12-28,20.479,20.899,20.261,20.85,9251
2006-12-29,20.99,21.28,20.81,21.12,26040
2007-1-9,20.51,21,19.801,20.249,10660
2007-1-10,20,20.299,19.67,20.15,8598
2007-1-11,19.9,20.329,19.76,20.18,3734
2007-1-12,20,20.198,20,20.12,4376
2007-1-15,20.055,20.6,20,20.2,5060
2007-1-16,20.2,20.7,20.1,20.299,15463
2007-1-17,20.2,20.438,20.031,20.346,6812
2007-1-18,20.438,20.893,20.18,20.425,18558
2007-1-19,20.6,20.98,20.259,20.76,9874
2007-1-22,20.8,21.999,20.685,21.9,12416
2007-1-23,22,22.19,21.4,22,21301
2007-1-24,22.199,22.499,21.61,21.895,16760
2007-1-25,22,22.4,21.15,22.4,28991
2007-1-26,22.16,22.16,21.65,21.997,4291
2007-1-29,22.392,22.392,21.6,21.879,6238
2007-1-30,21.89,22.38,21.51,22.1,12870
2007-1-31,22.1,22.599,22.1,22.3,13156
2007-2-1,22.45,22.587,22.3,22.587,6501
2007-2-2,22.544,22.95,22.45,22.89,16259
2007-2-5,22.9,24.885,22.9,24.601,15548
2007-2-6,24.401,25.199,24.1,24.992,18116
2007-2-7,25,25.48,24.62,25.45,7315
2007-2-8,25.4,25.4,24.8,25.067,8320
2007-2-9,25.016,25.75,25.016,25.7,17854
2007-2-12,25.825,30.024,25.217,25.561,13330
2007-2-13,25.65,25.7,24.502,25.58,12183
2007-2-14,25.7,25.995,25.041,25.75,7015
2007-2-15,25.501,26,25.501,25.6,7849
2007-2-16,25.57,26.2,25.57,25.891,5333
2007-2-19,26.297,26.299,25.763,25.963,9904
2007-2-20,26.24,26.29,25.911,26.098,5133
2007-2-21,26.098,28.88,26,28.075,28565
2007-2-22,28.3,30.84,28.3,30.2,133075
2007-2-26,30.501,30.59,29.75,29.817,9272
2007-2-27,30,30.2,27.81,28.387,35375
2007-2-28,27.79,28.49,27,28.028,17179
2007-3-1,28.2,28.3,26.001,27.49,31572
2007-3-2,27,27.611,26,26.992,21244
2007-3-5,26.3,26.39,24.501,25.61,18849
2007-3-6,25.83,26.889,25.83,26.287,10061
2007-3-7,27.343,27.343,25.423,26.1,9063
2007-3-9,26.493,27.18,26.2,26.874,18513
2007-3-12,27.011,28.8,27.01,28.11,39486
2007-3-13,28.15,28.57,27.527,28.142,11573
2007-3-14,27.525,27.525,25.4,26.999,11334
2007-3-15,27.509,27.9,27.167,27.8,4698
