Date,Open,High,Low,Close,Volume
2006-6-26,24.021,24.66,24,24.4,2256
2006-6-27,24.151,24.899,24.151,24.889,2400
2006-6-28,24.98,25.1,24.07,24.7,3991
2006-6-29,24.9,25.98,24.501,25.498,2860
2006-6-30,26.387,26.387,25.202,26,12163
2006-7-3,26,26.5,25.961,26.4,8995
2006-7-4,26.031,26.445,25.71,26.245,8519
2006-7-5,26.3,26.3,25.312,25.5,4967
2006-7-6,25.49,25.998,25.301,25.998,2420
2006-7-7,25.951,26.301,25.8,26.301,6111
2006-7-10,26,26.399,26,26.399,1642
2006-7-11,26.622,26.879,26.061,26.495,2524
2006-7-12,26.4,26.4,25.722,26.2,2294
2006-7-13,26.2,26.2,24.76,24.93,3070
2006-7-14,24.495,25,24.255,25,3035
2006-7-17,25.2,25.56,25.001,25.349,1138
2006-7-18,25.301,26.79,24.9,26.78,6494
2006-7-19,26.9,27.2,26.1,27.09,3321
2006-7-20,27.29,27.4,26.61,27.001,5471
2006-7-21,26.789,27,26.551,26.551,760
2006-7-24,26.89,27.285,26.685,27.199,4348
2006-7-25,27.3,27.5,27,27.499,7908
2006-7-26,27.505,27.751,27.121,27.75,10158
2006-7-27,27.7,28.8,27.7,28.55,16883
2006-7-28,28.502,28.9,28.101,28.6,4362
2006-7-31,28.89,28.9,28.35,28.45,10082
2006-8-1,28.3,28.449,27.594,27.7,3485
2006-8-2,27.739,27.95,27.3,27.84,1524
2006-8-3,27.803,28.14,27.8,28.1,3407
2006-8-4,28.2,28.76,28.101,28.76,8385
2006-8-7,28.67,28.7,27.89,28.65,8963
2006-8-8,28.401,28.7,28.4,28.65,5357
2006-8-9,28.5,28.94,28.5,28.82,6243
2006-8-10,28.8,29.37,28.75,29.23,10586
2006-8-11,29.25,29.37,29,29.37,4004
2006-8-14,29.35,29.38,29.02,29.38,8392
2006-8-15,29.36,29.8,28.52,29.8,20410
2006-8-16,29.8,29.86,28.002,29.86,6039
2006-8-17,29.502,29.85,29.151,29.599,4548
2006-8-18,29.599,29.89,29.15,29.447,11954
2006-8-21,29.5,30.88,29.259,30.82,28047
2006-8-22,30.89,31.1,30.43,30.649,13271
2006-8-23,30.6,31.001,29.5,30.82,5882
2006-8-24,30.7,31.2,30.5,30.736,12414
2006-8-25,30.6,30.977,30.55,30.977,2554
2006-8-28,30.977,30.977,30.6,30.708,1621
2006-8-29,31,31.065,30.71,31,5772
2006-8-30,31.07,31.22,30.712,31.03,25692
2006-8-31,31.029,31.15,30.9,31.1,12720
2006-9-1,31.1,31.31,30.901,31.189,6883
2006-9-4,31.2,31.2,30.884,31.1,9994
2006-9-5,31.07,31.48,30.9,31.48,5894
2006-9-6,31.2,31.245,30.5,30.801,12964
2006-9-7,29.806,30.99,29.806,30.4,10454
2006-9-8,30.48,30.699,30.251,30.62,7545
2006-9-11,30.4,30.7,30.012,30.232,2729
2006-9-12,30.369,30.545,30.2,30.5,1225
2006-9-13,30.5,31.5,30.4,31.42,9619
2006-9-14,31.5,31.719,31.154,31.699,5319
2006-9-15,31.605,31.605,31.15,31.2,3062
2006-9-18,31.21,31.6,29,31.55,16808
2006-9-19,31.5,31.74,31.3,31.4,5564
2006-9-20,30.6,31.26,30.6,30.995,2623
2006-9-21,31.337,31.337,30.66,30.957,2017
2006-9-22,30.499,31.199,30.4,30.526,3755
2006-9-25,30.36,30.36,29.601,29.775,3216
2006-9-26,29.602,30.448,29,29.835,2265
2006-9-27,30.16,30.4,30,30.3,5500
2006-9-28,30.995,31.277,30.32,31.277,7282
2006-9-29,31.106,32.789,30.815,32.75,15722
2006-10-2,32.7,33.33,32.155,33,7804
2006-10-3,32.01,32.848,31.1,32.4,2944
2006-10-4,32.5,33.28,32.4,32.4,7939
2006-10-5,32.175,33,32.04,32.27,3053
2006-10-6,32.299,32.58,31.603,31.7,3199
2006-10-9,31.5,32.384,31.402,32.14,1926
2006-10-10,32.17,32.17,31.5,32.13,5634
2006-10-11,31.907,32.45,31.802,32.4,9567
2006-10-12,32.35,32.499,31.999,32.2,1412
2006-10-13,32.4,32.7,32.226,32.6,2323
2006-10-16,32.421,32.698,32.3,32.6,4920
2006-10-17,32.699,32.719,32.552,32.6,6471
2006-10-18,32.55,32.7,32.3,32.501,3759
2006-10-19,32.383,32.5,31.9,32.5,6614
2006-10-20,32.501,32.6,32.2,32.5,920
2006-10-23,32.399,32.41,32.2,32.41,1043
2006-10-24,32.585,32.585,32,32.299,2981
2006-10-25,32.489,32.489,31.599,32.299,2889
2006-10-26,32.2,32.3,32.022,32.27,1900
2006-10-27,32.001,32.24,31.72,31.73,2017
2006-10-30,32,32,30.55,30.727,4168
2006-10-31,30.553,31.18,30.553,31.093,2180
2006-11-1,31,31.4,30.8,31.101,4663
2006-11-2,31.004,31.1,30.8,30.9,1283
2006-11-3,30.999,31.59,30.999,31.26,3566
2006-11-7,31.308,31.949,30.9,31.34,5495
2006-11-8,30.935,31.249,30.9,31.004,2481
2006-11-9,31.25,31.989,31.09,31.25,3546
2006-11-10,29,29.98,28.105,28.692,47868
2006-11-13,28.62,28.62,28.081,28.3,9860
2006-11-14,28.2,28.4,28,28,7154
2006-11-15,28.01,28.1,27.5,27.51,14531
2006-11-16,27.8,27.8,26.98,27.12,13286
2006-11-17,26.972,27.089,26.71,26.935,5305
2006-11-20,27.049,27.689,26.9,27.299,3691
2006-11-21,27.35,27.35,26.581,26.677,9946
2006-11-22,26.55,26.699,26.33,26.5,7787
2006-11-23,26.45,26.9,26.447,26.9,4291
2006-11-24,26.972,27.08,26.751,27,4164
2006-11-27,27.232,27.232,26.801,26.87,4080
2006-11-28,26.779,26.8,26.481,26.563,8243
2006-11-29,26.45,27,26.45,26.66,3332
2006-11-30,26.765,26.95,26.45,26.68,6325
2006-12-1,26.6,26.738,26.35,26.612,3075
2006-12-4,26.6,26.891,26.5,26.6,3023
2006-12-5,26.52,26.89,26.52,26.8,9601
2006-12-6,26.945,26.945,26.6,26.75,3455
2006-12-7,27.45,27.45,26.616,26.7,12464
2006-12-8,27.625,27.625,26.61,26.678,4097
2006-12-11,26.73,26.731,26.535,26.535,4112
2006-12-12,26.502,26.65,26.43,26.57,1826
2006-12-13,26.501,26.628,26.1,26.29,6500
2006-12-14,26.153,26.268,25.9,26.161,3149
2006-12-15,27.475,27.475,26.01,26.269,6039
2006-12-18,24.928,26.22,24.928,25.9,3007
2006-12-19,25.998,26.45,25.801,26.4,8082
2006-12-20,26.525,26.8,26.49,26.638,5165
2006-12-21,26.954,26.954,26.2,26.6,1831
2006-12-22,27.15,27.15,26.304,26.398,3408
2006-12-25,26.4,26.5,26.22,26.42,1456
2006-12-26,26.505,26.699,26.251,26.629,2896
2006-12-27,26.655,27.07,26.55,26.85,11684
2006-12-28,27.025,27.39,26.721,27.282,10449
2006-12-29,27.199,27.47,27.15,27.439,29864
2007-1-9,27.281,27.281,26.31,26.31,5713
2007-1-10,26.3,26.63,25.801,25.995,8688
2007-1-11,25.995,26.348,25.852,26.348,3710
2007-1-12,26.324,26.895,26,26.894,7162
2007-1-15,26.89,27.4,26.8,27.213,8417
2007-1-16,27.213,27.213,26.85,27.075,12789
2007-1-17,26.91,27.144,26.6,26.8,5041
2007-1-18,26.85,26.987,26.6,26.843,1747
2007-1-19,26.611,26.699,26.42,26.5,6010
2007-1-22,26.5,26.77,26.45,26.605,2213
2007-1-23,26.65,27.05,26.605,26.713,5848
2007-1-24,26.713,26.95,26.6,26.6,2958
2007-1-25,26.603,26.75,26.555,26.75,1849
2007-1-26,26.75,26.9,26.634,26.7,1203
2007-1-29,26.894,26.894,26.6,26.6,1775
2007-1-30,26.651,28.651,26.5,28.287,31094
2007-1-31,28.495,28.65,27.801,27.999,12785
2007-2-1,28,28.05,27.61,27.968,3168
2007-2-2,27.505,27.95,27.4,27.839,1803
2007-2-5,27.829,27.949,27.67,27.7,3061
2007-2-6,27.495,27.779,27.49,27.747,3615
2007-2-7,27.625,27.75,27.5,27.56,2798
2007-2-8,27.51,27.51,27.15,27.37,4590
2007-2-9,27.4,27.51,27.3,27.47,2806
2007-2-12,27.385,27.553,26.961,27.329,5536
2007-2-13,27.055,27.199,27,27.109,5812
2007-2-14,27.1,27.6,26.81,27.49,9680
2007-2-15,27.5,27.557,27.211,27.27,3023
2007-2-16,27.25,27.25,27.02,27.1,2947
2007-2-19,27.17,27.4,27,27.15,2556
2007-2-20,27.247,27.247,26.92,27,1883
2007-2-21,27,27.38,27,27.15,11443
2007-2-22,27.2,27.329,26.82,27,3937
2007-2-26,27.05,27.198,26.7,26.88,10132
2007-2-27,26.989,26.989,26.32,26.42,14275
2007-2-28,26.233,26.233,25.801,26.099,10711
2007-3-1,26.337,26.34,25.3,25.65,5945
2007-3-2,25.65,26.098,25.322,25.477,10757
2007-3-5,25.07,25.45,23.501,25.45,14683
2007-3-6,25.078,25.55,25.078,25.251,1053
2007-3-7,25.65,25.65,25.201,25.22,995
2007-3-9,25.588,26.026,25.401,26,6900
2007-3-12,26,26.14,25.715,25.715,1744
2007-3-13,25.9,26.169,25.702,26.066,2053
2007-3-14,25.7,25.76,25,25.76,1799
2007-3-15,25.75,26,25.75,26,969
2007-3-16,25.715,26.19,25.714,26.176,2246
2007-3-19,26.2,26.2,25.671,26.12,1413
2007-3-20,26.34,26.34,25.948,25.95,1579
2007-3-21,25.9,26.066,25.82,25.88,1769
2007-3-22,26,26.098,25.9,26,4386
2007-3-23,25.911,26.179,25.85,25.85,1566
2007-3-26,25.9,26.2,25.9,25.971,1540
2007-3-27,26,26.15,26,26.001,713
2007-3-28,25.901,26.05,25.9,25.95,3112
2007-3-29,25.98,26.097,25.851,25.851,2345
2007-3-30,25.855,25.995,25.85,25.9,265
2007-4-2,25.857,25.98,25.8,25.8,979
2007-4-3,25.712,25.8,25.625,25.715,290
2007-4-4,25.749,25.8,25.623,25.702,2642
2007-4-5,25.7,25.95,25.7,25.757,1628
2007-4-6,25.88,25.88,25.75,25.78,204
2007-4-9,25.78,26.1,25.7,26,6570
2007-4-10,26,26.049,25.812,25.84,921
2007-4-11,25.99,26.049,25.815,25.837,1814
2007-4-12,25.8,25.85,25.5,25.6,742
2007-4-13,25.5,25.7,25.358,25.6,7089
2007-4-16,25.875,25.875,25.335,25.335,2839
2007-4-17,25.3,25.5,25.2,25.399,1656
2007-4-18,25.301,25.439,25.2,25.349,11668
2007-4-19,25.11,25.11,24.5,24.75,6414
2007-4-20,24.899,25,24.75,24.967,4446
2007-4-23,25,25.1,24.7,24.92,4163
2007-4-24,25,25.334,25,25.071,2157
2007-4-25,24.811,25.29,24.811,25.09,1322
2007-4-26,25,25.57,24.9,25.15,7810
2007-4-27,26.667,26.667,24.02,24.5,4560
2007-4-28,24.7,24.879,24.2,24.59,2592
2007-5-2,25.35,25.35,24.5,24.9,562
2007-5-3,25.775,25.775,24.761,25.011,897
2007-5-4,24.976,25.149,24.9,24.901,415
2007-5-7,24.9,24.95,24.851,24.95,419
2007-5-8,25.01,25.138,24.851,25.138,777
2007-5-10,24.911,25.09,24.586,24.998,3344
2007-5-11,24.261,25.16,24.2,24.993,7422
2007-5-14,24.757,25.2,24.757,24.9,2466
2007-5-15,24.5,25.089,24.5,24.8,666
2007-5-16,25,25,24.8,24.802,304
2007-5-17,24.137,25.3,24.137,25,11708
2007-5-18,24.801,25.088,24.801,25.088,7025
2007-5-21,25.339,25.45,24.92,25.299,3550
